Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2274805	0.78807545	-0.3903853	-2.999944	1000.0	37.4	74.46503	247.0	0.0	0.02529566	0.059379872	0.1724592	-0.13811667	10000	-2.3841858e-08	277.97864	-0.018385459	-84.688286	0.91893846	0.007024467	0.1127	99.0	5.959709882736206
1	-0.17602842	1.565642	2.9578962	-1.8394009	1000.0	23.8	55.31329	182.0	0.0	-3.2346413	5.7438836	5.9983225	-17.488798	20000	-5.364418e-08	36.15397	-0.019751746	-34.39367	0.926208	0.009265734	0.13780001	99.0	11.261758089065552
2	-0.7917932	1.6572963	3.0274403	-3.1192884	1000.0	23.4	36.770096	100.0	0.0	-0.60003674	1.0017201	0.8282298	-5.2348814	30000	-1.7881394e-08	3.0955822	-0.018152608	-2.3686771	0.91913545	0.009820932	0.13509999	99.0	16.977479934692383
3	-0.1918108	2.1263242	2.8145196	-3.8903487	1000.0	20.2	30.941235	73.0	0.0	-0.7720921	1.4214146	1.3243867	-5.7071114	40000	1.7881394e-08	7.232	-0.018012604	-4.4362245	0.8962776	0.016092844	0.1518	99.0	22.762624263763428
4	-1.1105173	2.5105793	2.8685994	-6.806018	1000.0	38.9	63.98977	195.0	0.0	-0.50252646	0.8863806	1.4274971	-4.200182	50000	8.940697e-09	15.240908	-0.019502945	-9.864397	0.9129082	0.0068336576	0.1197	99.0	28.371981620788574
5	-1.6038973	2.5355313	0.08768105	-7.6443033	1000.0	33.8	57.02245	172.0	0.0	-1.3371994	1.8486537	3.3545465	-9.769688	60000	1.1920929e-08	25.095758	-0.021516113	-20.350773	0.9268813	0.015298456	0.15220001	99.0	33.83469367027283
6	-1.5253801	2.2528396	0.35768992	-7.235219	1000.0	56.9	89.154305	291.0	0.0	-1.5103855	2.2626069	8.614528	-15.276146	70000	1.1920929e-08	88.76366	-0.022644464	-37.262203	0.9482008	0.0070141763	0.1425	99.0	39.310486793518066
7	-0.83781844	1.1609547	1.4585607	-2.5362606	1000.0	31.5	58.971603	193.0	0.0	-3.4310977	4.7351246	2.9131465	-17.072025	80000	2.9802323e-09	28.0555	-0.021278495	-24.786533	0.94362533	0.013471385	0.1566	99.0	44.83247208595276
8	-0.53324527	1.3060182	2.272319	-3.1566129	1000.0	7.5	16.00781	50.0	0.0	-1.9450316	5.816087	13.719856	-20.181429	90000	1.4901161e-08	37.274822	-0.019130174	-31.81243	0.9354355	0.015613241	0.1554	99.0	50.2033634185791
9	-0.8565747	1.7444024	2.2202742	-4.3523407	1000.0	17.9	29.784056	83.0	0.0	-0.65026605	0.92689	5.6036386	-7.836728	100000	-5.9604646e-09	21.893915	-0.019725421	-9.65649	0.92488164	0.012714001	0.15409999	99.0	55.92393779754639
10	0.027774954	1.620524	3.0423489	-1.9724115	1000.0	24.9	35.331146	97.0	0.0	-0.83194375	1.3889284	2.2041008	-5.808234	110000	1.4901161e-08	29.341923	-0.022795705	-21.800848	0.92444754	0.01698779	0.169	99.0	61.33393096923828
11	-1.181885	1.9980537	1.7440884	-6.179736	1000.0	20.6	54.27375	182.0	0.0	-1.3090539	2.6231992	11.998407	-16.862516	120000	-3.7252903e-09	34.702736	-0.02023343	-28.189966	0.95274127	0.014985612	0.17719999	99.0	66.80326724052429
12	-1.9127423	1.4453081	-0.16625966	-5.358143	1000.0	38.9	62.870422	184.0	0.0	-1.0255626	2.900884	1.935426	-22.398685	130000	0.0	86.97746	-0.022950727	-56.752907	0.953002	0.008722881	0.1435	99.0	72.2667989730835
