Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6728469	0.9107889	1.4350452	-2.999944	1000.0	34.35	69.32696	247.0	0.0	0.02563742	0.05898241	0.17846854	-0.13811667	20000	-1.9371509e-08	253.46101	-0.014036809	-55.73294	0.9189385	0.006844902	0.11235	99.0	12.044536590576172
1	-0.71711165	1.2217811	1.6250387	-2.8520827	1000.0	27.7	55.12359	180.0	0.0	-3.9940782	5.2706747	4.379093	-15.516451	40000	3.2782555e-08	37.261845	-0.01520516	-35.791576	0.92230713	0.009359904	0.10215	99.0	21.63994812965393
2	-0.414776	1.1160139	1.8698212	-2.7907646	1000.0	54.75	96.419846	377.0	0.0	-0.41465184	0.5332177	1.0592514	-2.2178183	60000	-2.9802323e-09	12.088728	-0.016153593	-6.6284876	0.9174984	0.009341232	0.117649995	99.0	31.327762126922607
3	-1.4571693	1.6288856	1.8787881	-4.202375	1000.0	18.35	47.63011	181.0	0.0	-1.6313884	2.4405062	2.5124717	-9.394166	80000	-1.1920929e-08	20.48427	-0.013997463	-14.632092	0.9383672	0.013268548	0.13595	99.0	41.09316420555115
4	-1.0926186	1.9413089	1.7212614	-6.149952	1000.0	55.75	105.90933	377.0	0.0	-0.38576227	1.6599642	8.975135	-12.357838	100000	-2.682209e-08	72.99061	-0.016954254	-59.15072	0.95558846	0.0058371774	0.104100004	99.0	51.38439083099365
5	-1.2975781	1.4313304	0.69141763	-4.4985924	1000.0	33.55	69.65161	240.0	0.0	-1.6147772	4.581287	4.2550817	-22.51824	120000	0.0	70.23952	-0.015262125	-62.194183	0.9549717	0.007889381	0.1222	99.0	61.341248989105225
6	-1.9371821	1.761776	0.7657123	-5.6352363	1000.0	39.55	88.34505	349.0	0.0	-1.1083207	4.6359634	5.6946554	-24.485518	140000	-4.4703485e-09	81.03132	-0.015660807	-55.490284	0.95609426	0.0064122914	0.11235	99.0	71.01007008552551
7	-1.5852338	1.1666577	0.6859713	-3.8984253	1000.0	20.95	50.524723	216.0	0.0	-1.4154707	3.1450734	5.8788953	-26.086533	160000	4.4703485e-09	48.90005	-0.016109955	-40.56813	0.96623194	0.0140541885	0.1592	99.0	81.13109517097473
8	-1.1673906	1.5539683	1.1818378	-5.2553988	1000.0	9.7	22.543514	83.0	0.0	-0.7359792	3.7946694	28.760141	-31.701801	180000	-1.4156103e-08	12.255594	-0.0142162535	-9.978035	0.97044384	0.010163028	0.1341	99.0	90.62080955505371
9	-1.2807075	1.1729381	0.32273373	-4.4696627	1000.0	29.0	59.01525	251.0	0.0	-0.3669927	1.1746072	2.4729729	-14.269878	200000	-5.9604646e-09	61.744713	-0.015573723	-30.339457	0.94965506	0.00354978	0.09865	99.0	100.3244080543518
10	-1.2372181	1.3676624	1.6946536	-3.9423535	1000.0	11.0	30.859358	129.0	0.0	-1.7979015	4.0667114	8.013101	-28.988525	220000	7.450581e-09	32.75289	-0.016432565	-27.959494	0.9678501	0.016671654	0.16319999	99.0	109.93501114845276
