Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	24.60545587539673
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	46.23118042945862
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	1.1920929e-08	6.244151	-0.010375589	-1.4134723	0.92084205	0.0077707893	0.10051249	99.0	67.86459970474243
3	-0.93102187	1.4620451	2.191906	-4.7476916	1000.0	50.5	97.05257	471.0	0.0	-0.8530934	0.6351239	1.0608896	-3.573639	320000	1.1920929e-08	29.30213	-0.011344903	-16.473675	0.9308872	0.005746876	0.0852125	99.0	89.84206080436707
4	-0.8436276	1.5009427	2.507174	-4.7372193	1000.0	43.9375	93.76931	508.0	0.0	-1.4949143	2.3973813	2.667303	-15.711966	400000	7.450581e-09	52.88131	-0.012774828	-34.271202	0.93924475	0.0061421036	0.10339999	99.0	111.76142454147339
5	-0.95072067	1.7791659	4.014069	-5.8799806	1000.0	66.475	110.13253	468.0	0.0	-2.0583692	4.285216	3.7871757	-21.529877	480000	-6.7055224e-09	130.0377	-0.013602784	-93.096115	0.94183254	0.0063186446	0.100274995	99.0	133.4083526134491
6	-1.4485396	2.191677	2.472909	-7.465813	1000.0	28.5875	70.76311	376.0	0.0	-1.6930377	4.306712	4.850741	-29.212393	560000	0.0	65.906296	-0.012514224	-48.394737	0.9407741	0.0103829	0.1252375	99.0	155.6038556098938
7	-1.218298	2.2378263	4.3312736	-8.080045	1000.0	42.6	96.58838	446.0	0.0	-1.614245	4.041945	9.130949	-31.863642	640000	-2.9802323e-09	115.8947	-0.013108249	-89.54994	0.93094313	0.006683556	0.1066	99.0	177.60785508155823
8	-1.3932736	1.9490256	3.9490972	-7.6028666	1000.0	20.425	60.187992	400.0	0.0	-2.141385	6.0797787	17.271887	-36.238823	720000	1.6391278e-08	59.439697	-0.012559935	-48.474342	0.9309672	0.0103382645	0.123725	99.0	199.36403560638428
9	-1.385226	1.9817058	3.0993776	-6.703926	1000.0	17.025	45.310314	266.0	0.0	-1.4523718	5.683105	17.434992	-37.96568	800000	-3.7252904e-10	52.91897	-0.012733899	-27.418446	0.92183495	0.013830823	0.1476375	99.0	221.46213483810425
10	-1.3588772	2.3844006	6.145885	-7.086652	1000.0	12.7	36.198547	227.0	0.0	-1.0696677	2.1811044	20.431541	-12.283937	880000	5.2154063e-09	20.608007	-0.013015278	-8.376753	0.91664076	0.008947089	0.122	99.0	243.2390260696411
11	-1.254184	2.208207	3.7215695	-7.487739	1000.0	16.0	48.009895	389.0	0.0	-1.0044186	2.696782	9.228926	-27.257114	960000	-2.9802323e-09	30.599188	-0.012940772	-17.92648	0.9166814	0.008937761	0.12754999	99.0	265.02606320381165
12	-1.5312558	1.9201276	2.3388636	-8.815565	1000.0	12.3	32.85285	174.0	0.0	-1.0999656	3.520503	12.605676	-38.9796	1040000	-4.4703485e-09	27.453716	-0.0130284	-17.845114	0.9193325	0.010699469	0.1326625	99.0	286.6273121833801
13	-1.2271597	1.8074708	2.6888638	-6.558452	1000.0	6.35	25.561247	167.0	0.0	-0.99594045	3.2280772	3.5371585	-30.979753	1120000	-4.4703485e-09	23.865644	-0.011374852	-13.143542	0.91858613	0.009208794	0.0989125	99.0	308.0964710712433
14	-1.2485651	1.8005658	3.5582018	-6.5566716	1000.0	13.6625	50.251602	307.0	0.0	-0.33645904	1.1127697	12.92076	-12.605867	1200000	1.1175871e-08	38.712963	-0.011720923	-18.26529	0.9082974	0.0084231775	0.1089625	99.0	330.213828086853
15	-1.3247621	2.094213	3.0388868	-9.654084	1000.0	8.4375	24.287262	146.0	0.0	-0.6013392	2.054139	5.7106957	-18.041748	1280000	6.519258e-10	17.08746	-0.012927813	-12.787657	0.92082417	0.012351369	0.13752499	99.0	352.3660418987274
16	-1.2566684	2.0272555	5.3571444	-6.558013	1000.0	5.475	18.546545	134.0	0.0	-0.5170081	2.1024199	13.406676	-26.647324	1360000	-9.685754e-09	10.696917	-0.011207342	-7.302311	0.9176005	0.011462823	0.126425	99.0	374.1143968105316
17	-1.029184	1.7981577	4.0311737	-4.8724127	1000.0	12.0375	36.616062	202.0	0.0	-0.40465975	1.6509112	3.6211193	-28.097593	1440000	-2.9802323e-09	26.017181	-0.012701121	-17.861729	0.9101702	0.00826261	0.12735	99.0	396.2659320831299
18	-1.1548913	2.0498042	4.337377	-6.85662	1000.0	13.8625	62.968784	535.0	0.0	-0.43955877	2.0656698	3.7530339	-25.22486	1520000	5.9604646e-09	40.136642	-0.011749656	-32.305267	0.90763795	0.0075661466	0.1023875	99.0	417.9629669189453
19	-1.411769	2.7073112	5.490455	-16.103056	1000.0	3.25	12.804784	84.0	0.0	-1.0704066	4.6786	24.063107	-38.583824	1600000	-2.9802323e-09	25.54243	-0.011436248	-22.923923	0.9106622	0.011538221	0.112325	99.0	439.5699107646942
20	-1.5176266	2.1432552	3.0084748	-12.847062	1000.0	7.0375	22.649197	130.0	0.0	-0.32203817	0.95105326	2.9950018	-20.05614	1680000	7.450581e-09	11.905917	-0.0112464335	-7.672354	0.89943135	0.008545638	0.11082499	99.0	461.29356694221497
21	-1.204427	2.1720614	4.94289	-9.704555	1000.0	2.2375	8.115177	52.0	0.0	-0.38016483	1.8592391	3.4537861	-32.760002	1760000	8.195639e-09	4.677224	-0.010469751	-3.5466716	0.9057263	0.012389475	0.130425	99.0	483.31964230537415
22	-1.0074556	1.9552461	5.1297817	-5.040517	1000.0	10.2875	56.158524	480.0	0.0	-0.20314834	0.4920569	2.0115597	-12.073096	1840000	1.7881394e-08	37.25633	-0.009211818	-15.050741	0.87801456	0.004276571	0.079399996	99.0	505.5648105144501
23	-1.5796568	1.9772995	4.254547	-7.20243	1000.0	3.4	15.105131	112.0	0.0	-0.54366034	1.7453324	2.2123194	-23.34669	1920000	-5.9604646e-09	6.564472	-0.010633631	-2.8836815	0.90455353	0.009295293	0.097425	99.0	527.5005707740784
24	-0.6501725	1.9267981	5.025616	-4.6445003	1000.0	4.8625	15.3148155	79.0	0.0	-0.3545911	1.2999858	2.2978516	-23.00416	2000000	0.0	5.8639827	-0.012754822	-1.7059157	0.89252234	0.011664832	0.1242375	99.0	549.7062668800354
25	-1.1858552	2.045123	4.6674547	-5.121221	1000.0	9.35	38.247906	211.0	0.0	-0.3126528	0.6376241	2.1730454	-16.70243	2080000	4.4703485e-09	29.185349	-0.010076559	-9.192295	0.8966111	0.0074535855	0.098124996	99.0	571.7524597644806
26	-0.9205004	2.1497135	7.298319	-5.8002434	1000.0	5.6	16.969532	98.0	0.0	-0.507098	1.5790688	2.0814629	-15.568118	2160000	-2.9802323e-09	8.827209	-0.012955147	-3.9928741	0.9163116	0.010422821	0.1070375	99.0	593.2653753757477
27	-1.0422635	1.7249805	3.1830695	-4.4667177	1000.0	4.825	17.076136	104.0	0.0	-0.35343644	0.59418434	2.1763606	-18.865015	2240000	4.4703485e-09	6.700891	-0.010562191	-2.1408978	0.91534126	0.007838577	0.107475	99.0	615.1400029659271
28	-1.205343	2.208588	5.84144	-5.249284	1000.0	7.05	23.62779	122.0	0.0	-0.28296834	1.0145929	2.913491	-21.229574	2320000	8.940697e-09	13.00164	-0.011855059	-5.0576787	0.9168135	0.010942974	0.1253125	99.0	637.5557863712311
29	-1.3042828	2.2685287	4.465108	-7.3384666	1000.0	8.8	32.758358	199.0	0.0	-0.96629035	3.6684165	1.820148	-32.144722	2400000	1.3411045e-08	34.32995	-0.011807891	-20.986427	0.9224576	0.020780714	0.1731375	99.0	659.5582587718964
30	-1.0230658	2.074862	4.706558	-5.2612214	1000.0	6.625	23.525187	175.0	0.0	-0.762317	2.5129952	4.121959	-25.923857	2480000	-2.9802323e-09	15.600693	-0.011733127	-8.241537	0.9100579	0.013174002	0.1421125	99.0	680.9908726215363
31	-1.2484939	2.634367	6.5268264	-10.029704	1000.0	2.75	10.940178	73.0	0.0	-0.5783782	1.7747883	2.6273925	-12.692289	2560000	-5.9604646e-09	6.0950565	-0.01299682	-2.6348717	0.90708053	0.013500121	0.1302875	99.0	703.154055595398
32	-1.1994076	2.2277257	5.834544	-6.6131644	1000.0	2.85	12.024039	83.0	0.0	-0.23582286	0.3537354	4.102869	-1.3812782	2640000	0.0	3.5326533	-0.009138802	-0.35187683	0.88947	0.013835983	0.13738748	99.0	725.334353685379
