Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	11.237043380737305
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	21.278750896453857
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	5.9604646e-09	0.35083747	-0.02137138	-0.13103673	0.91909635	0.012551943	0.1538	99.0	31.906655073165894
3	-0.9435245	1.3713926	1.663079	-3.9607599	1000.0	74.2	105.380066	362.0	0.0	-0.3792331	0.338425	0.51662445	-1.34318	40000	8.940697e-09	46.031727	-0.01779691	-22.76119	0.90803397	0.0055960407	0.1025	99.0	41.58218455314636
4	-0.73790896	1.0577635	1.0171602	-2.2163203	1000.0	121.3	140.17921	398.0	0.0	-2.635397	2.6773262	1.0682584	-8.737065	50000	1.4901161e-08	186.08755	-0.019733053	-109.14111	0.9273828	0.009387954	0.11010001	99.0	51.241556882858276
5	-0.30903578	1.1823752	1.7046304	-1.8289126	1000.0	27.4	32.38271	88.0	0.0	-5.11154	4.0543375	1.241005	-22.25465	60000	-3.091991e-08	44.585533	-0.020968135	-32.58213	0.9317671	0.009597354	0.1539	99.0	61.1741840839386
6	-1.3655908	1.7395383	1.1137761	-4.2409005	1000.0	29.0	50.915615	169.0	0.0	-2.6857014	3.6671188	3.5939946	-19.592506	70000	0.0	42.5848	-0.021626126	-34.3738	0.93826735	0.013118366	0.1674	99.0	71.50905394554138
7	-0.58434016	2.2571542	2.7692626	-5.918965	1000.0	27.6	35.04911	86.0	0.0	-2.1743126	3.7363503	0.4374581	-24.432327	80000	-4.4703485e-09	42.31248	-0.023252707	-37.3852	0.93753064	0.03734041	0.22519998	99.0	81.97449779510498
8	-0.09777924	1.2940181	2.477151	-1.9296999	1000.0	55.5	103.857834	359.0	0.0	-0.64145774	1.6509103	4.5303726	-21.360592	90000	0.0	121.207664	-0.022572588	-101.79244	0.92901134	0.0064483136	0.14819999	99.0	92.26011037826538
9	-0.57806593	1.4371458	2.85905	-2.2464693	1000.0	49.8	53.64103	176.0	0.0	-2.539913	6.491752	28.108654	-33.11385	100000	0.0	149.92538	-0.02250936	-122.28713	0.9403378	0.016286978	0.1715	99.0	102.6219277381897
