Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.07909026	0.95331573	1.5647222	-1.691483	1000.0	51.5	107.9956	358.0	0.0	-0.00081769866	0.074014515	0.22622898	-0.1139505	10000	-2.3841858e-08	370.82294	-0.018477466	-151.91858	0.91893846	0.007286267	0.1018	99.0	16.87618613243103
1	-0.38801607	0.7941817	0.6638419	-1.9405632	1000.0	30.6	50.335274	172.0	0.0	-3.4122024	6.0746284	3.3410215	-18.145113	20000	0.0	41.938133	-0.019419014	-39.97807	0.93217534	0.008645343	0.11370001	99.0	22.55344033241272
2	-0.70697737	1.0469942	1.1618195	-2.1630735	1000.0	50.9	87.10276	253.0	0.0	-0.32365018	0.6572969	0.56340915	-2.0482502	30000	-2.3841858e-08	11.636301	-0.017292941	-5.5345387	0.91521823	0.008012661	0.1063	99.0	28.020422220230103
3	-0.54620475	1.2741157	1.9584581	-2.2954288	1000.0	80.7	78.126884	209.0	0.0	-1.0882647	1.9738065	1.2370207	-5.5831146	40000	-5.9604646e-09	67.19527	-0.021921083	-48.014515	0.93910205	0.010585576	0.1277	99.0	33.596214294433594
4	-0.41346437	1.2067975	2.2675033	-1.8731645	1000.0	73.6	80.89277	256.0	0.0	-2.5205538	4.640194	3.5770411	-15.45195	50000	-1.1920929e-08	143.80681	-0.022387387	-86.33832	0.95263875	0.008834111	0.15720001	99.0	39.03158235549927
5	-0.79275364	1.1640444	1.7448488	-2.873881	1000.0	53.0	97.45974	256.0	0.0	-4.7506557	6.1371584	1.8318754	-16.41416	60000	8.940697e-09	197.42343	-0.020299194	-117.91136	0.9602212	0.016335897	0.17289999	99.0	44.826884031295776
6	-1.0792414	1.188188	1.292834	-3.0218484	1000.0	12.8	38.399998	128.0	0.0	-1.9304652	4.372104	0.87978977	-16.854675	70000	-1.1920929e-08	52.412605	-0.013868311	-32.86411	0.95526445	0.015019405	0.1332	99.0	50.513232946395874
7	-0.9518367	1.3617712	1.6738983	-3.3858461	1000.0	46.4	78.23836	261.0	0.0	-0.23016267	0.9603688	2.2994728	-6.4101124	80000	2.3841858e-08	124.11299	-0.02035201	-76.604294	0.95204794	0.0017236084	0.13350001	99.0	55.909207582473755
8	-0.7411705	1.0197418	0.72390705	-2.4777653	1000.0	35.4	93.92252	315.0	0.0	-0.8921238	3.3358128	1.8375437	-21.83481	90000	2.3841858e-08	96.780594	-0.018900678	-78.43398	0.972	-0.0018941481	0.1109	99.0	61.28993773460388
9	-0.7569563	0.858507	0.7073256	-2.773697	1000.0	97.0	143.87773	442.0	0.0	-2.004537	4.5777674	0.7889559	-33.087727	100000	3.576279e-08	342.631	-0.023164738	-285.67865	0.9738809	0.005671951	0.1506	99.0	67.1809504032135
10	-0.51598555	1.8069345	2.1673849	-3.3833842	1000.0	12.0	27.28003	89.0	0.0	-3.1184704	5.274586	1.1828537	-43.92283	110000	2.682209e-08	37.199924	-0.022589125	-31.325008	0.9688512	0.02050151	0.17279999	99.0	72.85347414016724
11	-1.7859046	1.2374767	-0.2518093	-4.443015	1000.0	49.3	42.715454	118.0	0.0	-1.6050478	4.4873576	0.40841034	-44.98782	120000	-1.4901161e-09	81.126656	-0.02420287	-58.148903	0.9647261	0.012975207	0.17870001	99.0	78.35548734664917
12	-1.1666003	1.1541306	1.2770466	-3.0303051	1000.0	14.0	37.56594	126.0	0.0	-2.409133	6.8181615	1.5365407	-47.07068	130000	0.0	32.379375	-0.0243828	-30.535715	0.9659109	0.020010334	0.1648	99.0	84.07869672775269
13	-0.48502398	1.5811945	1.6111416	-4.4177165	1000.0	26.4	68.61954	230.0	0.0	-0.7644473	2.3159807	0.8857602	-30.160963	140000	1.7881394e-08	75.40388	-0.017256357	-47.38527	0.9546591	0.00018919018	0.112	99.0	90.10058307647705
14	-0.93802273	1.1995584	0.8265358	-2.7112362	1000.0	38.0	101.61102	342.0	0.0	-1.4958653	4.5533576	1.7877119	-18.28528	150000	8.940697e-09	179.83107	-0.018804094	-105.3218	0.9604071	0.0008457357	0.1019	99.0	95.73390102386475
15	-1.516145	1.9072818	1.6902843	-5.8633795	1000.0	40.3	73.817406	203.0	0.0	-2.9144468	7.197115	4.942783	-24.160872	160000	-2.4400652e-08	167.6074	-0.024316462	-158.36182	0.96945655	0.025754299	0.1993	99.0	101.12399530410767
16	-0.9115137	2.213026	1.7727101	-5.586204	1000.0	9.4	22.105202	73.0	0.0	-1.0946021	2.1346009	0.44204545	-25.882097	170000	5.9604646e-09	20.841938	-0.02405554	-8.742315	0.964779	0.0563728	0.23550001	99.0	106.99856853485107
17	-1.213453	1.5267203	1.3683289	-3.5899327	1000.0	0.0	0.0	0.0	0.0	-0.91383654	1.6373069	0.88317406	-7.278232	180000	-1.7881394e-08	3.0144124	-0.023845768	-2.8346906	0.943655	0.024696674	0.17469999	99.0	112.78250074386597
18	-0.7876695	1.6941849	2.6163332	-3.0902395	1000.0	18.8	34.11979	94.0	0.0	-0.09375511	0.2903762	0.5279313	-0.8010426	190000	-1.0430813e-08	43.717224	-0.01758877	-15.49057	0.92696583	8.0927464e-05	0.1197	99.0	118.25828909873962
19	-0.9879619	1.9821835	2.0721369	-4.009812	1000.0	7.0	14.839137	46.0	0.0	-1.0672561	1.750454	1.0514868	-8.698805	200000	5.9604646e-09	9.4024515	-0.020023335	-3.964178	0.9374682	0.01619179	0.1784	99.0	123.77640295028687
20	-1.0061895	0.96923727	0.030463183	-3.2489665	1000.0	20.7	33.205574	107.0	0.0	-0.38210085	1.1938707	1.2702242	-10.368816	210000	-7.450581e-09	39.25173	-0.024736911	-25.990564	0.93880284	0.019749064	0.1701	99.0	129.40205907821655
21	-0.55264646	1.1079834	2.126434	-2.7798584	1000.0	29.0	49.78353	144.0	0.0	-0.64473104	2.4597874	1.7174863	-15.880101	220000	-2.9802323e-09	70.63554	-0.024817126	-53.4094	0.9507636	0.013320938	0.1729	99.0	134.86442518234253
22	-1.9212258	1.7748412	1.1829705	-4.928063	1000.0	43.8	79.68538	247.0	0.0	-2.3402245	5.5186853	0.8796016	-20.578201	230000	0.0	163.61166	-0.025246043	-120.48442	0.96827257	0.015985418	0.1841	99.0	140.41920232772827
