Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.35882074	1.0311265	1.5647222	-4.1365967	1000.0	39.25	88.31414	381.0	0.0	0.021801066	0.08743304	0.23238817	-0.114493236	40000	0.0	274.45996	-0.010919297	-88.66167	0.9189385	0.0047544846	0.074175	99.0	20.414618253707886
1	-0.31887025	1.2829939	4.627143	-2.6794302	1000.0	46.05	102.65694	521.0	0.0	-3.248191	5.552634	6.532462	-17.480194	80000	-9.685754e-09	36.049316	-0.013530627	-34.506897	0.9314643	0.0037170865	0.074999996	99.0	32.37858819961548
2	-0.7352078	1.689398	3.685427	-4.0110717	1000.0	51.1	115.85655	680.0	0.0	-0.2857673	0.60160446	0.7607962	-2.2535813	120000	-2.2351742e-08	23.643162	-0.012848696	-10.499582	0.91835845	0.005897499	0.090125	99.0	44.685227155685425
3	-0.13493408	1.2548418	3.9200354	-3.8510427	1000.0	39.025	67.15448	267.0	0.0	-1.6005783	2.4971714	1.178155	-11.349701	160000	-7.450581e-09	38.895275	-0.014259776	-19.9315	0.9300119	0.008168826	0.11964999	99.0	56.74830675125122
4	-0.5514703	1.2509369	2.3057525	-4.2863464	1000.0	59.725	105.929924	369.0	0.0	-1.6618754	2.9937968	1.6703483	-13.258524	200000	-2.9802323e-09	90.38938	-0.01684981	-67.80143	0.94366705	0.007040594	0.11552501	99.0	68.96459913253784
5	-0.84528065	1.5169348	3.2841527	-3.8668644	1000.0	27.65	82.358536	459.0	0.0	-2.7109208	6.3826194	3.325287	-25.69965	240000	-2.3841858e-08	79.16473	-0.015100809	-48.028328	0.94304705	0.014070988	0.12535001	99.0	80.44710850715637
6	-0.8358146	1.2526004	2.3621767	-3.4098883	1000.0	11.1	29.285492	125.0	0.0	-0.9175666	1.9853061	2.5654106	-18.91014	280000	4.4703485e-09	14.050672	-0.012831835	-9.508474	0.93440974	0.008867058	0.10144999	99.0	92.3030617237091
7	-0.883949	1.5538863	2.4406323	-4.7495117	1000.0	39.2	97.81416	481.0	0.0	-1.0722897	3.4610002	1.2095015	-29.678167	320000	-5.9604646e-09	88.51774	-0.015422354	-63.87448	0.9359021	0.0065761125	0.094375	99.0	104.06386017799377
8	-0.97845376	1.7226694	6.563366	-4.7968087	1000.0	18.775	41.518967	163.0	0.0	-1.6135703	4.614125	1.9701767	-33.650646	360000	-3.7252903e-09	49.03974	-0.014125541	-30.909842	0.95338476	0.013261559	0.1433	99.0	115.84990167617798
9	-1.4507816	1.3938367	2.6934876	-4.4235373	1000.0	45.025	97.121956	491.0	0.0	-1.2221113	2.4822533	2.4189625	-11.090306	400000	1.1920929e-08	120.96761	-0.015538168	-86.161606	0.95507205	0.0050734216	0.104674995	99.0	128.0806119441986
