Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.2878912	0.57837397	0.4802671	-1.691483	1000.0	56.0	108.44261	358.0	0.0	0.005554639	0.0471934	0.119970515	-0.114493236	10000	2.9802323e-09	403.08813	-0.017113645	-155.5584	0.9189385	0.0072656595	0.109500006	99.0	17.656773328781128
1	-0.032286547	1.6155002	4.2075114	-2.0333772	1000.0	10.5	22.571	71.0	0.0	-4.034134	7.2886844	6.770422	-17.636215	20000	3.576279e-08	60.50921	-0.018731633	-57.650078	0.92685044	0.0053942315	0.119	99.0	26.913087844848633
2	-0.6682256	1.7644777	3.0202687	-3.1155512	1000.0	24.9	59.66984	198.0	0.0	-0.5887152	0.5587272	0.8607399	-1.7647728	30000	1.1920929e-08	1.6854908	-0.019105349	-0.799539	0.9033183	0.011058789	0.1498	99.0	36.15634846687317
3	-0.22381654	1.2010001	1.857518	-2.0786192	1000.0	34.3	72.99596	244.0	0.0	-0.44374228	0.55298615	0.34087214	-1.5860801	40000	-1.1920929e-08	11.82071	-0.016237456	-8.349441	0.90378857	0.0045888303	0.0971	99.0	45.51437783241272
4	-0.3809087	0.8763102	1.0934536	-2.1513486	1000.0	33.7	71.37234	221.0	0.0	-2.0368693	3.4814832	0.91419035	-10.640287	50000	-1.8626451e-09	31.90032	-0.019995902	-25.281673	0.9139205	0.01731434	0.1699	99.0	54.906068325042725
5	-0.3423527	1.1608534	1.1919858	-2.621338	1000.0	55.5	61.74828	176.0	0.0	-0.6416702	1.551309	3.778258	-8.3700695	60000	1.1920929e-08	45.50661	-0.020553546	-28.90534	0.91488135	0.006789694	0.14189999	99.0	64.06897830963135
6	-0.15217069	1.3864787	2.1281345	-1.9121275	1000.0	18.2	47.499054	160.0	0.0	-5.4874983	5.5674767	13.913929	-18.205423	70000	1.1920929e-08	79.80891	-0.02246208	-50.964592	0.91457283	0.013635233	0.1448	99.0	73.46389412879944
7	-1.42787	1.5032578	1.0578641	-4.1152616	1000.0	21.4	31.569605	81.0	0.0	-1.5176187	0.9164818	-0.53410983	-3.275406	80000	0.0	18.280767	-0.017886013	-3.188209	0.9106655	0.009516244	0.14379999	99.0	82.56588459014893
8	-2.4056602	2.9055862	0.37169573	-7.9320397	1000.0	5.0	15.0	50.0	0.0	-1.0468235	1.0219787	0.1335882	-3.0393052	90000	-7.4505807e-10	6.1603756	-0.011561165	-1.3842167	0.9268576	0.008010646	0.119799994	99.0	91.96029615402222
9	-0.8530577	2.3116727	3.1571324	-5.1647005	1000.0	37.1	45.706566	131.0	0.0	-0.7464807	0.38776994	-0.3812166	-1.7104342	100000	9.685754e-09	54.11917	-0.017344033	-3.4518723	0.92092717	0.001411019	0.1413	99.0	101.23586368560791
10	-1.2359807	2.1464179	1.8416506	-6.007828	1000.0	26.1	40.11097	98.0	0.0	-1.8413937	1.0845047	0.29839307	-2.629036	110000	-1.3411045e-08	32.279488	-0.018168215	-0.52930945	0.921433	0.01031177	0.1375	99.0	110.48307180404663
11	-0.4644115	1.8856243	1.7890749	-5.1674805	1000.0	0.0	0.0	0.0	0.0	-1.774758	1.903027	13.266862	-3.2567873	120000	3.576279e-08	5.9612913	-0.011462338	-5.3219824	0.9414388	0.011369484	0.0948	99.0	119.80939626693726
12	-0.16856475	1.8497843	3.9839635	-3.5031507	1000.0	55.1	90.43389	289.0	0.0	-0.67566985	0.38060594	0.0033191592	-1.22494	130000	1.1920929e-08	109.72892	-0.017975623	-56.565216	0.9558135	0.0015812364	0.1259	99.0	128.84165406227112
13	-0.5939352	1.0441856	0.7317577	-2.611792	1000.0	17.8	41.78229	141.0	0.0	-1.1474688	3.6296802	3.6673732	-12.758115	140000	0.0	48.431	-0.02404959	-30.857697	0.96436584	0.034148324	0.20940001	99.0	138.2113494873047
14	-0.8379892	1.1862346	1.0222002	-2.925237	1000.0	83.3	121.397736	386.0	0.0	-0.29045117	0.55660623	0.63863957	-8.920477	150000	-1.1920929e-08	232.8049	-0.02194589	-152.41867	0.9378042	0.006766122	0.1122	99.0	147.19062662124634
15	-1.2406327	1.2672838	1.5383815	-2.7576168	1000.0	15.8	47.4	158.0	0.0	-1.8250664	2.6737032	0.22298402	-15.108128	160000	1.1920929e-08	33.98783	-0.019757899	-29.935806	0.9581127	0.016800867	0.1679	99.0	156.69426584243774
16	-1.2242552	1.6950948	1.467722	-5.2264028	1000.0	39.2	79.25755	222.0	0.0	-3.9813976	9.164622	0.753228	-32.151203	170000	-1.1920929e-08	125.43901	-0.021308217	-115.284775	0.9667996	0.017515693	0.1786	99.0	165.821430683136
17	-2.112867	2.6353261	1.0822291	-7.995962	1000.0	23.0	33.220474	104.0	0.0	-1.2974654	4.724275	30.972176	-31.359837	180000	1.0803342e-08	55.120537	-0.020462018	-29.557398	0.9520298	0.03462107	0.2187	99.0	175.08752012252808
18	-2.4089963	1.9442868	0.49306372	-6.4445734	1000.0	60.6	124.59791	423.0	0.0	-1.2806448	1.6899704	0.047024608	-8.493489	190000	-2.682209e-08	184.24388	-0.01949588	-103.10636	0.95246315	0.00052144006	0.1091	99.0	184.46587944030762
19	-2.164143	2.5875208	1.4540957	-6.618557	1000.0	2.9	6.007496	18.0	0.0	-3.635161	6.127679	-0.28296798	-21.400778	200000	-5.9604646e-09	41.85747	-0.018419713	-37.97944	0.9606174	0.023999318	0.1381	99.0	193.51413416862488
20	-2.9807248	2.2330618	0.7744207	-5.783544	1000.0	0.0	0.0	0.0	0.0	-0.54561514	0.5035081	-0.0791409	-1.5816276	210000	-4.7683717e-08	0.4402012	-0.019098168	-0.39942092	0.9401275	0.012991468	0.1267	99.0	202.89118242263794
21	-2.050691	3.0699422	3.9969983	-7.9634666	1000.0	10.3	19.98024	66.0	0.0	-0.10290249	0.17019564	0.06277019	-0.7342535	220000	5.6810676e-09	14.715355	-0.015485476	-1.2003266	0.91916287	0.0061088325	0.1428	99.0	212.2144021987915
22	-0.8357196	2.0870082	3.2404883	-4.314849	1000.0	4.7	14.1	47.0	0.0	-0.8272771	0.7344211	-0.13990349	-11.420976	230000	-9.685754e-09	7.355853	-0.011979883	-1.3398601	0.93600523	0.015284674	0.12010001	99.0	221.5725793838501
23	-0.9739911	1.9005313	3.3929834	-3.1715643	1000.0	5.2	10.4	26.0	0.0	-0.39352745	0.4114817	-0.03394276	-1.1849889	240000	-2.9802323e-09	4.361085	-0.017536845	-0.37452975	0.9447789	0.022113118	0.14750001	99.0	230.54842162132263
24	-3.708027	4.108798	0.0837086	-14.207635	1000.0	7.4	16.125755	54.0	0.0	-0.5086509	0.339183	-0.0032469034	-0.8796674	250000	-5.2154063e-09	9.052638	-0.015981542	-0.45288506	0.95705044	0.002320995	0.12479999	99.0	239.6914520263672
25	-3.7317219	4.1023455	0.7566578	-14.448017	1000.0	10.8	32.4	108.0	0.0	-0.6711726	0.5011016	-0.23519355	-1.7059964	260000	2.9802323e-09	22.606989	-0.0140875755	-2.3216345	0.961885	0.008675075	0.1489	99.0	249.00708270072937
26	-3.1980228	5.5077333	2.9048662	-16.16389	1000.0	9.5	14.759743	38.0	0.0	-0.84156406	0.84526366	0.05167228	-2.3770914	270000	-3.3527612e-09	9.555405	-0.019047491	-0.5482333	0.9504751	1.3584634	0.2609	99.0	258.19777488708496
27	-4.3153596	4.5553293	0.24220692	-14.339442	1000.0	10.5	14.773287	44.0	0.0	-0.90061045	0.6661293	-0.044444323	-2.1995225	280000	1.1641532e-08	8.417887	-0.022388944	-3.828921	0.9549197	0.028167736	0.2204	99.0	267.59827613830566
28	-3.4556053	3.9928927	2.325191	-12.5692005	1000.0	0.6	1.8000001	6.0	0.0	-0.6668245	1.1563164	0.07046813	-14.589894	290000	1.1920929e-08	1.3886607	-0.019286316	-1.3322785	0.97770655	0.01906986	0.13859999	99.0	276.735636472702
29	-1.4967284	2.772923	1.778075	-8.525596	1000.0	7.6	9.656086	24.0	0.0	-0.11255133	0.24095635	0.09372532	-3.3434572	300000	5.9604646e-09	5.0509124	-0.020320032	-0.52573884	0.95795834	0.0130110625	0.1729	99.0	285.85148525238037
30	-2.828806	3.4412951	0.94102764	-9.448347	1000.0	9.2	20.745121	70.0	0.0	-0.5452707	0.28645635	-0.12634933	-0.9993348	310000	0.0	13.467694	-0.017529616	-1.8469851	0.9569329	0.013555326	0.155	99.0	294.95981788635254
31	-3.5206122	3.7408898	0.9734889	-12.559329	1000.0	0.0	0.0	0.0	0.0	-0.71959573	0.9146491	-0.081267	-10.698734	320000	-3.091991e-08	1.135803	-0.017884023	-1.0264164	0.9650289	0.017828804	0.1419	99.0	304.66856122016907
32	-1.2781403	2.161519	1.6207	-6.4506607	1000.0	0.0	0.0	0.0	0.0	-0.12362178	0.2933612	0.31676042	-0.6515154	330000	-1.7881394e-08	0.08274551	-0.02611033	-0.026852626	0.9424604	0.024123132	0.1505	99.0	314.31176590919495
33	-2.9492364	1.7627766	-0.5814716	-6.3194957	1000.0	5.0	10.620734	33.0	0.0	-0.024668366	0.25451708	0.31378382	-0.58209145	340000	-7.450581e-09	4.8387327	-0.017084232	-0.3893471	0.9485115	0.019160695	0.1549	99.0	324.01208662986755
34	-2.7640939	3.3547068	1.1185045	-9.361555	1000.0	7.2	15.256474	51.0	0.0	-0.45727953	0.34190178	-0.015402973	-2.0504448	350000	1.3131649e-08	5.543292	-0.01793104	-1.0702412	0.9516355	0.022276487	0.1753	99.0	333.0763454437256
35	-3.8413959	3.0851178	-1.1694193	-12.593672	1000.0	5.9	13.25481	43.0	0.0	-0.45256495	0.85232633	0.20098597	-13.888891	360000	2.6077032e-09	4.786184	-0.016141918	-0.30031973	0.95556104	0.0061322423	0.117400005	99.0	342.1759195327759
36	-1.867239	2.5545278	1.518664	-7.8278275	1000.0	0.0	0.0	0.0	0.0	-0.4141438	0.68905014	0.09587842	-4.5895348	370000	-5.9604646e-09	0.6013438	-0.018173387	-0.587109	0.9599072	0.013723394	0.1249	99.0	351.115300655365
37	-1.4568937	1.6406819	0.61746156	-3.9381309	1000.0	4.8	8.268011	25.0	0.0	-0.05181789	0.076487675	0.036913037	-3.1499796	380000	1.6391278e-08	2.958644	-0.016914185	-1.7969344	0.9449167	0.005939993	0.1036	99.0	360.92726159095764
38	-2.5262175	2.8225505	0.84196955	-9.621278	1000.0	5.6	14.05845	47.0	0.0	-0.19363989	0.5324196	0.011095524	-8.747745	390000	-2.2351743e-09	6.895358	-0.019182572	-0.88446397	0.9611826	0.0078087905	0.138	99.0	370.5891854763031
39	-2.199916	1.5692854	-0.3660596	-4.916691	1000.0	0.0	0.0	0.0	0.0	-0.43827662	0.6277822	0.17405212	-2.2347403	400000	-1.1920929e-08	0.4761335	-0.024987075	-0.4478818	0.95290124	0.017525893	0.1473	99.0	380.4294662475586
40	-2.5230076	3.654941	0.80399024	-12.181098	1000.0	6.1	13.419762	43.0	0.0	-0.07300705	0.08960472	0.051443696	-0.73924375	410000	-1.6391278e-08	7.1688232	-0.013137832	-1.5354992	0.9331261	0.012710417	0.15540001	99.0	389.7909107208252
41	-2.9605308	2.3491073	1.1237311	-8.269275	1000.0	1.6	4.7999997	16.0	0.0	-0.24917619	0.45893738	0.27759564	-3.0645368	420000	3.7252904e-10	0.7918704	-0.018120633	-0.7389699	0.95315015	0.013891855	0.1434	99.0	399.32058668136597
42	-1.960767	2.018271	0.42444718	-6.0524907	1000.0	0.0	0.0	0.0	0.0	-1.0030948	2.721142	0.016810536	-11.085899	430000	4.7683717e-08	7.229635	-0.014621449	-6.888053	0.9427248	0.025852446	0.123799995	99.0	408.4605984687805
43	-1.8889672	1.9449854	1.0607954	-4.8507733	1000.0	8.0	19.778776	66.0	0.0	-0.106223196	0.12047497	0.026476324	-0.31451893	440000	-5.9604646e-09	13.560391	-0.017519759	-1.4013269	0.92805636	0.0060725426	0.103999995	99.0	417.8555700778961
44	-1.136544	2.7708385	5.8427744	-4.6118784	1000.0	16.6	29.035152	95.0	0.0	-0.60315686	0.6001345	-0.13090336	-1.7815082	450000	-2.3841858e-08	30.944687	-0.018950308	-3.7496438	0.93477297	0.006495446	0.14659998	99.0	426.96120953559875
45	-1.5723324	1.8544691	2.0015237	-4.251371	1000.0	1.8	5.4000006	18.0	0.0	-1.5376639	0.87760496	-0.3273632	-2.664124	460000	3.5017727e-08	3.1168578	-0.016010325	-2.1464746	0.9572396	0.011833573	0.131	99.0	436.8068664073944
46	-0.86898077	2.3880796	4.8409114	-4.0690675	1000.0	1.4	4.2000003	14.0	0.0	-0.24172139	0.32421106	0.21325374	-0.8557109	470000	-1.0430813e-08	0.65839326	-0.012426259	-0.14920618	0.94268894	0.010507712	0.1308	99.0	446.23762369155884
47	-1.5809875	4.3321724	9.258846	-6.759732	1000.0	3.1	6.670082	21.0	0.0	-0.089060925	0.14613509	0.24379653	-0.34079254	480000	-4.4703485e-09	1.6223643	-0.015450729	-0.20895045	0.9356221	0.0093875555	0.15540001	99.0	456.10294365882874
48	-1.3478155	1.5697628	0.69707996	-4.174158	1000.0	23.0	47.048912	157.0	0.0	-0.18089637	0.13064584	0.12397778	-0.83823586	490000	-1.7136335e-08	64.46667	-0.021526657	-29.72969	0.9427633	0.009754757	0.15959999	99.0	466.1621675491333
49	-2.230958	4.194533	1.7806324	-13.234146	1000.0	25.3	75.235695	251.0	0.0	-1.5201396	2.6338549	0.24085855	-15.433364	500000	-5.9604646e-09	127.285706	-0.022759147	-100.91084	0.9700322	0.011276241	0.1583	99.0	475.8902094364166
