Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.50852835	0.90502435	0.7819799	-1.8024507	1000.0	28.6	54.327156	161.0	0.0	0.022653088	0.09137637	0.25794736	-0.20115301	10000	-2.9802323e-09	183.46881	-0.015739381	-57.528736	0.91893846	0.0051816506	0.0939	99.0	6.268161296844482
1	-1.2919755	1.2683668	0.59059143	-3.7540445	1000.0	94.7	101.551025	267.0	0.0	-3.3489184	5.8725014	2.9976969	-16.622898	20000	1.0430813e-08	37.920586	-0.01737943	-36.091286	0.92802083	0.010273929	0.1159	99.0	11.481523752212524
2	-1.4688014	1.7434481	0.5031252	-4.565055	1000.0	72.0	141.54858	474.0	0.0	-0.5130647	0.6856971	0.20954871	-2.227122	30000	3.576279e-08	92.70127	-0.017779067	-66.11009	0.92566824	0.006422531	0.1225	99.0	16.85985541343689
3	-0.7964136	1.7118508	1.9108315	-3.8571002	1000.0	84.1	128.8421	407.0	0.0	-2.4299269	5.2828574	0.3152775	-17.845024	40000	4.172325e-08	192.73413	-0.018111896	-124.29221	0.93115854	0.006693491	0.1127	99.0	22.31644892692566
4	-2.0459657	1.4633311	-0.4217837	-4.951456	1000.0	15.8	33.23191	102.0	0.0	-4.212426	7.1740274	4.487788	-22.800547	50000	-1.1920929e-08	45.656033	-0.016648088	-39.002705	0.95314246	0.016157258	0.14379999	99.0	27.701905250549316
5	-1.2387798	0.9446073	0.40015692	-2.5404465	1000.0	91.4	169.26912	552.0	0.0	-1.0409502	2.8618	1.3405093	-21.722708	60000	0.0	296.2558	-0.020132277	-246.43831	0.96296483	0.0018737188	0.108	99.0	32.94837713241577
6	-1.0329093	1.4010295	0.3729921	-4.867432	1000.0	39.2	80.58884	268.0	0.0	-3.9543269	7.660857	6.6970506	-34.673355	70000	1.1920929e-08	151.35352	-0.020934546	-115.26863	0.9678318	0.01775711	0.1779	99.0	38.299270153045654
7	-1.1550162	1.3256632	0.51000786	-3.835921	1000.0	20.5	61.5	205.0	0.0	-2.5436049	5.4827485	23.16216	-34.94108	80000	0.0	27.254139	-0.01843286	-15.17787	0.957637	0.014657095	0.15379998	99.0	43.76726222038269
8	-1.1289918	1.4771335	1.5071001	-4.351534	1000.0	4.2	12.599999	42.0	0.0	-1.1377679	5.48502	30.72285	-35.545902	90000	-4.4703485e-09	20.544487	-0.013263604	-19.575176	0.9310595	0.016495042	0.1018	99.0	48.95377802848816
9	-1.6058085	1.7148608	0.8086217	-5.6098843	1000.0	75.4	226.2	754.0	0.0	-0.22197683	1.378452	3.8333106	-22.704878	100000	-5.9604646e-09	388.92017	-0.0151758315	-264.21674	0.91213596	-0.0037247841	0.0892	99.0	54.36650252342224
10	-1.5297939	2.034145	0.69636303	-6.2492285	1000.0	63.8	94.66023	255.0	0.0	-1.6696373	5.7867856	19.191422	-30.500002	110000	-2.0861625e-08	229.81064	-0.024419766	-198.58096	0.9161188	0.010417683	0.1683	99.0	59.91185474395752
11	-1.95677	1.728547	0.0053876694	-5.771337	1000.0	34.3	37.55276	104.0	0.0	-2.3255546	5.1871495	20.049232	-37.08529	120000	-2.682209e-08	89.8362	-0.026267871	-74.478516	0.9136623	0.020432701	0.21540001	99.0	65.32134866714478
12	-2.126469	2.3600442	1.2303694	-7.5147953	1000.0	30.2	50.85037	164.0	0.0	-1.1780338	2.0851645	1.2969337	-41.78521	130000	1.4901161e-09	77.47301	-0.020118427	-69.36507	0.90947616	0.0134349065	0.14790002	99.0	70.6796486377716
13	-1.630318	1.9767497	1.8855339	-3.9107633	1000.0	24.7	57.204983	188.0	0.0	-0.37600532	1.1032606	1.6048566	-18.238537	140000	-5.9604646e-09	80.16364	-0.021378916	-32.853424	0.9177741	0.012714498	0.14570001	99.0	76.2965989112854
14	-2.107935	1.7422577	0.45986366	-5.9115295	1000.0	44.7	69.227234	214.0	0.0	-1.573876	3.8208504	4.003695	-37.117195	150000	2.0861625e-08	100.595795	-0.027266974	-71.35694	0.9382659	0.010112638	0.17819999	99.0	81.76649522781372
15	-1.7825253	2.399289	2.8734448	-5.812425	1000.0	23.2	33.88746	82.0	0.0	-2.7810993	5.7803283	3.4185662	-27.707426	160000	-1.7881394e-08	52.26583	-0.026094798	-44.78597	0.9423501	0.022438632	0.21059999	99.0	87.18087935447693
16	-2.2642312	2.3110304	0.93487036	-6.9560328	1000.0	15.6	19.586731	50.0	0.0	-1.6546518	5.5070124	11.558001	-43.47063	170000	-8.940697e-09	25.414684	-0.025546689	-24.255636	0.92707074	0.017427817	0.1794	99.0	92.92079877853394
17	-1.6696297	1.962875	1.5310775	-5.648809	1000.0	43.8	64.5334	198.0	0.0	-1.494357	3.4724326	1.8533559	-24.37616	180000	-5.9604646e-09	130.53214	-0.02323458	-100.60957	0.9163312	0.0055155763	0.15959999	99.0	98.3030333518982
18	-1.4056802	2.501338	1.0044287	-8.199108	1000.0	43.4	112.77606	378.0	0.0	-4.0322204	9.065057	5.429634	-31.315493	190000	0.0	209.82744	-0.02643561	-177.69783	0.9060925	0.016905937	0.1691	99.0	103.57106494903564
19	-2.2826493	2.6515777	0.37187845	-9.785805	1000.0	66.9	186.31288	625.0	0.0	-4.4516473	11.905297	32.305748	-39.703175	200000	-2.3841858e-08	543.64935	-0.017712282	-472.8933	0.8984392	0.0062625	0.12900001	99.0	109.38588213920593
20	-3.295042	2.6401217	-0.49799085	-9.837603	1000.0	47.1	78.46203	232.0	0.0	-1.0918561	1.8635849	2.7624345	-16.079514	210000	2.9802322e-08	181.82071	-0.026096603	-166.61922	0.8988606	0.012989786	0.1365	99.0	114.93907451629639
21	-2.4230027	1.6576161	-0.24818946	-5.034826	1000.0	11.4	27.159529	90.0	0.0	-3.087391	11.068708	17.081905	-59.534725	220000	-7.450581e-09	150.05167	-0.02405345	-136.87419	0.91163987	0.017275656	0.1814	99.0	120.42319369316101
22	-1.7369788	1.9110488	1.860509	-4.982636	1000.0	11.8	19.135307	50.0	0.0	-0.9902904	2.3684614	2.5213394	-11.930514	230000	-5.9604646e-09	13.077948	-0.023245146	-6.3139367	0.87932557	0.013527143	0.1686	99.0	125.99235272407532
23	-1.5356035	1.9623466	1.7725332	-3.842978	1000.0	9.9	17.276863	50.0	0.0	-1.5899253	3.4331589	5.293593	-23.338675	240000	0.0	20.586742	-0.0232714	-13.144086	0.8838881	0.020948952	0.1916	99.0	131.25219702720642
24	-2.5883074	2.8338313	-0.16730699	-10.29837	1000.0	7.0	12.774976	40.0	0.0	-1.1647949	1.4688517	1.1240606	-12.805287	250000	0.0	9.584743	-0.022012403	-3.9165184	0.8774644	0.017813025	0.18100001	99.0	136.46858930587769
25	-3.2875397	3.7167287	0.4195973	-13.148352	1000.0	14.4	16.97174	48.0	0.0	-0.43110216	0.90909076	5.096554	-3.2798142	260000	-1.6391278e-08	14.56468	-0.023663597	-8.258624	0.8733622	0.0085304035	0.1697	99.0	141.8951859474182
26	-1.7775856	3.4050107	1.0817332	-11.476	1000.0	56.0	110.49072	321.0	0.0	-2.1930847	2.974648	1.6698058	-10.809024	270000	8.940697e-09	199.9716	-0.022348631	-149.26932	0.86118394	0.00089075323	0.15020001	99.0	147.09097838401794
27	-1.9950216	3.51034	0.86001414	-12.132449	1000.0	7.4	10.992725	31.0	0.0	-0.94099885	3.5916846	13.328834	-36.762848	280000	5.9604646e-09	15.865271	-0.02034999	-14.736563	0.8549242	0.029755572	0.2365	99.0	152.57606434822083
28	-2.4092526	2.4588017	-0.07738327	-8.958962	1000.0	28.7	50.06606	169.0	0.0	-1.5285523	3.0416007	27.313374	-14.351708	290000	0.0	61.731018	-0.024055565	-39.136997	0.83248675	0.010428161	0.1711	99.0	158.16561079025269
29	-1.8306078	1.8735719	1.0685128	-5.4796853	1000.0	4.6	9.871169	31.0	0.0	-1.4224751	4.275396	2.8682694	-23.059874	300000	1.1920929e-08	13.742018	-0.023439253	-10.908573	0.841437	0.027765434	0.18609999	99.0	163.5726354122162
30	-1.9657615	2.247751	1.6873375	-5.7311716	1000.0	23.2	41.414494	105.0	0.0	-1.1297498	2.091155	0.79596615	-10.419621	310000	-5.9604646e-09	51.211597	-0.024144776	-45.209015	0.82248527	0.010362031	0.1689	99.0	168.9779987335205
31	-2.3940625	1.3157538	-0.515744	-4.6746936	1000.0	7.1	13.034186	41.0	0.0	-0.6954414	4.7107596	2.6504014	-38.020466	320000	1.1920929e-08	23.19111	-0.020120824	-20.89108	0.8287114	0.023880538	0.19790001	99.0	174.34589838981628
32	-2.048565	1.8943081	0.32342243	-5.5796447	1000.0	3.4	6.7999997	17.0	0.0	-0.53033906	2.2349703	1.3750577	-26.637058	330000	8.940697e-09	2.3179464	-0.022066183	-2.1703422	0.808488	0.024530288	0.1916	99.0	179.78105783462524
33	-1.3873203	1.9996696	1.4655194	-5.3133235	1000.0	15.3	19.555307	51.0	0.0	-0.3549174	0.7893759	1.4100788	-6.4965944	340000	1.4901161e-08	16.69432	-0.02373309	-14.614328	0.79937696	0.010617949	0.1692	99.0	185.2032594680786
34	-2.8896995	1.7621275	0.22328337	-5.5321493	1000.0	3.9	8.055433	24.0	0.0	-0.063142054	1.8666458	2.6042807	-20.907717	350000	7.450581e-09	4.4364634	-0.0215964	-4.0865064	0.8193555	0.01768078	0.1818	99.0	190.88674974441528
35	-2.9380398	3.26457	0.8365704	-10.707012	1000.0	4.4	8.901686	25.0	0.0	-0.34892872	1.7940272	1.8867689	-22.009653	360000	8.5681675e-09	5.0476637	-0.021762924	-4.3814683	0.8016387	0.02601697	0.2247	99.0	196.22637104988098
36	-2.1452222	2.3421564	0.9074427	-7.083222	1000.0	20.8	22.653036	56.0	0.0	-0.59635615	2.0633502	7.6305714	-14.837853	370000	7.450581e-09	25.712234	-0.028267354	-23.496563	0.76715803	0.012626151	0.18270001	99.0	201.70358157157898
37	-2.5809238	2.299839	1.0043797	-6.594646	1000.0	5.2	10.552724	30.0	0.0	-0.7408964	2.6930141	8.497051	-25.232977	380000	-1.0430813e-08	3.3199158	-0.02245537	-3.069819	0.7735455	0.019332241	0.19100001	99.0	207.377432346344
38	-2.098795	1.8480233	-0.6073892	-6.9462123	1000.0	0.0	0.0	0.0	0.0	-0.33311486	1.5512893	1.4143789	-21.974867	390000	0.0	2.4924896	-0.018242478	-2.4801872	0.7497256	0.023882797	0.1683	99.0	213.07902264595032
39	-2.4952705	2.4659028	-0.5739224	-9.355981	1000.0	34.6	103.799995	346.0	0.0	-0.034009643	0.19601391	6.1736903	-1.2821623	400000	2.3841858e-08	201.65738	-0.017723437	-108.67058	0.7298435	-0.0032336675	0.1084	99.0	218.40276098251343
40	-2.0418954	2.0926821	1.8120872	-6.176212	1000.0	11.7	17.961348	43.0	0.0	-3.5576155	7.985542	12.188063	-30.380142	410000	3.576279e-08	76.85979	-0.02672702	-63.711872	0.74107176	0.032079395	0.2323	99.0	223.82767057418823
41	-1.5674571	1.3193978	0.022501947	-4.6684604	1000.0	21.4	47.295246	152.0	0.0	-0.96996796	1.1252662	0.82737803	-5.2060156	420000	1.4901161e-08	41.758595	-0.023002928	-25.36283	0.71428406	0.0055870237	0.13870001	99.0	229.44803738594055
42	-0.9445709	1.5429603	0.9752372	-3.439404	1000.0	2.4	7.2000003	24.0	0.0	-1.2369215	2.8250976	0.87358594	-13.492619	430000	1.7881394e-08	9.746154	-0.020458195	-7.443096	0.7364829	0.034405626	0.19469999	99.0	235.0033621788025
43	-1.8326352	2.2252903	1.8009304	-5.643718	1000.0	6.4	13.417898	41.0	0.0	-0.3359148	0.67942035	0.26387882	-2.4298224	440000	-2.9802323e-09	7.5386567	-0.016639115	-2.2452064	0.7251181	0.027898084	0.1773	99.0	240.22389698028564
44	-2.1033287	1.4006174	0.072881944	-3.8049917	1000.0	58.8	148.83871	498.0	0.0	-0.45542482	1.3405331	0.7273432	-6.302618	450000	1.4901161e-09	254.1923	-0.024640853	-246.73022	0.71137303	0.00021146731	0.11620001	99.0	245.66123819351196
45	-1.8621572	1.5801592	0.50199324	-4.4306083	1000.0	42.0	126.0	420.0	0.0	-6.311385	13.960966	0.53910613	-67.00983	460000	3.576279e-08	199.93124	-0.018258292	-182.22464	0.72447973	0.028757859	0.16330001	99.0	251.01328778266907
46	-2.0684667	2.017896	0.8391372	-6.5306754	1000.0	8.4	19.935896	66.0	0.0	-1.2339973	6.1377244	0.9391093	-69.40626	470000	-8.195639e-09	39.26161	-0.020104833	-33.02005	0.71419436	0.03400916	0.2301	99.0	256.5434510707855
47	-1.2165765	1.4158255	1.9730753	-3.0591688	1000.0	35.8	55.454124	181.0	0.0	-0.6344783	1.4529307	13.150454	-5.847909	480000	2.9802323e-09	76.00562	-0.032030385	-58.411022	0.68698436	0.019289449	0.19189999	99.0	261.9652018547058
48	-1.6284012	1.970009	2.1694412	-4.575029	1000.0	15.8	35.8798	117.0	0.0	-3.8049798	8.838239	2.5630057	-41.96181	490000	5.9604646e-09	44.75798	-0.021902893	-42.392857	0.68685085	0.02385949	0.1897	99.0	267.421217918396
49	-1.8442786	2.191051	1.540189	-6.2103224	1000.0	16.1	44.13717	148.0	0.0	-2.3179069	7.1735635	2.6216984	-58.240437	500000	8.940697e-09	35.491833	-0.021093737	-32.281113	0.67451227	0.019694757	0.17109999	99.0	272.7575225830078
50	-0.9801861	2.7917182	2.8565	-6.7239213	1000.0	28.5	42.306618	108.0	0.0	-3.6789277	9.806891	1.3581079	-43.340183	510000	-3.576279e-08	147.10837	-0.030557523	-110.553185	0.6583206	0.05782665	0.2535	99.0	278.064218044281
51	-1.891346	1.2696068	0.016381457	-4.560079	1000.0	7.1	21.3	71.0	0.0	-2.232164	3.0811348	2.1076615	-13.486183	520000	1.1920929e-08	16.771244	-0.025195578	-14.4727955	0.64510065	0.022647569	0.1886	99.0	283.56127190589905
52	-1.9318466	1.8652508	0.5032722	-6.180102	1000.0	14.4	43.200005	144.0	0.0	-0.7627285	3.5296085	2.974319	-18.006231	530000	-8.940697e-09	19.378126	-0.020173348	-15.184436	0.63687694	0.0073314523	0.1816	99.0	288.90106177330017
