Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.85468197	1.1527023	0.80216324	-3.243483	1000.0	47.05	71.28778	243.0	0.0	0.022338105	0.09073183	0.2584076	-0.20115301	20000	0.0	310.06412	-0.012430561	-93.42665	0.9189385	0.005268703	0.09749999	99.0	16.098994970321655
1	-0.83398616	1.2248613	1.3104419	-3.6622605	1000.0	42.25	78.53717	317.0	0.0	-4.6987205	6.0310354	4.1355867	-16.831217	40000	1.1920929e-08	49.710655	-0.015952257	-47.455643	0.91099846	0.008065407	0.11355001	99.0	25.770199298858643
2	-1.3683202	1.3106581	0.36024347	-4.5426893	1000.0	25.65	63.94238	275.0	0.0	-0.4863618	0.6640248	0.63756907	-2.0396254	60000	-1.1920929e-08	8.681753	-0.012733323	-5.961042	0.89982	0.007264131	0.12245001	99.0	35.546154737472534
3	-0.7352904	1.3939071	2.437672	-3.7624943	1000.0	57.6	142.34233	550.0	0.0	-0.8246983	1.6681834	0.62413645	-9.31089	80000	-3.2782555e-08	50.73278	-0.014252642	-31.619797	0.9116807	0.0021695378	0.0896	99.0	45.13488006591797
4	-0.51693773	1.2518785	2.070703	-3.4537694	1000.0	13.9	30.873772	127.0	0.0	-1.7324222	3.3967414	4.3056393	-13.596011	100000	-2.682209e-08	25.330414	-0.015724117	-20.313768	0.9258501	0.013957946	0.16365	99.0	55.062506675720215
5	-0.32029992	1.5982168	3.9728653	-3.9646893	1000.0	40.15	146.50061	675.0	0.0	-0.9639296	2.5711012	5.2697525	-15.946482	120000	1.1920929e-08	98.29336	-0.01514004	-61.094574	0.9198642	0.005324967	0.094349995	99.0	65.09654521942139
6	0.1407775	1.7734405	4.9739265	-2.8449104	1000.0	6.2	16.97233	68.0	0.0	-0.60678965	1.7065147	6.261554	-14.317409	140000	0.0	8.262644	-0.013205087	-4.9676404	0.9295887	0.009879409	0.12415	99.0	74.43827056884766
7	-0.7654388	1.6330638	1.650548	-5.639647	1000.0	31.65	88.93833	403.0	0.0	-0.63785505	1.2049515	1.3912225	-7.251205	160000	-2.9802322e-08	67.064835	-0.015453537	-47.177765	0.9180962	0.005155387	0.11435	99.0	84.85102915763855
8	-0.9109982	1.1069684	1.6023093	-2.6267688	1000.0	32.35	88.271324	383.0	0.0	-1.372517	3.484531	19.838491	-22.157028	180000	-2.0116568e-08	78.07913	-0.016564509	-66.02657	0.9319655	0.011114331	0.14535001	99.0	94.8552496433258
9	-0.13738963	1.4126499	3.5432782	-3.4161818	1000.0	41.15	78.12636	267.0	0.0	-1.7273546	4.3934307	2.9745753	-29.099915	200000	-4.4703485e-09	108.7004	-0.02082857	-75.12851	0.93090284	0.01603521	0.14805	99.0	105.04977917671204
10	-0.7016818	1.1090372	1.0641015	-3.3891387	1000.0	34.8	90.371796	404.0	0.0	-2.4249341	5.550498	2.6166985	-32.35993	220000	2.9802323e-09	121.88747	-0.015941996	-80.15672	0.9432479	0.009105769	0.12605001	99.0	114.89628028869629
11	-0.3133129	1.1102203	1.838283	-2.2992635	1000.0	41.55	78.8977	281.0	0.0	-2.099063	4.20972	2.7369735	-29.804081	240000	5.9604646e-09	90.83983	-0.018161133	-45.445076	0.93208516	0.0067078182	0.111049995	99.0	124.71028304100037
12	-1.2279985	1.5528637	0.38270202	-6.657503	1000.0	5.65	19.501987	87.0	0.0	-2.4242854	6.4135337	7.3449745	-25.199055	260000	-2.3841858e-08	48.213837	-0.016931416	-45.239952	0.93242204	0.014752014	0.13364999	99.0	134.36954307556152
13	-0.98567	1.9282598	1.4031183	-4.582318	1000.0	40.4	106.07469	483.0	0.0	-1.2337999	4.314386	2.538619	-34.90692	280000	1.1920929e-08	69.90315	-0.017281847	-51.2602	0.92273366	0.0048195394	0.0918	99.0	143.99165201187134
14	-1.055303	1.4103359	1.0887587	-5.1513495	1000.0	14.35	35.780266	161.0	0.0	-2.306027	5.809266	2.9443426	-41.401978	300000	1.1920929e-08	55.025703	-0.016391456	-50.87168	0.94026136	0.017736012	0.15605	99.0	153.6449999809265
15	-1.3231608	1.7084383	2.4430099	-4.303183	1000.0	54.5	154.28885	653.0	0.0	-0.79099506	2.9692526	11.9413395	-35.58967	320000	2.3841858e-08	237.22957	-0.015233591	-177.56154	0.9297911	0.00096246565	0.09255	99.0	163.6608636379242
16	-1.2136104	1.6961637	1.6083729	-6.1243653	1000.0	17.05	43.64112	168.0	0.0	-4.1610274	11.452364	3.738162	-51.74914	340000	1.1920929e-08	147.96542	-0.017455867	-102.88086	0.94117415	0.018856358	0.13444999	99.0	173.8905107975006
17	-1.7416582	1.5876429	1.2997292	-6.7189856	1000.0	13.35	27.738558	107.0	0.0	-1.0875514	2.3078249	3.9528794	-35.9159	360000	-1.1920929e-08	25.227541	-0.017521262	-16.590912	0.9275712	0.012085016	0.14275001	99.0	183.71266865730286
18	-1.7536646	1.9196694	0.3268924	-5.541603	1000.0	20.7	56.47132	249.0	0.0	-1.1927205	2.3863282	4.2545314	-16.446682	380000	1.3411045e-08	45.384605	-0.015123194	-32.108818	0.9208087	0.0061761113	0.12535	99.0	193.6685357093811
19	-1.665852	1.684084	1.3946613	-5.7843103	1000.0	1.35	5.8845134	27.0	0.0	-0.46039018	2.7419634	16.32906	-13.956971	400000	3.3527612e-09	8.373927	-0.01809538	-7.96502	0.9211818	0.01119782	0.1409	99.0	203.87206983566284
20	-1.6033194	1.3620645	0.3095004	-4.748144	1000.0	21.05	45.816452	180.0	0.0	-0.14209056	0.7283002	2.507483	-15.61119	420000	0.0	33.015217	-0.019993715	-26.173721	0.90531874	0.004341642	0.13939999	99.0	213.68915557861328
21	-1.2541406	2.2634213	3.5153086	-6.0310555	1000.0	13.6	26.06607	103.0	0.0	-1.8785615	4.9477844	1.9946202	-30.268635	440000	1.1920929e-08	43.3427	-0.018826326	-35.693054	0.902738	0.025435235	0.20195	99.0	223.6149764060974
22	-1.0589402	1.4875966	1.3434691	-5.6652703	1000.0	51.75	168.02258	770.0	0.0	-1.3168992	3.0280328	7.2081137	-18.875755	460000	0.0	251.50711	-0.018614996	-226.871	0.90487605	0.003544125	0.10940001	99.0	233.1674098968506
23	-1.8968279	2.5858517	0.67995703	-9.803392	1000.0	20.95	63.670616	294.0	0.0	-0.98375213	4.0782638	12.241306	-43.03456	480000	-4.4703485e-09	81.3358	-0.014380815	-76.78972	0.91871166	0.007309279	0.10940001	99.0	242.87076139450073
24	-1.2021471	1.9138569	3.6668296	-5.4460616	1000.0	8.85	17.596235	59.0	0.0	-3.8763616	9.688485	10.450156	-56.505295	500000	2.9802323e-09	102.13421	-0.015096793	-91.37202	0.92982805	0.01966161	0.12775001	99.0	252.8331389427185
25	-1.928986	2.3371034	0.15847485	-10.453194	1000.0	21.7	32.496307	110.0	0.0	-0.8241293	2.6759574	50.13318	-16.20857	520000	-5.9604646e-09	42.559006	-0.016897501	-37.448555	0.9180354	0.006298229	0.12555	99.0	262.79788398742676
26	-1.1557887	1.9062779	2.4810956	-5.4440765	1000.0	10.55	23.05965	84.0	0.0	-2.0464141	4.4351397	4.712222	-38.280586	540000	1.7881394e-08	36.57926	-0.018621799	-33.27539	0.9228467	0.017994026	0.17920001	99.0	272.3633301258087
27	-0.99680775	1.9183006	3.013113	-4.8475156	1000.0	18.35	30.14179	97.0	0.0	-2.5648694	6.920964	27.418879	-43.380375	560000	-1.1920929e-08	67.89165	-0.01705009	-50.938934	0.90624416	0.020539472	0.1648	99.0	282.12061643600464
28	-2.1462238	3.3405488	2.1041687	-11.055933	1000.0	10.1	22.938833	85.0	0.0	-0.67632324	2.185556	49.378807	-19.361244	580000	-3.7252903e-09	16.174139	-0.016598461	-7.228691	0.90260917	0.010944096	0.1446	99.0	292.0023946762085
29	-1.6948532	1.8038021	0.6703779	-5.9005466	1000.0	2.9	8.722959	31.0	0.0	-1.2728006	2.2864685	3.7280617	-11.625576	600000	-1.1920929e-08	6.6190124	-0.017711233	-4.6626954	0.9024292	0.012278648	0.13285	99.0	301.565936088562
30	-1.2128489	3.39034	2.5910392	-13.745817	1000.0	21.15	64.0861	287.0	0.0	-0.52716404	1.4354805	9.142581	-7.819075	620000	1.1920929e-08	51.24931	-0.015519003	-32.733982	0.8816308	0.0027486067	0.10595	99.0	311.3229298591614
31	-1.6974857	2.7839952	1.5115069	-11.133375	1000.0	6.7	13.103816	47.0	0.0	-0.27628398	1.0930521	15.248522	-6.889319	640000	2.9802323e-09	6.9938784	-0.016951177	-5.0927844	0.89434767	0.01860122	0.15865001	99.0	320.8263728618622
32	-1.1311724	2.79506	1.5683583	-11.382891	1000.0	9.8	27.936714	120.0	0.0	-1.059022	2.7122998	7.002079	-29.329206	660000	9.87202e-09	18.526974	-0.016660083	-17.006897	0.9014697	0.011296513	0.1284	99.0	330.8146002292633
33	-1.586238	2.9074712	0.7386285	-12.680812	1000.0	20.8	40.445766	165.0	0.0	-1.2846533	4.372028	2.0908742	-42.04548	680000	1.4901161e-08	55.083	-0.018241892	-45.419224	0.8943173	0.010756811	0.15095	99.0	340.8289086818695
34	-1.5861228	3.1430862	3.3412044	-13.637794	1000.0	11.35	25.886822	91.0	0.0	-0.9699329	2.9084113	2.3540506	-35.248547	700000	5.9604646e-09	23.4184	-0.018575398	-19.280323	0.8951212	0.013876289	0.15860002	99.0	350.4329152107239
35	-1.7541072	2.99373	2.6064544	-12.595429	1000.0	15.5	48.817516	202.0	0.0	-0.045922585	1.0327362	5.712046	-17.26037	720000	-2.9802323e-09	39.980965	-0.015899925	-36.88197	0.87634355	0.0056338212	0.13299999	99.0	360.3032841682434
36	-1.8067471	2.1097744	1.8476232	-8.627483	1000.0	6.05	17.898254	77.0	0.0	-1.0874596	3.102297	10.236681	-24.223051	740000	5.9604646e-09	10.466791	-0.01677906	-8.633243	0.88156784	0.018905098	0.12789999	99.0	370.1013505458832
37	-2.1570032	2.8223293	0.93923837	-11.926377	1000.0	7.75	18.530718	78.0	0.0	-0.7475457	3.934606	20.065144	-33.615486	760000	-5.2154063e-09	27.492634	-0.013843973	-25.051891	0.87708265	0.01313224	0.1392	99.0	379.78853058815
