Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	22.66337513923645
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	44.10569190979004
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	2.0861625e-08	10.804687	-0.009575042	-5.1249475	0.92482233	0.005782244	0.088525	99.0	66.41101002693176
3	-0.8090766	1.3652979	2.4444842	-5.3273034	1000.0	18.2625	53.209198	319.0	0.0	-0.7627315	1.2062422	4.160235	-12.750436	320000	0.0	12.597635	-0.010711456	-7.042666	0.926613	0.0082651675	0.1061375	99.0	87.75763154029846
4	-0.56798613	1.3856477	3.0888627	-4.635316	1000.0	29.4375	68.27075	415.0	0.0	-0.63066757	1.795127	1.2449595	-13.333798	400000	5.9604646e-09	31.639582	-0.011632458	-18.275684	0.93062985	0.006674259	0.098675	99.0	109.77376365661621
5	-0.96694314	1.5333879	4.2690115	-5.632939	1000.0	26.65	84.33373	537.0	0.0	-1.2307504	3.1377616	2.4936483	-18.543573	480000	-8.940697e-09	36.96157	-0.010383191	-23.44917	0.9336672	0.009983722	0.1286625	99.0	132.00905966758728
6	-0.87082785	1.2183168	1.9556525	-4.8144903	1000.0	31.4875	88.595146	555.0	0.0	-1.4872743	3.8961127	20.128145	-21.75633	560000	-1.1920929e-08	63.26449	-0.012439358	-41.57872	0.93135643	0.011022354	0.13055	99.0	153.98451042175293
7	-0.88609755	1.3874487	2.9373057	-5.767222	1000.0	18.075	45.83879	268.0	0.0	-1.0080104	1.743176	8.245588	-27.47941	640000	-2.9802323e-09	26.302734	-0.012446905	-13.684146	0.9308915	0.00909183	0.121325	99.0	176.0474190711975
8	-1.3310627	1.8917675	1.9998705	-6.8815303	1000.0	18.65	53.93888	374.0	0.0	-0.72822976	1.4404519	6.287183	-26.67644	720000	-1.1920929e-08	27.395676	-0.011212589	-16.898998	0.93488896	0.007245019	0.1061	99.0	197.65715980529785
9	-0.8324834	1.5659046	2.1030054	-5.42954	1000.0	23.6	65.77492	422.0	0.0	-1.0584927	2.652848	23.84573	-31.407017	800000	-2.9802323e-09	52.39746	-0.013010478	-43.406364	0.9468628	0.009922305	0.1300625	99.0	219.55441403388977
10	-1.0826893	1.608533	4.1839733	-5.980312	1000.0	12.7875	41.20397	266.0	0.0	-1.7228338	6.149913	1.9269888	-36.869957	880000	2.9802323e-09	52.59507	-0.010983817	-33.34446	0.940989	0.012197753	0.1268875	99.0	241.93777441978455
11	-1.2147875	1.7534075	2.6410022	-7.918629	1000.0	21.125	48.171146	256.0	0.0	-0.5068656	1.0284537	4.258076	-4.920912	960000	1.1920929e-08	36.54398	-0.012230024	-20.071346	0.92667496	0.007830203	0.1155375	99.0	263.9911403656006
12	-1.4245694	1.5405091	3.1799018	-5.1887197	1000.0	21.4125	57.227116	392.0	0.0	-0.9745061	3.2175848	3.860474	-37.888744	1040000	1.6763806e-09	41.47893	-0.013477102	-26.431751	0.93467915	0.008574044	0.120462514	99.0	285.6061451435089
13	-1.8362143	2.648558	2.0838878	-11.259878	1000.0	11.6	43.90376	360.0	0.0	-1.6157969	5.278663	8.932708	-43.468777	1120000	1.1920929e-08	49.609344	-0.01101759	-32.434128	0.92988455	0.011886309	0.11985	99.0	307.76901054382324
14	-1.8782604	2.1398675	1.0806862	-13.115322	1000.0	8.2375	23.58243	147.0	0.0	-0.5935816	1.7752142	19.174868	-12.250431	1200000	7.450581e-09	10.868864	-0.011738276	-6.330208	0.9216876	0.0095129665	0.11498751	99.0	329.6851210594177
15	-1.7110605	2.0924106	2.5844207	-12.4114895	1000.0	10.475	33.58235	232.0	0.0	-0.65024096	2.4217343	4.2189846	-17.452656	1280000	-7.0780515e-09	16.61823	-0.0115687605	-11.134785	0.92797077	0.009683301	0.1145625	99.0	352.29877281188965
16	-1.9651655	2.0637865	1.5568069	-7.9042583	1000.0	15.15	40.42496	228.0	0.0	-0.4796873	1.6928954	6.196636	-28.906542	1360000	0.0	30.860458	-0.01249067	-24.520409	0.9219465	0.008316217	0.110725	99.0	374.2204351425171
17	-1.5083061	2.2614856	3.308636	-10.4485	1000.0	6.2125	23.323645	158.0	0.0	-1.2608341	4.7798915	2.5402985	-44.367977	1440000	5.9604646e-09	33.067196	-0.009977636	-28.64439	0.935928	0.010731976	0.1082875	99.0	395.5682294368744
18	-1.7500412	2.0080843	2.8557465	-8.506127	1000.0	12.0375	33.362946	205.0	0.0	-0.38139188	1.291699	17.47698	-30.7494	1520000	-7.4505807e-10	17.070362	-0.012922073	-14.754175	0.92083824	0.008137757	0.11296251	99.0	417.25523567199707
19	-1.2721784	1.7848961	2.7705874	-6.8185644	1000.0	11.075	27.182611	133.0	0.0	-0.486132	2.1904223	6.8317766	-37.588196	1600000	2.9802323e-09	19.87805	-0.013409379	-14.844104	0.92648304	0.010041655	0.1412	99.0	439.360613822937
20	-1.5060074	2.184322	2.850223	-8.8737135	1000.0	10.3125	29.744997	172.0	0.0	-0.61151505	1.9130933	6.972959	-22.962578	1680000	3.7252903e-09	18.110867	-0.012840559	-11.871083	0.91838646	0.009241398	0.1151875	99.0	461.4704132080078
21	-1.4457691	2.2870612	5.051444	-10.229116	1000.0	8.3375	30.185654	240.0	0.0	-0.5533726	2.4804177	15.526116	-34.97861	1760000	-7.0780515e-09	19.039967	-0.012421977	-14.239054	0.9176763	0.010768667	0.131	99.0	483.1868760585785
22	-2.0074677	2.2479315	3.171717	-13.391538	1000.0	5.55	16.532469	92.0	0.0	-0.39467832	1.6790173	3.479712	-30.160564	1840000	1.4901161e-09	8.692823	-0.0116924215	-5.5171347	0.9049839	0.013134079	0.1422375	99.0	505.1869795322418
23	-1.864698	2.3109083	4.1413817	-13.355842	1000.0	6.775	32.07763	276.0	0.0	-0.41430673	1.9761198	2.4656596	-27.556555	1920000	-7.4505807e-10	18.37307	-0.009715835	-12.581493	0.89708054	0.010170377	0.125175	99.0	527.2012560367584
24	-1.8698671	2.4137497	5.1784577	-10.416919	1000.0	4.725	21.189606	149.0	0.0	-0.19568492	1.1022576	3.329651	-25.606632	2000000	-8.195639e-09	8.361356	-0.012051849	-7.4780817	0.89109075	0.010611975	0.13194999	99.0	549.4361264705658
25	-1.8324677	2.3121529	4.360392	-10.056908	1000.0	8.65	27.99335	190.0	0.0	-0.19495285	1.2177799	3.2951155	-37.99988	2080000	7.450581e-09	16.783367	-0.011843158	-13.645109	0.88050807	0.008675084	0.12175001	99.0	571.8442826271057
26	-1.7681942	2.1795602	5.940949	-8.661482	1000.0	8.475	31.580046	221.0	0.0	-1.2051313	4.1373	3.9133587	-40.188972	2160000	1.1175871e-08	33.08332	-0.013691694	-26.070766	0.8773804	0.0127741145	0.1258375	99.0	594.4497187137604
27	-1.9311755	2.6198611	2.672077	-14.106307	1000.0	5.0875	21.672098	173.0	0.0	-0.6084393	2.6219037	1.0295695	-31.49381	2240000	-3.3527612e-09	13.739324	-0.01035437	-10.520499	0.8650632	0.010823985	0.12297499	99.0	616.3736369609833
28	-1.6303059	2.0683382	5.8795815	-7.7215657	1000.0	4.45	22.672615	191.0	0.0	-0.7347513	3.5267172	1.9955702	-34.80157	2320000	1.8626451e-09	19.43751	-0.00812391	-12.881323	0.85371983	0.0100248605	0.10295	99.0	638.2279267311096
29	-1.3773504	1.9226327	4.215481	-5.729732	1000.0	1.175	6.24855	49.0	0.0	-0.38038182	1.025352	1.0447524	-7.8684	2400000	0.0	1.9397113	-0.011593016	-0.98282576	0.8579707	0.008572555	0.093925	99.0	660.3417825698853
30	-1.2456839	1.4534608	1.9899718	-6.620341	1000.0	2.45	13.159503	106.0	0.0	-0.14091949	0.33556798	0.94180924	-2.3157268	2480000	-4.4703485e-09	3.5109406	-0.00929782	-0.9499084	0.8510221	0.008835781	0.092824996	99.0	682.8763182163239
31	-1.2134786	1.9982336	5.2888236	-5.499618	1000.0	4.875	15.998731	111.0	0.0	-0.17087263	0.5360158	1.9932939	-5.199276	2560000	6.519258e-09	6.867212	-0.012303718	-3.0366385	0.86228263	0.009323449	0.11481251	99.0	704.730731010437
32	-1.3602278	1.7386755	3.7420812	-6.220674	1000.0	3.3375	15.912214	123.0	0.0	-0.21015777	0.8533879	3.981658	-10.406927	2640000	-1.4901161e-09	5.0041437	-0.011436572	-3.5129	0.8645185	0.008692658	0.1063375	99.0	726.3280036449432
33	-1.6620497	1.6172506	2.2929456	-6.590303	1000.0	4.1625	13.436373	89.0	0.0	-0.34390977	1.9233049	1.296633	-17.569992	2720000	0.0	7.252112	-0.010526764	-4.8171053	0.85970753	0.012456464	0.1441375	99.0	748.6415145397186
34	-1.61686	1.9176775	2.7984498	-7.377627	1000.0	3.225	16.866367	130.0	0.0	-0.45226714	1.9872844	1.3170769	-18.496655	2800000	5.2154063e-09	10.301164	-0.008894586	-5.031646	0.8382603	0.010395861	0.107149996	99.0	770.5400002002716
35	-1.3368822	1.9718322	4.7779093	-8.615587	1000.0	4.6625	15.343519	85.0	0.0	-0.43451515	0.65593874	1.5476828	-8.132824	2880000	5.2154063e-09	6.010854	-0.012105472	-3.2999675	0.8288759	0.006835426	0.099575005	99.0	792.3235230445862
