Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	10.692700386047363
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	20.706292629241943
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	1.1920929e-08	0.8699411	-0.016222868	-0.67726886	0.9028357	0.0066869915	0.103	99.0	30.60041856765747
3	-1.2637208	2.3219602	1.1554766	-5.8796363	1000.0	17.9	51.73094	173.0	0.0	-0.31894282	0.20102039	0.27935007	-0.81612015	40000	-9.685754e-09	1.199823	-0.018643694	-0.4640956	0.8842068	0.016360844	0.1726	99.0	40.450785875320435
4	-1.0833838	1.963619	1.4706521	-6.2807255	1000.0	41.8	91.624016	309.0	0.0	-0.40197995	0.3950677	0.16181004	-1.4736798	50000	8.940697e-09	14.165692	-0.01832593	-7.551459	0.88039887	0.004288889	0.10599999	99.0	50.673818826675415
5	-1.287445	1.2690434	0.15329131	-3.4517152	1000.0	25.3	47.027756	152.0	0.0	-0.60039026	1.0729903	0.56391346	-7.3095565	60000	2.9802323e-09	15.106158	-0.01850278	-3.7833087	0.9106041	0.012827003	0.1635	99.0	61.49495983123779
6	-1.4036283	1.2078941	0.1262099	-4.071744	1000.0	19.1	30.784575	89.0	0.0	-0.92955613	1.194794	1.3637769	-6.7071176	70000	1.7881394e-08	14.1716795	-0.018887594	-9.2387905	0.90433675	0.017867146	0.1949	99.0	71.22454190254211
7	-0.3722714	1.0839752	0.9699398	-2.5804834	1000.0	7.9	23.7	79.0	0.0	-1.3522469	2.7850592	1.4711478	-10.639501	80000	-1.4901161e-09	13.851088	-0.018072858	-9.235315	0.9276725	0.012939168	0.1413	99.0	82.09915518760681
8	-0.4673268	0.797308	0.48350796	-1.9218814	1000.0	30.8	83.78759	281.0	0.0	-0.53091824	0.8581807	1.1394566	-2.1935892	90000	1.1920929e-08	60.523174	-0.013123703	-32.67198	0.9104478	0.0010127593	0.1273	99.0	92.08883452415466
9	-0.85966235	2.2428315	3.0631547	-4.6622696	1000.0	0.0	0.0	0.0	0.0	-1.6833615	3.5935922	2.4981003	-14.788235	100000	-2.3841858e-08	15.186293	-0.018695746	-15.038083	0.8967951	0.01885052	0.1324	99.0	102.46925592422485
10	-0.8451578	1.0093143	0.99184734	-2.7951598	1000.0	7.1	21.3	71.0	0.0	-0.13366158	0.190051	0.1748622	-0.69328797	110000	0.0	7.354261	-0.015034494	-2.2026038	0.8664072	0.029961128	0.1872	99.0	112.04463124275208
11	-1.1573257	0.88238883	0.24907942	-3.245846	1000.0	39.2	78.88954	263.0	0.0	-0.36681387	0.57772094	1.1472019	-3.1379025	120000	0.0	67.85488	-0.020395279	-45.945072	0.8555645	0.003999382	0.1238	99.0	121.99883317947388
12	-0.97503316	1.5198463	0.943069	-3.420932	1000.0	3.4	10.2	34.0	0.0	-2.4380562	5.173758	1.0417778	-16.638706	130000	0.0	28.846918	-0.019605637	-25.20893	0.8766757	0.020451909	0.1273	99.0	132.0047538280487
13	-0.67580426	1.5670803	1.4673489	-3.101963	1000.0	22.2	37.075058	107.0	0.0	-0.50410193	0.64173967	1.0460162	-2.8909442	140000	-1.0430813e-08	30.965664	-0.018473288	-16.118835	0.8574637	0.0037106085	0.14799999	99.0	141.85713505744934
14	-2.1822574	2.1588833	0.5679796	-7.2806	1000.0	63.3	70.07288	173.0	0.0	-1.9548732	3.2900765	1.1502258	-10.075312	150000	-2.5331975e-08	79.49933	-0.026804125	-67.23729	0.86745083	0.0136047695	0.1707	99.0	151.73206233978271
15	-0.7569479	2.1210432	1.522129	-6.641715	1000.0	21.9	65.700005	219.0	0.0	-1.5094806	3.0467904	8.690617	-26.496248	160000	2.6077032e-09	52.728077	-0.01867247	-48.67805	0.854673	0.009877823	0.1568	99.0	161.5942702293396
16	-0.0115175005	2.1539612	3.8021035	-2.7819712	1000.0	38.1	63.328426	204.0	0.0	-2.2228446	6.977899	1.0868526	-29.633013	170000	2.9802323e-09	99.99604	-0.020019896	-89.63706	0.8494921	0.010855654	0.169	99.0	171.33134388923645
17	-1.1155117	1.6734593	2.2933517	-2.9374115	1000.0	32.1	69.09768	228.0	0.0	-2.7209184	6.3588214	3.0945735	-36.16688	180000	-3.576279e-08	94.50962	-0.022155667	-80.76215	0.82475615	0.01983037	0.18069999	99.0	181.6730396747589
18	-1.315275	2.471933	1.821531	-7.987708	1000.0	20.8	62.4	208.0	0.0	-1.8524286	4.357712	1.0361816	-21.46644	190000	-1.4901161e-09	29.7715	-0.01623432	-24.80728	0.81966543	0.0132126035	0.124900006	99.0	192.0746169090271
19	-1.1234854	2.8493304	2.2070694	-7.869555	1000.0	13.2	29.818789	97.0	0.0	-0.5399572	1.9377244	0.38807347	-23.491411	200000	2.9802323e-09	28.744526	-0.018028835	-12.591199	0.8173105	0.0057664425	0.1304	99.0	202.47138953208923
20	-0.8971159	1.6022211	2.2114623	-3.062382	1000.0	11.2	22.683914	64.0	0.0	-1.2632865	1.5706801	0.8247069	-7.8055806	210000	1.0430813e-08	16.368626	-0.01971757	-10.9846945	0.82840455	0.019835718	0.1892	99.0	212.9456865787506
21	-0.93121845	1.951298	0.83587754	-6.121849	1000.0	6.5	19.5	65.0	0.0	-0.39787143	1.1259948	1.893521	-9.451507	220000	0.0	8.364352	-0.014097659	-5.3032546	0.83688366	0.008788906	0.14500001	99.0	222.56270790100098
22	-2.0685356	2.5558465	0.8901216	-6.66316	1000.0	1.1	2.9816103	10.0	0.0	-0.28991213	1.4149377	2.9150481	-14.733427	230000	5.9604646e-09	2.3104627	-0.016518747	-2.0730221	0.835091	0.02043889	0.19049999	99.0	232.50203251838684
23	-0.1733751	1.1391276	1.8516177	-2.0046334	1000.0	1.0	3.0	10.0	0.0	-0.11677874	0.19751711	0.3083455	-1.572679	240000	-1.1920929e-08	0.35832173	-0.0145216435	-0.09543546	0.82645214	0.018165804	0.18360001	99.0	242.24765968322754
24	-1.0635684	1.4787937	0.41651997	-4.9598303	1000.0	0.0	0.0	0.0	0.0	-0.13138394	0.3039695	0.9406337	-1.2211871	250000	0.0	0.09633084	-0.021303639	-0.08752906	0.82261	0.018509453	0.1405	99.0	251.47489404678345
25	0.107377484	1.1029774	1.5571167	-2.729786	1000.0	57.6	163.67969	548.0	0.0	0.0048775314	0.10053223	1.7316501	-0.40406102	260000	0.0	295.3299	-0.015941646	-270.0976	0.8129159	-0.0012973059	0.10719999	99.0	261.6370105743408
26	-1.1129533	1.796774	2.2181098	-3.197975	1000.0	9.5	28.5	95.0	0.0	-3.7454758	8.004208	3.2854295	-39.26394	270000	-2.682209e-08	99.70279	-0.019723844	-94.79882	0.8245953	0.023578906	0.1569	99.0	271.669677734375
27	-0.95799464	1.3266525	1.1385827	-2.8271809	1000.0	53.1	127.16874	427.0	0.0	-0.6835254	2.7408965	2.0426345	-21.081696	280000	-1.1734665e-08	154.92482	-0.015388844	-122.792076	0.81157506	0.002416402	0.12479999	99.0	282.1827428340912
28	-2.0071404	2.2009225	0.61923146	-6.8892913	1000.0	2.5	5.1234756	15.0	0.0	-0.92266864	4.6358852	1.1093137	-38.07603	290000	6.7055224e-09	23.29195	-0.01691256	-22.4965	0.82439315	0.01841087	0.14299999	99.0	292.29241394996643
29	-1.3457679	1.4895272	2.0247455	-3.0991638	1000.0	0.0	0.0	0.0	0.0	-0.25335538	0.37458727	0.41635835	-6.511333	300000	-1.0430813e-08	0.17987964	-0.019906271	-0.17048892	0.8124424	0.017197523	0.1302	99.0	301.7722272872925
30	-1.5379238	1.8413849	1.3464866	-5.483325	1000.0	21.7	50.473854	170.0	0.0	-0.03952572	0.24330004	1.9044564	-8.126867	310000	-1.1920929e-08	32.812782	-0.0201145	-26.855053	0.79843366	0.0028042854	0.1393	99.0	312.5716145038605
31	-1.2629727	2.6861784	2.3510067	-7.5560117	1000.0	6.4	19.199999	64.0	0.0	-0.63064605	1.6148738	0.93334025	-21.055513	320000	5.9604646e-09	11.335268	-0.02095167	-6.7221656	0.8070737	0.357488	0.2669	99.0	323.3018367290497
