Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	0.0	79.63135	-0.015711013	-41.47631	0.91893846	0.0085593015	0.117400005	99.0	6.350214242935181
1	-0.31945997	0.7552034	1.3205434	-1.5336409	1000.0	45.4	104.97733	353.0	0.0	-1.2468665	2.7965639	3.4084969	-14.831793	20000	0.0	9.019529	-0.02039294	-8.90679	0.9357029	0.0112208575	0.1499	99.0	11.575843572616577
2	-0.42267403	1.1748729	1.8543775	-2.0995772	1000.0	53.8	84.79481	285.0	0.0	-0.105401926	0.22143605	0.83598727	-1.0094297	30000	8.940697e-09	22.165897	-0.019797074	-16.885624	0.915521	0.0070974915	0.12479999	99.0	17.116791248321533
3	-0.5220586	1.4285709	2.1973436	-2.59491	1000.0	16.9	26.280981	69.0	0.0	-1.1107796	1.8730484	3.524905	-8.5622635	40000	5.9604646e-09	10.284624	-0.02124903	-8.913201	0.9358614	0.011437329	0.1812	99.0	22.525689601898193
4	-1.5248964	1.7016149	1.0898942	-5.2979913	1000.0	12.4	24.944738	68.0	0.0	-1.5824506	3.0218594	0.94352514	-14.786596	50000	-8.940697e-09	12.185738	-0.017101396	-10.928967	0.9342539	0.015889924	0.12919998	99.0	27.876327753067017
5	0.012086188	1.8282832	2.9844944	-3.6299453	1000.0	19.3	47.920868	160.0	0.0	-2.0252452	4.2935486	0.8885577	-14.861977	60000	-4.4703485e-09	36.015182	-0.020873988	-27.993511	0.92200863	0.02792792	0.16880001	99.0	33.3808970451355
6	-0.52160853	1.2295591	0.7194623	-3.446734	1000.0	70.9	121.59067	370.0	0.0	-1.1958919	2.885806	2.0418344	-9.596353	70000	1.1920929e-08	120.02783	-0.021981228	-107.52168	0.92036116	0.0038973	0.1298	99.0	38.748624324798584
7	-1.1912292	1.3731685	-0.29791436	-5.168067	1000.0	24.3	72.9	243.0	0.0	-1.3332056	3.4608192	7.3782845	-30.641937	80000	-5.9604646e-09	62.84491	-0.016570847	-50.55297	0.93047273	0.006181712	0.120500006	99.0	44.27117156982422
8	-0.111563876	1.5839026	3.040463	-2.799209	1000.0	38.7	64.37709	200.0	0.0	-1.8571383	3.9919348	2.0482008	-20.74472	90000	1.1920929e-08	67.02621	-0.02068932	-61.47981	0.94495505	0.0111511	0.1499	99.0	49.60234880447388
9	-2.1649973	2.34033	0.7107146	-6.053044	1000.0	43.1	76.91872	246.0	0.0	-1.7356008	4.8642526	1.0048437	-37.749172	100000	5.9604646e-09	101.08138	-0.021474052	-87.854866	0.95976317	0.004557122	0.13710001	99.0	54.90603494644165
10	-1.0090603	1.0904205	0.12625918	-3.7931862	1000.0	24.7	54.695614	176.0	0.0	-3.7532544	8.939257	2.102953	-36.126575	110000	-1.1920929e-08	57.891197	-0.021894151	-50.21918	0.9518398	0.02749977	0.1884	99.0	60.513686180114746
11	-3.0904846	2.9792995	-0.008482475	-8.171753	1000.0	58.4	97.0641	272.0	0.0	-1.5307033	3.797225	1.9800198	-33.419556	120000	-1.1920929e-08	161.63649	-0.025943022	-143.84116	0.93678415	0.009969277	0.12920001	99.0	65.6990282535553
12	-2.3483634	3.6374063	0.8681525	-9.887301	1000.0	48.7	69.78259	218.0	0.0	-5.9713006	12.809248	30.582474	-37.793926	130000	0.0	254.02222	-0.024708485	-227.01802	0.94156885	0.024232637	0.1692	99.0	70.9028799533844
13	-2.022028	2.4108274	0.50112516	-8.229215	1000.0	25.1	41.977253	124.0	0.0	-2.763013	4.90755	3.4883752	-19.05933	140000	1.4901161e-09	58.230476	-0.026783029	-37.211815	0.9368612	0.019680709	0.19299999	99.0	76.35253810882568
14	-2.751638	4.4658117	0.92281204	-15.481897	1000.0	75.6	118.387665	364.0	0.0	-2.1731412	3.651304	3.0649662	-23.399479	150000	-2.0861625e-08	290.1137	-0.02696471	-244.17142	0.93791544	0.0067231916	0.1513	99.0	81.89146900177002
15	-2.6801019	5.903038	3.100317	-19.41188	1000.0	52.8	81.42333	204.0	0.0	-1.6052812	4.393283	2.9521158	-41.16068	160000	1.1920929e-08	124.05585	-0.024484333	-113.38963	0.9393741	0.008627437	0.1592	99.0	87.25378847122192
16	-3.03851	3.8028471	0.4415868	-13.8423395	1000.0	3.0	6.0663004	17.0	0.0	-2.3209903	6.609007	1.7184508	-45.61377	170000	0.0	50.21627	-0.01890408	-48.95842	0.9340297	0.027841404	0.18429999	99.0	92.85576033592224
17	-3.5838337	6.0421977	1.7517552	-18.659151	1000.0	25.1	58.282845	197.0	0.0	-0.3040432	0.5319165	5.552089	-1.604356	180000	2.8312206e-08	54.922993	-0.019401018	-40.018494	0.91779023	0.0017889024	0.11010001	99.0	98.24920535087585
18	-3.4195755	4.149929	0.3212993	-12.503101	1000.0	42.7	106.813896	360.0	0.0	-0.6578398	1.8974073	3.0977733	-9.93153	190000	1.1920929e-08	159.28242	-0.01981424	-127.81847	0.93904436	0.0029417814	0.131	99.0	103.50687432289124
19	-2.5633411	4.616478	4.1469445	-12.939184	1000.0	23.4	52.87003	174.0	0.0	-2.123906	6.459484	2.617308	-34.89155	200000	-9.04547e-09	86.10356	-0.024113487	-81.10027	0.943573	0.01994225	0.1837	99.0	108.97933912277222
20	-2.8687053	4.4999785	0.2753007	-15.409485	1000.0	45.3	64.84296	166.0	0.0	-1.2078907	2.7362556	0.8167567	-28.78917	210000	2.9802323e-09	132.9222	-0.026920408	-123.12602	0.9375285	0.0072274506	0.16829999	99.0	114.32721829414368
21	-1.9182522	3.227877	0.5948894	-11.134926	1000.0	0.0	0.0	0.0	0.0	-4.0182333	10.176989	1.0681626	-48.129406	220000	-1.1920929e-08	119.27309	-0.020974947	-119.087036	0.96021664	0.03134178	0.17019999	99.0	119.72226357460022
22	-4.369695	6.11987	-0.40679422	-20.7575	1000.0	24.9	58.234787	192.0	0.0	-0.0824511	0.31903118	0.70059085	-0.64401734	230000	-1.7881394e-08	74.57058	-0.020225862	-37.34429	0.9424817	0.0022582165	0.13229999	99.0	125.19836735725403
23	-2.2650716	5.3496466	2.1883588	-17.220592	1000.0	54.3	85.496254	214.0	0.0	-1.8101578	3.7919815	2.0387506	-15.769127	240000	-1.1920929e-08	130.9245	-0.02631272	-92.84056	0.97607327	0.004617162	0.14930001	99.0	130.75583124160767
24	-2.5588322	3.19695	1.0363408	-10.409748	1000.0	58.3	77.001366	261.0	0.0	-3.2908735	7.625132	0.6562971	-30.0109	250000	-2.5331975e-08	195.0815	-0.03337985	-143.14532	0.9939283	0.029729003	0.22779998	99.0	136.08788871765137
25	-2.3032272	4.2382493	1.8486968	-14.3702755	1000.0	7.0	20.019989	67.0	0.0	-4.029592	6.4472904	3.0428715	-22.294504	260000	-1.6391278e-08	54.82726	-0.027533358	-42.390884	0.99524105	0.021875383	0.18439999	99.0	141.42296171188354
26	-2.1757426	2.6174078	0.36468086	-8.777077	1000.0	9.0	18.352112	53.0	0.0	-1.0204784	1.8157352	0.503783	-6.4248447	270000	1.4156103e-08	13.91889	-0.020054007	-4.2773085	0.9851428	0.026280994	0.1681	99.0	146.77032589912415
27	-2.3838468	5.2289996	0.9050286	-17.685589	1000.0	36.0	44.029533	136.0	0.0	-0.68483937	1.4317203	0.74006295	-6.8680763	280000	0.0	54.562347	-0.026795363	-42.387836	0.97058785	0.0041649574	0.169	99.0	152.14879179000854
28	-2.1469345	4.1701694	2.8921762	-12.972192	1000.0	40.6	101.34614	343.0	0.0	-2.0395367	3.8500519	2.6883345	-19.173843	290000	2.3841858e-08	119.174484	-0.017577628	-72.27443	0.9733761	0.0051200413	0.1392	99.0	157.42737102508545
29	-3.3343596	5.33785	0.65076584	-17.915035	1000.0	5.2	12.623787	42.0	0.0	-1.1963537	3.5230737	0.7663449	-33.766167	300000	2.9802323e-09	9.604855	-0.023238266	-8.173289	0.9753003	0.021745179	0.18069999	99.0	162.5150010585785
30	-2.7215323	3.6152608	1.5776472	-9.580239	1000.0	28.5	46.8172	140.0	0.0	-0.6042855	1.2821518	0.61709833	-15.273697	310000	-2.9802323e-09	45.4231	-0.026566524	-40.114933	0.9433789	0.011262184	0.17189999	99.0	167.87443327903748
31	-3.4354057	5.1678476	2.425626	-15.452397	1000.0	33.1	45.341927	141.0	0.0	-1.2360724	4.140066	5.9718823	-27.737446	320000	-1.4901161e-09	62.9094	-0.02771683	-56.22167	0.94039506	0.011663385	0.1972	99.0	173.36213183403015
32	-0.8480498	1.7798843	1.6978475	-3.7327924	1000.0	6.8	14.971974	48.0	0.0	-3.8406777	5.8725095	2.2392642	-39.56847	330000	-1.7881394e-08	33.691154	-0.027903069	-29.338047	0.9468986	0.024315605	0.19640002	99.0	178.67589783668518
33	-2.1334786	4.069887	2.8220546	-13.256632	1000.0	32.2	48.667854	152.0	0.0	-0.85035896	1.7860496	0.7527783	-26.526295	340000	3.8743018e-08	89.463875	-0.025811825	-50.860413	0.9261347	0.005464944	0.1704	99.0	184.1348261833191
34	-3.4386468	4.500142	0.5958163	-15.2755165	1000.0	50.5	101.45664	274.0	0.0	-1.5165683	3.6724901	4.844581	-25.404932	350000	1.7881394e-08	164.71457	-0.020665709	-122.158646	0.91617334	0.0005550472	0.1415	99.0	189.65732312202454
35	-2.8689363	5.0802937	2.4499307	-15.866211	1000.0	43.9	131.7	439.0	0.0	-3.7089036	9.359936	1.6992522	-44.446968	360000	-1.7881394e-08	306.65714	-0.020637635	-290.44382	0.9028748	0.017117523	0.1777	99.0	194.973060131073
36	-1.0334657	2.8230288	4.898125	-6.076835	1000.0	11.2	23.890585	80.0	0.0	-0.40262213	0.8238682	0.9816104	-13.211965	370000	0.0	15.849591	-0.023094472	-13.776878	0.8880371	0.009537769	0.1776	99.0	200.3418629169464
37	-1.152792	2.4387288	2.358587	-5.8153596	1000.0	6.6	16.734396	56.0	0.0	-1.1048176	4.013948	0.6033925	-58.42853	380000	5.9604646e-09	28.274998	-0.017006578	-19.495798	0.88184947	0.030854795	0.2066	99.0	205.8309395313263
38	-2.682869	2.984559	0.25982422	-9.855242	1000.0	14.7	24.9	72.0	0.0	-0.6742997	1.132003	1.0592791	-5.330751	390000	0.0	20.895521	-0.02486279	-15.731219	0.86113274	0.008715196	0.1681	99.0	211.3676896095276
