Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.45560145	0.9807502	2.0751517	-3.0423446	1000.0	36.55	72.041985	255.0	0.0	-0.0028674453	0.09576837	0.20587143	-0.21035695	20000	-5.9604646e-09	272.4217	-0.013366813	-82.77547	0.9189385	0.006656899	0.10285	99.0	12.116274118423462
1	-0.10362089	1.2105043	3.497362	-2.1672347	1000.0	48.6	82.02585	280.0	0.0	-3.441186	5.788629	5.8305497	-17.141165	40000	-7.152558e-08	40.316704	-0.016594047	-38.579247	0.9357605	0.0067746798	0.105299994	99.0	21.947704315185547
2	-0.65602726	1.3391484	2.0976331	-3.5601444	1000.0	23.6	38.281067	111.0	0.0	-0.22016391	0.66809684	2.0721676	-2.0050461	60000	-1.4901161e-08	7.954644	-0.013721729	-2.8510585	0.9196782	0.010655726	0.1447	99.0	31.651957750320435
3	-0.2785939	1.2943226	2.5242622	-2.6303487	1000.0	57.35	79.26366	322.0	0.0	-0.7316158	0.7796974	1.1875147	-2.5465758	80000	1.1920929e-08	35.00234	-0.016271537	-24.343529	0.9309518	0.0076555805	0.1188	99.0	42.06365251541138
4	-0.9771757	1.2769215	1.017377	-3.873852	1000.0	46.7	106.98884	421.0	0.0	-1.4641715	2.3722668	0.6189011	-18.261843	100000	2.3841858e-08	91.093704	-0.015380266	-66.10368	0.9294375	0.0053170756	0.09965	99.0	51.909769773483276
5	-0.8328778	2.3141394	4.0459547	-8.81248	1000.0	10.3	28.390316	127.0	0.0	-1.2634145	3.9843712	14.115717	-22.560867	120000	4.4703485e-09	24.574528	-0.016761694	-17.520374	0.93668365	0.013963568	0.14725	99.0	62.02878522872925
6	-0.8340355	1.4096825	1.2946132	-3.9058692	1000.0	30.4	58.849297	252.0	0.0	-0.4605199	0.95561564	2.1312444	-17.247244	140000	-1.7881394e-08	46.86145	-0.017753081	-26.624002	0.9155674	0.008976458	0.1277	99.0	71.56127667427063
7	-1.3144023	1.825375	2.4824374	-5.3079247	1000.0	7.9	20.361483	71.0	0.0	-2.2366045	4.469872	4.302267	-26.245663	160000	-5.9604646e-09	29.859924	-0.01662625	-21.849314	0.94391775	0.013239438	0.1289	99.0	81.07842540740967
8	-1.2470767	2.6330423	4.9664063	-8.614652	1000.0	22.55	29.152143	79.0	0.0	-0.6425845	0.67798597	0.93401784	-6.385259	180000	-1.4901161e-08	22.743704	-0.01728091	-7.0395713	0.9342326	0.0075666397	0.13430001	99.0	91.30533361434937
9	-1.3619554	2.0824978	1.8695037	-5.8836756	1000.0	41.0	86.36319	310.0	0.0	-1.2823256	1.7444214	2.8294363	-7.4983544	200000	-1.1920929e-08	79.01595	-0.018275397	-64.60968	0.94250965	0.005103127	0.114549994	99.0	100.99345755577087
