Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.28763422	0.95863396	2.0751517	-3.0423446	1000.0	46.375	80.73961	265.0	0.0	-0.002609755	0.09576702	0.21000424	-0.21254987	40000	2.3841858e-08	340.4926	-0.010635552	-92.844955	0.9189385	0.006673993	0.092875	99.0	20.787802934646606
1	-0.41238815	0.81515855	1.479235	-2.965182	1000.0	23.9	49.37196	195.0	0.0	-3.8250306	5.831011	3.310661	-17.931173	80000	2.3841858e-08	41.712654	-0.012975271	-39.29841	0.93402255	0.0065853433	0.07875	99.0	39.48474907875061
2	-0.20862465	1.1408763	1.9537537	-2.4677296	1000.0	59.6	136.22661	755.0	0.0	-0.48855498	1.0450957	0.9858447	-3.3937974	120000	5.9604646e-09	12.797675	-0.011688053	-3.6417725	0.91947365	0.00561524	0.0825	99.0	59.15927982330322
3	-0.4900097	1.20367	3.6334388	-3.6525302	1000.0	35.625	87.0565	472.0	0.0	-1.1738428	1.2510194	1.18709	-6.1942673	160000	-7.450581e-09	34.660606	-0.012787218	-23.25289	0.92834127	0.008109147	0.10725	99.0	78.48017930984497
4	-0.7536174	1.211879	2.4787521	-3.329072	1000.0	51.275	131.38493	562.0	0.0	-0.8004531	1.5391607	0.89975804	-17.105667	200000	2.9802323e-09	81.72749	-0.013351252	-38.630238	0.9492688	0.004997965	0.08605	99.0	97.01116609573364
5	-0.29511595	1.6041486	3.4068909	-4.47529	1000.0	43.325	95.33608	343.0	0.0	-1.8388627	2.8288078	21.701607	-24.301777	240000	-5.9604646e-09	94.810814	-0.013536489	-44.309814	0.958892	0.006615358	0.109474994	99.0	116.23167276382446
6	-0.46317744	1.4241729	2.1881766	-4.4527807	1000.0	16.075	41.06604	183.0	0.0	-1.6182541	2.9561956	13.698448	-14.829099	280000	-1.7881394e-08	31.118015	-0.01565977	-24.79696	0.97422516	0.01127599	0.14154999	99.0	134.94302129745483
7	-1.2952151	1.5190628	2.6990073	-6.629145	1000.0	16.175	40.54558	172.0	0.0	-0.85730225	2.785272	0.8318484	-24.925789	320000	1.0430813e-08	24.155699	-0.01204587	-17.070831	0.9615253	0.00864771	0.111774996	99.0	153.5220148563385
8	-0.9735193	1.6737039	3.13939	-5.082475	1000.0	24.475	67.61471	316.0	0.0	-1.0758406	3.3170342	7.048305	-20.233679	360000	4.4703485e-09	51.29119	-0.01370199	-37.432735	0.96839535	0.008854793	0.11545	99.0	172.6652374267578
9	-0.91819555	1.2680229	1.7769015	-5.1927795	1000.0	22.1	51.303413	242.0	0.0	-1.3083432	4.717615	3.9289	-25.83725	400000	-1.4901161e-09	51.963005	-0.013894188	-36.98246	0.96548796	0.013226515	0.16365	99.0	191.05404591560364
10	-1.2560977	1.5646996	3.4609675	-4.518384	1000.0	29.3	68.38575	376.0	0.0	-0.72420293	2.1773133	2.8989866	-27.222548	440000	7.450581e-09	62.480785	-0.015247775	-44.111336	0.9705955	0.007961438	0.129825	99.0	209.0933120250702
11	-0.9028915	1.4967171	2.5886302	-4.791595	1000.0	12.575	34.002125	197.0	0.0	-1.8360014	5.8816323	15.787042	-32.12768	480000	2.9802323e-09	50.017406	-0.015913716	-39.480766	0.97141457	0.011419063	0.12444999	99.0	227.7534692287445
12	-0.9290473	1.5767534	5.441131	-4.2437916	1000.0	10.25	38.52645	177.0	0.0	-1.1366824	2.841478	4.9684324	-30.177511	520000	-4.4703485e-09	29.422602	-0.013245219	-19.23155	0.9615537	0.0074688876	0.11855	99.0	246.57789587974548
13	-1.3819989	1.5284928	1.2361634	-5.742353	1000.0	19.4	46.055836	214.0	0.0	-0.5191893	2.091271	5.770815	-15.520092	560000	-1.3411045e-08	41.942722	-0.014022904	-24.99831	0.95881224	0.0073865703	0.124675	99.0	264.852557182312
14	-1.1522671	1.6513863	2.394777	-5.9473495	1000.0	10.6	26.56765	117.0	0.0	-1.0805091	3.008664	2.4083576	-18.786686	600000	-1.1920929e-08	22.40879	-0.014667851	-16.325176	0.96432936	0.010477738	0.12737499	99.0	283.23411536216736
15	-1.5864971	1.3983712	2.0811753	-5.8325753	1000.0	6.75	24.843258	133.0	0.0	-0.9251221	2.8215573	24.97598	-20.104443	640000	0.0	17.452652	-0.011132724	-12.067065	0.9636282	0.012540048	0.116074994	99.0	302.11697721481323
16	-1.0645611	2.0640895	2.1193	-5.7347875	1000.0	24.125	49.415173	187.0	0.0	-0.614381	2.2968655	12.151203	-24.451468	680000	2.9802323e-09	42.909676	-0.01469471	-31.6647	0.9544997	0.008136513	0.108925	99.0	320.6987829208374
17	-1.360396	1.434624	0.82651204	-4.713149	1000.0	14.025	39.990303	213.0	0.0	-1.4168181	4.206639	1.4753027	-28.414597	720000	7.823109e-09	36.620052	-0.013348205	-29.431995	0.969406	0.012189784	0.12765	99.0	339.3203926086426
18	-1.1478546	1.7085704	4.0034013	-5.116139	1000.0	20.875	38.234924	130.0	0.0	-1.1707742	3.1330178	3.0049486	-20.294294	760000	-7.4505807e-10	37.96089	-0.015719667	-30.030926	0.9620651	0.0134208305	0.15127501	99.0	358.55635929107666
19	-1.2544715	2.0758195	4.4439893	-6.809869	1000.0	9.225	29.263876	153.0	0.0	-1.3912194	4.7085013	3.2778533	-32.240578	800000	-5.9604646e-09	37.86211	-0.015229143	-26.635696	0.96798146	0.013248746	0.144775	99.0	377.05802726745605
20	-1.4975777	3.1072342	5.0471888	-11.191846	1000.0	7.3	19.063316	91.0	0.0	-0.75191134	2.1063447	1.8787973	-16.180717	840000	8.940697e-09	10.865155	-0.016689243	-8.341303	0.9416002	0.010554647	0.12049999	99.0	395.75737166404724
21	-1.4048138	1.7357758	1.799663	-7.108603	1000.0	13.425	40.38557	244.0	0.0	-0.4546785	1.198225	2.668244	-13.492175	880000	-2.9802323e-09	27.515995	-0.015276295	-22.646633	0.9368609	0.008965258	0.106199995	99.0	413.94487953186035
22	-1.1994534	2.0347483	4.2449718	-6.2382913	1000.0	3.475	10.044868	44.0	0.0	-1.1134098	4.682439	3.7523062	-32.283188	920000	-7.450581e-09	20.19016	-0.009479254	-17.538458	0.9443722	0.01025602	0.098025	99.0	432.44216442108154
23	-1.1105545	2.2625084	3.3019497	-9.032419	1000.0	7.3	17.037018	76.0	0.0	-0.46870655	1.1313334	4.475563	-7.0635853	960000	-1.0430813e-08	9.293474	-0.014154276	-6.56037	0.92923594	0.00935363	0.121375	99.0	450.92297649383545
24	-1.4936752	2.5457501	2.7175188	-9.418995	1000.0	9.725	35.234203	208.0	0.0	-0.22474441	0.68726444	1.2492356	-12.486612	1000000	3.7252903e-09	21.752747	-0.010505496	-18.80842	0.93171537	0.005409325	0.083825	99.0	470.31285071372986
25	-1.0037768	2.0428936	3.3991396	-7.669324	1000.0	8.275	21.426603	90.0	0.0	-0.8051826	2.6488295	1.5449864	-26.257814	1040000	4.4703485e-09	12.670799	-0.013295701	-9.291048	0.9485358	0.009841429	0.12845	99.0	489.7127914428711
26	-1.254187	1.8757186	1.7115631	-8.56284	1000.0	15.55	61.048325	375.0	0.0	-0.4539478	1.3544445	2.2252133	-34.15248	1080000	0.0	52.283276	-0.0119973915	-44.298225	0.94027674	0.00824946	0.11552501	99.0	508.8204503059387
27	-1.1313777	2.2330222	6.0752625	-5.2912436	1000.0	6.8	25.714005	156.0	0.0	-0.29158998	1.3063442	2.8607008	-29.01521	1120000	1.4901161e-09	15.212459	-0.013008371	-13.946714	0.96587086	0.007894374	0.12175	99.0	527.0133674144745
28	-0.8753117	2.0671577	3.8008642	-6.9173565	1000.0	9.8	29.996832	144.0	0.0	-0.7698172	3.8167908	1.8991852	-40.289677	1160000	1.8626451e-09	21.697224	-0.011899733	-18.87933	0.95176077	0.012075641	0.1267	99.0	545.8109016418457
29	-1.5712469	2.0830386	2.6746874	-8.539597	1000.0	5.15	14.310049	63.0	0.0	-0.60614794	2.8104208	6.1255713	-35.137897	1200000	7.450581e-09	12.100413	-0.013195479	-9.979191	0.94147885	0.01080635	0.101725005	99.0	564.8217737674713
30	-1.337764	2.1192987	3.1300924	-6.1189184	1000.0	3.6	15.067847	88.0	0.0	-0.3891216	1.6882995	1.0719585	-41.70477	1240000	5.7742e-09	9.522691	-0.0098608	-7.8612313	0.92385256	0.010362868	0.103875	99.0	583.5565044879913
31	-1.719084	2.090757	0.5683121	-10.150211	1000.0	12.325	35.785046	193.0	0.0	-0.22319116	1.2541089	1.1327449	-25.127542	1280000	1.4901161e-09	33.690716	-0.013154207	-26.189722	0.916347	0.008538625	0.11599998	99.0	602.3875029087067
32	-1.5538952	3.8654735	2.9275465	-14.292713	1000.0	11.075	29.54267	161.0	0.0	-1.2962433	5.937688	5.367351	-35.853237	1320000	-8.5681675e-09	43.285267	-0.012913726	-37.094643	0.92641914	0.013124754	0.13197501	99.0	620.7480373382568
33	-1.7961481	3.0838945	4.3615	-11.95248	1000.0	6.775	22.286192	115.0	0.0	-0.6432118	1.9945855	2.0188177	-19.142586	1360000	7.450581e-09	14.083237	-0.014365347	-11.864886	0.9192003	0.012138235	0.12824999	99.0	639.7710564136505
