Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	14.758720397949219
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	24.802897691726685
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	4.4703485e-09	4.576152	-0.016657952	-2.5067842	0.91050494	0.011758854	0.176	99.0	35.27603578567505
3	0.17685218	0.8356516	1.5403335	-1.1198087	1000.0	17.2	51.600002	172.0	0.0	-0.6331021	0.72857875	0.6808498	-3.4621267	40000	0.0	12.263857	-0.019413598	-2.4331775	0.9300501	0.042491682	0.1966	99.0	45.042741537094116
4	-0.3778558	1.032527	0.90304667	-2.0581088	1000.0	3.2	9.599999	32.0	0.0	-0.69010365	1.1806705	0.36624584	-3.0179145	50000	-3.2782555e-08	1.8255488	-0.01721673	-0.84134513	0.93682563	0.014123052	0.11910001	99.0	54.98943281173706
5	-0.41643834	0.8947154	0.3573936	-2.6339123	1000.0	14.1	42.3	141.0	0.0	-0.26866612	0.50237703	0.4134403	-1.2961096	60000	1.5646219e-08	12.612318	-0.014557143	-1.9177392	0.9257158	0.008011937	0.119799994	99.0	65.33787846565247
6	-0.5403918	0.72596306	0.65916	-1.7603195	1000.0	49.3	67.98684	181.0	0.0	-0.5763343	1.1362029	0.35348293	-2.8558757	70000	2.2351743e-09	45.902935	-0.021392494	-24.20245	0.92946017	0.010924786	0.1444	99.0	76.07899284362793
7	-1.6051104	2.5129278	0.31339467	-8.84988	1000.0	88.5	112.72466	308.0	0.0	-1.80556	2.4761872	2.8713923	-11.800231	80000	-2.9802322e-08	145.53375	-0.025055403	-123.84701	0.96343315	0.01123216	0.14940001	99.0	86.03041195869446
8	-1.476209	1.5115054	1.1923597	-3.5372663	1000.0	30.0	54.70649	172.0	0.0	-4.241281	7.326883	1.2270031	-29.11129	90000	-4.842877e-09	90.33751	-0.018581932	-77.72026	0.96818763	0.019866511	0.1828	99.0	96.5190486907959
9	-1.7618288	3.1841989	2.4023435	-8.866253	1000.0	2.3	4.859012	15.0	0.0	-1.6447445	4.3021736	15.404508	-26.393644	100000	2.682209e-08	18.562817	-0.01819602	-17.14281	0.96091115	0.011701854	0.14119999	99.0	106.83135175704956
10	-1.0097514	0.8929027	0.31731462	-2.5854032	1000.0	132.4	209.42358	666.0	0.0	-0.43835863	0.56542856	5.70211	-2.1273007	110000	2.3841858e-08	405.01178	-0.027863303	-341.92114	0.9447185	0.009052589	0.1337	99.0	116.97856783866882
11	-1.5541592	1.0042757	-0.6322047	-3.8020778	1000.0	6.2	12.528367	35.0	0.0	-7.683643	13.050912	1.583071	-39.59937	120000	2.9802322e-08	198.70488	-0.021325516	-189.63234	0.9566947	0.017105948	0.1286	99.0	127.0717442035675
12	-0.605616	1.2535866	0.74456084	-2.9046588	1000.0	29.4	80.51857	270.0	0.0	-1.1319247	2.1343482	27.392992	-9.294187	130000	-1.4901161e-09	65.635544	-0.017077338	-59.334206	0.9394649	0.0023333977	0.10780001	99.0	136.99527621269226
13	-0.24824986	0.9143065	1.8039726	-1.6723387	1000.0	6.1	9.710303	27.0	0.0	-2.8644972	8.125336	16.860733	-36.80581	140000	-8.940697e-09	74.084885	-0.021029618	-70.10867	0.92462456	0.02332542	0.16520001	99.0	147.042311668396
14	-0.23831105	1.604986	1.7488459	-2.665233	1000.0	61.5	63.93004	208.0	0.0	-0.5064307	0.8175228	7.1476054	-1.9943433	150000	-1.1920929e-08	121.257545	-0.022619601	-41.73333	0.89924085	0.0067204377	0.13780001	99.0	156.74921679496765
15	-0.81996715	1.0315366	0.6408017	-2.57545	1000.0	44.1	105.61576	357.0	0.0	-4.6152086	3.4590986	0.8826662	-9.9621525	160000	-1.1920929e-08	165.5892	-0.021488603	-94.04794	0.9174862	0.007070587	0.1288	99.0	166.2796630859375
16	-0.49504524	2.2620988	4.4181833	-5.002725	1000.0	67.2	119.57909	378.0	0.0	-1.243849	3.743428	7.179986	-26.676235	170000	1.1920929e-08	238.77385	-0.021849344	-199.21603	0.9287691	0.0022185503	0.12990001	99.0	176.32540321350098
17	-1.1840044	1.5369219	1.10313	-3.432205	1000.0	2.7	7.457211	25.0	0.0	-1.7992451	4.472867	7.4688225	-43.749	180000	2.2351743e-09	20.188559	-0.024077874	-18.883606	0.9194217	0.020167917	0.1727	99.0	186.01759362220764
18	-0.12663174	2.321829	3.6830852	-5.5475297	1000.0	84.5	104.418625	333.0	0.0	-0.55441105	1.9384451	8.6564245	-44.89117	190000	-4.4703485e-09	258.42603	-0.026294429	-195.81609	0.89239657	0.0076455446	0.17310001	99.0	196.42985653877258
19	-1.7109112	1.6357832	0.3632744	-3.8876908	1000.0	11.1	25.378927	83.0	0.0	-3.9017587	4.4498367	0.76971954	-21.571201	200000	0.0	34.09159	-0.026184302	-29.641516	0.89253366	0.021125395	0.1619	99.0	207.28976345062256
20	-1.6939285	1.8099674	0.5462555	-4.5675364	1000.0	35.6	46.825634	145.0	0.0	-1.2230767	3.2123313	32.13024	-20.583618	210000	1.1920929e-08	68.21506	-0.023573358	-62.935802	0.8883481	0.009799132	0.15	99.0	217.7543671131134
21	-1.4153222	1.9116925	2.031006	-4.97528	1000.0	32.8	60.718693	189.0	0.0	-3.0955188	6.607496	1.1281497	-33.046654	220000	1.7881394e-08	123.17509	-0.022729464	-102.98482	0.91539776	0.028735617	0.2679	99.0	227.7870728969574
