Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.28386602	0.74196976	0.7551738	-1.8008193	1000.0	16.8	36.347763	115.0	0.0	-0.0032963776	0.07518913	0.1388693	-0.18607625	10000	-2.9802323e-09	77.74431	-0.01748971	-29.21214	0.91893846	0.020628672	0.1183	99.0	7.558084011077881
1	-0.9628054	1.4605228	2.1680832	-2.785578	1000.0	19.3	34.76219	92.0	0.0	-1.8506079	4.52967	5.1934605	-14.017902	20000	7.450581e-09	19.85445	-0.018831622	-18.989523	0.9340645	0.008504057	0.1245	99.0	12.905087947845459
2	-0.9089912	0.88632303	0.14159474	-2.605655	1000.0	75.5	89.51117	253.0	0.0	-0.28520107	0.514265	0.45721817	-1.7481873	30000	-1.7881394e-08	7.7428923	-0.018542735	-3.5185208	0.9205801	0.006318926	0.1064	99.0	18.412851572036743
3	-0.24032383	1.4803025	3.5749428	-1.814171	1000.0	77.9	96.87151	295.0	0.0	-1.2228047	1.4632487	0.56976956	-4.7912717	40000	-1.9371509e-08	81.62048	-0.023245038	-63.31187	0.93261206	0.009563542	0.132	99.0	23.901235818862915
4	-0.7705933	1.1762552	0.3323617	-4.021451	1000.0	34.2	71.06307	236.0	0.0	-3.380436	4.713872	5.175183	-17.314524	50000	2.3841858e-08	88.948044	-0.021005135	-77.291245	0.95712745	0.012894074	0.1618	99.0	29.286784410476685
5	-0.7409214	1.12288	0.94167906	-2.7836154	1000.0	35.2	56.10312	182.0	0.0	-1.569796	3.1305063	8.2122965	-25.7483	60000	-5.9604646e-09	48.280876	-0.020089043	-43.016052	0.94645166	0.020721683	0.17850001	99.0	34.80308651924133
6	-1.1829716	1.2901821	0.6530597	-3.3359187	1000.0	26.5	42.884148	143.0	0.0	-2.8576064	5.783919	11.200373	-27.04006	70000	-1.7881394e-08	72.731575	-0.023050845	-56.38932	0.9602927	0.037739344	0.2433	99.0	40.54022789001465
7	-1.4374847	1.4764978	0.39518818	-4.784552	1000.0	27.8	39.460865	117.0	0.0	-2.0849128	4.1553845	13.551601	-20.754663	80000	5.9604646e-09	51.748604	-0.024734588	-36.81359	0.94271004	0.03380346	0.22049999	99.0	46.02636408805847
8	-1.1953678	1.4518944	1.0367247	-4.150605	1000.0	28.2	52.58289	179.0	0.0	-1.7001781	3.759396	17.727537	-15.141639	90000	-5.9604646e-09	42.44388	-0.025197918	-35.945606	0.93201673	0.012729834	0.1743	99.0	51.53941750526428
9	-0.8243147	1.4838047	2.1067908	-3.6045198	1000.0	6.6	13.469967	39.0	0.0	-0.77299756	2.9044416	5.201071	-33.656456	100000	-4.4703485e-09	13.414038	-0.02222893	-10.37248	0.9494475	0.026915316	0.2124	99.0	57.24225640296936
