Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6287083	1.3189626	2.913989	-3.6767335	1000.0	35.225	68.729355	297.0	0.0	-0.0034331863	0.07452841	0.1388693	-0.19393913	40000	-1.7881394e-08	221.2072	-0.010322042	-52.04121	0.9189385	0.0066110315	0.0976	99.0	20.35788583755493
1	-0.7693745	1.3272315	1.844249	-4.4230924	1000.0	60.75	116.33975	561.0	0.0	-3.2851038	4.7285185	3.7491927	-12.225771	80000	3.576279e-08	28.8213	-0.012778068	-27.685856	0.93050396	0.006379938	0.08315001	99.0	39.21554684638977
2	-1.0368241	1.2986407	1.4136189	-4.6166596	1000.0	56.85	108.284706	542.0	0.0	-0.34867457	0.4725226	2.4729395	-2.582327	120000	2.682209e-08	37.12751	-0.012080413	-13.685282	0.9293369	0.0057279775	0.067975	99.0	57.86024832725525
3	-0.724963	1.3978802	2.0584686	-4.2524586	1000.0	58.15	118.06048	579.0	0.0	-2.2404895	2.7405674	3.2690344	-8.933736	160000	1.4901161e-09	81.52779	-0.011676828	-28.547699	0.94637907	0.0046090274	0.0949	99.0	77.29913830757141
4	-0.592065	1.451301	2.099	-4.820057	1000.0	38.075	88.30498	418.0	0.0	-3.2027986	4.892808	4.233902	-17.113754	200000	7.4505807e-10	71.590645	-0.012362847	-53.163483	0.9508982	0.008226575	0.10645001	99.0	97.04393267631531
5	-1.1845362	1.7329931	1.8014395	-6.031878	1000.0	58.7	112.44292	476.0	0.0	-1.9588256	5.50401	12.769129	-26.09965	240000	-8.940697e-09	123.54657	-0.014159074	-94.97414	0.95192385	0.008424815	0.10605	99.0	115.30686163902283
6	-1.1520292	1.8937552	2.585757	-5.94131	1000.0	29.625	71.87339	342.0	0.0	-1.4774783	4.1512194	27.543928	-34.1272	280000	-2.9802323e-09	79.22969	-0.013329702	-68.144356	0.9511266	0.007425344	0.121249996	99.0	133.90350937843323
7	-1.5438161	2.4721441	1.8289045	-8.979491	1000.0	37.425	105.50092	618.0	0.0	-2.2647018	6.1510324	4.2950587	-41.73557	320000	-1.0803342e-08	97.31305	-0.013894829	-78.98662	0.9397427	0.012800393	0.15089999	99.0	152.99437475204468
8	-1.7116053	1.8076793	1.1019125	-6.709275	1000.0	23.0	95.424576	612.0	0.0	-1.2527875	3.7260046	9.345916	-46.39676	360000	-8.940697e-09	83.08101	-0.011934115	-28.875103	0.92567456	0.008913955	0.122375	99.0	172.32669615745544
9	-1.2123697	1.6696379	1.864106	-4.660885	1000.0	34.625	90.782074	469.0	0.0	-1.7980312	3.5900664	30.263235	-12.186301	400000	8.940697e-09	102.85193	-0.014045629	-82.47771	0.91576755	0.007880358	0.107875004	99.0	190.8805320262909
