Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5505129	1.3744092	2.913989	-4.4854116	1000.0	52.1	88.736916	362.0	0.0	0.0038809464	0.073173605	0.24506423	-0.19393913	40000	0.0	399.5555	-0.011986154	-113.98888	0.9189385	0.0057584275	0.089324996	99.0	13.11980128288269
1	-0.37771326	1.2863142	2.14831	-3.5471768	1000.0	62.125	105.713806	510.0	0.0	-5.99927	6.2424655	8.268512	-17.77992	80000	2.3841858e-08	64.63427	-0.014054304	-61.690887	0.93185866	0.005839384	0.087850004	99.0	25.47874927520752
2	-1.1982429	1.6761478	1.9002044	-6.680043	1000.0	40.675	83.2137	376.0	0.0	-0.61581254	0.6539104	0.6360016	-3.4060767	120000	-4.4703485e-09	26.060852	-0.012415474	-5.276683	0.9283721	0.0051035234	0.095575	99.0	37.24099040031433
3	-0.51886857	1.1404203	1.3882797	-3.2086518	1000.0	37.625	67.76382	280.0	0.0	-1.5705166	1.6651312	0.8923847	-6.5643334	160000	-1.1920929e-08	41.04048	-0.013995674	-21.920092	0.94613093	0.0072620152	0.108	99.0	49.37299299240112
4	-0.58218896	1.4232961	2.6736863	-4.2814574	1000.0	43.7	83.83114	419.0	0.0	-1.25827	2.601258	4.243941	-13.0881	200000	0.0	55.974724	-0.015971525	-33.79561	0.95824325	0.008453802	0.1249	99.0	61.252685546875
5	-1.0144405	1.4766074	2.7603068	-5.6727295	1000.0	41.825	86.75192	446.0	0.0	-2.412246	4.430511	3.4583535	-18.125553	240000	-5.9604646e-09	87.672134	-0.01811745	-53.679516	0.9671432	0.012430787	0.152525	99.0	73.30441689491272
6	-1.0190341	1.3660117	2.327984	-4.313672	1000.0	24.55	58.11151	318.0	0.0	-2.2581923	4.7786117	2.690899	-23.548845	280000	1.6391278e-08	51.22298	-0.014287174	-29.396008	0.9669361	0.011801383	0.128625	99.0	85.30134439468384
7	-0.50715125	1.2900474	2.2023797	-3.8697255	1000.0	39.05	81.743484	350.0	0.0	-1.4255037	2.502638	3.1160579	-11.5699005	320000	0.0	91.492355	-0.016455982	-56.253033	0.96788967	0.007552676	0.119550005	99.0	97.21413493156433
8	-0.68677986	1.4170704	3.485338	-4.5190954	1000.0	29.125	58.159344	232.0	0.0	-3.0921867	6.6221285	7.3314633	-28.09222	360000	-7.450581e-09	78.34448	-0.017585948	-63.19272	0.97761136	0.013115968	0.13895	99.0	109.19762396812439
9	-0.88741416	2.0402915	5.127963	-6.6553397	1000.0	21.375	46.779102	247.0	0.0	-1.4023446	3.7257087	4.258986	-27.611698	400000	-5.9604646e-09	39.766613	-0.017113302	-31.50903	0.96681654	0.013544954	0.149625	99.0	120.89420294761658
10	-0.276654	1.9334022	5.7669353	-4.3505816	1000.0	16.475	49.825188	263.0	0.0	-2.286537	5.4928913	4.4590387	-29.217937	440000	1.7881394e-08	64.64528	-0.017232526	-47.721535	0.97174275	0.016022788	0.151625	99.0	132.87549996376038
