Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	12.303719997406006
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	22.45603847503662
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	5.9604646e-09	12.766607	-0.016394954	-10.363217	0.92279184	0.008582528	0.1312	99.0	32.16478776931763
3	0.063477516	1.2894946	2.659285	-2.5044496	1000.0	35.4	66.80299	219.0	0.0	-1.2104143	2.478713	0.49801126	-10.735247	40000	5.9604646e-09	30.507544	-0.017259864	-20.61228	0.9530853	0.014721142	0.1483	99.0	42.89875531196594
4	0.049822748	1.4008096	3.7314975	-1.7907753	1000.0	66.0	85.2983	293.0	0.0	-0.7546428	1.1435992	1.6750802	-11.474316	50000	0.0	66.79676	-0.021716436	-56.108498	0.9524492	0.008957812	0.1435	99.0	52.62189030647278
5	-0.29827112	2.2470405	3.2177095	-4.259192	1000.0	74.5	122.13374	342.0	0.0	-1.054749	1.6281496	1.2180016	-19.23256	60000	1.7881394e-08	143.57065	-0.019109173	-125.6508	0.9705826	0.007843455	0.11569999	99.0	62.57342600822449
6	0.32605788	1.4736651	2.7843437	-1.4857144	1000.0	28.9	46.9243	135.0	0.0	-4.1972213	8.888665	2.7774177	-41.63537	70000	-2.9802323e-09	76.564	-0.023346236	-61.695984	0.9872073	0.019854115	0.1839	99.0	72.90821313858032
7	-0.24767752	1.8096905	3.3527508	-3.0380433	1000.0	52.9	105.83237	352.0	0.0	-1.3517638	2.412293	4.5008097	-41.06906	80000	0.0	163.00359	-0.022128513	-152.67534	0.97854054	0.012993145	0.15419999	99.0	82.5266625881195
8	-0.99516106	1.3273435	0.6164535	-2.9820354	1000.0	18.3	43.24361	143.0	0.0	-1.0399394	3.7850883	4.755921	-46.273266	90000	-6.426126e-09	54.961914	-0.017252479	-44.008053	0.9961678	0.013773625	0.21400002	99.0	92.54802203178406
9	-0.074335955	2.2232323	4.577358	-3.8501558	1000.0	17.5	36.951996	124.0	0.0	-3.299946	9.477695	1.3522568	-45.701134	100000	1.1920929e-08	91.23429	-0.016239118	-89.12164	0.9714817	0.022671344	0.1362	99.0	102.5179009437561
10	-0.84149045	1.449778	0.97519433	-3.4894288	1000.0	23.7	65.62934	220.0	0.0	-1.815694	6.141818	3.0056782	-39.94506	110000	-6.7055224e-09	44.852753	-0.01621585	-40.99192	0.9648098	0.012376561	0.14930001	99.0	112.32267665863037
11	-1.7820301	1.6185918	0.04995183	-4.011946	1000.0	8.0	16.876019	52.0	0.0	-0.4847468	1.8591392	2.0829496	-35.223236	120000	-5.6810676e-09	9.415525	-0.015211913	-9.106771	0.9596549	0.014375796	0.1804	99.0	122.15983128547668
12	-0.41810036	1.9282779	2.296459	-4.069948	1000.0	24.9	56.463177	184.0	0.0	-0.61241233	2.6439278	0.466145	-24.499998	130000	-1.4901161e-09	45.059555	-0.018785512	-42.075386	0.96070206	0.008317489	0.1461	99.0	132.28767490386963
13	-0.79981095	1.2108591	0.8238001	-2.957859	1000.0	46.6	64.49062	190.0	0.0	-0.84496504	2.8484874	12.36646	-33.237736	140000	1.7881394e-08	126.236534	-0.023336176	-119.66211	0.9571943	0.009018856	0.15769999	99.0	142.59543204307556
14	-1.0344354	1.4080987	1.594653	-3.4747448	1000.0	0.0	0.0	0.0	0.0	-1.7199928	6.2004333	1.5640264	-36.87694	150000	2.9802323e-09	38.559517	-0.011600803	-38.332043	0.96729004	0.022205003	0.13210002	99.0	153.06738996505737
15	-0.49423003	1.4676816	2.730804	-2.264939	1000.0	6.1	14.25798	47.0	0.0	-0.06352182	0.27324393	1.5644882	-4.331333	160000	-5.9604646e-09	7.643103	-0.01456515	-2.0278552	0.9698001	0.018495195	0.1899	99.0	163.2494010925293
16	-0.089477986	1.0838804	2.3044305	-1.7265552	1000.0	21.0	50.05197	169.0	0.0	-0.31656417	0.53338104	0.15955001	-3.6755793	170000	-7.450581e-09	38.36482	-0.020160342	-23.849783	0.97800684	0.006419501	0.1527	99.0	173.4000084400177
17	-0.24600378	1.2511872	2.1468308	-2.5981495	1000.0	9.7	22.733456	75.0	0.0	-1.0093124	1.6150515	2.4483695	-11.115101	180000	-1.7881394e-08	19.343754	-0.018306745	-17.927982	0.9828745	0.029472709	0.1846	99.0	183.7506184577942
18	0.43524352	1.5162228	3.1941707	-1.8477967	1000.0	35.3	44.82198	135.0	0.0	-1.0051793	4.469834	0.49098122	-35.301823	190000	1.4901161e-08	61.49217	-0.021143513	-56.036522	0.98204577	0.008378542	0.1376	99.0	194.1181559562683
19	-0.41313642	2.0803084	4.015514	-4.122533	1000.0	26.8	45.13934	121.0	0.0	-1.8752346	4.204895	0.4454963	-31.81129	200000	-1.649605e-08	64.997055	-0.020058595	-54.074543	0.9920763	0.019145083	0.2222	99.0	204.90540838241577
20	-1.2814491	1.3844953	0.5747604	-4.084325	1000.0	0.0	0.0	0.0	0.0	0.089109324	1.0735042	4.327195	-13.556336	210000	0.0	1.0439571	-0.020152617	-0.98966676	0.9820992	0.018097434	0.21370001	99.0	215.53824734687805
21	-0.5370264	1.7015457	2.0905192	-3.6902297	1000.0	6.0	18.0	60.0	0.0	-0.011231724	0.7210556	3.805716	-14.46553	220000	5.9604646e-09	8.0889	-0.01986295	-7.702272	0.9509834	0.008892069	0.1652	99.0	225.85183000564575
22	-1.170194	0.95145047	0.6937244	-2.6480608	1000.0	4.1	10.4541855	35.0	0.0	-0.113105886	0.65984136	0.394629	-7.2884126	230000	-2.9802323e-09	2.2075362	-0.02016639	-1.9661276	0.94925976	0.030206162	0.2052	99.0	236.16259002685547
23	-0.7297728	1.1370927	1.3023276	-3.0010128	1000.0	2.7	8.1	27.0	0.0	-0.5720528	2.722107	2.573297	-26.413557	240000	-2.2351743e-09	9.030293	-0.016436955	-7.821139	0.935989	0.022810351	0.16360001	99.0	246.41046714782715
24	-1.2298136	2.1436577	1.9576102	-4.5182343	1000.0	0.0	0.0	0.0	0.0	-0.1312564	0.57445824	0.5278102	-6.4494486	250000	-5.9604646e-09	0.33168474	-0.018140541	-0.3264221	0.92045677	0.023857359	0.1971	99.0	256.33381605148315
25	-1.2078727	1.9875232	3.8055203	-3.5623145	1000.0	10.9	27.779308	93.0	0.0	-0.06281722	0.43587986	0.69103783	-7.5006595	260000	-5.9604646e-09	23.83069	-0.018053578	-20.86603	0.90316427	0.01034373	0.13890001	99.0	266.41349697113037
