Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6418497	0.96494645	1.8802447	-2.5386796	1000.0	69.45	138.93001	592.0	0.0	-0.014371193	0.08142273	0.16121596	-0.19938344	20000	0.0	20415.596	-0.018472292	-3160.1047	0.91893846	0.0064642774	0.097200006	99.0	16.61077117919922
1	-0.52599144	0.77975816	0.8943879	-2.3982902	1000.0	58.7	105.55193	456.0	0.0	-9.791042	13.008891	5.8508234	-35.984135	40000	-5.9604646e-09	24.625738	-0.018676477	-23.549004	0.93967736	0.014510077	0.16315	99.0	28.25672459602356
2	-0.44634897	1.044937	1.7718883	-2.9104111	1000.0	29.95	52.258472	179.0	0.0	-9.75491	13.5970125	3.0820944	-38.47755	60000	0.0	12.581665	-0.01728808	-9.268965	0.9353622	0.0127290385	0.13335	99.0	40.31160855293274
3	-0.23360512	0.88524157	1.6998329	-2.1344173	1000.0	36.35	87.14601	384.0	0.0	-11.121331	14.180972	3.630009	-38.910027	80000	1.6391278e-08	35.079628	-0.024156928	-30.97558	0.9308693	0.0109269135	0.16160001	99.0	52.170082569122314
4	-0.4542699	1.2462432	3.1990538	-2.919491	1000.0	29.85	53.7878	208.0	0.0	-12.534309	14.8693905	5.0857506	-39.439198	100000	-7.4505807e-10	16.666012	-0.023974983	-9.418797	0.92702854	0.015694918	0.17459999	99.0	64.08777809143066
5	-0.38551158	0.9451076	2.2781672	-2.2798872	1000.0	57.85	110.49221	411.0	0.0	-13.764703	15.024981	4.3987746	-40.240273	120000	2.682209e-08	190.54294	-0.02354143	-98.21531	0.91769874	0.010349836	0.1514	99.0	75.7554349899292
6	-0.3229074	1.2800043	2.5671294	-2.7169983	1000.0	19.35	35.175667	122.0	0.0	-15.575144	16.618093	3.6754544	-44.817196	140000	-2.2351743e-09	36.797874	-0.019382056	-27.403202	0.91122615	0.011551881	0.15655	99.0	87.73990726470947
7	-0.8431059	1.0342462	1.5936457	-2.6097693	1000.0	19.25	48.64039	192.0	0.0	-16.933193	16.597631	4.3082423	-46.708126	160000	-5.9604646e-09	39.1904	-0.020758536	-19.461048	0.9055637	0.009364726	0.14930001	99.0	99.75615763664246
8	-0.8302681	1.8204905	2.023676	-4.7057424	1000.0	18.45	33.03101	117.0	0.0	-17.557558	16.980637	4.17809	-47.557095	180000	-1.1920929e-08	37.920433	-0.023687677	-14.609301	0.90060747	0.022481283	0.19315	99.0	111.77722311019897
9	-0.7269349	1.5110072	2.8522353	-2.388801	1000.0	43.95	112.16527	482.0	0.0	-18.795916	16.74424	3.8527174	-50.75923	200000	5.9604646e-09	310.44147	-0.025913227	-89.10829	0.8940891	0.015506066	0.16045	99.0	123.60698556900024
