Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2678992	1.100447	0.5530107	-3.5968943	1000.0	12.85	42.22709	183.0	0.0	0.013276967	0.05259876	0.15450138	-0.16089106	20000	-1.4901161e-09	795.48596	-0.01268881	-198.26128	0.91893846	0.0081863655	0.090749994	99.0	22.095158338546753
1	-0.9426977	2.1956236	6.0309744	-4.371494	1000.0	35.7	103.86149	425.0	0.0	-2.639396	8.52985	6.10112	-32.891468	40000	0.0	3.7742627	-0.02026929	-3.557222	0.93365085	0.010270545	0.14140001	99.0	33.960063219070435
2	-1.0665038	1.1878119	0.7801104	-4.419008	1000.0	34.6	82.9442	350.0	0.0	-3.408445	8.67035	5.7580166	-33.214138	60000	8.940697e-09	3.6763515	-0.02158858	-3.4006386	0.92615926	0.013644977	0.14845	99.0	46.22205114364624
3	-0.767336	0.8923247	1.1185982	-2.1093597	1000.0	46.2	75.75328	304.0	0.0	-3.9615192	9.071525	4.7157297	-35.237095	80000	-4.4703485e-09	15.574442	-0.02486502	-13.816336	0.91923827	0.015232566	0.17305	99.0	58.049718618392944
4	-0.59885275	1.2974554	2.3727894	-3.8937025	1000.0	38.4	89.63504	361.0	0.0	-5.1969943	9.988799	7.162745	-38.19469	100000	-2.9802323e-09	61.14314	-0.024446797	-55.626137	0.9108182	0.017213393	0.16209999	99.0	69.433180809021
5	-0.8579241	1.5953202	3.1052291	-4.2645707	1000.0	61.75	161.56667	628.0	0.0	-7.8133655	12.757724	2.4095504	-47.08506	120000	-1.1920929e-08	267.8682	-0.021605289	-226.08464	0.9107283	0.00824296	0.1336	99.0	81.12009906768799
6	-0.3823679	1.5752522	2.69563	-3.923081	1000.0	24.4	51.12964	207.0	0.0	-12.134124	16.695932	5.0336447	-53.644573	140000	1.1920929e-08	39.090015	-0.020619955	-37.376316	0.9038018	0.012277743	0.14825001	99.0	92.72377133369446
7	-1.4354383	1.3979195	0.58644545	-3.9709563	1000.0	52.95	78.53119	237.0	0.0	-12.395272	15.195191	24.638397	-54.283703	160000	-2.9802323e-09	190.77145	-0.0147449495	-179.63301	0.9074284	0.010931217	0.1351	99.0	104.58681631088257
8	-1.2941835	1.6290445	2.3438294	-4.11255	1000.0	44.2	77.3302	225.0	0.0	-16.017235	15.232072	0.4792953	-53.66548	180000	-4.4703485e-09	298.46564	-0.021954885	-287.2072	0.90607375	0.015801897	0.18379998	99.0	116.5548882484436
9	-0.8228661	1.8374922	5.270032	-4.3757167	1000.0	36.95	50.54451	175.0	0.0	-17.327291	18.483341	12.439149	-68.274635	200000	-5.9604646e-09	198.30557	-0.01854314	-192.3804	0.9037094	0.013120244	0.15214999	99.0	128.24183320999146
10	-1.1804031	1.8659271	3.0097184	-4.5431128	1000.0	30.2	68.49423	301.0	0.0	-20.919863	21.257595	-0.44739515	-74.48583	220000	7.4505807e-10	207.05315	-0.020255934	-193.94235	0.8946568	0.012795577	0.1516	99.0	140.18459701538086
