Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2274805	0.78807545	-0.3903853	-2.999944	1000.0	37.4	74.46503	247.0	0.0	0.02529566	0.059379872	0.1724592	-0.13811667	10000	-2.3841858e-08	277.97864	-0.018385459	-84.688286	0.91893846	0.007024467	0.1127	99.0	6.335683345794678
1	-0.17602842	1.565642	2.9578962	-1.8394009	1000.0	23.8	55.31329	182.0	0.0	-3.2346413	5.7438836	5.9983225	-17.488798	20000	-5.364418e-08	36.15397	-0.019751746	-34.39367	0.926208	0.009265734	0.13780001	99.0	11.645841121673584
2	-0.7917932	1.6572963	3.0274403	-3.1192884	1000.0	23.4	36.770096	100.0	0.0	-0.60003674	1.0017201	0.8282298	-5.2348814	30000	-5.9604646e-09	1.895847	-0.019072952	-1.5190827	0.91913545	0.01039986	0.1279	99.0	16.96127486228943
3	-0.5916749	1.52905	1.2005028	-3.5783124	1000.0	25.3	48.408775	157.0	0.0	-0.4344802	0.7327905	0.9146284	-3.6185243	40000	0.0	4.2290273	-0.018542666	-1.6780621	0.8946026	0.011782476	0.1268	99.0	22.16783571243286
4	-0.8564207	1.6601369	2.0063272	-3.9467096	1000.0	36.9	63.011826	181.0	0.0	-0.45002183	0.8695817	0.7496826	-2.975421	50000	1.7881394e-08	12.848513	-0.018873822	-10.735891	0.90273035	0.014407771	0.1284	99.0	27.58146095275879
5	-0.67703265	0.98472214	0.81041956	-2.439368	1000.0	18.1	34.253323	112.0	0.0	-0.71863914	1.6725909	5.603672	-10.012635	60000	-1.899898e-08	7.532345	-0.019619947	-6.4047537	0.91661817	0.00876868	0.1417	99.0	32.81102132797241
6	-0.4389239	2.6017156	3.6564322	-5.384584	1000.0	39.0	95.445274	318.0	0.0	-0.4100225	1.7863084	6.690344	-11.586432	70000	2.3841858e-08	32.28918	-0.01825779	-26.660868	0.9228379	0.009179631	0.1498	99.0	38.07790017127991
7	-0.77895194	1.8231794	2.2203174	-4.830686	1000.0	60.4	124.76715	421.0	0.0	-1.8406655	4.8432956	9.466692	-17.085993	80000	-5.9604646e-09	98.28528	-0.02191253	-85.92334	0.9099436	0.0075759874	0.13039999	99.0	43.28077983856201
8	-1.097939	3.155748	5.080244	-7.9657254	1000.0	56.1	136.18256	458.0	0.0	-2.2369812	4.464009	13.684223	-26.151049	90000	5.9604646e-09	60.7406	-0.017546851	-38.9727	0.9072944	0.004530321	0.13010001	99.0	48.40473484992981
9	-1.5155685	1.5838431	0.42841154	-4.9039254	1000.0	48.7	100.94063	345.0	0.0	-3.165846	8.161509	15.878431	-27.626778	100000	-1.3411045e-08	141.92651	-0.021645848	-126.163574	0.90024626	0.026091114	0.22190002	99.0	53.761980295181274
10	-0.76066005	0.73812157	0.05382236	-2.5989468	1000.0	17.5	32.757442	107.0	0.0	-2.1877868	6.1215167	4.7984867	-33.840054	110000	-1.1175871e-09	62.090496	-0.020044075	-57.9924	0.9155599	0.019321155	0.19100001	99.0	59.039066553115845
11	-0.81963825	2.0887592	3.0356574	-4.0666428	1000.0	53.1	80.09675	217.0	0.0	-1.7671742	4.199178	12.384943	-33.684856	120000	-1.1920929e-08	113.437256	-0.024477307	-65.597824	0.91468716	0.007990124	0.1734	99.0	64.24348974227905
