Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6728469	0.9107889	1.4350452	-2.999944	1000.0	34.35	69.32696	247.0	0.0	0.02563742	0.05898241	0.17846854	-0.13811667	20000	-1.9371509e-08	253.46101	-0.014036809	-55.73294	0.9189385	0.006844902	0.11235	99.0	10.460691452026367
1	-0.71711165	1.2217811	1.6250387	-2.8520827	1000.0	27.7	55.12359	180.0	0.0	-3.9940782	5.2706747	4.379093	-15.516451	40000	3.2782555e-08	37.261845	-0.01520516	-35.791576	0.92230713	0.009359904	0.10215	99.0	20.3989520072937
2	-0.414776	1.1160139	1.8698212	-2.7907646	1000.0	54.75	96.419846	377.0	0.0	-0.41465184	0.5332177	1.0592514	-2.2178183	60000	0.0	5.8679895	-0.0165447	-3.3889365	0.9174984	0.01050801	0.12745	99.0	30.133960247039795
3	-1.4915603	1.7451782	1.8318595	-4.3149037	1000.0	31.75	86.23391	370.0	0.0	-1.1876837	1.88829	1.522871	-7.846479	80000	1.1920929e-08	27.6414	-0.012470184	-11.717975	0.9339504	0.008450267	0.11695	99.0	40.04706263542175
4	-1.1844342	1.8853298	1.6979811	-6.547522	1000.0	38.0	57.912865	169.0	0.0	-0.75392723	1.2903676	0.91388345	-7.580969	100000	1.7881394e-08	31.937662	-0.015988741	-13.792227	0.9362973	0.0088540865	0.13025	99.0	49.63704442977905
5	-0.7029413	1.5260811	2.730285	-3.6317887	1000.0	46.35	83.58365	304.0	0.0	-1.5410671	2.452296	5.2167907	-9.338757	120000	1.1920929e-08	53.250824	-0.017351337	-41.26419	0.94874346	0.007989786	0.13630001	99.0	59.61101484298706
6	-1.4252898	1.1505134	0.3962421	-3.883848	1000.0	32.2	71.677475	262.0	0.0	-1.4474515	4.239148	18.305311	-20.109062	140000	-8.940697e-09	65.8522	-0.01750628	-37.191807	0.94819295	0.012008826	0.1464	99.0	69.64343762397766
7	-0.7036097	1.1961876	1.3133211	-3.8576155	1000.0	41.25	93.10955	306.0	0.0	-2.9166374	5.446199	12.474611	-26.100193	160000	1.4342367e-08	98.7443	-0.016380735	-84.14958	0.9473027	0.017677724	0.1548	99.0	79.78238272666931
8	-1.4516363	1.0775064	0.42252374	-4.0163565	1000.0	39.55	62.9297	219.0	0.0	-2.3567603	5.975123	22.36554	-31.98472	180000	0.0	80.796165	-0.017736856	-66.60353	0.9583882	0.013637623	0.18504998	99.0	89.97404742240906
9	-1.5135223	1.5835763	1.4578633	-4.8582425	1000.0	34.1	68.780014	264.0	0.0	-3.2834911	6.5777845	1.3285165	-22.451826	200000	8.195639e-09	79.1475	-0.018131569	-62.057983	0.93836844	0.014904447	0.1448	99.0	100.03130745887756
