Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	21.94923996925354
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	43.409815073013306
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	-1.1920929e-08	3.1641815	-0.010520029	-0.76506263	0.92084205	0.007982499	0.09875	99.0	65.45403528213501
3	-0.717633	1.5699729	3.130397	-4.6452975	1000.0	48.5375	87.39521	387.0	0.0	-0.6561213	0.42769894	0.92478937	-2.379923	320000	-7.450581e-09	15.003021	-0.011144845	-6.211791	0.9290371	0.006186054	0.0904625	99.0	87.00923013687134
4	-0.7999046	1.4957018	2.399302	-5.117216	1000.0	50.7125	89.59676	346.0	0.0	-1.3086694	1.6233513	3.2679973	-13.247708	400000	0.0	36.893795	-0.012499332	-23.815073	0.94024694	0.00605789	0.087699994	99.0	108.90515732765198
5	-0.5465364	1.4880145	1.9869515	-6.7536087	1000.0	43.6	75.26463	402.0	0.0	-2.1251805	4.0130754	2.944578	-18.565647	480000	-2.2351743e-09	55.511055	-0.013893587	-30.173899	0.9465002	0.010396878	0.1311625	99.0	130.5889871120453
6	-0.8272093	2.128706	3.3796124	-7.9319386	1000.0	41.4125	96.32103	459.0	0.0	-1.660684	3.444716	3.2170615	-22.951326	560000	2.9802323e-09	74.67649	-0.014162406	-54.14203	0.9379722	0.008144249	0.11646251	99.0	153.16496086120605
7	-1.302843	2.006285	2.2418008	-7.5975976	1000.0	24.85	68.52392	373.0	0.0	-1.6732297	5.1359367	5.354128	-31.213022	640000	2.9802323e-09	50.861286	-0.012612799	-38.543564	0.9412087	0.010524933	0.1264875	99.0	175.50990748405457
8	-1.0828224	1.7587178	1.9811957	-5.5118146	1000.0	30.2875	70.13865	480.0	0.0	-1.3653464	3.839858	2.845991	-31.577946	720000	1.4901161e-09	60.781994	-0.0132129	-44.683174	0.93542325	0.009812778	0.13117501	99.0	197.2754771709442
9	-1.3089192	1.9181122	2.9903738	-7.438447	1000.0	21.6	67.05773	417.0	0.0	-0.88760734	2.5564988	3.145117	-34.123825	800000	5.9604646e-09	52.66499	-0.011889194	-36.066322	0.9249202	0.0070549645	0.1051625	99.0	219.04063487052917
10	-1.1508611	1.5895364	3.4053297	-5.752919	1000.0	21.8375	66.74718	505.0	0.0	-1.2906573	3.8003137	15.480645	-35.336414	880000	-1.1175871e-09	49.331318	-0.012756783	-40.729958	0.92640984	0.00830683	0.116812505	99.0	240.67210793495178
11	-1.16189	1.8350102	3.4384177	-6.166556	1000.0	26.725	65.34007	326.0	0.0	-0.73866045	3.712169	22.077776	-38.1852	960000	0.0	61.263977	-0.012756409	-53.94497	0.9288392	0.007341785	0.10573749	99.0	262.5907030105591
12	-0.8661746	2.3931582	4.930622	-8.870367	1000.0	23.9875	65.67829	433.0	0.0	-1.3444753	4.704816	2.7382092	-39.423157	1040000	0.0	65.78462	-0.013344325	-45.37691	0.9320532	0.010162021	0.140925	99.0	284.87673449516296
13	-1.7103393	2.1698246	4.081024	-9.1163225	1000.0	6.8375	47.237812	414.0	0.0	-0.860458	2.2244139	6.0210466	-41.414055	1120000	5.9604646e-09	21.58841	-0.011959911	-18.582617	0.91511965	0.008896869	0.10986249	99.0	306.5520250797272
14	-1.667227	2.570969	5.7475557	-10.182777	1000.0	16.1125	44.57297	246.0	0.0	-0.49986407	2.7559109	2.9523106	-44.823086	1200000	5.2154063e-09	33.439484	-0.011292579	-21.072983	0.8992214	0.0072069005	0.1061125	99.0	328.776083946228
15	-1.682996	2.3029327	4.0282884	-9.5622425	1000.0	8.05	25.001451	147.0	0.0	-0.8511024	2.278698	12.107011	-35.14592	1280000	1.4901161e-09	12.377039	-0.012544109	-5.7910604	0.9027004	0.0099713	0.1168625	99.0	350.47313261032104
16	-1.9753577	2.1129386	2.1377206	-9.422724	1000.0	9.8625	43.06122	349.0	0.0	-0.5291525	1.5179453	7.5134134	-24.166151	1360000	-2.9802323e-09	17.495192	-0.012126567	-9.936159	0.8960471	0.007908872	0.099775	99.0	372.50224924087524
17	-1.7386963	3.0493085	5.893015	-12.300746	1000.0	13.625	42.089302	271.0	0.0	-0.77931243	2.7267668	3.089897	-16.758041	1440000	-1.4901161e-09	24.301033	-0.01200377	-13.945208	0.8963944	0.009611805	0.133025	99.0	394.4490776062012
18	-1.3286474	2.3590684	4.6609144	-9.921987	1000.0	15.6375	49.74265	292.0	0.0	-1.0064113	3.021477	32.592613	-20.287092	1520000	-1.1920929e-08	33.420578	-0.014743878	-26.511374	0.89369166	0.013183201	0.1483125	99.0	416.8719255924225
