Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	11.211576223373413
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	21.76216697692871
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	-1.7881394e-08	0.38657847	-0.020020803	-0.32756418	0.91909635	0.011193532	0.1433	99.0	31.629862785339355
3	-0.86222154	1.2001194	0.7947768	-3.6297164	1000.0	113.2	110.987206	336.0	0.0	-0.16181666	0.22973612	0.7103571	-0.8114375	40000	2.3841858e-08	55.373646	-0.020605762	-29.361181	0.90292346	0.00889111	0.1286	99.0	41.34640574455261
4	-0.8705658	1.5677142	1.7236091	-3.2979832	1000.0	62.5	61.576374	172.0	0.0	-2.7345483	2.6069915	0.365839	-9.816484	50000	9.685754e-09	53.764366	-0.02233606	-36.64672	0.91401255	0.010684615	0.15	99.0	51.238730907440186
5	-1.0619981	0.87830323	0.2816881	-2.3635826	1000.0	50.2	67.13241	214.0	0.0	-1.7563987	3.334871	4.016175	-19.162659	60000	-2.9802323e-09	84.53391	-0.023624428	-68.22273	0.91037786	0.0108536	0.14970002	99.0	61.111639976501465
6	-1.781935	1.2697134	-0.2410655	-3.5747895	1000.0	12.0	16.619267	40.0	0.0	-2.856917	6.5997543	5.395777	-29.651018	70000	-5.9604646e-09	42.744976	-0.023036748	-38.147594	0.91124666	0.01793003	0.1562	99.0	70.98826766014099
7	-1.2176411	1.1419432	0.5574027	-3.1397154	1000.0	2.5	7.5	25.0	0.0	-0.77421635	1.7018874	6.4587326	-17.39408	80000	0.0	2.7167563	-0.018697891	-2.556655	0.896912	0.018377984	0.17880002	99.0	80.4915542602539
8	-1.2207372	1.6730888	0.68138963	-5.066945	1000.0	13.8	28.627956	86.0	0.0	-0.029719245	0.5184716	2.320903	-5.777502	90000	-2.0861625e-08	12.775058	-0.016312871	-9.832322	0.8692981	0.0026335558	0.1143	99.0	90.3339614868164
9	-1.0334395	1.0840087	0.64077795	-3.0779917	1000.0	158.0	190.16835	494.0	0.0	-1.6221067	3.3541312	8.443561	-20.916185	100000	2.9802323e-09	503.6208	-0.02367861	-447.65826	0.8818244	0.00551039	0.1242	99.0	100.59572744369507
10	-0.9646098	1.1216794	0.8827349	-3.0521545	1000.0	76.4	120.01434	352.0	0.0	-5.8001127	10.950306	4.228013	-47.437305	110000	8.381903e-10	328.51523	-0.021158913	-256.8855	0.8781847	0.012242262	0.14220001	99.0	111.09712386131287
11	-1.0031497	1.1899337	1.5421962	-2.785649	1000.0	92.7	119.609406	360.0	0.0	-6.474297	12.629407	2.8392801	-47.919956	120000	-8.195639e-09	154.38512	-0.023705354	-123.170364	0.8744092	0.011494486	0.15309998	99.0	121.23789596557617
12	-1.3348938	1.9182273	1.9349918	-4.8377047	1000.0	26.6	41.18058	101.0	0.0	-10.347232	17.764053	48.83986	-51.012787	130000	3.2782555e-08	358.0305	-0.024080714	-318.04318	0.87313855	0.017505327	0.1427	99.0	131.4015507698059
13	-0.87460756	1.1225883	0.54032594	-3.2601402	1000.0	10.4	22.303364	70.0	0.0	-2.860931	4.4738555	25.262226	-44.5029	140000	-8.940697e-09	36.458786	-0.020469751	-25.212837	0.86317956	0.01356522	0.1729	99.0	141.35587763786316
14	-0.61774844	1.4135137	3.0477574	-2.2311685	1000.0	78.2	203.17715	681.0	0.0	-0.77281666	1.7876996	6.8464103	-12.478345	150000	-5.9604646e-09	346.29538	-0.019771952	-305.73892	0.85309446	0.0033425852	0.094500005	99.0	151.51766514778137
15	-0.64401376	1.0388384	1.1407273	-2.8080986	1000.0	28.9	38.9036	121.0	0.0	-3.8778594	10.753002	27.638079	-55.392735	160000	-1.4901161e-09	131.04721	-0.018721795	-84.55079	0.85735047	0.02144617	0.1772	99.0	161.56533455848694
16	-0.5568642	1.359842	1.42859	-3.602512	1000.0	144.7	275.2581	861.0	0.0	-2.0367236	3.1455383	1.8560876	-30.742855	170000	1.7881394e-08	688.4535	-0.025738722	-493.78497	0.83742726	0.008224325	0.12420001	99.0	170.92201781272888
17	-1.3631346	1.2335755	0.77508336	-3.2169259	1000.0	10.1	30.300001	101.0	0.0	-9.908603	19.292885	1.8066833	-48.322117	180000	2.9802322e-08	342.78668	-0.02312746	-327.24197	0.8460058	0.014541902	0.12719998	99.0	181.12207460403442
18	-0.8111557	0.76189625	0.28761676	-1.943728	1000.0	26.0	58.969482	199.0	0.0	-0.95111895	3.37817	2.1827517	-27.829477	190000	8.195639e-09	91.718315	-0.021204641	-27.29852	0.80795556	0.022111801	0.1676	99.0	191.0672092437744
19	-1.2691493	1.6147747	0.85331666	-4.6248465	1000.0	11.3	30.113283	101.0	0.0	-1.6758199	2.4064875	1.2282	-19.430374	200000	9.348151e-09	26.587086	-0.02031758	-25.038513	0.8082286	0.0105993645	0.11919999	99.0	200.62492156028748
20	-2.2767901	1.0653976	-0.22231624	-4.487984	1000.0	30.6	73.99081	251.0	0.0	-0.21007644	0.33128622	0.61925143	-1.7186785	210000	5.9604646e-09	95.6129	-0.01913089	-61.479927	0.7884045	0.0015578271	0.103	99.0	210.3692762851715
21	-1.8553013	1.7328471	-0.20517178	-5.995869	1000.0	85.9	122.400536	315.0	0.0	-2.3094313	5.6468062	1.7349288	-23.803205	220000	-5.066395e-08	394.6414	-0.026585177	-347.11652	0.8059856	0.007912008	0.11999999	99.0	220.15189480781555
22	-1.4510899	2.4714642	1.6216246	-7.0939035	1000.0	0.0	0.0	0.0	0.0	-2.5542715	5.0121555	0.5642175	-36.444588	230000	3.576279e-08	30.28448	-0.015313481	-30.037067	0.80691636	0.017178629	0.1349	99.0	230.48020672798157
23	-2.0125086	1.4912229	0.87052876	-3.6958163	1000.0	19.8	59.399994	198.0	0.0	-1.1202273	7.213302	0.71235305	-72.70024	240000	7.450581e-09	41.827297	-0.013297118	-40.195484	0.7883708	0.0040069115	0.1258	99.0	240.0742518901825
24	-1.9431537	1.8359357	1.7061442	-4.747493	1000.0	15.2	32.547813	102.0	0.0	-1.1289443	3.944368	2.2518566	-23.3063	250000	-2.9802323e-09	42.776024	-0.019484773	-29.371054	0.76740825	0.015956765	0.1761	99.0	250.73174810409546
25	-0.7728659	2.1573484	2.142932	-6.555336	1000.0	10.6	15.564061	40.0	0.0	-1.4076974	2.9855924	1.5346056	-17.620695	260000	0.0	10.254725	-0.022941427	-4.964738	0.76567835	0.019130895	0.1708	99.0	260.62808752059937
26	-2.0792794	2.0461535	0.40836823	-7.3151836	1000.0	63.7	119.14868	408.0	0.0	-2.9719105	6.5065136	0.888947	-31.35326	270000	2.9802322e-08	268.77698	-0.01783559	-226.55261	0.7682892	0.0030315663	0.11549999	99.0	271.12194991111755
27	-2.3179772	1.4692246	0.21789348	-4.345495	1000.0	2.2	4.422669	12.0	0.0	-1.0305468	2.5076656	1.2473137	-15.373839	280000	5.9604646e-09	6.947873	-0.022617577	-6.1830835	0.758147	0.016137037	0.1828	99.0	281.05735516548157
28	-2.4617238	1.6859924	0.021070303	-5.574558	1000.0	7.4	18.023317	60.0	0.0	-0.4124212	0.47503772	0.5387306	-6.7299933	290000	5.9604646e-09	9.546925	-0.018438198	-5.187064	0.7435779	0.008295445	0.0975	99.0	290.92848563194275
29	-1.8500903	1.8343724	1.0101492	-4.976549	1000.0	9.0	27.0	90.0	0.0	-0.9687419	2.335237	0.5278669	-10.13553	300000	1.4156103e-08	16.689442	-0.015417601	-4.065428	0.7559561	0.009800052	0.12349999	99.0	300.7154369354248
30	-2.4079223	1.7646705	0.38572708	-5.183519	1000.0	50.7	86.58181	226.0	0.0	-0.6726205	2.4547796	1.0059345	-27.423834	310000	2.0861625e-08	109.44966	-0.019004881	-76.803154	0.73202986	0.0029183663	0.1135	99.0	311.37547397613525
31	-1.6720749	1.9852915	1.5662119	-5.5076737	1000.0	0.0	0.0	0.0	0.0	-0.17039378	1.4201515	2.4937813	-23.23301	320000	-1.4901161e-09	2.0126328	-0.018425656	-1.9917158	0.7419734	0.010501315	0.12979999	99.0	321.12453413009644
32	-1.9093883	0.87541926	-0.092226945	-3.2063482	1000.0	7.5	22.5	75.0	0.0	-0.6559662	2.7754254	0.7919692	-26.67854	330000	-2.8871e-09	22.765808	-0.0071015693	-13.139021	0.7143094	0.011813544	0.13440001	99.0	331.4563629627228
33	-2.4104466	1.7617264	0.21716274	-5.265984	1000.0	12.4	20.001	52.0	0.0	-0.48116538	0.9946138	1.4740534	-9.056978	340000	0.0	18.340082	-0.019752972	-14.32538	0.72222334	0.01254482	0.1518	99.0	341.5228462219238
34	-1.631908	1.3103074	-0.3006366	-4.060675	1000.0	10.6	17.533968	45.0	0.0	-0.40783316	1.2333604	2.8520985	-9.322719	350000	-1.5646219e-08	13.159288	-0.020308536	-10.698182	0.72818667	0.008496012	0.15779999	99.0	351.389954328537
35	-2.4538445	1.3699232	0.22629072	-4.6838284	1000.0	13.5	21.322523	56.0	0.0	-0.7095434	2.5193775	2.381191	-14.986598	360000	-2.9802323e-09	15.563187	-0.017590588	-12.338011	0.7257876	0.008754924	0.1215	99.0	361.1790044307709
36	-2.2139661	1.6808573	0.9645868	-5.7684255	1000.0	9.2	14.3443365	38.0	0.0	-0.7708305	2.564219	1.5684203	-18.6974	370000	-5.9604646e-09	7.3476195	-0.023567848	-5.133271	0.71657383	0.025303507	0.2234	99.0	371.24663853645325
37	-2.455824	1.3717903	-0.64076924	-5.3969855	1000.0	6.0	12.00833	31.0	0.0	-0.70794016	2.8712802	1.6085284	-21.176374	380000	-1.4901161e-09	7.8183618	-0.021414492	-7.522905	0.6908005	0.017818162	0.1816	99.0	381.29020643234253
38	-1.7738454	1.9346993	1.2557971	-4.262066	1000.0	20.4	28.111206	82.0	0.0	-1.1066427	3.3724544	1.4888062	-18.468727	390000	0.0	43.5148	-0.023422109	-36.92562	0.6469786	0.018199239	0.2246	99.0	391.5753011703491
39	-2.1822157	1.8530173	0.69236535	-6.116463	1000.0	9.0	15.594871	49.0	0.0	-0.897203	2.843709	2.1921022	-28.333492	400000	-2.2351743e-09	12.20085	-0.022681307	-8.913752	0.6532968	0.01772664	0.1607	99.0	401.1604561805725
40	-2.063245	2.292432	0.80121195	-6.686573	1000.0	36.3	70.555016	224.0	0.0	-1.2808594	2.9268563	24.842978	-15.864109	410000	2.9802323e-09	103.77095	-0.025907505	-79.02053	0.64024204	0.007458982	0.1769	99.0	411.35701394081116
41	-1.3070319	1.3080559	-0.02460024	-3.7199912	1000.0	0.0	0.0	0.0	0.0	-2.2676024	6.5198193	0.78935003	-33.42768	420000	1.7881394e-08	40.408413	-0.014530813	-37.039467	0.6238974	0.024771059	0.1489	99.0	421.64392852783203
42	-1.7184317	1.6175052	0.69586873	-4.3678946	1000.0	9.7	20.070127	60.0	0.0	-0.09186827	0.25287196	0.6884781	-2.2813418	430000	1.1920929e-08	15.46328	-0.015349587	-3.8205314	0.61215454	0.009132746	0.16780001	99.0	431.66970443725586
43	-1.3594446	1.1317776	0.20686634	-3.1052864	1000.0	16.6	26.800001	68.0	0.0	-0.68806875	0.8585548	1.0141793	-4.0555696	440000	4.4703485e-09	21.016006	-0.026278798	-16.45568	0.6158855	0.01573297	0.1541	99.0	441.52283692359924
