Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.50852835	0.90502435	0.7819799	-1.8024507	1000.0	28.6	54.327156	161.0	0.0	0.022653088	0.09137637	0.25794736	-0.20115301	10000	-2.9802323e-09	183.46881	-0.015739381	-57.528736	0.91893846	0.0051816506	0.0939	99.0	6.287700653076172
1	-1.2919755	1.2683668	0.59059143	-3.7540445	1000.0	94.7	101.551025	267.0	0.0	-3.3489184	5.8725014	2.9976969	-16.622898	20000	1.0430813e-08	37.920586	-0.01737943	-36.091286	0.92802083	0.010273929	0.1159	99.0	11.795666694641113
2	-1.4688014	1.7434481	0.5031252	-4.565055	1000.0	72.0	141.54858	474.0	0.0	-0.5130647	0.6856971	0.20954871	-2.227122	30000	-1.1920929e-08	82.43337	-0.017730752	-59.157818	0.92566824	0.006219481	0.1206	99.0	17.346266984939575
3	-0.90192175	1.8385191	2.976016	-3.8569226	1000.0	57.2	85.96721	265.0	0.0	-2.2841094	5.0987396	0.32924515	-17.112633	40000	-1.3411045e-08	118.7256	-0.01771835	-80.61016	0.9312261	0.006862515	0.13000001	99.0	22.7614803314209
4	-2.1067288	1.6453614	-0.3996588	-5.276602	1000.0	12.4	37.199997	124.0	0.0	-1.5359608	1.9583076	0.68661046	-20.005507	50000	0.0	24.490833	-0.013728626	-7.6616898	0.9551395	0.015440911	0.14719999	99.0	28.076791524887085
5	-0.76589227	1.0582823	0.36816484	-2.7564363	1000.0	64.0	140.81548	476.0	0.0	-0.84630156	1.8405174	1.0136486	-7.075466	60000	2.0861625e-08	154.03333	-0.016615652	-103.468735	0.98257315	0.0029723675	0.0976	99.0	33.30188775062561
6	-1.1000067	1.2202455	0.60361856	-3.9973314	1000.0	34.1	43.387672	108.0	0.0	-2.8148253	6.1716785	0.57538605	-21.278801	70000	7.450581e-09	75.03433	-0.020924574	-56.76353	0.9924251	0.039141394	0.21199998	99.0	38.75156760215759
7	-1.650416	1.417327	0.15994687	-4.2740655	1000.0	64.9	120.22683	408.0	0.0	-1.0931702	2.446487	0.8943778	-18.282	80000	-1.1920929e-08	175.97421	-0.020322736	-136.33792	1.0097367	0.0047885412	0.1152	99.0	44.06507062911987
8	-1.2466377	1.8442593	3.08404	-3.6466367	1000.0	29.3	59.615517	171.0	0.0	-3.19609	6.9484735	6.2289495	-24.691954	90000	-8.940697e-09	115.62795	-0.02168603	-92.19111	1.0160077	0.022518056	0.1698	99.0	49.159953117370605
9	-1.4114268	1.5430804	0.61789924	-3.9096365	1000.0	32.5	65.75751	217.0	0.0	-2.8187191	6.4385924	0.5540777	-26.1885	100000	-1.1920929e-08	94.82428	-0.023577798	-70.7628	1.0130965	0.01478375	0.168	99.0	54.746551275253296
10	-0.7493186	1.1338903	0.5126654	-3.283434	1000.0	28.5	71.599236	241.0	0.0	-2.040195	3.4284904	0.680303	-19.851994	110000	1.8626451e-08	59.236927	-0.025568161	-49.676662	1.007013	0.015485014	0.16440001	99.0	60.23982357978821
11	-0.9421617	1.187514	2.1135082	-1.980896	1000.0	34.1	58.691483	159.0	0.0	-1.7410935	3.8205059	2.061901	-28.456598	120000	-2.9802323e-09	79.683975	-0.023314271	-70.356094	1.0255209	0.027536761	0.1658	99.0	65.7416775226593
12	-1.0577571	1.2137686	1.4454057	-3.0500648	1000.0	23.9	46.532677	145.0	0.0	-0.5367406	2.1146114	1.1285297	-32.74862	130000	1.1920929e-08	56.12005	-0.02013313	-33.776253	1.032839	0.015370101	0.181	99.0	70.90170502662659
13	-1.5721565	3.0355875	0.41880587	-10.385856	1000.0	22.0	54.788685	183.0	0.0	-2.66415	5.388814	1.3442941	-21.715183	140000	-2.8312206e-08	59.996387	-0.025484074	-55.039192	1.0476141	0.019177694	0.1934	99.0	76.23372435569763
14	-0.82488596	1.2170446	1.1212093	-2.9494462	1000.0	39.6	56.329742	179.0	0.0	-1.9673908	4.126775	1.0442859	-24.399887	150000	-1.7881394e-08	86.23422	-0.023821278	-76.64336	1.0199825	0.016836079	0.18689999	99.0	81.51205396652222
15	-2.2705846	3.8939922	0.55010825	-12.503289	1000.0	35.7	87.27663	296.0	0.0	-3.1008923	7.2675414	0.594312	-29.924562	160000	5.9604646e-09	56.03667	-0.023551289	-50.419357	1.0213008	0.02710477	0.20750001	99.0	86.97628569602966
16	-3.147077	4.4771876	2.5086474	-13.583038	1000.0	7.8	14.891608	48.0	0.0	-1.481558	2.8248277	0.30571932	-14.985553	170000	4.4703485e-09	11.989844	-0.020975549	-8.695375	1.0287356	0.027130863	0.17469999	99.0	92.54670596122742
17	-2.08149	3.4026759	1.4827898	-11.461165	1000.0	54.9	94.34983	273.0	0.0	-0.8528427	1.1318285	0.4531849	-4.5805917	180000	1.7881394e-08	156.7958	-0.026963884	-108.68062	1.0075874	0.0067059086	0.15040001	99.0	97.82945227622986
18	-3.2867513	5.0321846	0.60987335	-14.121682	1000.0	24.9	65.02684	218.0	0.0	-1.8354214	5.214708	0.9863072	-27.679409	190000	1.0430813e-08	48.279	-0.021975214	-38.00477	1.0118295	0.015526934	0.1519	99.0	103.49343538284302
19	-0.69002426	1.5990113	2.3829217	-3.1497982	1000.0	39.4	94.69551	320.0	0.0	-1.1189269	4.0806794	0.96553653	-26.192747	200000	0.0	156.48343	-0.017861813	-105.673744	1.00212	0.0007435877	0.1143	99.0	108.86743903160095
20	-2.5245855	3.8357644	0.27277693	-13.581933	1000.0	3.8	7.613147	20.0	0.0	-0.81978184	2.0619426	5.5815306	-33.25742	210000	8.940697e-09	5.876815	-0.02138419	-5.1153145	1.0074419	0.0244023	0.19590001	99.0	114.28554773330688
21	-2.0294635	3.0551255	0.15775397	-10.699872	1000.0	72.9	194.37202	654.0	0.0	-0.18729529	0.72871983	0.5347255	-8.519872	220000	-1.1920929e-08	396.6367	-0.02058788	-367.63675	0.98613894	-0.0018349051	0.094299994	99.0	119.69930124282837
