Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	24.686561822891235
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	46.511274337768555
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	-1.1920929e-08	6.129067	-0.009713011	-2.3900568	0.92482233	0.0062048323	0.0899	99.0	68.68964099884033
3	-0.809793	1.443298	2.723994	-5.207143	1000.0	24.325	55.258205	269.0	0.0	-0.635143	0.8899888	2.9346473	-6.818675	320000	-4.4703485e-09	9.993341	-0.0104844235	-5.239339	0.9255384	0.008166323	0.10057499	99.0	90.71261143684387
4	-0.6111525	1.270852	3.3104513	-4.372692	1000.0	33.6375	83.73295	432.0	0.0	-0.48942998	1.0840257	2.1210272	-11.9465475	400000	5.9604646e-09	25.006414	-0.011373339	-17.04366	0.934626	0.0061738575	0.098975	99.0	112.25204849243164
5	-0.73769665	1.4458923	4.641947	-4.757629	1000.0	45.65	134.46162	733.0	0.0	-1.0090606	3.0622642	16.942331	-17.282164	480000	0.0	59.243042	-0.01151336	-28.301594	0.9368348	0.0051896763	0.09316249	99.0	134.78893113136292
6	-0.8305615	1.3874034	2.5644808	-4.7854347	1000.0	24.6875	57.040466	267.0	0.0	-1.677459	3.781156	3.4592423	-20.056168	560000	0.0	27.636328	-0.011209041	-18.589588	0.9326128	0.010372331	0.1105875	99.0	157.03220200538635
7	-0.8588537	1.4825971	2.8040802	-4.312953	1000.0	13.5375	42.864304	276.0	0.0	-0.9248367	2.6207922	12.438446	-23.476152	640000	-8.940697e-09	22.723118	-0.011386765	-16.861776	0.93854296	0.00881241	0.11490001	99.0	179.06131410598755
8	-1.0414623	1.6377542	5.559589	-5.221499	1000.0	37.6875	97.785934	639.0	0.0	-0.36724404	1.1531012	5.7232876	-24.971432	720000	5.9604646e-09	64.97876	-0.011139924	-46.135536	0.9366838	0.0044697747	0.079025	99.0	200.90557503700256
9	-1.0244825	1.6338978	3.5245864	-7.1915836	1000.0	16.0	38.918507	220.0	0.0	-2.374806	6.527169	3.748606	-31.214483	800000	-2.9802323e-09	46.494026	-0.01118592	-38.050507	0.9454459	0.011768224	0.10048751	99.0	223.00886249542236
10	-0.6946283	1.2749397	4.4465184	-3.8524244	1000.0	10.3875	32.499035	206.0	0.0	-0.7508256	1.8155568	27.378141	-33.20131	880000	-2.6077032e-09	14.130859	-0.011449382	-5.961534	0.9345604	0.008256162	0.11121251	99.0	244.7986764907837
11	-0.82599366	1.7554299	5.081475	-4.1214685	1000.0	12.9	31.63882	161.0	0.0	-0.7759803	2.1746655	1.408841	-31.045052	960000	7.450581e-09	14.542745	-0.012633937	-5.374138	0.9237733	0.009467801	0.1302125	99.0	267.0278899669647
12	-0.838456	1.7262428	4.510429	-5.6101813	1000.0	23.55	66.61586	407.0	0.0	-0.62099934	1.5155212	1.6336989	-30.727915	1040000	2.9802323e-09	44.733074	-0.011360776	-29.939072	0.9167882	0.0048107677	0.09875	99.0	288.54577827453613
13	-1.1130781	1.7832702	4.0413003	-6.4770513	1000.0	19.7	51.824802	274.0	0.0	-0.98273593	2.9500368	12.387178	-33.51332	1120000	-7.4505807e-10	36.532494	-0.013094236	-25.6987	0.9271792	0.009665598	0.12542501	99.0	310.5001871585846
14	-1.0183893	1.4434849	2.4193888	-5.1100845	1000.0	13.025	43.423775	289.0	0.0	-0.64957815	2.3577232	4.3427	-32.53927	1200000	8.940697e-09	25.856533	-0.011849292	-22.568487	0.9273087	0.010468178	0.11973749	99.0	332.51936173439026
15	-1.1232636	1.590327	3.5994756	-4.8074117	1000.0	10.475	27.77768	149.0	0.0	-0.8455291	3.6526875	5.1486545	-36.00065	1280000	3.7252903e-09	21.342916	-0.012886679	-17.367046	0.91949666	0.012004596	0.139975	99.0	354.47864532470703
16	-0.90342224	1.9528182	4.9162335	-5.8650503	1000.0	18.75	48.45294	255.0	0.0	-0.6347287	1.974332	8.230117	-33.972164	1360000	1.4901161e-09	29.443289	-0.014253008	-22.282112	0.9025749	0.009845805	0.1362875	99.0	376.8106186389923
17	-1.1046999	1.9042565	3.7442393	-6.0127726	1000.0	19.5	54.751938	319.0	0.0	-1.3198831	4.5403953	7.733105	-37.400738	1440000	4.4703485e-09	46.21238	-0.012257849	-33.477303	0.9069967	0.011537911	0.1379	99.0	399.55375146865845
18	-1.2678237	1.8971449	3.3407853	-7.3600326	1000.0	23.475	82.22591	514.0	0.0	-1.2628429	4.260129	8.0139265	-39.805683	1520000	1.0430813e-08	62.692516	-0.012698337	-52.164906	0.9005376	0.011305548	0.13571249	99.0	421.71325397491455
19	-1.0416517	2.1904852	3.952062	-8.642521	1000.0	7.2125	38.110924	311.0	0.0	-1.483786	4.2903857	1.3961252	-41.092865	1600000	-1.4901161e-08	30.756634	-0.010236778	-19.446463	0.9004382	0.010233319	0.0976375	99.0	444.09350514411926
20	-1.2597449	2.1302516	5.7046967	-6.97249	1000.0	5.7	17.071466	102.0	0.0	-0.43732914	1.1196259	2.491206	-10.7184725	1680000	-2.2351743e-09	4.769326	-0.012497247	-1.6658118	0.8880805	0.009485727	0.114549994	99.0	466.3732306957245
21	-1.3878213	1.8460474	2.948237	-7.397208	1000.0	10.075	28.186335	153.0	0.0	-0.2883495	0.7504146	2.5689733	-11.224097	1760000	7.450581e-09	13.606314	-0.012437119	-4.1548996	0.88219583	0.008536981	0.1092	99.0	487.9706516265869
22	-1.5059271	1.5939293	2.2755919	-6.6256638	1000.0	10.725	32.15586	182.0	0.0	-0.4905436	1.1945144	4.8133206	-8.877933	1840000	2.9802323e-09	17.647305	-0.012855683	-11.274097	0.8913188	0.009796401	0.118587494	99.0	509.91684579849243
23	-1.3023701	1.7028606	3.3124254	-5.7854285	1000.0	8.775	31.274582	187.0	0.0	-0.58689934	1.9351586	3.5108216	-20.8617	1920000	7.450581e-09	12.69008	-0.011260931	-9.724406	0.8961612	0.008405992	0.11012499	99.0	531.7447557449341
24	-1.2554259	2.035024	3.771945	-7.721509	1000.0	10.025	39.061802	303.0	0.0	-0.4772518	1.6535975	3.125707	-23.509853	2000000	4.4703485e-09	15.681007	-0.011790815	-11.62594	0.896963	0.008563039	0.1166	99.0	553.8425316810608
25	-1.558425	1.8646531	2.2202616	-6.7114263	1000.0	17.2875	59.744076	419.0	0.0	-0.48810792	2.0240192	2.8985696	-28.111761	2080000	0.0	30.401783	-0.0121532865	-24.318455	0.89842045	0.0064714863	0.122875	99.0	575.3931076526642
26	-1.0659707	2.5739632	7.487809	-10.560273	1000.0	10.05	26.470219	135.0	0.0	-1.228991	3.505815	3.3940258	-37.10806	2160000	-2.9802323e-09	22.963009	-0.012954366	-18.4351	0.89583933	0.011414105	0.1201875	99.0	597.4737617969513
