Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	11.306554794311523
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	21.296561002731323
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	-2.3841858e-08	0.812778	-0.015365553	-0.7511112	0.9028357	0.0051742243	0.10109999	99.0	31.61416792869568
3	-1.4714705	2.1375203	0.5000895	-6.026795	1000.0	17.1	51.3	171.0	0.0	-0.2709578	0.18060003	0.13695136	-0.84758466	40000	8.940697e-09	0.13395068	-0.019970391	-0.049702633	0.8840977	0.01437943	0.16739999	99.0	42.02466344833374
4	-0.57907546	1.334212	1.2181538	-2.9829805	1000.0	139.4	195.68915	605.0	0.0	-0.22538456	0.20469466	0.17118983	-0.9154562	50000	-4.4703485e-09	8.513011	-0.020385515	-4.0676317	0.87663126	0.005670066	0.10239999	99.0	51.806177854537964
5	-0.92461157	1.6400884	2.102774	-4.1349916	1000.0	19.1	34.224113	104.0	0.0	-1.2508404	1.0628206	1.0650738	-3.4168947	60000	-2.9802323e-09	18.536518	-0.016315673	-9.728072	0.8814846	0.0067400103	0.13	99.0	61.52512192726135
6	-0.2332764	1.1219201	1.2328836	-2.104977	1000.0	57.5	72.985275	225.0	0.0	-0.5513913	1.2556577	0.43018442	-11.88208	70000	-4.0978194e-09	66.9715	-0.018799534	-47.353798	0.88901025	0.005552803	0.13139999	99.0	71.91664409637451
7	-0.44491974	1.1091715	1.5929183	-1.9524695	1000.0	59.6	155.70433	522.0	0.0	-3.6747675	6.1035867	6.420446	-17.775343	80000	-2.9802323e-09	149.03731	-0.017206175	-100.601776	0.89682674	0.0064859306	0.1277	99.0	82.47475290298462
8	-0.69896305	1.7162445	1.8679384	-3.1580603	1000.0	55.0	128.6087	424.0	0.0	-3.3555305	8.145027	7.064632	-30.376842	90000	1.1920929e-08	53.883442	-0.017839134	-43.560474	0.88042295	0.0065745213	0.11969999	99.0	92.13359761238098
9	-1.3343555	1.2182746	0.095010325	-3.8970022	1000.0	4.6	13.8	46.0	0.0	-0.18958811	0.703967	3.842498	-12.770664	100000	-1.2665987e-08	5.251164	-0.013785613	-2.0446439	0.89277923	0.009389473	0.15179999	99.0	102.67495369911194
10	-0.851414	1.7301124	2.7412717	-3.3448832	1000.0	12.3	27.502909	89.0	0.0	-1.8016107	7.124184	21.43468	-39.054615	110000	-2.9802323e-09	67.99995	-0.018089883	-65.09312	0.88907385	0.018742334	0.1598	99.0	113.66145896911621
11	-1.2775549	1.9322455	2.6414516	-4.404553	1000.0	61.6	69.36598	185.0	0.0	-0.16658919	0.5501547	11.282801	-4.7286615	120000	1.4901161e-08	140.36687	-0.021854978	-103.80846	0.8731653	0.006387981	0.1369	99.0	123.91376733779907
12	-1.1457593	1.2550864	1.0137339	-3.6310208	1000.0	23.1	56.186207	187.0	0.0	-4.590266	7.518338	2.068762	-40.38481	130000	-1.9371509e-08	90.62853	-0.020993112	-62.27007	0.8909558	0.016080834	0.1459	99.0	134.08337950706482
13	-0.6007338	1.018585	0.9493018	-3.0259757	1000.0	10.1	20.844423	62.0	0.0	-0.4086102	2.2009823	30.21388	-10.197811	140000	-3.7252903e-09	16.307108	-0.017106224	-6.034783	0.8623641	0.01391015	0.1613	99.0	144.21235036849976
14	-3.4636643	4.916115	1.2821684	-17.013617	1000.0	24.1	49.856693	149.0	0.0	-0.59117824	1.2919176	0.9653864	-6.604454	150000	2.3841858e-08	41.20097	-0.019800317	-31.454575	0.869964	0.006758543	0.10999999	99.0	154.25468564033508
15	-2.1989036	3.4283571	3.9267502	-10.407916	1000.0	4.0	12.0	40.0	0.0	-0.7546372	2.235702	1.3471684	-22.451021	160000	-1.4901161e-08	3.7489917	-0.017362703	-3.5981908	0.8799063	0.017077133	0.1458	99.0	163.98106384277344
16	-3.1215081	4.087037	-0.14748226	-14.418258	1000.0	6.0	13.145342	42.0	0.0	-0.46222076	2.071965	0.336585	-21.513683	170000	1.3038516e-08	6.188577	-0.017236106	-4.75942	0.8576294	0.012975337	0.1318	99.0	173.6664900779724
17	-1.8193903	3.6115963	0.87128055	-12.0526085	1000.0	2.3	6.9	23.0	0.0	-1.7284434	4.6886377	0.5277841	-21.145075	180000	3.2782555e-08	22.555798	-0.015875975	-20.328854	0.83020115	0.015238017	0.1306	99.0	184.1744134426117
18	-4.637413	4.424113	-0.5997882	-13.744373	1000.0	12.7	22.547949	66.0	0.0	-0.28796834	0.3647319	6.410357	-1.0310307	190000	-1.9371509e-08	11.569451	-0.018208694	-4.2182565	0.826667	0.007526801	0.136	99.0	194.3627474308014
