Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	0.0	79.63135	-0.015711013	-41.47631	0.91893846	0.0085593015	0.117400005	99.0	8.199265003204346
1	-0.31945997	0.7552034	1.3205434	-1.5336409	1000.0	45.4	104.97733	353.0	0.0	-1.2468665	2.7965639	3.4084969	-14.831793	20000	0.0	9.019529	-0.02039294	-8.90679	0.9357029	0.0112208575	0.1499	99.0	13.93744969367981
2	-0.42267403	1.1748729	1.8543775	-2.0995772	1000.0	53.8	84.79481	285.0	0.0	-0.105401926	0.22143605	0.83598727	-1.0094297	30000	-1.1920929e-08	15.423451	-0.019881587	-11.995354	0.915521	0.007218823	0.1267	99.0	19.223482847213745
3	-0.84660274	1.327208	1.3060085	-3.7590714	1000.0	27.4	40.227352	120.0	0.0	-0.9140083	1.635944	2.647778	-8.470387	40000	8.940697e-09	14.168526	-0.020329066	-12.810961	0.9354943	0.009841164	0.15669999	99.0	24.699817180633545
4	-1.7716789	1.5096416	0.6712228	-5.293055	1000.0	19.7	53.67318	180.0	0.0	-2.251852	4.150089	1.5544438	-17.855307	50000	-1.1920929e-08	14.574465	-0.017844755	-12.38162	0.93520385	0.017430758	0.1365	99.0	30.06059169769287
5	0.104172066	1.9854014	3.1204906	-5.011728	1000.0	69.8	84.21971	262.0	0.0	-1.4834423	4.22805	3.1173873	-18.46498	60000	-1.1920929e-08	56.588684	-0.024329312	-49.699905	0.9123169	0.00978685	0.16679999	99.0	35.47872304916382
6	-1.231602	1.0916921	-0.021261347	-3.2323377	1000.0	17.2	27.959974	86.0	0.0	-1.3645549	3.312741	10.377457	-20.001354	70000	1.1920929e-08	23.548471	-0.021512493	-22.921665	0.91056633	0.021338144	0.1848	99.0	40.85752534866333
7	-1.2152449	1.5414284	0.72383267	-5.263081	1000.0	11.2	24.465485	78.0	0.0	-1.374984	3.0583885	0.6819328	-29.70493	80000	2.9802323e-09	14.475306	-0.020994583	-13.582883	0.8995589	0.021986976	0.18740001	99.0	46.142462730407715
8	-0.47611743	2.1655707	2.6834152	-5.563425	1000.0	38.6	45.99609	159.0	0.0	-0.39265814	1.6077433	4.406991	-18.774181	90000	-1.1175871e-08	29.904276	-0.024347369	-26.566767	0.8792254	0.0052911127	0.14629999	99.0	51.43012714385986
9	-1.138602	1.9470612	2.619814	-4.4250574	1000.0	24.3	49.030704	136.0	0.0	-2.162123	3.9406927	1.2167767	-28.715519	100000	-5.9604646e-09	47.079296	-0.022252474	-45.72104	0.88128173	0.023044843	0.1835	99.0	56.67340636253357
