Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.1217902	1.3853941	2.0751517	-4.888964	1000.0	39.325	81.41449	408.0	0.0	-0.011606794	0.087850146	0.20587143	-0.21035695	40000	-1.1920929e-08	274.50476	-0.010915743	-89.37724	0.9189385	0.005033153	0.084725	99.0	17.85128116607666
1	-0.83346653	1.3316989	3.3294132	-4.299251	1000.0	56.75	90.456825	303.0	0.0	-4.1426587	5.7957606	8.076102	-17.381481	80000	-3.2782555e-08	44.882427	-0.01487415	-43.171967	0.9337634	0.0066978983	0.09015	99.0	29.522876024246216
2	-1.102475	2.072238	7.190262	-5.9670434	1000.0	38.35	89.90065	397.0	0.0	-0.32214007	0.66481376	0.8980231	-2.608746	120000	-5.9604646e-09	19.417965	-0.0127757145	-14.105698	0.92082644	0.008004837	0.11125	99.0	41.0035445690155
3	-0.74846643	1.522411	1.8467536	-4.43183	1000.0	37.2	62.42924	265.0	0.0	-1.100954	2.180821	2.0540571	-13.741913	160000	-5.9604646e-09	25.278893	-0.014415604	-13.439096	0.93222964	0.008061668	0.116349995	99.0	52.943788290023804
4	-0.59059095	1.9412905	3.3487568	-7.4482036	1000.0	33.85	74.175316	328.0	0.0	-1.463872	2.3601573	1.8948406	-15.984502	200000	0.0	35.20353	-0.013879095	-23.018087	0.93170965	0.008755498	0.114975	99.0	64.44623184204102
5	-1.1315756	1.4102563	1.2755071	-4.593617	1000.0	26.95	70.92423	285.0	0.0	-1.0561936	2.682435	12.869819	-18.693274	240000	-5.9604646e-09	47.84665	-0.0147714885	-19.737495	0.9329969	0.009156207	0.119200006	99.0	76.18699097633362
6	-1.170871	1.2465585	1.8639299	-4.4686184	1000.0	17.875	43.00941	197.0	0.0	-1.2990423	2.5689313	3.6661408	-9.718507	280000	0.0	25.676352	-0.014246179	-11.0880995	0.94677734	0.011095381	0.13975	99.0	88.18680715560913
7	-1.4558164	1.92296	1.4119934	-6.320485	1000.0	23.525	77.25606	449.0	0.0	-0.6897469	1.9066324	19.052998	-15.090476	320000	1.1920929e-08	48.7145	-0.012954896	-23.933231	0.93882084	0.005424601	0.111025	99.0	99.84872794151306
8	-1.5335143	1.586093	2.4823787	-5.3299875	1000.0	49.575	80.85107	337.0	0.0	-1.286805	3.1718538	11.996267	-17.201986	360000	4.4703485e-09	80.60003	-0.017781984	-56.51897	0.93938893	0.0092862025	0.12264999	99.0	111.46252250671387
9	-1.0536315	1.5799147	2.0760746	-6.6875806	1000.0	17.775	44.724426	227.0	0.0	-2.2004442	5.1731772	16.893078	-24.865526	400000	0.0	53.200294	-0.0188717	-39.759155	0.9532832	0.01206316	0.139875	99.0	123.27647733688354
10	-1.5228132	1.9652147	3.463299	-5.7563953	1000.0	24.425	49.541843	201.0	0.0	-0.83102715	2.3330069	16.896269	-25.652918	440000	8.940697e-09	39.15375	-0.017551823	-25.557547	0.93400204	0.011507966	0.1404	99.0	135.19813895225525
11	-1.1705776	2.1743083	4.619565	-5.8567543	1000.0	20.55	47.179417	215.0	0.0	-0.6608218	2.4597037	10.0554695	-23.6817	480000	0.0	32.704243	-0.017326947	-22.293736	0.94351995	0.011187755	0.15907499	99.0	146.8520884513855
12	-2.1334603	1.5222182	0.33376488	-7.1198153	1000.0	14.1	56.48442	352.0	0.0	-0.552973	2.2994854	5.095974	-22.258305	520000	7.450581e-09	38.54267	-0.013666229	-29.029963	0.94452536	0.009071183	0.130975	99.0	158.68351531028748
13	-1.049237	1.9261672	2.4498866	-7.6515923	1000.0	18.9	79.85857	495.0	0.0	-0.5816627	2.1453743	3.668419	-25.901276	560000	-1.7881394e-08	52.562767	-0.012146612	-42.76101	0.94689846	0.00469886	0.087574996	99.0	170.5065176486969
14	-1.4622015	1.6851493	1.5958298	-5.4280567	1000.0	17.825	50.149723	259.0	0.0	-0.14873725	1.0641675	4.553975	-27.21479	600000	1.0430813e-08	33.633297	-0.015659768	-26.815899	0.959805	0.0052048657	0.10785	99.0	181.87917828559875
15	-0.7362356	1.6506491	4.808612	-3.4245489	1000.0	16.0	59.08934	352.0	0.0	-1.2035829	4.350946	11.245248	-30.30449	640000	1.1920929e-08	54.889427	-0.015571108	-45.74736	0.9607725	0.013123189	0.1328	99.0	193.4207308292389
16	-1.354028	1.5334754	2.734844	-5.243758	1000.0	5.625	14.760907	57.0	0.0	-0.42640528	1.6599511	1.9638914	-39.67588	680000	2.9802323e-09	5.885165	-0.015131669	-2.5415654	0.9536973	0.017149817	0.149575	99.0	204.80943822860718
17	-1.4329036	1.7609799	0.89520675	-7.80354	1000.0	17.7	70.69342	421.0	0.0	-0.63121307	1.443966	1.0970678	-27.991764	720000	2.3841858e-08	44.835754	-0.013143495	-38.352314	0.94845426	0.0071724216	0.112975016	99.0	216.61655735969543
18	-1.1972859	1.4713413	1.6666776	-5.051123	1000.0	3.125	11.565438	60.0	0.0	-0.54402816	3.3696616	0.8522509	-37.67302	760000	-1.0058284e-08	14.228244	-0.010558473	-11.602148	0.9708525	0.018525215	0.14842501	99.0	228.31454277038574
19	-1.6900371	1.4972292	1.4305809	-7.3422694	1000.0	13.925	31.956524	163.0	0.0	-0.237766	0.5648461	0.4418173	-3.1094778	800000	-5.9604646e-09	21.056574	-0.01580958	-16.339972	0.9570349	0.0070038317	0.1382	99.0	239.46390676498413
20	-2.0776496	2.2930493	0.6449921	-9.253905	1000.0	28.75	96.56002	581.0	0.0	-0.5765591	2.0455158	1.2051412	-21.847559	840000	1.1920929e-08	76.00334	-0.015006727	-62.631084	0.96043146	0.004013838	0.11335001	99.0	251.12994766235352
21	-1.3222364	1.7198433	3.257298	-8.318152	1000.0	11.575	35.96449	202.0	0.0	-1.6497934	5.120914	1.1950347	-41.097942	880000	-5.5879354e-09	45.23939	-0.013707073	-27.897282	0.96256113	0.014949545	0.133625	99.0	262.682400226593
22	-1.868254	2.2345052	1.4301091	-11.101156	1000.0	6.875	27.146074	165.0	0.0	-0.79275227	2.1500928	1.1624459	-10.842884	920000	8.940697e-09	10.680958	-0.014524983	-8.029525	0.93398094	0.0140346605	0.13235	99.0	274.6346516609192
23	-1.5357201	2.35471	1.6046207	-12.976642	1000.0	10.025	44.935226	284.0	0.0	-0.5576952	1.7513398	1.2743948	-17.700592	960000	-2.9802323e-09	27.967657	-0.013228474	-22.692656	0.935743	0.009583833	0.13045	99.0	286.50327467918396
24	-1.5002627	2.0114365	2.4913256	-6.798353	1000.0	19.175	66.16604	401.0	0.0	-1.4374332	5.273665	1.8053703	-36.0441	1000000	1.5646219e-08	58.442852	-0.013378864	-40.107628	0.92736614	0.016145842	0.15664999	99.0	298.2495803833008
25	-1.9713097	2.2510676	0.761337	-12.414536	1000.0	7.325	22.697342	104.0	0.0	-0.99645996	2.781188	2.8016996	-23.61517	1040000	7.0780515e-09	9.722876	-0.016073722	-8.006719	0.90634644	0.012192628	0.12465	99.0	310.1961350440979
26	-1.812907	2.1514144	1.1667941	-8.0055485	1000.0	4.35	12.671918	63.0	0.0	-0.6407464	2.3011978	1.6386344	-25.394135	1080000	-7.450581e-09	6.69945	-0.01627266	-4.8188987	0.89886045	0.012495326	0.14230001	99.0	322.1158752441406
27	-2.000571	3.200892	2.412553	-14.288643	1000.0	14.225	78.944435	506.0	0.0	-0.33946022	1.1008179	1.585681	-16.401997	1120000	-1.1920929e-08	54.780907	-0.009623846	-39.133183	0.88080347	0.0024271645	0.08915	99.0	334.06773591041565
28	-1.335207	2.649109	2.2131026	-14.789001	1000.0	5.025	15.156661	68.0	0.0	-0.540079	2.189185	1.3110337	-32.50068	1160000	-7.450581e-09	10.594009	-0.014670682	-5.805119	0.89123183	0.014299977	0.1451	99.0	345.84327840805054
29	-1.306328	2.0993495	4.213646	-7.94956	1000.0	10.825	26.518757	103.0	0.0	-0.3662334	0.8445461	1.1388836	-4.0496984	1200000	-7.450581e-09	15.753583	-0.015444634	-7.886241	0.88054407	0.013320522	0.148675	99.0	357.5762858390808
30	-2.3947086	2.4760482	0.6127356	-10.465516	1000.0	1.725	6.561202	30.0	0.0	-0.61909074	1.5675044	1.6934928	-16.560825	1240000	0.0	3.4022815	-0.015740499	-2.4431193	0.8868247	0.014559915	0.13355	99.0	369.22214245796204
31	-1.5470331	2.1676495	4.223409	-8.867129	1000.0	9.15	36.138313	205.0	0.0	-0.21060112	0.3856964	0.6846383	-3.1293502	1280000	-1.4901161e-08	14.387401	-0.013444764	-9.580125	0.8789488	0.0054491265	0.100250006	99.0	380.4075834751129
32	-1.7980934	1.9594028	1.4436786	-7.230615	1000.0	13.4	32.408947	130.0	0.0	-0.48736992	1.4164156	2.1214368	-25.798662	1320000	1.4901161e-09	20.961842	-0.016639035	-16.678293	0.8967592	0.009340743	0.1277	99.0	392.0041365623474
33	-1.4198037	1.6507074	2.7261739	-6.080439	1000.0	12.575	34.478172	129.0	0.0	-1.4890069	5.1886024	3.2388444	-35.093678	1360000	1.2665987e-08	39.471233	-0.017350672	-36.65154	0.89812183	0.014116836	0.132725	99.0	403.70072650909424
34	-2.17237	2.301398	0.824654	-12.925014	1000.0	2.1	7.6772394	39.0	0.0	-0.6461912	2.7613804	2.0342896	-29.442217	1400000	-2.9802323e-09	9.180288	-0.013932844	-7.710233	0.8924022	0.015344642	0.136075	99.0	415.3842957019806
35	-1.624584	2.1000237	3.493019	-8.2556925	1000.0	15.575	46.061855	249.0	0.0	-0.20775071	0.3724661	0.653576	-1.5055673	1440000	-2.9802323e-09	30.778036	-0.014312732	-9.92238	0.8722116	0.003465268	0.092325	99.0	426.9278769493103
36	-1.4356257	2.4541113	3.0424187	-9.459727	1000.0	9.775	25.961977	117.0	0.0	-1.0219561	2.371739	1.2794495	-11.402114	1480000	5.9604646e-09	12.269392	-0.015217399	-7.084886	0.89597166	0.013917299	0.14224999	99.0	438.4047689437866
37	-1.7236477	2.0003486	5.164294	-5.268341	1000.0	3.05	11.586522	62.0	0.0	-0.49432626	1.7582363	1.4082944	-21.290195	1520000	5.9604646e-09	5.484393	-0.014030168	-3.486882	0.88943756	0.013634603	0.13402501	99.0	449.76751613616943
38	-1.6730859	2.2525127	2.698769	-8.021064	1000.0	6.3	18.300547	100.0	0.0	-0.22613245	0.62586814	0.91512066	-6.425349	1560000	2.6077032e-09	6.9181976	-0.014068479	-1.3534541	0.8825644	0.01591627	0.1199	99.0	461.7277629375458
39	-1.8765529	2.3567023	5.605458	-8.359998	1000.0	6.25	14.013832	56.0	0.0	-0.5867076	1.8205459	1.0959165	-13.856152	1600000	-4.0978194e-09	7.044941	-0.01580262	-4.3220983	0.8893579	0.014312735	0.14072499	99.0	473.2210068702698
40	-1.217033	2.203682	2.781709	-8.316883	1000.0	16.925	83.08441	531.0	0.0	-0.4397342	0.8114132	0.56558496	-13.4897175	1640000	-1.1920929e-08	46.191277	-0.010765409	-42.812035	0.89587927	0.0035843253	0.094375	99.0	484.8565843105316
41	-0.6964394	2.1053276	5.3892694	-6.747377	1000.0	14.675	54.79434	328.0	0.0	-0.5397492	1.8196034	1.0747743	-38.342453	1680000	5.9604646e-09	38.832043	-0.014102025	-31.093023	0.906079	0.0051194457	0.123525	99.0	496.5563235282898
42	-1.3941852	1.8030884	2.5043356	-6.910438	1000.0	6.8	18.8775	83.0	0.0	-0.14555386	1.5898055	3.632578	-32.889374	1720000	6.7055224e-09	8.458807	-0.01731151	-6.7792397	0.9028019	0.011505825	0.13145001	99.0	507.90340089797974
