Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	10.375025033950806
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	20.424498796463013
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	5.9604646e-09	2.9122386	-0.017000614	-1.2812971	0.91050494	0.013111429	0.18239999	99.0	30.019663333892822
3	0.11194126	1.0289847	1.7828344	-1.286515	1000.0	0.0	0.0	0.0	0.0	-0.48409483	0.50257987	0.53997856	-2.8510742	40000	1.1920929e-08	0.46489677	-0.021607617	-0.43423516	0.9287715	0.014189983	0.1451	99.0	40.066975593566895
4	-0.3581999	1.4654869	2.0164135	-3.5402129	1000.0	40.8	57.50965	176.0	0.0	-0.05602974	0.10846053	0.31006497	-0.7167777	50000	1.1920929e-08	6.3314886	-0.020395929	-2.7902417	0.9229857	0.009719498	0.12210001	99.0	50.517009973526
5	-0.455405	0.6236526	0.64722323	-1.7378384	1000.0	24.0	60.677837	203.0	0.0	-0.5856476	0.5532959	0.5270382	-3.628857	60000	-2.3841858e-08	16.443605	-0.016105028	-11.21688	0.947206	0.008729932	0.1388	99.0	60.64118480682373
6	-1.6326851	1.2606001	0.14422353	-4.1999927	1000.0	41.4	72.30795	243.0	0.0	-0.7391026	1.8568418	0.5031451	-12.481635	70000	-2.9802323e-09	27.704803	-0.022698237	-11.012634	0.96691453	0.009582286	0.1563	99.0	70.72395610809326
7	-1.0555761	1.1905764	0.40651137	-4.044667	1000.0	22.8	50.7874	164.0	0.0	-1.8734555	2.3574963	0.69629276	-10.742345	80000	1.4156103e-08	27.291615	-0.01717104	-22.795485	0.98034716	0.010926107	0.1462	99.0	80.42844700813293
8	-0.71675926	1.7586639	2.733139	-3.9325533	1000.0	46.4	75.33286	252.0	0.0	-0.45626807	0.6416502	6.548104	-9.586511	90000	5.9604646e-09	48.57298	-0.02290294	-39.904816	0.99095356	0.0045646443	0.1704	99.0	89.92470049858093
9	-0.9767615	1.4605721	1.8590696	-3.4440315	1000.0	18.5	29.374308	73.0	0.0	-0.9980975	3.3529105	7.265752	-20.080902	100000	-7.450581e-09	22.195189	-0.020523697	-15.621814	1.0053458	0.016758507	0.19409999	99.0	100.59737753868103
