Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.28386602	0.74196976	0.7551738	-1.8008193	1000.0	16.8	36.347763	115.0	0.0	-0.0032963776	0.07518913	0.1388693	-0.18607625	10000	-2.9802323e-09	77.74431	-0.01748971	-29.21214	0.91893846	0.020628672	0.1183	99.0	6.365561008453369
1	-0.9628054	1.4605228	2.1680832	-2.785578	1000.0	19.3	34.76219	92.0	0.0	-1.8506079	4.52967	5.1934605	-14.017902	20000	7.450581e-09	19.85445	-0.018831622	-18.989523	0.9340645	0.008504057	0.1245	99.0	11.537968158721924
2	-0.9089912	0.88632303	0.14159474	-2.605655	1000.0	75.5	89.51117	253.0	0.0	-0.28520107	0.514265	0.45721817	-1.7481873	30000	1.7881394e-08	2.217114	-0.019106705	-0.9654301	0.9205801	0.00885533	0.118599996	99.0	16.973949193954468
3	-0.3704704	1.3167763	3.1604574	-1.7443283	1000.0	69.4	98.96585	317.0	0.0	-0.6921814	0.77359295	0.22077504	-2.4933684	40000	-3.576279e-08	57.96969	-0.021618491	-27.673157	0.9302653	0.0063120066	0.1141	99.0	22.439689874649048
4	-1.2469218	1.2840847	-0.14754704	-4.3757935	1000.0	14.1	29.517622	90.0	0.0	-2.9052815	4.422733	2.850308	-14.125589	50000	-2.9802323e-09	36.649452	-0.021167913	-29.852213	0.94175386	0.027312253	0.1729	99.0	27.964128971099854
5	-1.4029086	1.3036236	0.68874437	-4.2150035	1000.0	46.4	71.87795	220.0	0.0	-0.9048627	1.2291242	0.2973529	-8.6647415	60000	1.1920929e-08	67.93388	-0.022106605	-33.95316	0.93588495	0.0067389803	0.125	99.0	33.37865447998047
6	-1.1333214	1.3787572	0.4608536	-3.778171	1000.0	73.5	102.4639	289.0	0.0	-2.718381	4.9939747	1.7783903	-14.505398	70000	-8.940697e-09	102.90139	-0.026353795	-84.784164	0.95647705	0.012548809	0.1448	99.0	39.15899109840393
7	-1.4985435	2.5075388	1.2041687	-8.18063	1000.0	77.4	167.04982	548.0	0.0	-4.211535	7.475484	9.043038	-26.643492	80000	-8.195639e-09	248.70699	-0.023974504	-188.38196	0.95693654	0.013099017	0.15959999	99.0	44.54926156997681
8	-1.4523706	3.0971997	1.5920216	-8.537596	1000.0	41.7	70.57911	193.0	0.0	-4.5435815	11.325629	24.777636	-35.239967	90000	-1.4901161e-09	179.14761	-0.029750716	-139.3612	0.9396926	0.028381232	0.22620001	99.0	49.729345083236694
9	-0.58797455	2.1101074	2.8241816	-5.447549	1000.0	27.0	50.787792	165.0	0.0	-1.5714015	5.4947333	13.686473	-22.221031	100000	-5.9604646e-09	72.75004	-0.0218665	-43.235077	0.92856485	0.012812452	0.15959999	99.0	55.08462953567505
