Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.49947223	1.3541145	2.913989	-3.6767335	1000.0	19.85	32.79676	115.0	0.0	-0.003382329	0.074633695	0.1388693	-0.19393913	20000	-5.2154063e-09	80.94664	-0.014073039	-33.713207	0.9189385	0.008285085	0.124749996	99.0	10.647815465927124
1	-0.3852411	1.2043264	2.594833	-3.0600133	1000.0	41.95	89.98192	337.0	0.0	-2.4492695	3.6065936	4.0018063	-12.800797	40000	-5.9604646e-09	17.44181	-0.018597858	-16.94959	0.9364985	0.0064784884	0.11264999	99.0	20.461436986923218
2	-0.8394624	1.551754	2.1692088	-3.0305746	1000.0	61.0	91.143295	329.0	0.0	-0.1419678	0.30386347	1.3399644	-2.0399125	60000	5.9604646e-09	15.864937	-0.015250238	-11.19769	0.9205365	0.0049437145	0.095800005	99.0	30.568310737609863
3	-1.1260219	1.3960904	1.4575156	-4.5192614	1000.0	27.9	53.14217	186.0	0.0	-0.7943428	1.2148459	0.46911207	-12.237215	80000	2.9802323e-09	20.37965	-0.013118093	-17.963287	0.9318961	0.0031990316	0.092650004	99.0	40.586052894592285
4	-0.998551	2.0569468	2.5080845	-5.5374856	1000.0	17.05	37.38512	121.0	0.0	-1.4048539	3.4092302	0.9918957	-21.001835	100000	-5.9604646e-09	20.109821	-0.015973207	-16.571726	0.9386091	0.016446818	0.14965001	99.0	50.4888813495636
5	-1.3040932	1.9981658	2.5684805	-4.828367	1000.0	23.95	41.53851	155.0	0.0	-0.25720936	0.6165316	2.6586685	-8.790185	120000	-5.9604646e-09	17.885666	-0.018247854	-13.673108	0.9231118	0.008403008	0.12290001	99.0	60.26624584197998
6	-0.6934094	1.6581826	2.7090962	-4.0460677	1000.0	27.25	70.784096	317.0	0.0	-1.0815852	3.2592115	1.8364013	-16.68263	140000	-1.1920929e-08	20.722006	-0.016928528	-14.759977	0.93626297	0.009691521	0.14445	99.0	70.10664224624634
7	0.13831758	1.6310154	4.3452315	-2.498736	1000.0	44.85	79.3872	321.0	0.0	-1.5296028	3.9420042	1.1277522	-29.893744	160000	0.0	52.602764	-0.018152628	-43.834316	0.9455596	0.006593938	0.1173	99.0	79.84703707695007
8	-0.5213369	1.2310982	2.3591266	-3.7186525	1000.0	44.95	99.00529	397.0	0.0	-2.457075	6.0976787	1.7022796	-33.259808	180000	2.9802323e-09	43.015755	-0.017975021	-37.639202	0.9380388	0.0060323747	0.1243	99.0	89.53691697120667
9	-1.2820286	1.4998089	1.24678	-4.079866	1000.0	71.15	177.5602	732.0	0.0	-2.3867981	6.600189	6.6017103	-36.113327	200000	2.9802323e-09	161.11069	-0.016522376	-142.84471	0.9251288	0.004319285	0.1068	99.0	99.13506197929382
10	-0.9100399	1.1672571	1.044452	-3.3292336	1000.0	56.2	108.62624	473.0	0.0	-3.3834476	7.4164186	14.070651	-47.13854	220000	-1.8626451e-09	102.24089	-0.016902873	-90.36041	0.9244536	0.012896692	0.15735	99.0	108.83722496032715
11	-1.4244807	1.4575535	1.0045444	-3.9288492	1000.0	35.2	83.056366	378.0	0.0	-2.5909579	7.673971	4.768965	-50.010845	240000	-7.450581e-09	65.49253	-0.020303668	-52.107563	0.92337763	0.017931577	0.16495	99.0	119.05716967582703
12	-1.4555542	1.1655488	0.9467863	-3.5295877	1000.0	7.0	21.151833	78.0	0.0	-1.7247982	3.617436	4.3992014	-43.63705	260000	5.9604646e-09	22.718273	-0.015617996	-20.820957	0.9260429	0.015510827	0.14559999	99.0	129.03466486930847
