Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5277261	1.4063827	2.913989	-4.4854116	1000.0	59.8	108.38339	669.0	0.0	0.0042720926	0.07326501	0.2481898	-0.19393913	80000	-8.940697e-09	460.57846	-0.008808127	-120.004715	0.9189385	0.005202345	0.070875004	99.0	22.066972255706787
1	-0.8306729	1.383182	2.7217512	-5.308031	1000.0	64.375	103.279884	445.0	0.0	-4.760851	6.132043	7.8731356	-18.025236	160000	1.7881394e-08	51.689983	-0.011011542	-48.88279	0.92668724	0.0057769837	0.0722125	99.0	43.818833351135254
2	-0.9396411	1.7090102	4.1698794	-5.0682993	1000.0	40.7375	74.73432	306.0	0.0	-0.46839035	0.8347735	0.5838719	-3.2416892	240000	-1.0430813e-08	21.10373	-0.010740472	-2.5310264	0.924518	0.005562842	0.0802875	99.0	65.83411169052124
3	-0.8362702	1.7019402	3.025221	-6.341232	1000.0	41.9875	88.37173	554.0	0.0	-1.3927958	0.87721735	1.9003778	-4.0908747	320000	-2.9802323e-09	36.817986	-0.011143987	-9.399462	0.9340606	0.006886256	0.1009125	99.0	87.94247364997864
4	-0.8015286	1.3881733	2.5159426	-5.067185	1000.0	25.2125	60.195244	255.0	0.0	-1.8090854	2.4562273	4.7738223	-8.092052	400000	1.0430813e-08	29.65564	-0.011402734	-9.690165	0.9405273	0.006777706	0.0993125	99.0	109.69409251213074
5	-1.1034265	1.414223	2.6971762	-4.392232	1000.0	24.2125	55.25887	316.0	0.0	-0.9558324	1.7675018	2.1438117	-9.771597	480000	-3.7252903e-09	28.50495	-0.011247545	-12.740511	0.94238126	0.008179685	0.11216249	99.0	131.66225123405457
6	-0.9945327	1.5209839	3.4752672	-6.362643	1000.0	22.85	54.11125	279.0	0.0	-0.92659354	1.89013	1.6247287	-13.302274	560000	2.2351743e-09	29.176046	-0.01149262	-10.190599	0.9491973	0.0071027786	0.100525	99.0	153.4722752571106
7	-1.0585657	1.5445223	3.1205506	-7.32931	1000.0	21.4125	61.244324	350.0	0.0	-1.4659054	2.7973347	2.7356136	-14.256777	640000	-2.9802323e-09	28.36375	-0.010859116	-19.54567	0.9662851	0.007989881	0.098249994	99.0	175.53886699676514
8	-1.2717139	1.53985	2.373017	-6.8851414	1000.0	14.85	46.84285	315.0	0.0	-0.73029	2.7710629	1.6253444	-18.87554	720000	0.0	29.245321	-0.01084655	-11.052561	0.9665488	0.009221337	0.11600001	99.0	197.5657148361206
9	-1.384938	1.5287488	2.4348028	-6.6667933	1000.0	22.0	50.309044	238.0	0.0	-0.81895554	1.6858561	2.9529142	-7.2913756	800000	8.195639e-09	34.211136	-0.012333942	-18.259588	0.96403754	0.009649951	0.115550004	99.0	220.09251284599304
10	-1.5610517	1.4881631	1.0603149	-5.743405	1000.0	15.85	43.843212	220.0	0.0	-1.0396148	2.9779408	1.9346629	-17.2959	880000	1.4901161e-09	30.567743	-0.012981936	-15.958507	0.97802687	0.0110101495	0.126	99.0	241.9762623310089
11	-1.1400387	1.6867077	2.2135832	-9.565119	1000.0	6.4125	22.716013	127.0	0.0	-0.6533174	1.4800154	2.1299648	-11.53181	960000	-2.9802323e-09	8.9869795	-0.0124989785	-4.655295	0.9841429	0.0074693277	0.113575	99.0	263.7191994190216
12	-1.2736417	1.8534739	4.128139	-6.948771	1000.0	6.7	27.031647	192.0	0.0	-0.5410967	2.1000564	1.2868023	-20.032967	1040000	-5.9604646e-09	8.851851	-0.010713016	-4.716416	0.97311354	0.01190939	0.13475001	99.0	286.04311895370483
13	-1.589132	2.0129185	3.371903	-10.1294565	1000.0	21.075	65.07415	370.0	0.0	-0.4035439	1.2770903	1.1634337	-24.857399	1120000	2.9802323e-09	37.44687	-0.0104277115	-26.236683	0.9679345	0.0040991115	0.08785	99.0	307.945054769516
14	-1.5156031	2.085954	4.159772	-11.010662	1000.0	7.8375	41.374043	323.0	0.0	-0.6156489	2.5284517	2.3544896	-28.118011	1200000	-2.9802323e-09	20.674526	-0.009960868	-12.413589	0.9700351	0.009447982	0.10830001	99.0	329.4923417568207
15	-1.2354463	2.0041595	3.1978943	-10.34601	1000.0	10.0625	44.25137	305.0	0.0	-0.2565205	0.9929344	3.225355	-12.202998	1280000	5.9604646e-09	22.2207	-0.0118366275	-12.442252	0.96615255	0.008059929	0.105299994	99.0	351.6061716079712
16	-1.5075852	1.7494017	2.09205	-7.173863	1000.0	16.5625	59.503956	368.0	0.0	-0.2502902	0.77356154	1.781098	-18.678165	1360000	1.6391278e-08	34.275948	-0.01202853	-25.551619	0.9656248	0.0063238097	0.1021875	99.0	373.5536775588989
17	-1.379483	1.9335696	3.107541	-7.49287	1000.0	4.4375	17.030739	112.0	0.0	-0.99165165	3.8591118	2.2193851	-26.930916	1440000	-4.4703485e-09	16.54481	-0.011786336	-12.056051	0.9641477	0.012332673	0.1206875	99.0	395.6595425605774
18	-1.3017803	1.6712654	3.419129	-5.5689898	1000.0	10.275	45.825474	350.0	0.0	-0.34035257	0.5685746	0.95871866	-3.6868577	1520000	0.0	17.435904	-0.010418562	-10.852712	0.93658054	0.0052037435	0.0864375	99.0	417.39466404914856
19	-1.1949593	1.7149229	5.29224	-6.7253494	1000.0	2.15	8.365255	47.0	0.0	-0.5856979	1.7985396	3.5544717	-17.383905	1600000	-2.9802323e-09	4.339683	-0.012951101	-2.9665666	0.94818723	0.009731419	0.1093	99.0	439.0999593734741
20	-1.5510025	1.4730681	1.8435969	-5.1375813	1000.0	12.125	38.14524	219.0	0.0	-0.19423361	0.28231248	2.6624608	-2.1856	1680000	8.940697e-09	20.188015	-0.011326033	-11.690978	0.9369116	0.0064720837	0.10111251	99.0	461.1150584220886
21	-0.7441209	1.9839538	5.842629	-6.531301	1000.0	11.0125	32.360275	163.0	0.0	-0.762094	2.406102	1.6022142	-24.481743	1760000	5.9604646e-09	17.411572	-0.01313431	-13.974788	0.9527906	0.011397304	0.134375	99.0	483.54508924484253
22	-1.2323626	1.8973367	2.683988	-6.910706	1000.0	8.45	25.560663	131.0	0.0	-0.34558797	1.9356132	3.4881406	-24.50383	1840000	1.9324944e-09	10.759314	-0.013320716	-8.881848	0.9540566	0.009507259	0.117612496	99.0	505.3301258087158
23	-1.0223482	1.7373956	5.0747375	-5.6154923	1000.0	7.975	28.132711	197.0	0.0	-0.4452042	2.029932	1.9727141	-23.71799	1920000	1.0430813e-08	15.167948	-0.01310699	-10.133958	0.95159006	0.010737601	0.137475	99.0	527.4313085079193
