Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	10.781101703643799
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	21.15031886100769
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	-1.3411045e-08	9.316793	-0.016449865	-7.4258223	0.92279184	0.008839254	0.13159999	99.0	31.175487756729126
3	0.22036648	1.386771	2.548849	-2.5918925	1000.0	10.3	24.95616	83.0	0.0	-1.0624821	2.097609	2.2962248	-9.262616	40000	1.2665987e-08	9.780726	-0.018649543	-8.090953	0.9525862	0.017145146	0.13839999	99.0	40.38763380050659
4	0.08936797	1.4418923	3.5058346	-1.8433362	1000.0	35.4	52.49991	165.0	0.0	-0.37582234	0.7654557	0.98669463	-8.507046	50000	-1.1920929e-08	22.391495	-0.018877205	-20.803974	0.9436426	0.0050728326	0.1296	99.0	50.88507676124573
5	-0.45990175	1.2939476	1.1612973	-3.261069	1000.0	34.0	47.952057	109.0	0.0	-0.51941943	2.8654072	1.4274769	-19.265387	60000	-4.4703485e-09	26.452728	-0.020178104	-25.009579	0.9442121	0.012651406	0.1609	99.0	60.94468832015991
6	0.36278516	1.0452474	1.9813439	-1.2994422	1000.0	57.6	75.43765	218.0	0.0	-2.2604425	4.041658	0.83926094	-20.342108	70000	1.1920929e-08	86.28788	-0.019525394	-77.71067	0.9624561	0.0121254325	0.1625	99.0	71.59318208694458
7	-0.5360378	1.4301338	1.1018461	-2.7396686	1000.0	54.4	86.086235	277.0	0.0	-0.06319173	1.0565274	3.067729	-20.03403	80000	-1.7881394e-08	96.79915	-0.015658777	-84.53393	0.9643439	0.001505157	0.112	99.0	82.17074418067932
8	-0.7649474	1.8667526	2.4927921	-3.6640568	1000.0	29.5	41.410748	116.0	0.0	-4.781236	10.664236	0.18726274	-36.57778	90000	0.0	157.69278	-0.017745618	-127.49143	0.9654063	0.030217564	0.185	99.0	92.20760655403137
9	-0.64224994	1.468969	1.9976355	-3.8236852	1000.0	39.6	79.32616	208.0	0.0	-3.0640213	3.1617165	1.3038272	-8.984042	100000	1.1920929e-08	55.88169	-0.021076363	-47.81768	0.97209454	0.00714234	0.10669999	99.0	102.66851282119751
10	-0.31680283	1.3236912	2.7956083	-1.975698	1000.0	14.4	43.200005	144.0	0.0	-2.853118	6.840417	0.8240379	-26.346743	110000	-5.9604646e-09	50.072914	-0.01549879	-47.676296	0.9742346	0.013497228	0.1055	99.0	112.84362840652466
11	-0.8808012	1.4557431	0.94860727	-3.82842	1000.0	41.3	64.459366	177.0	0.0	-1.0214117	4.483684	1.3312677	-37.692287	120000	-1.1920929e-08	65.82976	-0.018066533	-54.686073	0.9825529	0.0029555226	0.109799996	99.0	122.55105209350586
12	-0.54774165	1.4061472	1.0131907	-3.6313326	1000.0	64.4	86.462944	249.0	0.0	-5.5814166	9.329899	5.897023	-42.93841	130000	1.1920929e-08	225.37863	-0.024054652	-207.42427	0.9948419	0.015967358	0.1822	99.0	132.1621232032776
13	-1.0083526	1.6080073	1.9035509	-3.0380497	1000.0	18.5	37.194756	101.0	0.0	-2.1657798	4.797002	1.1644795	-34.53689	140000	2.9802323e-09	43.65984	-0.021471713	-40.22047	0.9841132	0.017593758	0.1477	99.0	142.21558475494385
14	-0.42494935	1.5419142	1.8574904	-3.158088	1000.0	5.6	16.800001	56.0	0.0	-1.7999504	5.2350235	0.7218439	-25.99436	150000	0.0	24.371044	-0.02044581	-21.070232	0.9758562	0.0194257	0.13949999	99.0	151.94963335990906
15	-0.3867926	1.5238818	1.9310424	-2.237046	1000.0	2.7	8.1	27.0	0.0	-0.64005667	1.5476788	0.7471069	-8.795696	160000	-8.940697e-09	3.2513173	-0.01891092	-1.9188293	0.96337146	0.014896256	0.1497	99.0	162.02516746520996
16	-0.5954385	1.3755267	1.6724616	-3.4781497	1000.0	46.1	118.866684	400.0	0.0	-0.29445085	0.59962785	1.0469487	-4.3538914	170000	-8.940697e-09	133.5112	-0.020433623	-73.82938	0.9400388	0.0072145215	0.097799994	99.0	172.1109824180603
17	-0.6475247	2.3101437	4.16183	-3.566422	1000.0	35.0	54.72842	176.0	0.0	-0.6379929	2.3680384	1.4475538	-26.763287	180000	0.0	81.475525	-0.018900523	-70.885574	0.9547137	0.012013072	0.126	99.0	181.77485036849976
18	-0.42551547	2.6303854	6.5675592	-3.1410346	1000.0	40.1	61.926483	200.0	0.0	-2.0644429	5.0504403	1.4110781	-30.550814	190000	5.9604646e-09	79.19612	-0.023777578	-73.322426	0.9802407	0.014844075	0.15169999	99.0	191.5402500629425
19	-2.206267	2.2651987	-0.16408615	-7.260015	1000.0	26.0	56.715076	189.0	0.0	-1.6238798	4.704361	1.5124692	-38.936764	200000	5.9604646e-09	65.29519	-0.01972999	-52.614277	0.9805459	0.011063163	0.1417	99.0	201.38530230522156
20	-0.39512694	1.8677427	1.9722586	-4.872732	1000.0	20.8	62.4	208.0	0.0	-0.635328	1.8599625	1.328922	-18.500465	210000	-8.940697e-09	68.93782	-0.02038243	-61.2364	0.955762	0.010452702	0.123500004	99.0	211.60339331626892
21	-1.5154421	2.2411962	3.0667462	-4.495828	1000.0	31.1	46.650723	152.0	0.0	-0.2316753	1.1271788	1.3084092	-25.692186	220000	9.220093e-09	65.7134	-0.022309665	-50.440544	0.9612247	0.0048614717	0.1116	99.0	221.06954431533813
