Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	1.1920929e-08	79.63135	-0.016030502	-41.47631	0.91893846	0.005959139	0.1028	99.0	11.87302279472351
1	-0.33448857	0.7830723	1.1586053	-1.5304667	1000.0	66.2	113.59647	370.0	0.0	-1.1360986	2.6197286	3.3825455	-11.619273	20000	-2.3841858e-08	7.523	-0.02037707	-7.3353376	0.93755376	0.011365573	0.13409999	99.0	18.267702341079712
2	-0.31883395	1.3516761	2.4841301	-2.2417963	1000.0	38.5	55.01318	171.0	0.0	-0.19211137	0.38361216	0.76250255	-1.6763314	30000	-2.3841858e-08	37.81098	-0.020284867	-29.17564	0.92858326	0.008235302	0.1242	99.0	24.946494817733765
3	-0.1554856	0.8960891	1.6060517	-2.0762324	1000.0	36.7	49.337715	125.0	0.0	-0.7894459	2.1414473	3.9770236	-16.817167	40000	-2.5331975e-08	27.23533	-0.019919172	-24.486841	0.950469	0.008079461	0.136	99.0	31.22509455680847
4	-0.95081824	1.5154927	0.45212293	-5.0058913	1000.0	47.8	79.90845	234.0	0.0	-2.5022097	4.271521	1.2621013	-19.051598	50000	-1.4901161e-09	110.99613	-0.01774387	-71.111275	0.9419893	0.0070730164	0.13159999	99.0	37.22293567657471
5	-0.8730346	1.1333358	0.9886976	-2.9346192	1000.0	15.5	37.32894	124.0	0.0	-2.17557	4.5968204	2.3412032	-17.157639	60000	-5.9604646e-09	49.276093	-0.016501868	-29.678806	0.9419643	0.020716067	0.151	99.0	43.36827039718628
6	-0.6050177	0.59579617	0.19946402	-1.3609184	1000.0	2.1	6.2999997	21.0	0.0	-1.1623847	1.9585161	0.9447913	-6.713388	70000	5.066395e-08	5.2523584	-0.02182213	-4.126322	0.93987334	0.022324216	0.1382	99.0	49.63516306877136
7	-1.2070307	1.7990934	1.0948573	-4.7184744	1000.0	40.4	73.94485	196.0	0.0	-0.2417794	0.55400914	1.1096349	-1.7806449	80000	1.7881394e-08	68.91108	-0.018472552	-45.813774	0.9353139	0.003077545	0.1023	99.0	55.807568073272705
8	0.08494495	1.1621757	2.4776366	-1.9322124	1000.0	13.5	20.353132	53.0	0.0	-1.6418077	4.532207	21.493336	-18.594734	90000	-1.4156103e-08	21.36131	-0.022639027	-20.096556	0.9551053	0.024551095	0.168	99.0	61.70420289039612
9	-0.36767638	0.92717683	0.8061188	-1.7071438	1000.0	41.5	44.927162	123.0	0.0	-2.1803837	4.083702	1.6059842	-18.330688	100000	1.4901161e-09	42.517986	-0.024754917	-36.35845	0.9624934	0.021148324	0.2047	99.0	68.03124475479126
10	-0.8780074	1.0295932	1.0201818	-2.136244	1000.0	18.0	29.78926	84.0	0.0	-0.8766227	5.258266	22.940773	-25.722519	110000	-8.195639e-09	34.03593	-0.021354428	-32.965645	0.95216024	0.008220802	0.14490001	99.0	74.36132550239563
11	-1.758144	2.4720566	0.8559851	-7.3052344	1000.0	9.3	19.079046	56.0	0.0	-0.34358886	0.9529592	1.3910326	-14.408034	120000	-2.9802323e-09	8.66291	-0.0211871	-4.8397546	0.93086493	0.0145152975	0.1499	99.0	80.11860537528992
12	-1.7875038	1.6199607	0.3537943	-4.3039913	1000.0	13.5	24.059301	77.0	0.0	-0.077134594	1.378266	8.550128	-5.66402	130000	2.0861625e-08	10.041905	-0.022247855	-9.535149	0.9392997	0.0097397	0.14950001	99.0	86.39388298988342
13	-1.9031227	1.3511689	0.40271845	-4.8968883	1000.0	39.9	68.764015	190.0	0.0	-2.299607	5.9857526	0.938577	-30.313234	140000	-4.4703485e-09	48.663536	-0.023897495	-42.71999	0.95575297	0.021260615	0.17289999	99.0	92.66842150688171
14	-1.2298129	1.1875159	0.36984858	-3.045491	1000.0	49.6	119.502464	397.0	0.0	-3.1043599	7.9138675	21.468565	-28.627625	150000	3.9115546e-09	155.92601	-0.020187816	-138.49881	0.9357647	0.013264951	0.1513	99.0	98.9653103351593
15	-1.7926607	2.383147	0.42930138	-8.415263	1000.0	11.9	31.60522	106.0	0.0	-0.9735317	2.7647824	12.764643	-29.249615	160000	-8.5681675e-09	27.392239	-0.023682324	-18.444004	0.9335233	0.028469821	0.20100002	99.0	105.27899646759033
16	-1.2604684	1.4736173	0.5225183	-5.1003256	1000.0	58.1	96.10041	329.0	0.0	-0.78840905	2.2070327	12.970096	-25.85965	170000	2.0861625e-08	92.93565	-0.024075236	-86.70821	0.9262549	0.0054923827	0.13599999	99.0	111.82406854629517
17	-0.91397125	1.3718338	1.2673514	-2.5668519	1000.0	47.0	74.42311	240.0	0.0	-1.811725	4.2046523	0.47001773	-32.32974	180000	-1.7881394e-08	94.1112	-0.024094151	-87.4679	0.91909397	0.011504346	0.177	99.0	118.20219469070435
18	-1.8072107	2.0218801	1.7078319	-5.474281	1000.0	21.6	38.6554	118.0	0.0	-1.5916188	4.6286464	13.615286	-33.105972	190000	-1.1920929e-08	44.201393	-0.026555454	-42.442303	0.91860306	0.017453153	0.1977	99.0	124.57399296760559
19	-1.2212067	1.1769043	0.67402524	-3.2210057	1000.0	0.5	1.5	5.0	0.0	-1.9292784	6.516648	0.45988053	-37.675533	200000	5.9604646e-09	46.148895	-0.012603035	-46.0747	0.89468366	0.028466027	0.14359999	99.0	130.98822045326233
20	-0.66021025	1.4375457	1.7154227	-3.1184242	1000.0	17.2	38.981533	127.0	0.0	-0.016945168	0.619187	17.463385	-0.336196	210000	-8.940697e-09	25.115374	-0.016139014	-9.371954	0.8806175	0.0038171187	0.12049999	99.0	137.0351071357727
21	-1.7678438	3.2713046	3.3139277	-7.374007	1000.0	23.5	49.30568	162.0	0.0	-0.7618036	2.879228	11.2812	-8.544109	220000	0.0	47.838676	-0.022122556	-33.120472	0.8935622	0.0066765537	0.14519998	99.0	143.29499316215515
22	-0.51067346	1.3877865	1.1855912	-2.6084082	1000.0	14.1	33.040733	109.0	0.0	-2.1542203	3.7744312	2.1645377	-17.461628	230000	-1.3411045e-08	36.542534	-0.019643603	-19.505854	0.89213574	0.026229894	0.17680001	99.0	149.1742298603058
