Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.07909026	0.95331573	1.5647222	-1.691483	1000.0	51.5	107.9956	358.0	0.0	-0.00081769866	0.074014515	0.22622898	-0.1139505	10000	-2.3841858e-08	370.82294	-0.018477466	-151.91858	0.91893846	0.007286267	0.1018	99.0	8.108997821807861
1	-0.38801607	0.7941817	0.6638419	-1.9405632	1000.0	30.6	50.335274	172.0	0.0	-3.4122024	6.0746284	3.3410215	-18.145113	20000	0.0	41.938133	-0.019419014	-39.97807	0.93217534	0.008645343	0.11370001	99.0	13.390644788742065
2	-0.70697737	1.0469942	1.1618195	-2.1630735	1000.0	50.9	87.10276	253.0	0.0	-0.32365018	0.6572969	0.56340915	-2.0482502	30000	2.9802323e-09	6.1610518	-0.017689172	-2.8085506	0.91521823	0.008540622	0.1105	99.0	18.874733448028564
3	-0.49675933	1.3099222	1.9586003	-2.2676075	1000.0	47.7	80.79858	231.0	0.0	-0.8480869	1.5043427	0.96219313	-4.3201356	40000	-5.9604646e-09	33.197296	-0.016980173	-19.091686	0.9376174	0.009558032	0.12979999	99.0	24.28608202934265
4	-0.17634788	1.0083685	1.4502314	-2.1216717	1000.0	78.6	92.77198	272.0	0.0	-1.6352055	2.487237	1.6203326	-8.447995	50000	2.2351742e-08	90.41328	-0.020660933	-68.84461	0.9473492	0.004809899	0.14130001	99.0	29.52836775779724
5	-1.1462027	1.3522652	0.5212609	-3.7151487	1000.0	65.0	163.54082	552.0	0.0	-1.7723094	4.0365987	0.54650056	-17.25638	60000	-8.940697e-09	163.73242	-0.018554334	-122.25285	0.9417513	0.0050314	0.12530002	99.0	34.847445011138916
6	-0.8876667	1.222578	1.4637815	-2.8914926	1000.0	16.4	49.2	164.0	0.0	-2.398655	6.236459	0.47293645	-30.689642	70000	1.1920929e-08	65.494	-0.016896432	-42.13731	0.9595914	0.036859296	0.12539999	99.0	40.376453161239624
7	-0.9460785	1.4904244	1.7262349	-3.3834667	1000.0	21.6	56.666035	190.0	0.0	-1.0425854	2.0969338	1.4151299	-8.6434145	80000	-1.1920929e-08	44.403873	-0.017110625	-26.617538	0.9548887	0.01078975	0.15470001	99.0	45.531489849090576
8	-0.97214395	1.5045681	1.0758467	-3.6352248	1000.0	27.3	49.66699	158.0	0.0	-1.3951063	3.5648413	0.60000837	-12.653607	90000	-1.1920929e-08	66.44701	-0.021508042	-41.372936	0.95525277	0.01722311	0.19909999	99.0	50.96072268486023
9	-0.09502033	1.4382259	2.4014683	-2.2601745	1000.0	63.8	143.43904	484.0	0.0	-0.994901	1.9653157	2.9285536	-11.54983	100000	0.0	180.64255	-0.019864166	-128.3851	0.9482851	0.005186883	0.123500004	99.0	56.41346454620361
10	-1.4244946	1.4223057	1.2547526	-4.0150595	1000.0	38.6	71.983604	244.0	0.0	-1.4236432	3.589682	1.9422276	-20.011324	110000	1.6391278e-08	114.989586	-0.020438913	-83.98327	0.950951	0.019374104	0.1613	99.0	62.149818658828735
11	-0.97741044	1.4710301	1.4090565	-3.70209	1000.0	35.0	38.12086	114.0	0.0	-0.4984234	1.2503171	3.014516	-13.918588	120000	0.0	48.656883	-0.02540787	-43.94442	0.96363556	0.0041913865	0.15849999	99.0	67.62095379829407
12	-1.3564229	1.3897612	1.3570061	-3.3948886	1000.0	3.9	11.699999	39.0	0.0	-2.6310353	6.6715617	1.5571284	-30.605383	130000	0.0	54.178795	-0.021571761	-50.832836	0.9701265	0.026261693	0.1805	99.0	73.00025868415833
13	0.05158614	1.0727643	1.5823461	-1.722953	1000.0	46.9	86.330124	280.0	0.0	-0.4796089	0.8715934	1.5597745	-3.6294746	140000	2.0861625e-08	133.18933	-0.023234742	-101.70118	0.943174	0.0055596884	0.1368	99.0	78.47584533691406
14	-1.1267964	3.2617967	1.7206508	-10.185568	1000.0	11.9	18.96022	51.0	0.0	-0.7035166	2.9984522	5.395765	-27.773247	150000	-8.195639e-09	18.164541	-0.021087153	-16.421162	0.9593371	0.02111043	0.19660002	99.0	83.969486951828
15	-0.956481	1.6232368	1.5077952	-3.7615664	1000.0	37.3	72.66918	244.0	0.0	-1.3885784	4.432724	4.2769794	-19.72909	160000	0.0	106.53269	-0.021831987	-89.646095	0.9498292	0.010551015	0.1595	99.0	89.18941879272461
16	-0.9565381	1.6026317	1.772265	-4.1537786	1000.0	12.1	36.3	121.0	0.0	-2.3633442	5.797314	5.03167	-26.570124	170000	4.4703485e-09	23.22132	-0.023376364	-17.745777	0.95791185	0.018087547	0.1636	99.0	94.67630767822266
17	-0.7699052	1.8065065	2.3752973	-4.40107	1000.0	15.3	23.866503	63.0	0.0	-0.2012703	0.96844995	2.0429754	-18.930412	180000	1.0430813e-08	18.039108	-0.020717803	-6.834091	0.92945206	0.010778466	0.1935	99.0	100.11448454856873
18	-1.1451168	1.7291874	3.4887924	-3.1173236	1000.0	24.7	61.390636	205.0	0.0	-0.5810513	1.6187494	2.8575273	-9.70774	190000	0.0	82.76326	-0.022467975	-73.0296	0.93061274	0.010313874	0.18270001	99.0	105.7301549911499
19	-1.1217161	2.0245008	1.7191991	-6.541637	1000.0	18.3	36.9	102.0	0.0	-3.598568	9.926793	2.422117	-39.748634	200000	3.576279e-08	136.30768	-0.020273175	-128.7828	0.9303814	0.03275857	0.1947	99.0	111.20651698112488
20	-1.5247352	1.8982545	0.785682	-4.8406453	1000.0	33.9	53.603077	160.0	0.0	-1.489454	4.3138013	1.3865609	-21.30738	210000	-2.9802323e-09	77.552574	-0.025584543	-58.957653	0.90096873	0.013259346	0.1781	99.0	116.48690509796143
21	-1.6757758	1.2805685	0.9374589	-3.675315	1000.0	0.0	0.0	0.0	0.0	-0.8275379	1.7012964	2.1638637	-19.211775	220000	-1.4901161e-08	3.4278958	-0.02125586	-3.4020648	0.89716613	0.017615583	0.15959999	99.0	121.90546989440918
22	-1.5601875	2.0585082	1.2078923	-4.9664097	1000.0	24.0	37.743874	101.0	0.0	-0.04315412	0.09114402	0.49874383	-0.8224532	230000	0.0	50.67813	-0.020595785	-43.288353	0.88317955	0.0022348766	0.1594	99.0	127.31344318389893
23	-0.539898	2.3458395	4.134788	-4.281761	1000.0	49.1	73.709496	211.0	0.0	-2.88954	6.7521524	1.6486886	-28.527029	240000	5.9604646e-09	125.31738	-0.027884712	-105.90147	0.87709963	0.014294086	0.1843	99.0	132.7224063873291
24	-2.0995998	2.516035	0.40015888	-8.511379	1000.0	5.9	11.903361	33.0	0.0	-1.095053	2.9737594	1.887342	-37.86025	250000	-2.9802323e-09	11.262097	-0.020648861	-10.537094	0.8622445	0.018725127	0.1762	99.0	138.15598845481873
25	-0.6785733	1.1198967	0.28543153	-3.732617	1000.0	36.7	58.64478	161.0	0.0	-1.2720145	3.6686246	3.5101585	-36.68617	260000	1.1920929e-08	59.738777	-0.029621478	-41.222218	0.8322422	0.015571999	0.1854	99.0	143.33899879455566
26	-2.9087877	2.8620763	-0.27966633	-10.125502	1000.0	12.8	28.767342	97.0	0.0	-1.0334837	3.1113393	2.5520637	-21.060034	270000	8.940697e-09	22.217987	-0.018697347	-18.641714	0.8248743	0.017441945	0.1645	99.0	148.4004328250885
27	-3.0971208	2.2454164	1.0234287	-7.583826	1000.0	7.8	23.399998	78.0	0.0	-0.5104691	1.6742226	0.71069044	-20.919807	280000	2.7380883e-08	15.611563	-0.023384642	-13.973195	0.8229502	0.038047932	0.2093	99.0	153.8147497177124
28	-2.8846774	2.112644	-0.44203013	-8.266236	1000.0	12.0	19.763603	56.0	0.0	-1.0028449	3.2723463	2.1167848	-26.90558	290000	1.4901161e-08	15.730497	-0.022374336	-10.977938	0.8091257	0.018070128	0.19860001	99.0	158.96322870254517
29	-1.0531116	1.337211	0.35232618	-3.497234	1000.0	28.3	40.222008	131.0	0.0	-2.01346	3.2607832	0.9861533	-22.868599	300000	5.9604646e-09	51.13111	-0.029170614	-32.002495	0.7784959	0.039059054	0.2424	99.0	164.4568612575531
30	-2.6255271	2.2043688	1.6226873	-6.7543373	1000.0	5.8	9.097253	22.0	0.0	-0.384595	2.2454777	2.0181365	-34.21395	310000	0.0	7.862883	-0.017580789	-6.5077486	0.7662316	0.02053975	0.2057	99.0	170.25126194953918
31	-1.9913247	1.7891582	0.8604288	-5.1557364	1000.0	22.2	50.041584	168.0	0.0	-0.59606594	1.7887857	3.7478852	-21.98666	320000	0.0	65.06318	-0.020449191	-53.602837	0.7542683	0.0034384797	0.1527	99.0	175.60063648223877
