Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.35882074	1.0311265	1.5647222	-4.1365967	1000.0	39.25	88.31414	381.0	0.0	0.021801066	0.08743304	0.23238817	-0.114493236	40000	0.0	274.45996	-0.010919297	-88.66167	0.9189385	0.0047544846	0.074175	99.0	12.97923469543457
1	-0.31887025	1.2829939	4.627143	-2.6794302	1000.0	46.05	102.65694	521.0	0.0	-3.248191	5.552634	6.532462	-17.480194	80000	-9.685754e-09	36.049316	-0.013530627	-34.506897	0.9314643	0.0037170865	0.074999996	99.0	24.129806756973267
2	-0.7352078	1.689398	3.685427	-4.0110717	1000.0	51.1	115.85655	680.0	0.0	-0.2857673	0.60160446	0.7607962	-2.2535813	120000	1.1920929e-08	16.80342	-0.012964154	-7.0939875	0.91835845	0.006319292	0.094375	99.0	35.75119161605835
3	-0.17574027	1.1229366	2.9987495	-3.9804494	1000.0	31.625	80.06956	436.0	0.0	-1.3454803	2.017693	0.7570337	-9.230235	160000	6.7055224e-09	30.804804	-0.014285915	-19.150843	0.9293169	0.008696278	0.11104999	99.0	47.48191857337952
4	-0.21417332	1.7929028	6.5108266	-6.098442	1000.0	30.6	69.350845	355.0	0.0	-1.1357853	2.082165	2.309821	-12.752639	200000	2.9802323e-09	32.031013	-0.014073914	-21.012333	0.9481064	0.0072060674	0.11500001	99.0	59.21594309806824
5	-1.045731	1.6480798	2.0090275	-5.660546	1000.0	56.5	109.696396	402.0	0.0	-1.2110057	2.8226824	1.7918516	-16.269735	240000	2.0861625e-08	90.341934	-0.01697514	-68.03197	0.945264	0.0086090695	0.117400005	99.0	71.09151864051819
6	-0.8071579	1.241574	2.842282	-3.3562505	1000.0	34.175	79.2584	289.0	0.0	-1.4094077	3.880841	3.761601	-27.859602	280000	-1.1920929e-08	78.02142	-0.015062918	-59.64541	0.9484886	0.00921833	0.110975005	99.0	82.6887731552124
7	-0.67212564	1.0496376	1.0637912	-3.7950957	1000.0	42.35	88.60744	340.0	0.0	-1.460557	4.0140557	2.1993563	-33.86086	320000	-2.9802323e-09	83.21357	-0.015719142	-72.330154	0.9486685	0.009083859	0.11725	99.0	94.47586822509766
8	-0.751371	1.1291374	2.2205818	-2.8916585	1000.0	41.35	78.11964	276.0	0.0	-1.2487413	4.1469126	1.7818725	-34.58383	360000	-2.9802323e-09	93.94229	-0.015400156	-71.57518	0.9563204	0.008017572	0.1268	99.0	105.79837656021118
9	-1.092776	1.8174795	2.28005	-7.6051607	1000.0	37.075	88.716225	445.0	0.0	-1.6585078	4.380216	2.2752323	-36.997017	400000	1.4901161e-09	104.06523	-0.017209982	-88.66857	0.95086133	0.010961624	0.147025	99.0	117.38013458251953
10	-1.1492579	1.3693157	0.7570631	-6.80472	1000.0	16.025	35.630386	168.0	0.0	-2.0892696	6.917481	2.6837163	-40.892902	440000	5.9604646e-09	73.31238	-0.016041454	-53.601715	0.9530219	0.019815262	0.168175	99.0	129.5242142677307
11	-0.74397707	1.3904588	3.15945	-4.271039	1000.0	33.3	78.634026	306.0	0.0	-1.031928	1.8792561	1.742347	-9.7448635	480000	1.4901161e-09	72.002014	-0.016156673	-53.84667	0.93973505	0.0061365203	0.11174999	99.0	141.0516860485077
12	-1.4424205	1.4106572	1.9272323	-4.145517	1000.0	7.15	22.52282	123.0	0.0	-1.0506681	3.036184	1.2748281	-27.766748	520000	2.9802323e-09	21.37537	-0.013943443	-11.917929	0.95503044	0.01618036	0.1506	99.0	152.49062776565552
13	-0.746048	1.3459321	1.8341678	-2.8495703	1000.0	18.375	50.96503	239.0	0.0	-0.6056289	1.2358305	1.5183784	-7.0400696	560000	2.9802323e-09	47.091877	-0.01574776	-30.170017	0.9479284	0.008483547	0.127525	99.0	164.6025664806366
