Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032689	1.2343693	4.2372236	-4.1365967	1000.0	40.5125	82.51136	381.0	0.0	0.02193942	0.087588675	0.23727135	-0.12333755	80000	2.8312206e-08	286.49582	-0.008442675	-87.736725	0.9189385	0.00501474	0.066199996	99.0	23.209455966949463
1	-0.7019087	1.3569826	3.1210184	-4.61696	1000.0	46.45	85.26853	355.0	0.0	-3.1912794	5.6446714	5.7019343	-16.751158	160000	-3.8743018e-08	36.417797	-0.011431395	-34.312126	0.92759144	0.006326659	0.0690625	99.0	44.97646689414978
2	-0.59176356	1.5002168	3.9859033	-6.4576488	1000.0	33.45	80.2633	365.0	0.0	-0.3026	0.87820727	2.4279466	-3.267531	240000	-1.4901161e-09	12.156854	-0.009949503	-2.2623937	0.91848755	0.00609145	0.088675	99.0	66.94893455505371
3	-0.46477646	1.241991	2.0515845	-4.01757	1000.0	32.85	72.09891	440.0	0.0	-0.87036085	0.95049566	4.6238794	-3.9158142	320000	4.4703485e-09	18.265467	-0.010912005	-6.157943	0.9346285	0.007956738	0.10349999	99.0	89.08201622962952
4	-0.6142857	1.243832	2.3335252	-5.7473936	1000.0	44.3	91.873886	508.0	0.0	-1.4713755	1.7439092	4.6399474	-11.479117	400000	2.9802323e-09	40.276283	-0.012365312	-15.912943	0.9496635	0.0055245706	0.0894875	99.0	110.80766654014587
5	-0.6643689	1.4585111	3.2774127	-6.212753	1000.0	31.2875	82.1753	416.0	0.0	-1.544058	2.617233	9.126624	-18.023558	480000	-7.4505807e-10	45.850655	-0.0118081495	-23.348848	0.9608203	0.0076561756	0.107200004	99.0	132.92578887939453
6	-0.622827	1.6043689	2.8328686	-5.496924	1000.0	29.725	69.03151	374.0	0.0	-1.3479817	2.905463	14.224418	-20.436522	560000	8.940697e-09	46.383335	-0.011588195	-28.600672	0.9642042	0.0072633303	0.111549996	99.0	155.43538093566895
7	-0.8475193	1.2861824	2.2307892	-4.368974	1000.0	31.7625	71.23855	375.0	0.0	-1.8161432	4.6094017	3.9377868	-23.97605	640000	0.0	64.33418	-0.012860807	-39.84537	0.9638816	0.011332383	0.1429375	99.0	177.8150770664215
8	-0.69597876	1.4483229	2.2384825	-4.6536784	1000.0	18.1375	48.704655	291.0	0.0	-1.2820394	3.1444852	6.8893156	-24.803679	720000	8.0093745e-09	31.84898	-0.010796048	-11.181429	0.9672204	0.010548455	0.12705001	99.0	199.95349884033203
9	-1.7659928	2.3507042	1.5735791	-12.249508	1000.0	29.575	64.73113	303.0	0.0	-1.1757672	1.8666878	2.5690129	-24.571243	800000	-5.9604646e-09	51.665485	-0.012002666	-27.246572	0.9684409	0.0084412	0.110025	99.0	222.3009853363037
10	-1.3080301	1.9347136	2.2060595	-8.341883	1000.0	18.5625	49.89385	228.0	0.0	-1.2278626	2.8980603	5.469537	-27.365675	880000	3.3527612e-09	33.597637	-0.012533	-21.80159	0.9804505	0.009726029	0.122687496	99.0	244.18853330612183
11	-1.2075851	1.9470807	3.2829509	-11.127723	1000.0	19.0	66.85077	536.0	0.0	-1.0023475	4.0959845	30.028719	-26.805511	960000	0.0	50.67883	-0.012526889	-41.736504	0.9815234	0.010181674	0.13247499	99.0	265.3729922771454
12	-1.1169356	2.142059	3.6475263	-7.9117265	1000.0	10.2125	28.7553	177.0	0.0	-1.1850098	4.1249924	29.417673	-33.56885	1040000	4.842877e-09	28.57015	-0.012800755	-16.000378	0.97696364	0.01262524	0.1342125	99.0	287.31903982162476
13	-1.2436554	1.5290276	1.7648664	-5.541608	1000.0	8.1625	21.685505	110.0	0.0	-0.6073689	0.95213366	18.56131	-5.8365784	1120000	1.0430813e-08	8.402776	-0.01102347	-3.7985306	0.9651847	0.009919218	0.115637496	99.0	309.62881994247437
14	-1.2344298	1.4207802	1.8975307	-5.595878	1000.0	6.925	17.139702	73.0	0.0	-0.70394313	1.6616029	5.8812103	-9.752697	1200000	-4.4703485e-09	7.528164	-0.012874817	-2.6912944	0.9766761	0.011697232	0.13401249	99.0	331.90574860572815
15	-1.3832463	1.7165029	2.3715534	-6.5705404	1000.0	13.1875	55.76986	394.0	0.0	-0.3921592	0.75550616	0.8551689	-8.830385	1280000	-5.9604646e-09	28.846582	-0.009515298	-16.649471	0.97777474	0.0066212304	0.09635	99.0	354.0057215690613
16	-1.2024221	1.7471719	3.7139618	-6.1855083	1000.0	10.0875	38.446133	302.0	0.0	-0.46564335	1.7870593	1.4217819	-20.351084	1360000	-2.9802323e-09	17.258337	-0.010625919	-8.378965	0.9926027	0.00945065	0.11604999	99.0	375.76074719429016
17	-1.358771	1.6657183	3.149675	-5.782054	1000.0	13.0875	36.617004	225.0	0.0	-0.38625035	1.1312708	1.396856	-25.24009	1440000	-1.4901161e-09	19.28189	-0.011320266	-11.230184	0.99693525	0.006166058	0.0986125	99.0	397.77039432525635
18	-1.1466359	1.601741	5.554577	-4.6107726	1000.0	4.6375	21.963745	163.0	0.0	-0.6008498	2.0749805	6.8286166	-19.325367	1520000	-2.9802323e-09	10.157354	-0.013293302	-4.3821864	1.0053657	0.009732211	0.121062495	99.0	419.8953306674957
19	-1.0083206	1.8754073	3.8864431	-6.8880014	1000.0	3.075	15.407607	127.0	0.0	-0.33237466	0.78455997	1.6953766	-10.318816	1600000	4.842877e-09	4.012531	-0.009976083	-1.2167797	0.9908252	0.008415768	0.10502501	99.0	441.83165860176086
20	-0.99797803	1.914571	4.148418	-6.062509	1000.0	10.45	48.547375	373.0	0.0	-0.28679967	0.90231884	1.557635	-16.940977	1680000	-2.9802323e-09	20.191467	-0.009181945	-12.369423	0.9963609	0.0053964388	0.0932375	99.0	463.65541434288025
21	-1.1106774	1.6224732	3.0043206	-6.4560556	1000.0	6.525	17.77004	93.0	0.0	-0.4200375	1.5079293	4.047545	-20.643675	1760000	0.0	7.37265	-0.013299255	-4.932538	0.9999045	0.011755054	0.13633749	99.0	485.4708743095398
22	-0.8918482	1.7097105	3.2785094	-5.466524	1000.0	6.8375	28.997604	227.0	0.0	-0.33109668	0.917564	5.494241	-13.276423	1840000	1.1175871e-09	11.613835	-0.012463242	-7.296566	0.98806536	0.009159614	0.11767501	99.0	506.73143577575684
