Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.2878912	0.57837397	0.4802671	-1.691483	1000.0	56.0	108.44261	358.0	0.0	0.005554639	0.0471934	0.119970515	-0.114493236	10000	2.9802323e-09	403.08813	-0.017113645	-155.5584	0.9189385	0.0072656595	0.109500006	99.0	10.367866516113281
1	-0.032286547	1.6155002	4.2075114	-2.0333772	1000.0	10.5	22.571	71.0	0.0	-4.034134	7.2886844	6.770422	-17.636215	20000	3.576279e-08	60.50921	-0.018731633	-57.650078	0.92685044	0.0053942315	0.119	99.0	20.447362422943115
2	-0.6682256	1.7644777	3.0202687	-3.1155512	1000.0	24.9	59.66984	198.0	0.0	-0.5887152	0.5587272	0.8607399	-1.7647728	30000	-5.9604646e-09	0.6727141	-0.018856797	-0.58591855	0.9033183	0.008571828	0.1213	99.0	30.46546459197998
3	-0.16502842	1.2187225	2.7840302	-2.4214761	1000.0	31.0	75.41353	251.0	0.0	-0.22809522	0.2156906	0.76246524	-1.4553337	40000	-1.1920929e-08	3.0887687	-0.014651254	-2.5926812	0.9010669	0.0060457056	0.0977	99.0	40.26525068283081
4	-0.5087366	1.6376462	2.508469	-2.875906	1000.0	12.9	27.233986	84.0	0.0	-0.6924365	1.4657854	0.30531067	-8.620424	50000	-8.195639e-09	4.792285	-0.016993439	-3.8139904	0.90062463	0.01657025	0.1897	99.0	50.56925439834595
5	-0.70422196	1.443851	2.1240184	-2.9213636	1000.0	17.3	28.761257	86.0	0.0	-0.21676755	0.42906174	0.97828126	-3.651147	60000	-1.4901161e-08	3.6747766	-0.016967636	-2.127077	0.8852924	0.013037972	0.1851	99.0	61.009607553482056
6	-0.570236	1.1225367	1.1555991	-3.1054592	1000.0	21.6	49.711567	163.0	0.0	-0.5859858	0.6559844	0.39212358	-5.5442376	70000	1.6391278e-08	8.066081	-0.015706178	-2.4767556	0.893038	0.011688693	0.1489	99.0	71.01375246047974
7	-1.3815107	2.0895321	2.5048378	-5.071993	1000.0	22.0	46.553196	144.0	0.0	-0.57057405	0.9770016	0.6619543	-3.3852785	80000	-5.9604646e-09	9.03102	-0.01894714	-8.02209	0.8927417	0.015944917	0.18930002	99.0	80.80308794975281
8	-0.6688677	1.7581686	2.1638556	-4.6704254	1000.0	14.9	33.407932	111.0	0.0	-1.2973565	2.6602695	0.4428394	-9.984373	90000	7.450581e-09	13.385089	-0.017171616	-11.584478	0.9073539	0.016521275	0.1309	99.0	91.30094003677368
9	0.36920524	1.3915138	4.191898	-0.9302903	1000.0	80.9	140.91234	452.0	0.0	-0.5677277	1.0654962	0.6232317	-10.53895	100000	0.0	79.08707	-0.018890623	-37.28127	0.8917583	5.7681464e-05	0.115600005	99.0	101.60392498970032
10	-0.5201156	1.4449378	2.30026	-3.7381604	1000.0	3.8	11.4	38.0	0.0	-3.3431692	5.660521	1.0768309	-14.210616	110000	5.364418e-08	39.070744	-0.020568341	-35.746742	0.8924162	0.023381561	0.1525	99.0	112.16182279586792
11	-0.7379583	0.7412122	0.2596153	-1.9932358	1000.0	0.0	0.0	0.0	0.0	-0.5318431	0.5826145	0.36130157	-2.1970556	120000	0.0	0.5117755	-0.02278548	-0.48254627	0.89153403	0.020314012	0.1644	99.0	122.57622957229614
12	0.20089631	1.5977279	2.5563414	-2.5447152	1000.0	23.5	38.281197	111.0	0.0	-0.116701536	0.077466756	0.28735727	-1.018769	130000	-1.4901161e-08	20.816093	-0.018019332	-3.817799	0.8782381	0.0065847277	0.1381	99.0	132.43316864967346
