Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.07909026	0.95331573	1.5647222	-1.691483	1000.0	51.5	107.9956	358.0	0.0	-0.00081769866	0.074014515	0.22622898	-0.1139505	10000	7.152558e-08	370.82294	-0.01769406	-151.91858	0.91893846	0.0063556978	0.1033	99.0	18.154542446136475
1	-0.20042746	0.90543073	1.7983007	-1.4262812	1000.0	60.0	83.25864	247.0	0.0	-3.4141743	6.0930867	3.8174477	-18.145048	20000	4.172325e-08	42.16491	-0.022077184	-40.161385	0.92644006	0.007003294	0.113400005	99.0	24.047465324401855
2	-0.8573843	0.9853493	0.5419846	-2.8175108	1000.0	12.4	25.691242	77.0	0.0	-0.26352796	0.65513027	0.4972858	-2.0427873	30000	-2.9802323e-09	5.1670265	-0.014032463	-1.5291708	0.9062141	0.0036521242	0.0885	99.0	29.569040060043335
3	-0.29965538	1.5642612	4.156614	-1.4010085	1000.0	9.2	27.6	92.0	0.0	-0.44082192	1.1252105	1.0165002	-4.1107707	40000	1.6391278e-08	5.413514	-0.015308062	-2.1408453	0.9127226	0.013210368	0.1418	99.0	35.095516204833984
4	0.030398156	0.5278122	0.9476342	-0.55033803	1000.0	39.9	60.65715	159.0	0.0	-0.38510644	0.9043471	0.9200793	-3.0683498	50000	4.4703485e-09	2.7258284	-0.016139206	-1.019686	0.90932524	0.005610756	0.1161	99.0	40.56769275665283
5	-0.44884405	0.83465934	0.24724106	-2.099685	1000.0	70.7	106.20739	336.0	0.0	-0.57003146	0.86551875	0.37254375	-2.3032408	60000	-2.682209e-08	41.087856	-0.019849826	-32.506573	0.9124435	0.0055053234	0.12530002	99.0	46.538952589035034
6	-0.7382916	1.1859255	0.9486705	-3.7174885	1000.0	40.6	72.32593	228.0	0.0	-1.9792563	3.943661	1.6051747	-13.819593	70000	-1.7881394e-08	55.98239	-0.01733367	-39.962486	0.9380175	0.0057640458	0.101399995	99.0	52.04176187515259
7	-0.0389027	0.86743516	1.6322943	-1.3374547	1000.0	20.6	61.799995	206.0	0.0	-1.4046478	3.5592163	0.575505	-15.38007	80000	-3.576279e-08	68.26434	-0.014353389	-29.4336	0.95040643	0.01609238	0.14140001	99.0	57.68875575065613
8	-1.0091721	1.4566653	0.8025124	-4.118418	1000.0	86.3	107.8416	355.0	0.0	-0.9017756	2.3246644	1.01787	-7.8807836	90000	-2.9802322e-08	155.02211	-0.024366908	-116.25454	0.9642235	0.0055283536	0.1497	99.0	63.3338680267334
9	0.14262795	0.99074733	1.7244757	-1.0104767	1000.0	28.0	66.94326	223.0	0.0	-3.2971227	5.230031	0.68755436	-21.33589	100000	5.9604646e-09	85.12874	-0.022642465	-64.73326	0.9617165	0.023803264	0.18149999	99.0	68.95992350578308
10	-0.2002295	0.9526579	1.6210214	-1.3577664	1000.0	54.4	126.66981	431.0	0.0	-2.1836646	3.254967	5.1419997	-14.632712	110000	5.9604646e-09	153.92947	-0.022917874	-96.27499	0.96064967	0.008751111	0.1424	99.0	74.84434700012207
11	-0.30023193	1.2629372	1.8313029	-1.852587	1000.0	10.6	21.982721	66.0	0.0	-6.7518806	11.266032	2.820105	-32.610798	120000	0.0	158.56828	-0.020601882	-148.15627	0.9784778	0.024120573	0.14109999	99.0	80.52266788482666
12	-0.78151286	0.69730175	0.20062698	-1.6131932	1000.0	0.0	0.0	0.0	0.0	-1.3481592	2.262737	0.51821685	-9.56325	130000	2.9802322e-08	6.592898	-0.02089371	-6.5274315	0.9757401	0.018660925	0.1382	99.0	85.96943926811218
13	-0.991796	0.94908714	0.3754359	-2.7979968	1000.0	4.7	14.099999	47.0	0.0	-0.069407225	0.14850715	0.6037308	-0.6393969	140000	1.1920929e-08	5.544108	-0.009653551	-2.655951	0.960906	-0.0031799418	0.0893	99.0	91.56178450584412
