Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.28386602	0.74196976	0.7551738	-1.8008193	1000.0	16.8	36.347763	115.0	0.0	-0.0032963776	0.07518913	0.1388693	-0.18607625	10000	-2.9802323e-09	77.74431	-0.01748971	-29.21214	0.91893846	0.020628672	0.1183	99.0	6.548060417175293
1	-0.9628054	1.4605228	2.1680832	-2.785578	1000.0	19.3	34.76219	92.0	0.0	-1.8506079	4.52967	5.1934605	-14.017902	20000	7.450581e-09	19.85445	-0.018831622	-18.989523	0.9340645	0.008504057	0.1245	99.0	11.799420833587646
2	-0.9089912	0.88632303	0.14159474	-2.605655	1000.0	75.5	89.51117	253.0	0.0	-0.28520107	0.514265	0.45721817	-1.7481873	30000	0.0	0.2704404	-0.020070825	-0.23066811	0.9205801	0.013282001	0.1431	99.0	17.071658611297607
3	0.28998682	1.5988152	3.7629452	-1.4964861	1000.0	59.3	81.80104	247.0	0.0	-0.08549303	0.12351493	0.38285112	-0.61290175	40000	2.682209e-08	35.483795	-0.0191439	-25.518917	0.9175085	0.0047857314	0.11630001	99.0	22.30977511405945
4	-0.778244	0.5908775	0.28821018	-1.5048381	1000.0	8.7	18.022486	54.0	0.0	-1.566236	2.4535224	0.8676545	-11.523591	50000	-1.0803342e-08	10.987715	-0.014936015	-8.200867	0.9415078	0.012195177	0.13659999	99.0	27.722254991531372
5	0.02308762	1.6782569	4.14996	-2.1793168	1000.0	76.5	95.407814	230.0	0.0	-0.46990126	0.5463948	0.8241819	-2.8088267	60000	1.1920929e-08	58.64668	-0.021899808	-47.24263	0.94878924	0.005702722	0.1263	99.0	33.02641034126282
6	-0.43387753	1.0382143	1.9444375	-2.2911167	1000.0	96.7	171.11986	593.0	0.0	-1.9066823	3.7387211	2.6970243	-18.414736	70000	-2.3841858e-08	170.26376	-0.023711184	-138.02713	0.96143514	0.0028969846	0.13620001	99.0	38.53563094139099
7	-0.3796491	1.0877316	1.7378423	-1.9344022	1000.0	24.3	31.815248	77.0	0.0	-4.588531	9.148932	7.6606317	-30.903347	80000	5.9604646e-09	109.866516	-0.02302161	-99.933105	0.97002995	0.024762783	0.1903	99.0	43.80003237724304
8	-0.116124466	1.3007529	2.699527	-2.4090831	1000.0	28.6	33.80296	93.0	0.0	-2.0530863	3.2371418	2.846028	-12.052165	90000	0.0	35.912132	-0.026939172	-32.22558	0.9604907	0.018929893	0.205	99.0	49.0676052570343
9	-1.3996623	1.0718694	0.24465474	-3.515203	1000.0	76.1	115.75789	365.0	0.0	-0.8527066	2.2562454	0.8793848	-18.440485	100000	-5.9604646e-09	163.32533	-0.026473913	-134.19337	0.96104443	0.005670185	0.131	99.0	54.568111419677734
10	-1.613385	1.7025144	0.61970615	-3.9858072	1000.0	0.0	0.0	0.0	0.0	-2.8515058	6.959795	5.012489	-35.896294	110000	0.0	50.961746	-0.020039175	-49.161	0.97306097	0.020898134	0.15730001	99.0	59.86065745353699
11	-0.8582352	0.9701734	0.863834	-2.6511514	1000.0	33.8	80.80817	268.0	0.0	-0.25348878	0.579715	1.0092853	-2.0330703	120000	1.1920929e-08	99.68653	-0.020053491	-62.362873	0.9453041	0.0040553813	0.1204	99.0	65.17149209976196
12	-0.94407016	1.9219542	3.0537307	-4.3504653	1000.0	21.6	43.2	108.0	0.0	-0.9042748	3.238035	2.6543393	-21.722206	130000	-2.9802323e-09	55.738323	-0.01932269	-43.03582	0.9732398	0.012551834	0.1448	99.0	70.5531713962555
13	-1.1513743	0.9059655	0.17682014	-2.8301675	1000.0	13.7	28.156881	83.0	0.0	-0.16650195	0.70726186	1.9184476	-7.1979885	140000	-2.2351742e-08	14.244672	-0.020477999	-9.863666	0.98032683	0.009122722	0.1472	99.0	75.87323379516602
14	-1.1612643	1.3018022	0.7801598	-3.4695144	1000.0	17.2	33.19578	109.0	0.0	-0.34892535	1.5226412	1.9954749	-15.40843	150000	1.7881394e-08	20.691853	-0.021545174	-17.826963	0.9819766	0.007836397	0.17050001	99.0	81.1983573436737
15	-2.4275117	1.6552806	-0.31884584	-6.5891137	1000.0	0.0	0.0	0.0	0.0	-0.3462694	1.3466518	2.194276	-16.166056	160000	0.0	1.8641894	-0.020772208	-1.8491173	0.9866706	0.015380706	0.14790002	99.0	86.51433420181274
16	-2.111145	0.84824073	-0.18478115	-3.4004107	1000.0	4.1	12.3	41.0	0.0	-0.03259556	0.14642608	1.0872165	-1.2404379	170000	-2.9802323e-09	3.7161546	-0.015229474	-2.540501	0.9641191	0.0030582808	0.12329999	99.0	91.99965476989746
17	-1.5894281	1.3625543	1.07935	-3.3665955	1000.0	28.8	74.06727	250.0	0.0	-0.36269426	1.0330042	1.7119248	-18.532833	180000	5.066395e-08	51.64617	-0.024377069	-40.56199	0.95625436	0.004648107	0.12120001	99.0	97.29210209846497
18	-1.8392767	2.117656	0.99788994	-5.283589	1000.0	37.1	66.08547	226.0	0.0	-0.3340021	1.2443873	0.6735056	-24.687634	190000	-1.1920929e-08	81.64675	-0.022221867	-59.006054	0.9798318	0.005536163	0.1579	99.0	102.50484490394592
19	-1.4067185	1.6436653	1.7725736	-4.02693	1000.0	21.6	32.18447	98.0	0.0	-2.8179753	6.4009113	2.9474838	-31.171412	200000	-5.9604646e-09	47.882484	-0.024590842	-44.151592	0.9805749	0.025176596	0.1955	99.0	107.88484930992126
20	-1.7300373	1.8055995	0.47385314	-6.4302735	1000.0	19.6	26.646576	72.0	0.0	-1.2680731	3.5559008	0.5647148	-29.866085	210000	-8.940697e-09	30.273373	-0.026491791	-27.475271	0.96295726	0.04369784	0.28350002	99.0	113.6334457397461
21	-1.0171977	1.9728147	2.4207747	-4.6045623	1000.0	4.6	9.210863	30.0	0.0	-1.2499927	3.5201488	0.42544168	-19.35625	220000	1.1920929e-08	10.061192	-0.020750996	-8.853138	0.93681735	0.022215396	0.1584	99.0	119.11130142211914
22	-2.406148	2.2077935	1.5882975	-5.4760227	1000.0	17.9	53.700005	179.0	0.0	-0.3222431	1.0966748	1.1462371	-6.6737676	230000	-4.4703485e-09	39.8856	-0.018042844	-33.191612	0.9123739	0.0033815138	0.11980001	99.0	124.41526198387146
23	-1.5214711	1.741543	2.4622912	-4.0045547	1000.0	104.6	124.12912	386.0	0.0	-0.1142053	0.37916642	3.0896792	-4.2676105	240000	0.0	267.99628	-0.025122726	-236.996	0.90735865	0.0023298885	0.14570001	99.0	129.96550178527832
24	-1.1212823	1.6718905	2.30418	-3.1665065	1000.0	14.4	23.741104	65.0	0.0	-1.813475	4.742974	2.375348	-43.786743	250000	-5.9604646e-09	30.91388	-0.024720173	-26.004904	0.9118295	0.028985191	0.2328	99.0	135.33293890953064
25	-0.50199854	1.1510055	1.5498371	-2.1812794	1000.0	9.5	23.131147	77.0	0.0	-0.5305196	2.854496	9.069751	-43.07198	260000	1.1920929e-08	22.496384	-0.021055022	-12.068903	0.89836514	0.009905724	0.1811	99.0	140.70596933364868
26	-1.0224053	1.2042382	1.7983865	-2.6985416	1000.0	8.6	17.252245	46.0	0.0	-1.0322652	1.7518134	3.6729703	-7.599219	270000	0.0	11.442215	-0.021986347	-8.891577	0.8839895	0.018562112	0.1736	99.0	145.93918371200562
27	-0.19109884	1.8598044	2.6517553	-4.186766	1000.0	6.5	19.5	65.0	0.0	-1.2338763	3.0529177	1.8247111	-13.213175	280000	-1.4901161e-09	17.773441	-0.024215078	-12.601763	0.8762959	0.017001677	0.183	99.0	151.23650789260864
28	-1.1805748	1.573701	1.9777534	-2.9247327	1000.0	0.0	0.0	0.0	0.0	-0.2321522	0.5834736	1.0582085	-3.0941591	290000	1.7881394e-08	0.3618123	-0.020851362	-0.34550077	0.8443716	0.019688103	0.17289999	99.0	156.51956844329834
