Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5505129	1.3744092	2.913989	-4.4854116	1000.0	52.1	88.736916	362.0	0.0	0.0038809464	0.073173605	0.24506423	-0.19393913	40000	0.0	399.5555	-0.011986154	-113.98888	0.9189385	0.0057584275	0.089324996	99.0	12.153334617614746
1	-0.37771326	1.2863142	2.14831	-3.5471768	1000.0	62.125	105.713806	510.0	0.0	-5.99927	6.2424655	8.268512	-17.77992	80000	2.3841858e-08	64.63427	-0.014054304	-61.690887	0.93185866	0.005839384	0.087850004	99.0	23.590006589889526
2	-1.1982429	1.6761478	1.9002044	-6.680043	1000.0	40.675	83.2137	376.0	0.0	-0.61581254	0.6539104	0.6360016	-3.4060767	120000	1.4901161e-09	15.557454	-0.012513076	-3.0847068	0.9283721	0.0056519345	0.09855	99.0	35.134581089019775
3	-0.48084974	1.11766	1.6129158	-2.9985905	1000.0	25.475	59.528976	310.0	0.0	-1.2645494	1.2633886	0.721427	-5.1902146	160000	1.1920929e-08	15.344656	-0.012857834	-3.6437225	0.94541657	0.0076381653	0.124	99.0	46.55762267112732
4	-0.673118	1.4433728	2.213511	-4.0153313	1000.0	37.6	81.64704	397.0	0.0	-1.1309701	1.3968692	0.8410581	-6.0300765	200000	0.0	24.388912	-0.015376523	-11.386607	0.9528533	0.008793807	0.11229999	99.0	58.28921437263489
5	-0.76030445	1.4583067	1.718581	-5.957115	1000.0	46.85	77.116974	301.0	0.0	-1.436777	2.3781056	1.9030428	-9.832548	240000	5.9604646e-09	41.1747	-0.016684344	-24.21696	0.9806608	0.011786565	0.135025	99.0	69.58435726165771
6	-0.68297935	1.4740217	3.0480165	-4.748351	1000.0	37.075	84.30611	469.0	0.0	-1.6070834	3.5136976	2.7612054	-14.745961	280000	1.0430813e-08	41.718105	-0.01754514	-29.866787	0.9860287	0.012446582	0.15632501	99.0	81.52761483192444
7	-0.57230663	1.2091372	2.7103329	-2.9797719	1000.0	64.1	149.112	775.0	0.0	-2.0759737	5.0225773	1.4637723	-21.333458	320000	-5.9604646e-09	83.482765	-0.017234083	-54.92113	0.9884844	0.0070203505	0.11325	99.0	93.33401131629944
8	-0.81400406	1.3046256	2.1159632	-3.4683022	1000.0	15.1	41.801792	188.0	0.0	-2.678765	6.6047106	8.75346	-31.419004	360000	0.0	67.70109	-0.016446885	-50.681953	0.99535024	0.017679406	0.139175	99.0	104.59928250312805
9	-0.9949686	1.7110026	4.1643095	-6.697187	1000.0	16.075	44.748962	183.0	0.0	-0.99595505	1.800359	2.5706668	-10.868027	400000	5.9604646e-09	28.195454	-0.016254192	-14.40713	0.9915061	0.014693732	0.1477	99.0	116.5016577243805
10	-1.4296677	2.3505235	4.511091	-9.609217	1000.0	8.425	23.81689	121.0	0.0	-0.48254833	1.5366927	1.624386	-10.682052	440000	0.0	9.4976225	-0.01523749	-3.5241761	0.99112713	0.012984346	0.142275	99.0	127.8218765258789
11	-1.1836338	2.4587998	3.689341	-9.339285	1000.0	13.925	38.018013	212.0	0.0	-0.4197504	0.7686873	0.7291864	-8.729389	480000	1.1920929e-08	14.822014	-0.015651109	-8.863462	0.9788103	0.008558946	0.1295	99.0	139.96786427497864
12	-0.9869078	1.6319249	2.382628	-4.131087	1000.0	15.675	37.85326	184.0	0.0	-0.4939492	1.3796935	2.1980565	-12.852363	520000	-5.9604646e-09	19.640877	-0.015158676	-9.672862	0.9942932	0.013010675	0.15465	99.0	151.7111873626709
13	-1.7530727	2.2541285	3.2353656	-9.564662	1000.0	17.05	41.038364	211.0	0.0	-1.0721127	2.4878812	1.6501215	-14.369118	560000	-5.9604646e-09	23.417973	-0.015287484	-16.274658	1.0006642	0.011088188	0.14732501	99.0	163.7824592590332
14	-1.7337654	2.4763615	2.5820622	-12.65601	1000.0	4.175	18.898264	119.0	0.0	-0.25795805	1.0587415	3.06729	-17.29574	600000	4.842877e-09	3.0300438	-0.013906628	-1.8266118	0.9954581	0.00977953	0.1201	99.0	175.6122224330902
15	-1.7407386	3.4687827	2.4710279	-15.607677	1000.0	11.85	27.737656	117.0	0.0	-0.75047433	1.9428895	0.86580366	-17.897234	640000	-2.9802323e-09	12.6738205	-0.017163878	-7.6093493	0.9871887	0.016198644	0.1794	99.0	187.0363221168518
16	-1.4130927	1.8364303	2.165879	-6.7525754	1000.0	22.75	62.509098	239.0	0.0	-0.51430655	1.114073	2.7021978	-15.402475	680000	-5.9604646e-09	27.55305	-0.017246867	-18.69429	0.97958696	0.008252949	0.11365	99.0	198.9120810031891
17	-1.587357	2.781759	1.7353253	-12.709048	1000.0	9.2	32.508614	193.0	0.0	-0.63543713	2.0164382	2.4386442	-20.506758	720000	-1.0430813e-08	10.561757	-0.016942155	-8.329443	0.9899141	0.014202801	0.158325	99.0	210.59265518188477
18	-1.1173743	1.6656097	1.7314794	-7.455959	1000.0	10.175	35.74485	207.0	0.0	-0.49500343	1.5403702	2.415812	-22.08429	760000	-2.9802323e-09	11.597087	-0.014840549	-9.066923	0.9802853	0.010260442	0.132875	99.0	222.3681173324585
19	-0.87729454	2.416369	3.2774231	-10.328795	1000.0	2.225	8.054463	44.0	0.0	-0.37067378	1.0290195	2.2442997	-12.257533	800000	2.9802323e-09	1.8728259	-0.016759131	-1.5254332	0.9797829	0.01498278	0.138275	99.0	234.14252710342407
20	-0.72061765	2.3105953	4.105175	-8.2079525	1000.0	12.8	37.17674	179.0	0.0	-0.17319198	0.57469034	0.69320744	-10.611159	840000	2.9802323e-09	7.536069	-0.015030047	-5.4944525	0.95770407	0.006693594	0.12895	99.0	245.66402983665466
21	-1.1567178	1.9560542	3.09013	-7.0242887	1000.0	6.6	24.24232	114.0	0.0	-0.42504185	1.4635084	3.6775115	-14.751179	880000	-7.450581e-09	3.5538464	-0.015927555	-3.205792	0.96153945	0.013128435	0.14954999	99.0	257.3075942993164
