Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5277261	1.4063827	2.913989	-4.4854116	1000.0	59.8	108.38339	669.0	0.0	0.0042720926	0.07326501	0.2481898	-0.19393913	80000	-8.940697e-09	460.57846	-0.008808127	-120.004715	0.9189385	0.005202345	0.070875004	99.0	22.743674516677856
1	-0.8306729	1.383182	2.7217512	-5.308031	1000.0	64.375	103.279884	445.0	0.0	-4.760851	6.132043	7.8731356	-18.025236	160000	1.7881394e-08	51.689983	-0.011011542	-48.88279	0.92668724	0.0057769837	0.0722125	99.0	44.43922972679138
2	-0.9396411	1.7090102	4.1698794	-5.0682993	1000.0	40.7375	74.73432	306.0	0.0	-0.46839035	0.8347735	0.5838719	-3.2416892	240000	-5.9604646e-09	16.07631	-0.010756994	-1.8801063	0.924518	0.005798007	0.082775	99.0	66.19477701187134
3	-0.8607289	1.676616	2.658548	-6.1097274	1000.0	49.475	100.711464	546.0	0.0	-1.2370853	0.77436	0.37124395	-3.4484065	320000	-5.2154063e-09	32.525	-0.011354658	-9.876283	0.933828	0.0052455314	0.086124994	99.0	88.39868021011353
4	-0.7614021	1.4495785	2.9160926	-4.7371316	1000.0	30.975	75.05464	358.0	0.0	-1.7433217	2.4103746	6.452738	-10.989255	400000	8.940697e-09	32.821896	-0.011142468	-10.767571	0.93708503	0.0070340345	0.0917125	99.0	110.12736463546753
5	-1.0602171	1.4171594	2.8723862	-4.04401	1000.0	28.975	81.83718	458.0	0.0	-1.2126487	2.0528781	4.0836535	-9.536494	480000	0.0	41.951546	-0.011672831	-18.068336	0.9382509	0.006378498	0.099837504	99.0	132.27835631370544
6	-0.91191655	1.3981327	2.9380913	-4.81328	1000.0	18.0	60.537178	392.0	0.0	-1.2824025	2.4900258	3.9692762	-12.086533	560000	1.6391278e-08	21.69813	-0.011793676	-10.728434	0.94466555	0.009688352	0.12837501	99.0	153.93936944007874
7	-0.9660584	1.5163062	3.463276	-5.3616767	1000.0	21.3	69.746574	380.0	0.0	-0.7973161	2.3088613	7.961156	-15.901914	640000	-1.1920929e-08	32.473343	-0.011746058	-21.385742	0.9418502	0.007509214	0.10885	99.0	176.170973777771
8	-1.1550661	1.2435377	1.1717833	-4.518614	1000.0	22.7125	64.626274	417.0	0.0	-0.6265479	1.7952836	2.9371088	-18.347513	720000	-6.7055224e-09	30.345667	-0.012048388	-21.881529	0.9498868	0.0079693515	0.117275	99.0	198.18684720993042
9	-1.3564985	1.6765636	3.9615614	-6.760568	1000.0	12.85	44.222195	277.0	0.0	-0.75557804	2.9768538	7.9908595	-21.554115	800000	7.450581e-09	17.122675	-0.012220951	-13.287003	0.95310676	0.009900445	0.1223125	99.0	220.320818901062
10	-0.76951206	1.6328074	4.2515926	-6.514631	1000.0	26.9125	62.781605	339.0	0.0	-0.78149754	2.6607943	2.4201775	-22.003029	880000	8.940697e-09	31.588694	-0.011880897	-15.020299	0.94218004	0.009292901	0.11977501	99.0	242.37723517417908
11	-1.1569569	1.7285424	2.6489215	-6.246962	1000.0	18.225	53.987724	359.0	0.0	-0.8631052	2.0570824	3.761022	-12.348065	960000	-2.7008356e-09	19.999506	-0.013011312	-13.972376	0.93628347	0.008445281	0.11552501	99.0	264.2118036746979
12	-1.0535266	1.9730186	4.8706603	-7.2693396	1000.0	13.725	48.34459	277.0	0.0	-0.7139877	2.740534	2.289136	-24.674812	1040000	-1.3411045e-08	21.12055	-0.012571244	-14.502421	0.92973757	0.011747917	0.1338375	99.0	286.70316076278687
13	-1.0955973	1.8044024	3.4132822	-7.7640877	1000.0	12.1125	26.466957	103.0	0.0	-0.572373	1.4697838	1.789039	-16.295748	1120000	7.4505807e-10	7.4875526	-0.013483976	-3.5741897	0.9204179	0.009239576	0.12645	99.0	308.87862753868103
14	-1.3145887	2.312377	2.824069	-9.31772	1000.0	25.2	76.435326	436.0	0.0	-0.7591665	2.0847166	1.2829665	-18.986479	1200000	-5.9604646e-09	33.9878	-0.011602251	-25.070263	0.9098238	0.0054167076	0.106725	99.0	330.6111092567444
15	-1.7058105	2.3424513	3.206816	-10.779853	1000.0	12.4875	35.81131	258.0	0.0	-0.5731097	2.2148855	4.7331357	-26.925406	1280000	-2.9802323e-09	13.2864895	-0.012509632	-9.602324	0.90183294	0.010903628	0.134925	99.0	352.81536412239075
