Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	10.492239952087402
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	20.7061710357666
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	3.7252903e-09	6.037037	-0.016678696	-4.4244995	0.92279184	0.009164702	0.1345	99.0	30.922850847244263
3	-0.04799931	0.9758631	1.1910251	-2.3593538	1000.0	31.3	74.30215	246.0	0.0	-0.71600574	1.3988292	2.6138878	-6.64866	40000	-7.450581e-09	17.91802	-0.019661065	-6.4910975	0.9512979	0.0063498407	0.1087	99.0	40.250633001327515
4	-0.34971753	0.7067763	0.7143624	-2.079229	1000.0	48.7	50.81742	147.0	0.0	-0.9764622	1.7103556	0.11680718	-5.051684	50000	-1.1920929e-08	24.3223	-0.018398633	-16.891665	0.9558379	0.009181818	0.1556	99.0	50.03993105888367
5	-0.42246857	1.5652739	2.216495	-3.2956672	1000.0	42.0	64.771904	163.0	0.0	-1.2150495	2.166845	0.3390729	-16.421589	60000	1.4901161e-09	31.932016	-0.020301979	-27.541235	0.9523274	0.007077799	0.14009999	99.0	59.89840364456177
6	0.096598014	0.9784573	1.4851096	-1.5094271	1000.0	22.2	34.344723	108.0	0.0	-1.4592478	3.2925234	14.362207	-18.801582	70000	-1.1920929e-08	27.914572	-0.022009348	-22.406994	0.9538883	0.015744068	0.1858	99.0	69.70005941390991
7	-0.22004373	1.4895205	1.5757607	-3.192822	1000.0	38.5	44.6727	124.0	0.0	-1.350549	2.5022037	3.0765162	-14.530824	80000	5.9604646e-09	29.64038	-0.021471526	-25.573181	0.93709934	0.013483944	0.19360001	99.0	79.63448882102966
8	-0.53661406	1.7543496	2.3296723	-3.5679128	1000.0	11.2	33.600002	112.0	0.0	-1.8630115	3.201819	3.8936617	-18.905987	90000	2.9802323e-09	22.653532	-0.01999874	-20.931345	0.93466747	0.012925139	0.15020001	99.0	89.83293271064758
9	-0.38964748	1.0979975	1.8439382	-2.240387	1000.0	66.4	67.04357	233.0	0.0	-2.019284	5.1652775	2.4661858	-25.725952	100000	1.1920929e-08	85.71342	-0.025422508	-77.599045	0.9192966	0.0104009975	0.15980001	99.0	100.00409722328186
10	-1.5601425	2.118485	3.4504719	-3.509035	1000.0	14.6	41.519154	139.0	0.0	-4.288476	6.0350947	1.0834088	-23.377783	110000	2.682209e-08	55.274147	-0.021417554	-50.360115	0.92423165	0.014019835	0.1523	99.0	110.39565801620483
11	-1.6430864	2.2330618	1.5936413	-6.0227623	1000.0	65.4	128.28967	441.0	0.0	-0.7254182	1.3747324	4.718625	-16.25182	120000	-1.1920929e-08	112.147766	-0.022468407	-105.493546	0.91285497	0.009110787	0.1425	99.0	121.1131865978241
12	-2.1725783	3.2192688	1.5315357	-9.953931	1000.0	24.8	66.18882	222.0	0.0	-1.7413042	4.818669	9.851522	-36.710846	130000	4.4703485e-09	30.545141	-0.019522257	-27.683435	0.91341287	0.012875125	0.14299999	99.0	131.53330993652344
13	-0.2517483	1.7015734	2.996938	-2.7896838	1000.0	34.6	93.83304	315.0	0.0	-1.5608038	3.1299455	7.16204	-30.811575	140000	-7.450581e-09	98.88099	-0.01781575	-74.467285	0.89242876	0.010768684	0.16749999	99.0	142.55870962142944
14	-2.3767092	2.5001016	0.145509	-9.0801935	1000.0	32.0	69.225716	219.0	0.0	0.017574463	2.8542647	10.545493	-13.573539	150000	7.450581e-09	61.27372	-0.022667397	-48.481647	0.8848723	0.012938482	0.1224	99.0	152.51643562316895
15	-1.0563955	3.3219469	2.5539982	-8.618654	1000.0	29.8	83.25959	279.0	0.0	-2.8328285	6.527088	3.1957254	-33.725136	160000	1.1920929e-08	97.91771	-0.018376714	-89.17332	0.8987578	0.013669863	0.1594	99.0	162.70242023468018
16	-1.0058239	1.0578799	0.52511716	-2.9501297	1000.0	82.7	203.73073	691.0	0.0	-1.3782021	4.433525	1.9869996	-25.459538	170000	3.576279e-08	273.328	-0.01866273	-218.81311	0.884603	0.002541704	0.10539999	99.0	173.50211882591248
17	-1.5388048	1.4520816	0.3247346	-3.7067533	1000.0	15.6	31.356659	85.0	0.0	-7.833315	15.646928	2.2804813	-44.929344	180000	-3.576279e-08	248.6854	-0.018666247	-235.07068	0.8976542	0.017937724	0.1104	99.0	184.3460443019867
18	-0.474133	2.0853837	2.25591	-4.525026	1000.0	10.2	18.032192	56.0	0.0	-0.6031013	3.1180036	8.399142	-10.457229	190000	-1.15484e-08	17.514086	-0.021699572	-9.417084	0.887447	0.016912915	0.2227	99.0	195.03465175628662
19	-2.3372734	3.1832156	0.19608589	-10.895926	1000.0	25.2	44.79241	143.0	0.0	-0.67585486	0.50577515	0.34419703	-1.9938946	200000	-8.940697e-09	40.76902	-0.020080905	-32.913387	0.87425804	0.008415553	0.13350001	99.0	205.50625872612
20	-0.9012972	2.752663	4.58305	-6.1429334	1000.0	27.5	35.336243	90.0	0.0	-0.72747165	2.8402367	0.74785733	-20.518068	210000	1.3411045e-08	40.468613	-0.021978602	-36.082504	0.88907063	0.009921641	0.1477	99.0	215.6116235256195
21	-0.9003979	2.4398372	1.3856821	-6.478369	1000.0	12.6	18.227453	52.0	0.0	-4.92869	8.730309	0.79310316	-24.211819	220000	-2.3841858e-08	80.62864	-0.022234619	-70.68399	0.88047874	0.018566677	0.1529	99.0	226.29548144340515
22	-1.4810162	1.9905719	1.2295885	-6.079812	1000.0	18.8	44.210403	146.0	0.0	-1.385673	2.216931	1.6217725	-6.094043	230000	2.0489097e-09	45.42814	-0.018976206	-35.00169	0.8604194	0.009949978	0.1471	99.0	236.26506090164185
23	-1.5625527	2.4154634	1.8794322	-7.036756	1000.0	20.7	43.822483	146.0	0.0	-1.1624637	3.437681	0.6581336	-21.481081	240000	-8.195639e-09	16.77528	-0.018249307	-11.3719425	0.8816954	0.014264835	0.16870001	99.0	246.5672435760498
24	-1.5881453	2.6719468	0.3103045	-9.063645	1000.0	40.5	73.49184	232.0	0.0	-0.4471545	3.0274005	1.6146595	-25.187828	250000	5.9604646e-09	86.418686	-0.020033162	-73.941216	0.86504203	0.005993868	0.1406	99.0	256.5622091293335
