Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.07909026	0.95331573	1.5647222	-1.691483	1000.0	51.5	107.9956	358.0	0.0	-0.00081769866	0.074014515	0.22622898	-0.1139505	10000	-2.3841858e-08	370.82294	-0.018477466	-151.91858	0.91893846	0.007286267	0.1018	99.0	6.22554874420166
1	-0.38801607	0.7941817	0.6638419	-1.9405632	1000.0	30.6	50.335274	172.0	0.0	-3.4122024	6.0746284	3.3410215	-18.145113	20000	0.0	41.938133	-0.019419014	-39.97807	0.93217534	0.008645343	0.11370001	99.0	11.553639888763428
2	-0.70697737	1.0469942	1.1618195	-2.1630735	1000.0	50.9	87.10276	253.0	0.0	-0.32365018	0.6572969	0.56340915	-2.0482502	30000	2.2351743e-09	2.0292485	-0.018459043	-0.91679895	0.91521823	0.009838828	0.1194	99.0	16.947962760925293
3	-0.33121938	1.8686944	3.9692862	-3.110693	1000.0	26.0	41.720497	121.0	0.0	-0.5293293	0.88316864	0.5543221	-2.5911412	40000	-4.4703485e-09	7.134837	-0.015053985	-3.0952973	0.93007076	0.007958565	0.1391	99.0	22.378512620925903
4	-0.33194876	0.98329306	2.2192428	-1.3460073	1000.0	69.9	87.96073	273.0	0.0	-0.77300966	1.0466852	0.45945725	-3.4968393	50000	-8.940697e-09	32.415924	-0.018523501	-16.87547	0.93762934	0.0024096176	0.1267	99.0	28.015191316604614
5	-0.13236007	1.7163184	3.6290226	-2.3473983	1000.0	23.8	37.292892	100.0	0.0	-1.965108	3.3653152	5.858634	-9.726946	60000	2.0861625e-08	21.47436	-0.020650418	-14.572871	0.9436903	0.02219049	0.1768	99.0	33.379714250564575
6	-0.7522222	1.2180469	1.4892104	-2.856688	1000.0	17.7	45.61371	153.0	0.0	-0.9489818	2.259629	1.0266715	-12.047372	70000	-4.4703485e-09	25.21042	-0.020633513	-18.037058	0.93934613	0.021703174	0.16800001	99.0	38.88308763504028
7	-0.22953662	1.4207268	1.6205769	-2.726405	1000.0	64.2	101.9184	323.0	0.0	-0.5889177	1.144	0.70888925	-12.723287	80000	-8.940697e-09	81.172646	-0.021406068	-57.158882	0.93345463	0.0034976634	0.1367	99.0	44.363073110580444
8	-1.1197383	1.9210926	1.505738	-4.030808	1000.0	113.8	178.64536	434.0	0.0	-3.4151614	5.7948003	0.515293	-16.81256	90000	1.7881394e-08	194.22319	-0.02477352	-148.65454	0.9411365	0.0038402088	0.132	99.0	49.83258295059204
9	-0.80752385	0.80545706	0.6555386	-1.8588252	1000.0	54.9	84.47775	274.0	0.0	-3.0422597	7.1108127	7.9810953	-28.97225	100000	1.6763806e-08	133.31064	-0.021470401	-116.14839	0.9436954	0.006420064	0.1624	99.0	55.158658027648926
