Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.31716725	0.8805746	1.5647222	-1.9187392	1000.0	41.9	84.435715	358.0	0.0	4.0870666e-05	0.0744794	0.22622898	-0.114493236	20000	1.4901161e-09	273.76212	-0.014031726	-104.45493	0.9189385	0.0065201363	0.0907	99.0	12.570523023605347
1	-0.58799213	1.1934335	3.00752	-2.6125462	1000.0	27.15	56.194553	230.0	0.0	-2.8682532	6.046345	6.990335	-18.067312	40000	1.6391278e-08	38.37862	-0.016163783	-36.598133	0.9345228	0.0038927794	0.092650004	99.0	22.44456934928894
2	-0.8739169	1.4557625	3.2922754	-2.8641884	1000.0	39.75	70.503105	256.0	0.0	-0.36407524	0.631141	0.55224365	-2.2548773	60000	2.9802323e-09	1.4062284	-0.014617193	-0.7333368	0.913764	0.009729436	0.11404999	99.0	31.970290422439575
3	0.06486527	0.87863284	1.294781	-2.0823808	1000.0	77.3	169.60399	527.0	0.0	-0.355974	0.31122622	0.16337222	-1.6584665	80000	0.0	21.371103	-0.014370185	-18.225628	0.917518	0.0018242013	0.08365	99.0	41.69808053970337
4	0.033075582	1.3771869	3.2137265	-1.686893	1000.0	55.2	81.67044	264.0	0.0	-0.76839375	2.0490098	0.8478988	-11.821419	100000	-1.3411045e-08	42.1159	-0.01756821	-27.80896	0.91937447	0.004889943	0.118700005	99.0	51.6292769908905
5	-0.38114637	0.93711376	1.8023741	-2.2576213	1000.0	54.55	108.23145	416.0	0.0	-1.9253451	3.9205928	0.72290206	-14.782435	120000	-2.0861625e-08	82.40829	-0.017291304	-51.453712	0.925052	0.00874107	0.13125	99.0	62.05893325805664
6	-0.32295138	1.1856952	2.1155987	-2.3988876	1000.0	30.1	56.405582	192.0	0.0	-2.0301697	4.5227704	15.2689085	-13.71954	140000	-1.1920929e-08	61.64936	-0.017983522	-40.091652	0.93723583	0.014873114	0.1426	99.0	72.08454537391663
7	-0.7305263	1.5910732	1.9020735	-4.879278	1000.0	45.25	82.31942	272.0	0.0	-1.9508103	3.0888622	2.5797877	-21.974628	160000	5.9604646e-09	95.63137	-0.018176306	-64.52406	0.9382324	0.007884519	0.13475001	99.0	81.7761960029602
8	-0.83545315	1.1952432	1.4342866	-3.4473765	1000.0	4.25	18.52532	85.0	0.0	-1.719561	3.938987	2.356591	-22.619217	180000	0.0	18.64627	-0.012931161	-17.966028	0.9433754	0.014412535	0.10595	99.0	91.50972938537598
9	-0.7515823	1.2308666	1.3552532	-2.7618082	1000.0	53.2	100.06978	430.0	0.0	-0.63535196	2.008231	0.9865187	-20.252829	200000	-1.7881394e-08	83.16906	-0.016519303	-67.97368	0.9410943	0.0031093664	0.09395	99.0	101.46041631698608
