Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032689	1.2343693	4.2372236	-4.1365967	1000.0	40.5125	82.51136	381.0	0.0	0.02193942	0.087588675	0.23727135	-0.12333755	80000	2.8312206e-08	286.49582	-0.008442675	-87.736725	0.9189385	0.00501474	0.066199996	99.0	22.69734787940979
1	-0.7019087	1.3569826	3.1210184	-4.61696	1000.0	46.45	85.26853	355.0	0.0	-3.1912794	5.6446714	5.7019343	-16.751158	160000	-3.8743018e-08	36.417797	-0.011431395	-34.312126	0.92759144	0.006326659	0.0690625	99.0	44.22192120552063
2	-0.59176356	1.5002168	3.9859033	-6.4576488	1000.0	33.45	80.2633	365.0	0.0	-0.3026	0.87820727	2.4279466	-3.267531	240000	4.4703485e-09	7.642389	-0.009992715	-1.5070989	0.91848755	0.0064637833	0.091662504	99.0	66.00774312019348
3	-0.39735675	1.22485	3.205081	-4.0147815	1000.0	31.6375	81.08919	598.0	0.0	-0.73106384	0.8056127	1.440627	-2.6996548	320000	2.9802323e-09	10.966434	-0.010516968	-2.2946935	0.9332371	0.0067571527	0.0893125	99.0	87.68249225616455
4	-0.45949587	1.144445	3.1074593	-2.7328548	1000.0	54.15	111.90332	587.0	0.0	-0.97582823	1.0008457	1.7378749	-3.7246494	400000	-2.9802323e-09	31.03999	-0.012230456	-13.52149	0.9455558	0.005931433	0.0868875	99.0	109.83120346069336
5	-0.5971263	1.3788073	2.7994902	-4.2881165	1000.0	48.75	96.97584	515.0	0.0	-1.7223246	3.1478283	4.941488	-16.623077	480000	2.2351743e-09	46.83085	-0.012608129	-30.574366	0.9542309	0.0065748557	0.094275	99.0	131.3929340839386
6	-0.5428142	1.3065909	1.6514543	-4.8772955	1000.0	32.2375	82.482	604.0	0.0	-2.0064468	4.2396936	23.659859	-22.722437	560000	-5.9604646e-09	53.299915	-0.012540194	-35.189445	0.9554101	0.00871395	0.118425	99.0	152.9285933971405
7	-0.9062048	1.7017618	3.791848	-5.037068	1000.0	33.075	84.53014	461.0	0.0	-1.6997257	4.2729006	8.239613	-24.279259	640000	5.9604646e-09	67.79802	-0.011756195	-49.168568	0.9476186	0.008223532	0.1108125	99.0	174.85551857948303
8	-0.7241879	1.4165295	3.3213065	-5.2638144	1000.0	32.2375	97.46169	752.0	0.0	-1.7052828	4.7123504	2.0944195	-28.289812	720000	7.823109e-09	57.39152	-0.012502564	-40.68413	0.9468771	0.010722609	0.131125	99.0	196.1623547077179
9	-0.70128053	1.3797994	3.2399495	-4.0405836	1000.0	21.625	75.8387	585.0	0.0	-1.2458689	4.145245	17.068438	-26.902473	800000	7.450581e-09	46.836853	-0.013120877	-37.390347	0.9393331	0.008439599	0.1123875	99.0	218.01578164100647
10	-1.1405847	1.4995044	2.1243346	-5.199941	1000.0	9.4125	23.619745	126.0	0.0	-1.2109607	4.347185	7.4105735	-33.52851	880000	4.4703485e-09	26.099628	-0.011303242	-18.609371	0.9337603	0.011318804	0.1117	99.0	239.68590927124023
11	-1.1713423	1.5758469	2.081029	-4.9934206	1000.0	15.3125	40.715046	197.0	0.0	-0.48869264	0.8974507	2.5813847	-5.989952	960000	-1.0430813e-08	18.235922	-0.012253337	-11.65422	0.92246497	0.008313169	0.1048375	99.0	261.74798798561096
