Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	0.0	79.63135	-0.015711013	-41.47631	0.91893846	0.0085593015	0.117400005	99.0	6.413105010986328
1	-0.31945997	0.7552034	1.3205434	-1.5336409	1000.0	45.4	104.97733	353.0	0.0	-1.2468665	2.7965639	3.4084969	-14.831793	20000	0.0	9.019529	-0.02039294	-8.90679	0.9357029	0.0112208575	0.1499	99.0	11.745949983596802
2	-0.42267403	1.1748729	1.8543775	-2.0995772	1000.0	53.8	84.79481	285.0	0.0	-0.105401926	0.22143605	0.83598727	-1.0094297	30000	0.0	9.1400175	-0.01969008	-7.2625566	0.915521	0.008012923	0.1319	99.0	17.248254537582397
3	-0.567484	1.2460722	1.6660805	-3.0215	1000.0	21.6	28.503334	76.0	0.0	-0.67884314	1.1841551	2.0334628	-6.9577217	40000	4.4703485e-09	6.685488	-0.019212147	-5.5800037	0.934845	0.0087328125	0.1437	99.0	22.583834171295166
4	-1.2245053	1.3714837	0.5772687	-4.200914	1000.0	24.5	73.5	245.0	0.0	-1.6314663	2.9123058	1.326648	-12.0582905	50000	1.4901161e-09	22.470457	-0.014957396	-20.662626	0.9480559	0.015421611	0.1286	99.0	27.934264421463013
5	-0.298923	1.3203018	2.4908426	-2.7808576	1000.0	6.5	14.150971	45.0	0.0	-0.63321316	1.9965265	2.2201629	-21.3512	60000	1.4901161e-09	5.2854466	-0.017640924	-5.010137	0.9365711	0.014819922	0.14919999	99.0	33.001556158065796
6	-0.25109935	1.0403488	1.5841244	-2.153426	1000.0	37.9	68.11087	235.0	0.0	-0.20204203	0.6399896	2.2309515	-4.968664	70000	1.2665987e-08	16.732624	-0.021606702	-14.8040495	0.9103874	0.009473057	0.1532	99.0	38.25048232078552
7	-0.62730813	0.41877815	0.112041295	-1.4029269	1000.0	0.5	1.5	5.0	0.0	-0.93229	1.9696639	1.1330918	-11.730147	80000	-3.576279e-08	4.230403	-0.01992114	-4.1267276	0.91743565	0.021769416	0.16300002	99.0	43.449092864990234
8	0.30402955	1.4677049	2.7868738	-3.0912726	1000.0	52.9	99.90941	277.0	0.0	-0.20240733	0.3203227	0.50945807	-2.576186	90000	0.0	28.173285	-0.021157643	-26.35344	0.9077345	-0.0020249633	0.1444	99.0	48.69978857040405
9	0.47924814	1.202124	2.393501	-1.1376597	1000.0	16.9	35.671978	110.0	0.0	-2.2220047	5.540871	1.6339061	-20.157944	100000	3.576279e-08	38.310036	-0.01929324	-31.261215	0.9138161	0.035855677	0.1948	99.0	54.2306923866272
10	-0.07463934	1.7240133	3.0212078	-3.244014	1000.0	19.2	37.01027	120.0	0.0	-0.8429083	1.4303013	1.2361556	-4.625003	110000	9.313226e-10	10.68656	-0.019418016	-2.8772526	0.9120773	0.010786371	0.15220001	99.0	59.646705627441406
11	-0.61995566	1.5241629	1.8926171	-3.9675841	1000.0	6.6	17.298555	58.0	0.0	-0.8380098	1.7038299	4.3554115	-5.831993	120000	2.3841858e-08	5.7845473	-0.019604092	-5.373021	0.90645826	0.02047873	0.14860001	99.0	64.94496297836304
12	0.0868809	1.676476	2.183535	-2.940891	1000.0	47.3	70.18554	186.0	0.0	-0.3190762	0.61836076	0.28084707	-10.567995	130000	-5.9604646e-09	24.22322	-0.026285091	-18.726196	0.91520196	0.0058719465	0.1449	99.0	70.09148669242859
13	0.069478795	0.9735004	1.9742273	-1.3041278	1000.0	99.1	104.71815	334.0	0.0	-2.019963	3.2207751	1.3453335	-15.919053	140000	-2.2351742e-08	79.43518	-0.033883743	-74.81445	0.9370009	0.014724607	0.20049998	99.0	75.37178349494934
14	-0.020604074	1.443029	1.5753318	-3.4716842	1000.0	60.9	89.38731	262.0	0.0	-3.7084508	5.6632237	1.0148705	-28.419136	150000	-8.940697e-09	88.19343	-0.03174376	-81.13523	0.9319719	0.029022142	0.24530001	99.0	80.71080803871155
15	0.09182622	2.164332	3.023232	-5.3678637	1000.0	105.0	229.57701	780.0	0.0	-3.7406583	5.812227	6.676878	-26.404728	160000	-3.576279e-08	283.36215	-0.027064526	-251.85469	0.9377898	0.009271677	0.14299999	99.0	86.08214354515076
16	-0.09454868	2.1021245	3.5745144	-3.7134578	1000.0	60.9	81.508835	268.0	0.0	-5.51463	10.908242	2.7080784	-53.670143	170000	-5.9604646e-09	240.76485	-0.028889218	-234.36711	0.9463207	0.024868796	0.22250001	99.0	91.70914340019226
17	-0.31639123	1.2870975	2.51251	-2.5286632	1000.0	88.3	126.01036	438.0	0.0	-5.197356	8.805298	3.7997549	-37.66106	180000	1.1920929e-08	249.17746	-0.02748486	-237.89346	0.9444086	0.013632849	0.1713	99.0	97.40728044509888
18	-0.021852529	0.6053997	1.3359984	-0.75585264	1000.0	36.9	37.718563	128.0	0.0	-4.2515087	6.8043404	5.035524	-50.303024	190000	-5.9604646e-09	77.24728	-0.02826186	-72.07268	0.92758864	0.021470571	0.2006	99.0	102.7155454158783
19	-1.34568	1.8377243	0.9089526	-5.8365154	1000.0	7.1	15.801582	51.0	0.0	-3.4599671	6.7331195	3.318629	-48.73573	200000	1.7881394e-08	52.949287	-0.023471026	-51.078926	0.92078817	0.017052403	0.1612	99.0	108.23862099647522
20	-1.2953794	2.287137	1.6135187	-5.268764	1000.0	2.3	6.9	23.0	0.0	-0.5039121	1.4034885	7.244354	-11.426496	210000	-1.4901161e-09	3.450172	-0.022483958	-2.8195481	0.9083756	0.022693943	0.18499999	99.0	113.67906332015991
21	-0.38460842	0.8517529	0.8397566	-1.8515856	1000.0	41.9	125.700005	419.0	0.0	-0.47942466	1.1987008	2.0515077	-7.720312	220000	2.0861625e-08	196.45143	-0.01480828	-182.58109	0.903969	-0.0024500326	0.100600004	99.0	119.03034090995789
