Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.45560145	0.9807502	2.0751517	-3.0423446	1000.0	36.55	72.041985	255.0	0.0	-0.0028674453	0.09576837	0.20587143	-0.21035695	20000	-5.9604646e-09	272.4217	-0.013366813	-82.77547	0.9189385	0.006656899	0.10285	99.0	12.332370281219482
1	-0.10362089	1.2105043	3.497362	-2.1672347	1000.0	48.6	82.02585	280.0	0.0	-3.441186	5.788629	5.8305497	-17.141165	40000	-7.152558e-08	40.316704	-0.016594047	-38.579247	0.9357605	0.0067746798	0.105299994	99.0	22.478620290756226
2	-0.65602726	1.3391484	2.0976331	-3.5601444	1000.0	23.6	38.281067	111.0	0.0	-0.22016391	0.66809684	2.0721676	-2.0050461	60000	5.9604646e-09	3.909346	-0.014045593	-1.4568136	0.9196782	0.011157009	0.14425	99.0	32.70545959472656
3	-0.34764704	1.383612	2.278289	-2.7783523	1000.0	55.85	84.49572	290.0	0.0	-0.51566553	0.52022886	1.6574955	-2.263772	80000	1.7881394e-08	13.247391	-0.019457076	-8.160135	0.9279081	0.010591437	0.12939999	99.0	42.96454334259033
4	-0.5753798	1.0504818	1.1877366	-2.7027423	1000.0	59.9	114.1078	412.0	0.0	-0.88894063	1.5257435	1.5760634	-10.136788	100000	-1.1920929e-08	50.0818	-0.017858079	-35.069637	0.94127494	0.0043924097	0.10710001	99.0	52.61347699165344
5	-0.18891318	1.1154181	2.2336955	-2.7001922	1000.0	8.95	25.307066	105.0	0.0	-2.4503598	5.0773273	1.6569092	-16.62404	120000	1.1920929e-08	27.025671	-0.016506847	-21.974363	0.94963706	0.014485908	0.11705001	99.0	62.00412917137146
6	-0.3859628	1.2923784	1.8429812	-2.8802044	1000.0	43.3	67.01575	214.0	0.0	-0.70289123	1.9064863	20.419565	-15.408375	140000	1.1920929e-08	40.89048	-0.017950024	-26.289679	0.9275626	0.008389415	0.13425	99.0	71.59771251678467
7	-1.2147715	2.9011793	1.9315425	-11.52098	1000.0	42.05	91.210464	358.0	0.0	-0.9736117	2.6276433	16.481825	-17.706022	160000	2.9802323e-09	56.862236	-0.018663935	-48.7115	0.9340018	0.0069635385	0.12230001	99.0	81.13356924057007
8	-0.8564695	3.7294042	4.2131724	-10.883505	1000.0	41.55	76.960045	316.0	0.0	-0.90210587	3.5244327	1.2545931	-26.367065	180000	-2.9802323e-09	63.492725	-0.016736312	-44.164253	0.9313885	0.0055929488	0.12609999	99.0	91.1232545375824
9	-1.9029125	3.2970026	1.9542075	-11.476745	1000.0	37.15	70.167854	237.0	0.0	-1.4423263	4.0962048	1.9013978	-27.172699	200000	8.940697e-09	66.637985	-0.016492972	-55.56652	0.92814624	0.009353515	0.13104999	99.0	100.95883584022522
10	-0.90650237	2.213922	2.989443	-8.172493	1000.0	48.6	113.02009	388.0	0.0	-1.586181	3.361829	12.363318	-25.957058	220000	-5.9604646e-09	93.06159	-0.01836561	-73.01582	0.9203793	0.0063229986	0.107999995	99.0	110.66803741455078
11	-1.5368208	1.9414036	1.717164	-7.3619666	1000.0	24.55	60.65515	209.0	0.0	-2.2674868	7.1208186	2.5380294	-33.647526	240000	-9.685754e-09	104.71647	-0.015962949	-80.31314	0.927125	0.016392637	0.15615001	99.0	120.5249011516571
12	-1.2181678	1.834679	2.9617467	-3.8422265	1000.0	19.2	52.65985	231.0	0.0	-0.87064797	2.7628036	25.61779	-8.448987	260000	-5.9604646e-09	36.048298	-0.015868444	-16.440279	0.9303268	0.007934182	0.1349	99.0	130.32835364341736
13	-0.34015423	1.7552923	2.1694174	-4.9350443	1000.0	51.95	93.0051	313.0	0.0	-2.2089436	5.2668986	2.86157	-38.640003	280000	-1.4901161e-08	105.1109	-0.019652218	-92.05885	0.9355596	0.007303608	0.12689999	99.0	140.38689947128296
