Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9906206	1.3986291	2.0751517	-4.888964	1000.0	41.75	77.80304	408.0	0.0	-0.011534083	0.08789901	0.21000424	-0.21254987	80000	1.6391278e-08	281.78027	-0.00835753	-77.44893	0.9189385	0.005619022	0.068074994	99.0	24.42397713661194
1	-0.86270094	1.460503	3.6933584	-5.298165	1000.0	20.6875	50.03189	256.0	0.0	-3.9606469	5.690694	4.77976	-15.884154	160000	-2.3841858e-08	42.241356	-0.011267655	-40.51015	0.9329175	0.0048188553	0.067475006	99.0	46.693055629730225
2	-0.80164397	1.3394573	1.9621295	-5.082582	1000.0	38.2375	76.78122	373.0	0.0	-0.36643136	0.5151908	0.9907138	-2.1799011	240000	5.9604646e-09	0.32941982	-0.011013851	-0.25177455	0.92189705	0.0065462785	0.07935	99.0	68.42252373695374
3	-0.5183962	1.2462429	2.6690776	-4.1291513	1000.0	42.625	90.82722	413.0	0.0	-0.12652919	0.23131236	2.905099	-1.100761	320000	-1.7881394e-08	5.2151384	-0.010299219	-0.98835164	0.91369164	0.0055135842	0.08715	99.0	90.63572525978088
4	-0.3368348	1.1623765	2.3057237	-3.2770956	1000.0	56.3	103.28715	526.0	0.0	-0.71260566	0.66943663	1.9270091	-3.831676	400000	1.1920929e-08	23.529877	-0.0113227805	-5.548357	0.9174448	0.004891354	0.076975	99.0	112.43058323860168
5	-0.10351628	1.2584397	3.580022	-3.0528953	1000.0	62.9	118.000175	590.0	0.0	-1.7170191	1.7420304	1.0852046	-10.741948	480000	-1.0430813e-08	52.114758	-0.01233135	-34.474586	0.9272413	0.005745282	0.090137504	99.0	134.33267092704773
6	-0.27730927	1.2445745	3.6056592	-3.0986736	1000.0	28.8	77.16758	487.0	0.0	-1.766806	4.0407553	9.49811	-20.443459	560000	-5.9604646e-09	38.481483	-0.012633314	-24.72846	0.9363408	0.009072058	0.1152375	99.0	155.6449043750763
7	-0.30979204	1.302021	2.795296	-4.0098577	1000.0	29.25	80.939255	500.0	0.0	-1.3458446	3.7235785	2.6799102	-26.013708	640000	4.4703485e-09	41.92212	-0.012867871	-23.764034	0.9308673	0.009393745	0.12241249	99.0	177.67999005317688
8	0.0122663025	1.3835903	3.9704754	-3.8318546	1000.0	25.4125	68.368065	331.0	0.0	-1.6352248	4.429122	1.5412467	-27.49005	720000	6.7055224e-09	42.844353	-0.012568152	-27.990376	0.9240694	0.011216126	0.13413748	99.0	199.7140109539032
9	-0.4193984	1.780374	3.0125744	-6.4449325	1000.0	21.2125	67.3893	410.0	0.0	-1.2957654	3.9546072	19.41591	-27.972075	800000	-1.4901161e-09	44.537575	-0.010589203	-22.89335	0.91751385	0.008406035	0.118300006	99.0	221.60389614105225
10	-0.8414601	1.5127276	2.3915434	-5.972393	1000.0	17.025	48.946136	353.0	0.0	-0.8648073	2.6571593	4.59803	-27.129639	880000	-5.9604646e-09	26.062632	-0.012791301	-14.862335	0.91159105	0.010187233	0.114975	99.0	243.99994921684265
11	-0.43034354	1.626516	2.400928	-6.1079245	1000.0	11.9	26.316154	103.0	0.0	-0.8168031	2.064035	3.7554343	-16.031845	960000	-5.9604646e-09	9.937205	-0.0136805475	-5.5939894	0.9257432	0.012595905	0.13395001	99.0	266.5160572528839
12	-0.3922804	1.3952832	3.671836	-4.113315	1000.0	14.625	47.630707	297.0	0.0	-0.5309541	1.5042318	3.2897608	-21.063309	1040000	7.450581e-09	20.328243	-0.011685545	-13.787918	0.9234311	0.007996011	0.1260125	99.0	288.74692249298096
