Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	10.491675615310669
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	20.884982347488403
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	-8.940697e-09	1.5007316	-0.017781736	-0.6393651	0.91050494	0.014100948	0.17390001	99.0	31.269388914108276
3	0.23926237	1.6983013	4.045911	-2.181982	1000.0	12.6	20.39706	58.0	0.0	-0.3627001	0.34345886	0.50656784	-2.293735	40000	-1.9371509e-08	0.6882371	-0.020019988	-0.25407466	0.9250463	0.013375582	0.18769999	99.0	41.42320489883423
4	-0.7504704	1.7374287	0.88323313	-5.425211	1000.0	49.1	82.15163	265.0	0.0	-0.25974995	0.28560075	0.47539052	-1.7350713	50000	-1.4901161e-08	1.5599731	-0.019357208	-0.890442	0.9268395	0.008916981	0.1448	99.0	51.407331466674805
5	0.058282405	0.9204631	1.7588389	-1.146047	1000.0	43.6	87.338646	229.0	0.0	-0.46150517	0.38774416	0.35569322	-2.5875432	60000	1.1920929e-08	14.647016	-0.017984161	-6.3268633	0.9302012	0.0055905147	0.12409999	99.0	61.13778114318848
6	-0.1895158	0.9951875	2.293022	-1.6168271	1000.0	69.4	75.49464	218.0	0.0	-0.81885606	0.9542432	0.6759163	-2.6069844	70000	1.4901161e-08	37.817696	-0.02458076	-16.845922	0.9423913	0.0050778007	0.15319999	99.0	71.32281517982483
7	-0.11969435	1.6062378	3.3706748	-2.468022	1000.0	13.2	22.368729	67.0	0.0	-2.1734135	2.500119	0.3383203	-11.432071	80000	1.1920929e-08	13.163569	-0.019930419	-9.944202	0.9295021	0.029584834	0.20249999	99.0	81.29990339279175
8	-0.7227257	1.0484763	1.1310484	-2.239486	1000.0	115.1	147.34615	461.0	0.0	-1.2409436	2.2486036	1.7027339	-13.536303	90000	-1.7881394e-08	162.56892	-0.02210692	-129.45224	0.91318905	0.004215367	0.13589999	99.0	91.56690192222595
9	-0.7842645	1.1138705	2.1919196	-1.8472826	1000.0	21.3	42.965218	119.0	0.0	-2.0391676	2.9137397	5.3444	-28.249994	100000	4.842877e-09	32.386196	-0.022021601	-31.335638	0.9122238	0.015788864	0.21100001	99.0	101.27096223831177
