Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2274805	0.78807545	-0.3903853	-2.999944	1000.0	37.4	74.46503	247.0	0.0	0.02529566	0.059379872	0.1724592	-0.13811667	10000	-2.3841858e-08	277.97864	-0.018385459	-84.688286	0.91893846	0.007024467	0.1127	99.0	8.09360146522522
1	-0.17602842	1.565642	2.9578962	-1.8394009	1000.0	23.8	55.31329	182.0	0.0	-3.2346413	5.7438836	5.9983225	-17.488798	20000	-5.364418e-08	36.15397	-0.019751746	-34.39367	0.926208	0.009265734	0.13780001	99.0	13.701215982437134
2	-0.7917932	1.6572963	3.0274403	-3.1192884	1000.0	23.4	36.770096	100.0	0.0	-0.60003674	1.0017201	0.8282298	-5.2348814	30000	-1.7881394e-08	1.2211549	-0.019416753	-1.101024	0.91913545	0.0114091495	0.11670001	99.0	18.897050619125366
3	-0.223876	1.9799253	2.5692236	-4.3219895	1000.0	20.9	35.33115	107.0	0.0	-0.18791176	0.36754635	0.78873074	-1.2541258	40000	-1.4901161e-09	0.22898662	-0.020905614	-0.10416999	0.89412034	0.014140117	0.14500001	99.0	24.494531631469727
4	-0.59746665	1.8487006	1.6359035	-5.323392	1000.0	29.6	46.2	116.0	0.0	-0.18034567	0.25226587	0.43345365	-1.0321124	50000	-8.940697e-09	0.42687693	-0.02149413	-0.16838464	0.8952354	0.010385554	0.1633	99.0	29.793349027633667
5	-0.7079605	1.5670444	1.4380401	-3.4976337	1000.0	27.5	45.00722	135.0	0.0	-0.268451	0.32649234	0.68082446	-1.4018874	60000	0.0	2.0015628	-0.020520788	-1.8545862	0.891652	0.0071094423	0.1431	99.0	34.975839138031006
6	-0.34181672	1.6324404	2.3707013	-3.3580341	1000.0	4.7	14.1	47.0	0.0	-0.27617687	0.55347365	1.5194037	-3.558398	70000	3.7252903e-09	0.47937503	-0.020743322	-0.43663722	0.9049903	0.012950557	0.17109999	99.0	40.20019865036011
7	-0.52436006	1.6149591	2.6551402	-3.4901	1000.0	43.0	47.73049	157.0	0.0	-0.294614	0.8608299	1.9662135	-5.6277475	80000	1.4901161e-09	1.2542757	-0.025978517	-0.94513834	0.8842517	0.01626913	0.1757	99.0	45.62947130203247
8	-0.06603034	1.2104529	2.3489034	-2.2149847	1000.0	109.5	181.06697	603.0	0.0	-0.3436219	0.55348694	2.598488	-2.8058882	90000	-1.7881394e-08	38.452244	-0.026881611	-34.647995	0.89293206	0.0076576485	0.1292	99.0	50.75861668586731
9	-0.68035936	1.5170952	1.0608953	-4.2397027	1000.0	36.7	65.48137	221.0	0.0	-1.9273918	4.1652107	10.188366	-17.776049	100000	5.9604646e-09	34.78724	-0.024041766	-29.238834	0.9025713	0.031173373	0.2105	99.0	56.312564849853516
