Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6728469	0.9107889	1.4350452	-2.999944	1000.0	34.35	69.32696	247.0	0.0	0.02563742	0.05898241	0.17846854	-0.13811667	20000	-1.9371509e-08	253.46101	-0.014036809	-55.73294	0.9189385	0.006844902	0.11235	99.0	12.153898000717163
1	-0.71711165	1.2217811	1.6250387	-2.8520827	1000.0	27.7	55.12359	180.0	0.0	-3.9940782	5.2706747	4.379093	-15.516451	40000	3.2782555e-08	37.261845	-0.01520516	-35.791576	0.92230713	0.009359904	0.10215	99.0	22.250452756881714
2	-0.414776	1.1160139	1.8698212	-2.7907646	1000.0	54.75	96.419846	377.0	0.0	-0.41465184	0.5332177	1.0592514	-2.2178183	60000	5.9604646e-09	1.5029215	-0.017427895	-0.9020227	0.9174984	0.010742249	0.12895	99.0	32.056036949157715
3	-1.285835	1.5982606	2.166898	-4.256955	1000.0	19.05	38.90819	150.0	0.0	-0.6501134	1.0622015	0.8599993	-4.97057	80000	0.0	6.072604	-0.014216652	-2.3074315	0.92127895	0.012759258	0.14860001	99.0	41.86794996261597
4	-0.9117125	1.4530002	0.8201234	-3.970573	1000.0	51.7	122.94678	536.0	0.0	-0.5754708	0.73453563	1.3990402	-6.265564	100000	0.0	24.260542	-0.01576005	-16.965729	0.92463815	0.004237392	0.11669999	99.0	51.9374897480011
5	-0.46189007	1.1186007	1.8144298	-2.7834282	1000.0	25.0	64.73485	220.0	0.0	-1.157938	2.130213	2.4178777	-15.794098	120000	1.1175871e-09	25.00951	-0.016498158	-18.591719	0.9258963	0.014368257	0.15380001	99.0	61.38663053512573
6	-0.4174064	0.734928	1.4286089	-1.3009148	1000.0	38.55	83.2397	308.0	0.0	-1.0919952	2.4685004	4.7693224	-18.259638	140000	-8.940697e-09	41.47011	-0.01648898	-35.429203	0.9162723	0.0073435022	0.12869999	99.0	71.04482507705688
7	-0.37536705	1.2018081	2.0805535	-2.7571995	1000.0	27.3	58.022495	222.0	0.0	-1.0116155	2.725009	0.81303054	-25.150843	160000	0.0	32.633568	-0.015191913	-25.706066	0.9172255	0.009318904	0.12995002	99.0	80.91474962234497
8	-0.7533633	1.626411	1.6797045	-4.266373	1000.0	50.5	100.79906	411.0	0.0	-0.801432	1.3380021	3.444787	-16.738491	180000	0.0	68.41673	-0.016737081	-60.022503	0.90789175	0.006020154	0.12415	99.0	90.472252368927
9	-0.48498493	1.2169613	1.4080113	-4.2241096	1000.0	53.35	100.80787	403.0	0.0	-2.023891	5.9826455	5.159774	-32.202328	200000	1.6391278e-08	113.7346	-0.017678738	-98.55867	0.90921533	0.008186852	0.1398	99.0	99.93458223342896
10	-0.98839176	1.0347948	0.71656704	-3.6273127	1000.0	29.65	80.079506	340.0	0.0	-2.3064911	6.067577	19.04084	-35.207752	220000	-2.0861625e-08	82.57312	-0.017881054	-74.78498	0.9071374	0.011866172	0.15195	99.0	109.5037112236023
11	-1.7810776	2.3572497	1.444569	-8.320585	1000.0	24.5	50.617683	170.0	0.0	-0.0352976	1.0938087	14.269804	-15.217898	240000	1.1920929e-08	33.07158	-0.017234977	-27.691793	0.89304924	0.00690321	0.13505	99.0	118.93594193458557
12	-0.4011069	1.8617762	3.3248224	-6.509189	1000.0	20.75	74.38271	339.0	0.0	-1.6419016	3.7120914	28.327972	-38.995056	260000	0.0	50.05894	-0.017687742	-45.730022	0.90754545	0.011094024	0.14445	99.0	128.3968381881714
13	-1.4273129	2.1397185	1.395223	-6.615384	1000.0	28.8	74.19811	325.0	0.0	-0.22524697	1.0038605	7.677697	-15.436067	280000	2.3841858e-08	64.791336	-0.016511545	-50.58873	0.8924781	0.0044117235	0.1056	99.0	137.84963035583496
14	-1.3993881	2.2827194	2.4681501	-5.5802116	1000.0	4.15	12.499099	45.0	0.0	-0.22359599	1.7613065	9.58087	-27.249958	300000	-5.9604646e-09	6.1340833	-0.018945973	-4.0313425	0.9008234	0.013277863	0.18710001	99.0	147.20160818099976
15	-1.2711257	1.4646068	2.0580935	-3.946359	1000.0	29.7	59.242805	238.0	0.0	-0.49766123	1.2910054	15.997938	-10.3777	320000	0.0	45.919888	-0.018294241	-40.669586	0.8738612	0.005446827	0.1125	99.0	156.6840968132019
16	-1.4671105	1.4334738	1.7159673	-4.8565063	1000.0	23.15	69.55881	320.0	0.0	-1.0079725	3.7955136	16.341627	-31.094215	340000	8.940697e-09	61.639416	-0.018852461	-56.30606	0.88733804	0.01095012	0.15900001	99.0	166.08845806121826
17	-1.6912975	1.909448	1.1745319	-7.472779	1000.0	10.4	27.264261	111.0	0.0	-0.52287614	1.951156	8.636433	-20.261868	360000	-8.940697e-09	16.479954	-0.017625844	-15.209516	0.8840679	0.008364449	0.1122	99.0	175.5587284564972
18	-1.2534282	1.7464906	1.7879026	-5.02661	1000.0	15.1	51.44599	235.0	0.0	-0.79447305	2.8558788	1.6806799	-27.57202	380000	4.4703485e-09	27.364239	-0.016319985	-22.620285	0.89651	0.010670243	0.1397	99.0	185.23129272460938
19	-1.0297191	1.3659403	1.6260452	-2.9338214	1000.0	24.65	69.79132	309.0	0.0	-0.4437922	1.3504727	1.3227204	-14.746823	400000	5.9604646e-09	41.541367	-0.016899018	-38.862175	0.89964724	0.0024728496	0.124450006	99.0	194.74385452270508
20	-0.6910819	1.216702	2.252292	-3.451605	1000.0	25.8	63.924644	231.0	0.0	-1.3306376	4.449155	3.0588865	-44.5105	420000	7.823109e-09	53.781944	-0.019911174	-48.465393	0.8888918	0.013840832	0.17725	99.0	204.5964765548706
21	-0.5315604	1.1663371	2.180826	-3.1327753	1000.0	11.95	25.83307	101.0	0.0	-1.6561148	3.4016137	6.3100367	-28.11714	440000	-7.4505807e-10	21.87728	-0.017659662	-15.5638485	0.8697456	0.020993495	0.19184999	99.0	214.58801794052124
22	-0.8720274	0.8655693	0.9034411	-2.1633863	1000.0	31.9	70.58392	237.0	0.0	-0.7483912	1.6344477	5.4088435	-12.75381	460000	0.0	55.493225	-0.016243095	-47.165504	0.8604646	0.006282112	0.109500006	99.0	224.83758878707886
23	-0.8995434	1.8023425	2.5220294	-4.647115	1000.0	15.75	56.220882	259.0	0.0	-1.3877826	3.5794163	9.206804	-34.225933	480000	-1.1920929e-08	45.08153	-0.019260878	-43.41246	0.87101066	0.01707619	0.16459998	99.0	234.65720510482788
24	-0.8952125	1.3552909	0.9174926	-4.3441925	1000.0	7.7	22.665173	100.0	0.0	-1.8959717	6.906827	3.5629635	-47.778294	500000	0.0	59.974964	-0.018921018	-52.978737	0.87297535	0.021280093	0.16675	99.0	244.4463152885437
25	-0.8351884	1.1405905	1.0781195	-3.1111555	1000.0	8.0	24.018744	83.0	0.0	-0.5349596	0.95446056	4.0571747	-4.5477886	520000	-7.4505807e-10	8.820941	-0.015970152	-6.7686143	0.8429058	0.009444396	0.1266	99.0	254.15470552444458
26	-1.0080528	1.0827987	0.77886236	-2.9949384	1000.0	4.85	11.85443	41.0	0.0	-0.62125	1.4651073	1.3582298	-11.752148	540000	-5.9604646e-09	4.4367504	-0.018199941	-2.8149986	0.8337077	0.015981	0.14680001	99.0	264.273713350296
27	-1.0015562	1.3594213	0.45504078	-5.4261694	1000.0	37.2	85.009766	332.0	0.0	-0.5019018	0.99903536	2.6160564	-8.240479	560000	0.0	67.54845	-0.020929568	-40.97815	0.82628363	0.008339182	0.1372	99.0	274.64139556884766
28	-0.85194075	1.0909309	1.5334136	-2.9432294	1000.0	30.0	57.3437	240.0	0.0	-1.4636655	3.9625733	1.5142548	-24.874083	580000	-8.940697e-09	32.489586	-0.019868573	-27.851877	0.8317795	0.01412077	0.1781	99.0	284.43989753723145
29	-1.4812733	1.3705149	0.614874	-4.043199	1000.0	44.5	105.53033	437.0	0.0	-1.430442	3.982759	3.1010535	-25.533344	600000	2.0861625e-08	69.693436	-0.018874848	-64.27533	0.81089914	0.009020144	0.14510001	99.0	294.6944465637207
30	-0.7215438	1.0855958	1.0405353	-2.6536705	1000.0	8.85	23.002773	90.0	0.0	-1.3709744	4.3006597	4.7802377	-40.560898	620000	2.9802323e-09	20.561712	-0.0166695	-17.869335	0.81469333	0.017015418	0.15269999	99.0	304.38808512687683
31	-1.5447729	1.4968296	0.53692824	-4.402335	1000.0	3.0	13.076696	60.0	0.0	-0.21426792	0.82196146	1.9051895	-11.498989	640000	3.7252903e-09	3.7603002	-0.014677724	-0.9389806	0.80034816	0.012922021	0.14980002	99.0	314.19326758384705
32	-0.41646844	2.1935527	7.343269	-3.8239584	1000.0	3.5	9.63587	35.0	0.0	-0.3947943	0.5242335	0.5082127	-3.8752491	660000	-9.685754e-09	2.0538368	-0.014254932	-0.68424827	0.7873127	0.012959813	0.13835	99.0	323.76886343955994
33	-0.34913975	1.6794188	1.859286	-6.21151	1000.0	17.8	46.7938	206.0	0.0	-0.42777523	1.128968	1.482135	-13.525472	680000	1.1920929e-08	27.72636	-0.018069925	-23.536366	0.7813851	0.0070362734	0.13970001	99.0	333.4213376045227
34	-0.81337833	1.2023911	1.0363532	-3.2274277	1000.0	8.75	25.532087	111.0	0.0	-0.9608369	3.2019289	1.6142954	-28.709389	700000	-7.4505807e-10	16.67303	-0.012696083	-10.215735	0.7885328	0.023967672	0.17525001	99.0	343.38416934013367
35	-0.69943297	1.5878171	2.0038157	-4.365086	1000.0	8.85	28.818874	132.0	0.0	-0.58969986	1.0597013	1.1220968	-4.6837883	720000	1.6391278e-08	9.264499	-0.014804013	-4.427895	0.7773662	0.017590402	0.15519999	99.0	353.2343862056732
36	-0.7848031	1.5715095	3.4120882	-2.6507466	1000.0	47.05	132.61806	606.0	0.0	-0.25432912	0.9430909	2.3052406	-5.932358	740000	0.0	75.22511	-0.017170543	-68.83706	0.7697777	0.0020967538	0.113400005	99.0	362.8727376461029
37	-1.488472	1.5743122	1.5765271	-4.3603935	1000.0	36.8	112.161316	496.0	0.0	-1.5585163	4.1727366	0.7130688	-41.072998	760000	-1.1920929e-08	92.99565	-0.015385533	-77.06477	0.7633132	0.008731029	0.13350001	99.0	372.38360571861267
38	-0.91412103	1.3782808	1.5834558	-3.2845652	1000.0	29.0	65.019226	244.0	0.0	-1.0694247	1.7131728	1.3185973	-29.908627	780000	5.9604646e-09	50.052876	-0.019337226	-41.95911	0.7572378	0.012580146	0.15635	99.0	382.1019027233124
39	-1.3559985	1.3694232	1.4888167	-3.8234112	1000.0	2.15	8.498676	39.0	0.0	-1.7344873	4.742019	1.9213283	-27.34992	800000	2.3841858e-08	22.938644	-0.017645154	-20.503105	0.771934	0.01930032	0.16225001	99.0	391.97164821624756
40	-0.6465292	1.167328	1.7370156	-3.236776	1000.0	29.3	118.22186	543.0	0.0	-0.3058313	0.43806675	0.34480697	-1.2355175	820000	2.9802323e-09	83.935684	-0.015753675	-81.019684	0.75016487	-0.0010611906	0.0868	99.0	401.76680088043213
41	-0.82053584	1.6112089	2.2031138	-3.7040102	1000.0	10.65	40.851284	187.0	0.0	-0.11191826	0.59702504	0.9540219	-21.217752	840000	0.0	20.869476	-0.013523586	-14.141482	0.75539905	0.005898754	0.103	99.0	411.20061135292053
42	-0.43785018	1.2834462	1.593066	-3.2947333	1000.0	13.75	37.656174	154.0	0.0	-1.288364	4.34682	18.822325	-59.002926	860000	-1.0989607e-08	40.11386	-0.01743657	-23.489628	0.76508814	0.01796222	0.15885	99.0	420.7175438404083
43	-0.49276024	1.4633541	2.6381624	-3.6530285	1000.0	8.1	32.658688	150.0	0.0	-0.69589037	1.329778	0.53739303	-5.6952176	880000	2.9802323e-09	11.478307	-0.01449555	-10.286666	0.7388048	0.015900882	0.12635	99.0	430.42205786705017
44	-1.041198	2.2011368	4.9503393	-4.795762	1000.0	15.4	44.26895	197.0	0.0	-0.46761933	2.3498766	0.20850056	-27.075745	900000	-1.1920929e-08	25.161283	-0.014602097	-8.066359	0.7485757	0.012134736	0.1701	99.0	440.0130774974823
45	-0.5212183	1.3525072	2.6379118	-3.8649266	1000.0	19.8	54.688755	216.0	0.0	-0.8592199	1.6199762	0.120275855	-5.591596	920000	-1.1920929e-08	27.027298	-0.017281309	-6.5598145	0.74564654	0.009185342	0.119799994	99.0	449.7095379829407
46	-1.223962	1.391121	0.71038455	-4.4291735	1000.0	20.75	71.38689	318.0	0.0	-1.2749685	2.0661585	0.7771285	-6.658162	940000	0.0	42.13546	-0.014755827	-32.801937	0.75778806	0.0074081235	0.11689999	99.0	459.3071172237396
47	-0.8891158	1.090731	1.2362016	-3.2416992	1000.0	7.2	31.384071	144.0	0.0	-0.87087625	2.8704917	1.2506958	-25.473307	960000	0.0	14.150457	-0.011942087	-11.909284	0.7679206	0.014118701	0.14275	99.0	468.79600739479065
48	-1.2928375	1.9122252	5.067392	-4.3945236	1000.0	10.6	35.287956	160.0	0.0	-0.15215126	1.065491	0.67460644	-19.41867	980000	-5.9604646e-09	14.357945	-0.015401485	-3.3006854	0.75415945	0.0060682017	0.123500004	99.0	478.13526916503906
49	-1.0696954	1.3987443	1.9899163	-3.6778283	1000.0	13.1	47.62027	217.0	0.0	-0.55294627	1.0836015	0.21154177	-4.3627734	1000000	0.0	18.523222	-0.011889379	-4.279844	0.75499684	0.0059528006	0.14065	99.0	487.8302710056305
50	-0.83982307	1.8160777	3.9326322	-3.5973465	1000.0	51.3	177.55171	810.0	0.0	-0.77521396	1.2415518	0.00800705	-4.414912	1020000	-1.1920929e-08	105.04286	-0.013917466	-75.03856	0.7382656	0.00022414737	0.0977	99.0	497.8267252445221
51	-0.16770323	1.359629	2.6277158	-2.9162867	1000.0	11.6	31.656595	118.0	0.0	-1.7716355	4.8376055	1.4520088	-24.430784	1040000	5.9604646e-09	32.61634	-0.02032927	-26.324118	0.764614	0.021392647	0.16555001	99.0	507.4048840999603
52	-0.84843796	1.6211795	2.9065127	-4.2758536	1000.0	12.15	32.637825	118.0	0.0	-0.59911364	1.2051549	0.86500525	-9.605417	1060000	-8.940697e-09	14.975946	-0.019357499	-3.9900155	0.74560785	0.020397305	0.1716	99.0	517.3781802654266
53	-0.5336598	2.1778731	4.8897157	-4.3301454	1000.0	18.35	51.86933	214.0	0.0	-0.56730044	0.8303032	1.2484195	-3.2744622	1080000	-2.3841858e-08	23.153194	-0.017450286	-7.0720353	0.74826765	0.006581539	0.13365	99.0	527.5428736209869
54	-1.2730561	1.8344983	1.2248013	-6.7493176	1000.0	0.5	2.1794496	10.0	0.0	-1.1745466	1.650504	0.6511313	-7.231677	1100000	-3.576279e-08	3.2856414	-0.0201314	-3.0956979	0.74155796	0.019103788	0.1463	99.0	537.3839025497437
55	-0.3637173	1.7563952	3.5704658	-3.5233414	1000.0	50.35	143.13326	616.0	0.0	-0.17326148	0.30694872	0.3245734	-2.072518	1120000	2.9802323e-09	83.210556	-0.017668229	-41.39637	0.7373783	0.0025414382	0.101349995	99.0	547.1253967285156
56	-0.71594983	1.6542761	3.7857184	-3.1988018	1000.0	2.0	7.648529	35.0	0.0	-1.4530051	3.3207858	2.3422928	-15.194654	1140000	-1.4901161e-09	12.747742	-0.020877065	-11.650125	0.76441276	0.019730214	0.14075	99.0	556.6221730709076
57	-1.3828145	2.2147639	1.7249236	-7.2255025	1000.0	10.75	24.508926	86.0	0.0	-0.23943515	0.38720345	0.26021373	-2.511383	1160000	0.0	8.033738	-0.017884549	-2.535074	0.74526423	0.017513728	0.16624999	99.0	566.0052165985107
58	-0.56828	1.1041323	1.4414631	-3.607578	1000.0	2.4	6.598485	28.0	0.0	-0.47873887	0.66999096	0.37315488	-7.0798693	1180000	-5.9604646e-09	1.0243298	-0.017792076	-0.48187694	0.74088085	0.01182531	0.1408	99.0	575.7361934185028
59	-1.1169053	1.7457553	0.9962846	-6.1242137	1000.0	12.45	39.537926	180.0	0.0	-0.1869652	0.32424647	0.1379968	-5.479911	1200000	6.7055224e-09	7.5826445	-0.016339574	-4.1569853	0.7166022	0.0042821774	0.104949996	99.0	585.3741919994354
60	-0.35416412	2.3479621	7.1532836	-3.8132665	1000.0	10.4	27.755	123.0	0.0	-0.59668565	1.6665142	0.4886005	-8.514826	1220000	-1.4901161e-08	8.695004	-0.01785421	-5.400165	0.7297369	0.02430427	0.20269999	99.0	595.0482156276703
61	-1.1282845	1.8464706	1.5185361	-5.82114	1000.0	25.45	66.861404	252.0	0.0	-0.5664994	1.2850871	0.4904995	-7.654461	1240000	-5.9604646e-09	15.184097	-0.016596949	-9.869047	0.7235848	0.0011368655	0.1125	99.0	604.3744189739227
62	-1.1362497	1.9241923	2.0422971	-5.568416	1000.0	19.1	26.166582	68.0	0.0	-0.7956618	2.2903779	0.26508868	-20.484726	1260000	0.0	8.206217	-0.02409714	-3.9692512	0.7259292	0.03429044	0.24644999	99.0	613.9293291568756
63	-0.96193963	1.7362684	2.0321991	-4.954145	1000.0	20.15	64.41295	296.0	0.0	-0.83603144	1.2384387	7.325885	-13.941463	1280000	5.9604646e-09	14.167224	-0.012576601	-10.081273	0.7118162	0.0073913992	0.14825001	99.0	623.3940553665161
64	-0.9808742	1.5087494	1.5681779	-4.8899813	1000.0	1.65	7.1921835	33.0	0.0	-0.27682033	0.3925333	0.1950953	-3.8451161	1300000	2.5331975e-08	0.6160396	-0.016028654	-0.18443148	0.71386135	0.010662204	0.13735	99.0	633.0760569572449
65	-1.2898004	2.078219	1.2116246	-7.5577526	1000.0	28.6	91.939865	419.0	0.0	-0.1923133	0.46363136	0.09673941	-13.100703	1320000	-1.1920929e-08	16.216602	-0.01600017	-12.921854	0.7029548	0.0020288085	0.1038	99.0	642.784859418869
66	-0.85938644	2.4556506	4.8625507	-4.1816993	1000.0	47.35	149.63264	689.0	0.0	-0.43065038	0.5821187	0.1400752	-12.013943	1340000	0.0	49.317802	-0.017845709	-45.139248	0.71534157	0.003470778	0.114	99.0	652.4564063549042
67	-1.0262548	1.5874152	2.1423566	-4.067119	1000.0	10.8	19.95144	67.0	0.0	-0.4818409	2.1426141	26.27355	-19.69444	1360000	-4.4703485e-09	9.117492	-0.01416255	-6.3928475	0.7360818	0.014250177	0.17355	99.0	661.9702925682068
68	-0.19357252	1.5235306	3.7913618	-2.6434832	1000.0	29.7	93.896805	430.0	0.0	-0.89364475	1.2511619	0.5327201	-12.971624	1380000	5.9604646e-09	32.456165	-0.019191632	-30.272846	0.7401837	0.0071503385	0.13155	99.0	671.4174973964691
69	-0.3113995	1.3110185	3.0496824	-2.3561797	1000.0	65.2	105.29274	349.0	0.0	-0.84320647	2.3913183	0.22934186	-38.552166	1400000	1.4901161e-08	79.25498	-0.021925176	-47.58242	0.7501982	0.005024395	0.12055	99.0	680.7808411121368
70	-0.82319677	1.777364	3.47403	-5.367508	1000.0	36.65	101.18363	448.0	0.0	-4.3539977	5.605129	0.44221473	-24.712433	1420000	-1.3411045e-08	92.677536	-0.021514181	-53.686485	0.76136035	0.018048318	0.17205	99.0	690.522369146347
71	-1.1285537	2.1122985	2.1299264	-6.013674	1000.0	11.1	38.64311	173.0	0.0	-1.4940591	2.8345728	1.4668684	-17.118221	1440000	-4.4703485e-09	8.573274	-0.021328356	-7.0681753	0.76014626	0.015027913	0.14475	99.0	700.398440361023
72	-0.98738635	1.9449034	2.794122	-5.417293	1000.0	17.7	57.651627	260.0	0.0	-0.79426026	2.5069854	0.7564554	-17.786886	1460000	-2.9802323e-09	33.413826	-0.01802882	-13.35864	0.757583	0.16705999	0.18394999	99.0	710.1357462406158
73	-1.0561773	1.5295914	1.9801996	-3.3846414	1000.0	14.15	43.938908	200.0	0.0	-1.3108885	2.4081855	3.6428375	-13.51878	1480000	1.4901161e-09	19.154638	-0.020214044	-16.17149	0.74254465	0.018123677	0.16565001	99.0	719.7862343788147
74	-0.9312233	1.4726385	2.654949	-4.0869665	1000.0	9.3	22.13165	89.0	0.0	-0.25430265	1.158012	0.8361993	-19.446035	1500000	5.9604646e-09	9.060263	-0.020202553	-6.237031	0.72578585	0.016533373	0.20504999	99.0	729.4891872406006
75	-1.423356	1.8066672	1.3021493	-7.179595	1000.0	14.2	33.44787	143.0	0.0	-1.042433	2.8371432	1.3232563	-15.625091	1520000	-1.1920929e-08	17.162052	-0.02167049	-12.627849	0.70623434	0.044061657	0.21995	99.0	738.8836252689362
76	-1.4849327	2.3164968	2.1802075	-7.773532	1000.0	10.8	22.240953	90.0	0.0	-0.7783963	1.7556036	5.0436606	-11.218935	1540000	1.0430813e-08	10.427851	-0.020018257	-4.2191873	0.7045165	0.019140432	0.19115	99.0	748.411773443222
77	-0.59755546	1.2764176	1.7600313	-2.9471056	1000.0	7.45	15.318207	47.0	0.0	-0.6012727	0.82194674	9.929096	-5.9937587	1560000	4.2840838e-09	4.02724	-0.019257216	-2.3556213	0.69537383	0.053906668	0.27005002	99.0	758.2249519824982
78	-0.24728379	2.0029907	3.0556586	-6.991842	1000.0	18.4	49.48475	214.0	0.0	-0.30455762	0.626107	0.1889621	-7.8816247	1580000	8.940697e-09	19.963007	-0.016771454	-16.473377	0.6791474	0.0068993373	0.1484	99.0	767.8039898872375
79	-1.4177355	1.6763649	2.1872437	-5.8979793	1000.0	12.1	21.099525	74.0	0.0	-0.7184876	2.2238572	0.5314932	-36.83743	1600000	-1.1920929e-08	9.2622385	-0.02372222	-4.8229322	0.68426615	0.04347021	0.26565	99.0	777.0157108306885
80	-1.0063059	1.799805	1.9269191	-4.5875845	1000.0	6.0	16.670332	70.0	0.0	-0.94339484	1.5108013	1.3479667	-9.0985775	1620000	-1.4901161e-09	5.7138352	-0.01660309	-3.1975026	0.65693355	0.03051137	0.1947	99.0	787.0923297405243
81	-1.1724249	1.6778829	2.426174	-4.3433237	1000.0	8.9	20.699999	80.0	0.0	-0.3404274	0.60634995	3.022595	-1.9063193	1640000	7.4505807e-10	4.2918816	-0.016905883	-0.7000197	0.63685566	0.015097591	0.17205	99.0	796.6085877418518
82	-1.5573714	2.1533995	2.3944995	-7.8917327	1000.0	5.35	16.14706	71.0	0.0	-0.44697213	0.44957468	0.24524057	-4.1270213	1660000	2.0861625e-08	1.373943	-0.016504351	-0.25299978	0.65648764	0.0112433275	0.14404999	99.0	806.299724817276
83	-1.1119187	1.3575323	0.91606635	-3.8739336	1000.0	13.1	42.98709	193.0	0.0	-0.2465839	0.2577632	0.14745748	-8.346836	1680000	-1.7881394e-08	6.5832224	-0.014681786	-0.8084117	0.6593596	0.008107647	0.15375	99.0	816.3518204689026
84	-0.6986896	1.6172785	2.0813835	-3.6083343	1000.0	20.2	33.011513	129.0	0.0	-0.60557437	0.8282177	0.46511483	-4.6871295	1700000	-1.3411045e-08	4.406726	-0.02226439	-0.9508993	0.6576771	0.015953118	0.17684999	99.0	826.076865196228
85	-0.62276644	2.1793463	3.1624477	-4.7522135	1000.0	8.9	16.801487	58.0	0.0	-0.55046064	0.57193464	1.0191271	-3.859089	1720000	-1.7881394e-08	1.6225029	-0.021911377	-0.39845872	0.66613567	0.013247428	0.1646	99.0	836.0558776855469
86	-0.6175351	1.8358142	2.6663601	-4.7034826	1000.0	9.05	20.778534	61.0	0.0	-0.397017	0.46451712	0.6312504	-2.4900365	1740000	2.9802323e-09	1.4658738	-0.020489037	-0.31292576	0.66370887	0.016912539	0.17085001	99.0	845.9045367240906
87	-0.8371949	1.9935963	1.7816945	-7.532478	1000.0	0.5	2.1794496	10.0	0.0	-0.33546847	0.36914355	0.45812595	-1.1748399	1760000	2.3841858e-08	0.22152957	-0.02252925	-0.17144117	0.66297215	0.022441458	0.17189999	99.0	856.1270656585693
