Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	22.733082056045532
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	44.959871768951416
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	0.0	0.97358304	-0.010687957	-0.3718329	0.92084205	0.0076033436	0.088300005	99.0	67.13877081871033
3	-0.68490374	1.5924631	3.0757172	-4.8468547	1000.0	43.55	71.469734	319.0	0.0	-0.4034817	0.2769612	1.1766884	-1.5303693	320000	5.9604646e-09	4.367681	-0.01077047	-1.1873052	0.92416143	0.006352185	0.086675	99.0	88.65738368034363
4	-0.61333096	1.4159926	2.9331565	-4.6008177	1000.0	68.4	115.480156	459.0	0.0	-0.82244647	0.778719	1.2144836	-7.158077	400000	-1.9371509e-08	26.09278	-0.012672874	-15.132418	0.9274117	0.006088469	0.08905	99.0	110.5639226436615
5	-0.46784797	1.2237128	2.9980783	-3.5319254	1000.0	48.6375	91.427734	408.0	0.0	-1.8082248	2.933805	4.1658173	-14.637016	480000	-4.4703485e-09	51.878716	-0.013940329	-27.008184	0.9409405	0.008739794	0.1238	99.0	132.54515266418457
6	-1.0089211	1.6226307	2.1671424	-6.071887	1000.0	48.3625	91.867874	428.0	0.0	-1.5114269	2.8834295	9.142624	-18.186522	560000	-1.4901161e-08	63.52297	-0.013720425	-46.285637	0.93489206	0.006759954	0.0993125	99.0	154.51365780830383
7	-0.80353945	1.4754825	1.8817978	-6.526489	1000.0	25.9625	55.138107	365.0	0.0	-2.4405844	5.2140827	5.0309734	-28.24584	640000	-1.0244548e-08	47.878	-0.01505809	-31.935537	0.94309425	0.012347445	0.1397625	99.0	177.00893878936768
8	-1.0945351	2.127158	4.820186	-10.33842	1000.0	31.5625	64.0839	394.0	0.0	-1.2944074	2.3515856	11.869318	-28.488297	720000	3.3527612e-09	47.2515	-0.013617709	-24.276005	0.93264437	0.008121413	0.12005	99.0	198.5373547077179
9	-0.92482185	2.218602	3.756978	-9.135028	1000.0	16.875	50.620743	341.0	0.0	-1.4981956	3.0619242	1.6386478	-32.049515	800000	-2.9802323e-09	24.692282	-0.013450494	-14.378018	0.93098056	0.008256439	0.100925006	99.0	220.99378204345703
10	-1.0233159	2.2247808	3.329006	-13.065392	1000.0	16.475	55.848225	358.0	0.0	-0.9876165	2.3142338	1.8175684	-16.827639	880000	-7.450581e-09	29.169582	-0.012338552	-16.881327	0.92444384	0.009606969	0.12451249	99.0	243.01675939559937
11	-0.8084234	1.9614483	4.9606795	-6.1842995	1000.0	13.525	69.4055	604.0	0.0	-0.69256574	1.9012707	2.4012377	-19.994926	960000	1.1920929e-08	27.500824	-0.012147671	-17.662546	0.92425287	0.008291082	0.11245	99.0	265.0564877986908
12	-0.86690235	1.6611379	4.5347137	-4.9287205	1000.0	15.25	37.585403	182.0	0.0	-0.5207394	1.774124	3.3015623	-24.958847	1040000	-7.450581e-09	17.507835	-0.013389664	-13.467891	0.92558	0.008369921	0.118324995	99.0	286.9245238304138
13	-0.77751815	1.7490373	3.841696	-4.8537827	1000.0	19.9625	69.323235	539.0	0.0	-0.74359417	2.8230422	8.775253	-24.388527	1120000	8.940697e-09	34.9171	-0.013565903	-28.197393	0.92397976	0.008828679	0.1299375	99.0	308.6957621574402
14	-0.7405812	1.6766715	3.6861665	-6.003549	1000.0	20.525	60.29303	412.0	0.0	-1.4257215	4.7520385	2.330592	-33.4351	1200000	1.4901161e-09	36.66224	-0.011849889	-26.738195	0.9238144	0.010890534	0.126425	99.0	330.54605770111084
15	-0.8903049	1.8723755	4.0353003	-5.8639097	1000.0	11.6375	33.132027	231.0	0.0	-0.69299734	2.0953078	8.25224	-34.539417	1280000	0.0	11.188087	-0.012809411	-6.5500803	0.9116522	0.010880089	0.13315001	99.0	352.0239541530609
16	-0.63458514	1.7676088	4.8768225	-5.0006557	1000.0	19.525	70.0878	404.0	0.0	-0.3904662	1.0965897	3.3580241	-23.257645	1360000	0.0	35.290268	-0.010785714	-24.1704	0.9031724	0.004147268	0.093087494	99.0	374.2890672683716
17	-0.8549404	1.9218495	5.3177576	-5.5452414	1000.0	9.2625	39.948948	288.0	0.0	-0.85562265	3.1162565	2.3220377	-27.611694	1440000	5.9604646e-09	19.554302	-0.011638798	-15.014648	0.9095351	0.010728865	0.118412495	99.0	395.84380173683167
18	-0.9765466	2.2561936	2.6707308	-13.1894865	1000.0	7.4375	29.230482	166.0	0.0	-0.3835142	1.2919455	4.87601	-37.943466	1520000	-5.9604646e-09	10.050112	-0.010058813	-5.403501	0.90268266	0.009711066	0.11643751	99.0	417.7797284126282
19	-0.72216845	1.5442314	3.3344743	-5.033014	1000.0	7.5	27.60616	187.0	0.0	-0.502528	1.526712	2.071539	-36.766235	1600000	5.9604646e-09	6.3504663	-0.013458041	-4.0420623	0.8965591	0.011631593	0.1354875	99.0	439.5343301296234
20	-0.67112935	1.8661559	3.5360777	-8.076714	1000.0	9.1	33.925503	226.0	0.0	-0.3963352	1.0955061	1.4946029	-26.455475	1680000	1.4901161e-09	8.516782	-0.011929191	-5.3956513	0.8893633	0.0094931815	0.12008749	99.0	461.49038887023926
21	-0.536342	2.1761177	7.4554887	-9.439039	1000.0	9.7875	32.451	173.0	0.0	-0.38970813	1.2063692	6.4229307	-21.60762	1760000	5.2154063e-09	5.9019947	-0.014001975	-3.955693	0.8873374	0.009661567	0.1288375	99.0	483.20452880859375
22	-0.42214903	1.8791716	6.478738	-6.279099	1000.0	9.2875	29.859335	158.0	0.0	-0.26592842	0.8071917	1.4827292	-16.941763	1840000	-1.1175871e-08	6.743965	-0.013107514	-2.9258955	0.8767377	0.010449951	0.13582501	99.0	505.3811333179474
23	-0.5153375	2.6066682	4.643529	-13.23163	1000.0	4.6125	19.002298	149.0	0.0	-0.3919442	1.2113649	2.8497138	-9.5575075	1920000	0.0	2.8344548	-0.012901634	-1.5768256	0.8748404	0.010982209	0.12518749	99.0	526.9917838573456
24	-0.35951728	2.2877388	5.655029	-6.7742586	1000.0	14.75	56.207764	415.0	0.0	-0.27784824	0.5705718	1.8031378	-6.5400305	2000000	-1.4901161e-09	8.588736	-0.011977139	-7.0712585	0.86623394	0.006702654	0.10374999	99.0	548.9677851200104
25	-0.34336013	2.4473462	7.053793	-6.817531	1000.0	12.5125	47.866478	341.0	0.0	-0.5889143	2.206395	3.5803304	-23.970984	2080000	5.9604646e-09	8.37222	-0.012663772	-6.8755274	0.86626863	0.009826048	0.11646249	99.0	570.9200637340546
26	-0.044800043	2.484085	5.5409155	-11.902868	1000.0	4.175	16.008415	115.0	0.0	-0.2600304	0.5706875	1.5551026	-22.649763	2160000	-2.2351743e-09	1.0731586	-0.012175756	-0.35026065	0.8668972	0.007049377	0.102199994	99.0	593.3411242961884
27	-0.09109057	1.8113812	6.310929	-5.74895	1000.0	10.1	30.954239	190.0	0.0	-0.1615459	0.35551983	4.0386715	-4.74895	2240000	5.2154063e-09	1.649461	-0.011905545	-0.38447747	0.8603784	0.007946141	0.1115	99.0	615.0916938781738
28	0.41056785	2.2369497	8.185952	-4.952161	1000.0	16.075	51.47154	404.0	0.0	-0.26241943	0.7595392	3.3598151	-20.160807	2320000	0.0	1.9130738	-0.012863195	-1.1228597	0.86043704	0.007620962	0.112950005	99.0	637.3391556739807
29	0.34786725	2.1206262	7.404269	-3.4946666	1000.0	22.75	59.926517	335.0	0.0	-0.17131318	0.43795323	1.1813141	-8.997665	2400000	0.0	1.800526	-0.013732264	-0.8515197	0.85542667	0.008245006	0.119912505	99.0	659.3808062076569
30	0.303227	2.5250802	7.3878593	-9.711767	1000.0	15.45	43.002876	216.0	0.0	-0.29225612	0.5725119	1.9431351	-9.32482	2480000	6.7055224e-09	1.3894043	-0.015367252	-0.40970612	0.85409224	0.008724354	0.12272501	99.0	680.8236207962036
31	0.8843001	2.4868233	6.2006783	-8.3546715	1000.0	9.0375	22.583979	128.0	0.0	-0.21952686	0.559198	0.93172634	-5.058524	2560000	-1.4901161e-08	0.5204478	-0.0146286655	-0.25456226	0.84419906	0.010885946	0.12657501	99.0	702.5604932308197
32	0.40048474	2.2439375	6.6971364	-5.4548855	1000.0	8.6	42.794743	345.0	0.0	-0.049637787	0.26474953	1.6565037	-2.7250023	2640000	-8.195639e-09	0.18221925	-0.0163179	-0.06836588	0.8322824	0.011215998	0.1331125	99.0	724.6645302772522
33	1.3246167	2.2491238	7.4559503	-2.8174582	1000.0	12.925	43.84626	266.0	0.0	0.011500928	0.13793552	2.982303	-1.251868	2720000	8.940697e-09	0.13878992	-0.016847035	-0.041059244	0.81307507	0.011035053	0.148525	99.0	746.6946167945862
34	1.4850343	2.437201	11.046833	-2.7497463	1000.0	19.1375	45.665836	295.0	0.0	0.10961123	0.15059906	1.1578751	-1.571137	2800000	-8.195639e-09	0.15511441	-0.017573	-0.029051866	0.78963035	0.010990908	0.1309875	99.0	768.8524701595306
35	2.1468139	2.4873183	8.525638	-2.7561507	1000.0	24.8125	57.067085	379.0	0.0	0.13431683	0.11592682	1.1759548	-1.1349275	2880000	4.4703485e-09	0.16695675	-0.018815469	-0.022641022	0.77031946	0.012162879	0.1438375	99.0	790.6038389205933
36	1.9899724	2.6430936	7.7893853	-8.663544	1000.0	16.075	41.55682	283.0	0.0	0.19850197	0.1292983	1.8461077	-0.5405128	2960000	1.4901161e-09	0.2576309	-0.01793785	-0.035474967	0.7466965	0.011061526	0.14705	99.0	812.2551062107086
37	2.2267883	2.989495	13.669686	-2.749791	1000.0	23.975	53.798923	387.0	0.0	0.11022559	0.1770529	1.5835563	-2.0765574	3040000	4.4703485e-09	0.1993207	-0.018225947	-0.039512683	0.7273307	0.01093913	0.1318375	99.0	834.0561180114746
