Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	11.290761709213257
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	21.581565380096436
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	-1.7881394e-08	0.38657847	-0.020020803	-0.32756418	0.91909635	0.011193532	0.1433	99.0	31.616092443466187
3	-0.86222154	1.2001194	0.7947768	-3.6297164	1000.0	113.2	110.987206	336.0	0.0	-0.16181666	0.22973612	0.7103571	-0.8114375	40000	-5.9604646e-09	38.67428	-0.020598885	-21.799595	0.90292346	0.009061089	0.1289	99.0	41.92208766937256
4	-0.92910796	1.5524215	2.724955	-3.1432915	1000.0	87.6	110.40036	367.0	0.0	-2.0622282	1.9415063	0.16001832	-7.228853	50000	5.9604646e-09	102.484146	-0.019349327	-47.671837	0.91407	0.00584068	0.09950001	99.0	52.106163024902344
5	-0.6069125	0.8997521	0.81271935	-1.8959806	1000.0	91.3	91.5424	299.0	0.0	-6.1268454	6.631928	2.965112	-16.198645	60000	-4.4703485e-09	190.58762	-0.025209421	-141.10686	0.92924416	0.013193245	0.1857	99.0	62.19723176956177
6	-0.18417583	1.0256016	1.7279661	-1.9047155	1000.0	82.3	144.4348	443.0	0.0	-4.9097533	7.902211	6.890371	-24.137466	70000	2.9802323e-09	272.50864	-0.025569241	-174.75479	0.9168345	0.015350096	0.1717	99.0	72.57221674919128
7	-0.92342377	1.2016209	0.56395924	-2.6355984	1000.0	49.7	115.70225	391.0	0.0	-5.903129	10.144883	2.3945603	-26.628199	80000	-3.576279e-08	286.22736	-0.023494368	-247.27258	0.9140669	0.03448709	0.17199999	99.0	83.14135313034058
8	-0.6694768	0.7303845	0.15061384	-2.0725858	1000.0	99.3	129.75983	383.0	0.0	-2.717944	5.3699803	0.48909405	-36.696342	90000	-2.9802323e-09	294.244	-0.025610695	-225.84615	0.9229609	0.0074094012	0.1541	99.0	93.44111108779907
9	-0.9842714	1.0139645	0.2846945	-3.556524	1000.0	84.9	172.38472	491.0	0.0	-4.6802807	7.862457	0.018440902	-26.369328	100000	1.0430813e-08	399.45282	-0.021768201	-335.70782	0.91712725	0.010677867	0.1515	99.0	103.69502139091492
10	-1.9024273	1.7491274	-0.013734337	-5.791705	1000.0	9.8	15.249918	39.0	0.0	-4.0255795	9.441189	5.8856864	-34.50227	110000	2.9802322e-08	99.387314	-0.020219184	-95.06868	0.9146031	0.01988056	0.14739999	99.0	113.8179578781128
11	-2.0803192	1.0358868	-0.5169122	-4.1178365	1000.0	13.1	23.149298	69.0	0.0	-0.74804324	3.0424786	19.66468	-13.850292	120000	2.9802323e-09	26.881603	-0.020608777	-17.67987	0.9015316	0.014979452	0.1806	99.0	124.29967880249023
12	-2.5137212	2.4938846	0.79691094	-8.141198	1000.0	3.4	7.310267	23.0	0.0	-0.8692544	1.1233461	2.4793935	-7.1964016	130000	8.754432e-09	2.9780316	-0.019279411	-1.6708097	0.9054123	0.011107234	0.118499994	99.0	134.35782527923584
13	-1.8766463	1.7429813	0.3212655	-4.699891	1000.0	4.3	12.900001	43.0	0.0	-0.2878945	0.76173735	1.7304885	-13.617597	140000	7.4505807e-10	4.405133	-0.0140726445	-2.2488754	0.90065086	0.009230339	0.1318	99.0	144.13084197044373
14	-1.3435853	2.1330757	3.037278	-4.9719744	1000.0	25.7	53.678772	181.0	0.0	-0.07597483	0.8011632	3.1549418	-9.899239	150000	0.0	72.42197	-0.017234962	-41.30687	0.88541317	0.0048922794	0.1195	99.0	153.89742922782898
15	-1.5936158	1.4752449	0.55612284	-4.3241906	1000.0	17.8	28.329489	75.0	0.0	-0.6228115	2.5614724	36.72528	-17.969343	160000	-2.2351743e-09	25.12741	-0.02023011	-19.509136	0.89817584	0.009778535	0.1546	99.0	164.2036097049713
16	-1.9472072	2.3728364	1.8824115	-6.239407	1000.0	20.3	36.13876	110.0	0.0	-0.36234322	5.5679994	45.74797	-45.50273	170000	1.4901161e-08	63.638725	-0.022184541	-52.38566	0.89810133	0.010385981	0.18450001	99.0	174.47219514846802
17	-2.5222943	1.5575501	-0.14048332	-4.657014	1000.0	2.7	8.1	27.0	0.0	-0.16635992	2.491581	11.469218	-19.326149	180000	5.9604646e-09	8.065536	-0.021109655	-7.6088486	0.8765569	0.018588617	0.19780001	99.0	184.16437673568726
18	-2.1243243	1.920869	0.41401258	-5.761851	1000.0	12.7	31.993906	107.0	0.0	-0.4791419	1.7024323	4.5384784	-9.925239	190000	0.0	15.783569	-0.018442197	-12.940149	0.83902246	0.008083014	0.1291	99.0	194.58529472351074
19	-2.2321787	1.9320122	0.26332217	-6.375224	1000.0	12.5	23.846384	78.0	0.0	-0.42878205	1.4926863	0.9249005	-18.852266	200000	8.940697e-09	18.089693	-0.023555065	-16.346977	0.8574972	0.01201718	0.1464	99.0	204.6821630001068
20	-2.5138633	3.9757583	0.684156	-13.541348	1000.0	3.7	7.6687675	23.0	0.0	-0.31260866	0.90340984	4.831143	-6.402529	210000	-1.0617077e-08	2.780439	-0.019738588	-2.213063	0.84984696	0.013906534	0.1695	99.0	214.71381306648254
21	-1.8118505	2.0502555	0.766028	-5.1232486	1000.0	41.3	40.681816	108.0	0.0	-1.2235906	3.0742617	1.3967147	-42.125565	220000	-5.9604646e-09	40.786297	-0.029409532	-34.81915	0.8457819	0.009844249	0.1483	99.0	224.9702968597412
22	-4.0901823	3.3910894	0.41215426	-9.539175	1000.0	0.0	0.0	0.0	0.0	-0.72855824	2.61335	1.7826195	-24.169596	230000	-1.1920929e-08	7.028563	-0.014352821	-6.976307	0.8602182	0.017123602	0.142	99.0	235.58323693275452
23	-4.763956	4.90266	2.5423162	-12.572453	1000.0	34.4	75.61905	254.0	0.0	-0.08777737	0.16685612	1.4508202	-1.4156134	240000	3.8743018e-08	110.6995	-0.018891847	-97.23811	0.83339584	0.0051273056	0.11560001	99.0	245.63036727905273
24	-4.5771723	3.489702	-1.1110307	-13.116871	1000.0	1.7	5.1	17.0	0.0	-0.8125835	2.8272657	1.1467053	-35.282806	250000	-5.9604646e-09	7.476676	-0.019356078	-6.762473	0.85525715	0.017378615	0.1577	99.0	255.47045826911926
25	-2.8124492	2.445238	2.9559624	-6.0642033	1000.0	10.3	16.315945	51.0	0.0	-0.23130944	0.539396	5.9897833	-2.6194801	260000	4.4703485e-09	9.074686	-0.022580724	-7.475049	0.82020617	0.009327432	0.14570001	99.0	265.22579526901245
26	-3.8113015	1.528101	-0.49653098	-6.3413177	1000.0	6.0	13.535139	44.0	0.0	-0.5348944	1.2621046	4.0049477	-17.066034	270000	1.0430813e-08	3.8619733	-0.020225186	-2.5726438	0.8230178	0.018773142	0.1916	99.0	274.9439821243286
27	-2.7465148	3.730905	3.3769407	-11.595851	1000.0	19.8	57.752575	193.0	0.0	-0.5966762	3.653646	2.088225	-42.039463	280000	2.0116568e-08	60.985527	-0.019294426	-57.534447	0.82353896	0.021032877	0.19510001	99.0	285.2238435745239
28	-3.5332355	2.9163828	-0.64666927	-10.023135	1000.0	22.5	49.204166	157.0	0.0	-0.64702684	2.2671323	2.677161	-30.002975	290000	-2.3841858e-08	37.72934	-0.022914842	-30.574772	0.78982395	0.011772669	0.1424	99.0	294.9264748096466
29	-2.8706264	1.7521511	-1.0308493	-6.748988	1000.0	0.0	0.0	0.0	0.0	-3.1929731	6.873613	0.35919303	-31.033583	300000	-5.9604646e-09	53.552055	-0.019320782	-53.21754	0.77749217	0.01833241	0.11990001	99.0	305.23779106140137
30	-2.128162	2.6872988	0.5545253	-8.506308	1000.0	16.4	18.178009	51.0	0.0	-0.20054254	0.28946105	2.7517533	-2.0718462	310000	2.9802323e-09	12.987043	-0.02583677	-9.957975	0.75563574	0.0096801575	0.13759999	99.0	315.6754801273346
