Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.50852835	0.90502435	0.7819799	-1.8024507	1000.0	28.6	54.327156	161.0	0.0	0.022653088	0.09137637	0.25794736	-0.20115301	10000	-2.9802323e-09	183.46881	-0.015739381	-57.528736	0.91893846	0.0051816506	0.0939	99.0	6.209831714630127
1	-1.2919755	1.2683668	0.59059143	-3.7540445	1000.0	94.7	101.551025	267.0	0.0	-3.3489184	5.8725014	2.9976969	-16.622898	20000	1.0430813e-08	37.920586	-0.01737943	-36.091286	0.92802083	0.010273929	0.1159	99.0	11.6180260181427
2	-1.4688014	1.7434481	0.5031252	-4.565055	1000.0	72.0	141.54858	474.0	0.0	-0.5130647	0.6856971	0.20954871	-2.227122	30000	0.0	71.70369	-0.017782314	-51.73822	0.92566824	0.006523381	0.123600006	99.0	16.9559965133667
3	-0.75061834	1.5401584	1.3911855	-3.7860854	1000.0	20.7	39.258247	120.0	0.0	-2.234214	4.7859383	0.364707	-16.24057	40000	2.3841858e-08	39.044933	-0.014076461	-30.559917	0.9311808	0.016253075	0.139	99.0	22.3777916431427
4	-1.8964317	2.2991543	1.825096	-7.0370216	1000.0	5.7	15.50516	52.0	0.0	-0.6599362	0.9154583	0.59343714	-3.4467573	50000	5.9604646e-09	4.4427824	-0.012010067	-2.1155179	0.9372567	0.009623233	0.132	99.0	27.92741632461548
5	-0.30653858	1.3525609	1.7939337	-2.6139848	1000.0	82.7	109.53086	277.0	0.0	-0.93461907	2.3043892	0.39239684	-16.502367	60000	-8.940697e-09	101.11045	-0.021689098	-83.35108	0.9552673	0.0021839016	0.13069999	99.0	33.59953427314758
6	-1.3683197	0.62818456	-0.11383474	-2.281318	1000.0	54.3	86.27867	225.0	0.0	-1.1705449	3.3678033	2.5862498	-23.733557	70000	-1.1920929e-08	87.07371	-0.022434216	-74.75311	0.94679755	0.005245352	0.13149999	99.0	39.25516867637634
7	-0.56917274	0.9704446	0.7038709	-2.6566062	1000.0	36.9	57.5664	153.0	0.0	-1.9888176	5.203047	0.85892576	-26.006538	80000	0.0	66.37864	-0.02224128	-41.51342	0.95262897	0.013001201	0.16010001	99.0	44.56468868255615
8	-0.9442013	0.761856	0.39334342	-2.215848	1000.0	11.2	22.758734	65.0	0.0	-2.0915837	5.0177627	12.5042305	-24.447977	90000	2.3841858e-08	33.537605	-0.02125308	-26.808048	0.96134675	0.02226384	0.16690001	99.0	50.09635829925537
9	-1.7052237	1.4057586	-0.059301127	-4.2789183	1000.0	5.2	15.6	52.0	0.0	-0.96386003	1.893837	5.0728474	-12.577462	100000	-5.9604646e-09	9.516162	-0.019159207	-5.389371	0.9513852	0.015752977	0.15239999	99.0	55.45249581336975
10	-0.9255451	0.94227266	1.2329823	-2.3009484	1000.0	66.5	113.80795	361.0	0.0	-0.34948868	0.7010327	6.066221	-5.3305426	110000	2.9802322e-08	174.35493	-0.025298113	-135.69534	0.93345225	0.009934523	0.1564	99.0	60.80639886856079
11	-0.86937875	0.624366	0.020854598	-2.018622	1000.0	9.0	27.0	90.0	0.0	-1.3397456	2.5611973	33.765194	-37.51937	120000	5.9604646e-09	23.651781	-0.017335067	-11.089458	0.9545146	0.01886868	0.1775	99.0	66.36265683174133
12	-1.2453178	0.81416	0.0065222494	-2.2156494	1000.0	23.5	41.869442	133.0	0.0	-0.41246203	2.8839114	33.59957	-31.124653	130000	0.0	35.643322	-0.020939473	-29.133717	0.9497627	0.0056555504	0.1394	99.0	71.5071222782135
13	-1.7336766	1.6776359	1.3739904	-5.037528	1000.0	11.8	23.28433	75.0	0.0	-2.4809608	6.772862	1.0741882	-35.962776	140000	1.1920929e-08	51.28312	-0.01901106	-48.132713	0.9450852	0.02704053	0.1727	99.0	76.92063069343567
14	-1.4427788	1.8944465	1.5413078	-4.0903854	1000.0	16.7	33.490448	89.0	0.0	-0.95400333	2.9839585	19.77683	-29.280254	150000	-1.9557773e-09	34.561794	-0.018978368	-29.310614	0.9350432	0.015252167	0.1736	99.0	82.19631719589233
15	-0.9844328	0.76918066	0.3888926	-1.940874	1000.0	40.9	77.380165	262.0	0.0	-0.26902995	0.9028298	5.655268	-21.161867	160000	4.61936e-08	78.813446	-0.025630843	-40.702816	0.9246826	0.0079891775	0.15089999	99.0	87.63312888145447
16	-1.8669304	2.1733203	1.3208661	-5.5174217	1000.0	27.1	54.369934	180.0	0.0	-2.752122	6.0189376	2.1379585	-34.671066	170000	-2.9802323e-09	89.103195	-0.026553538	-79.68208	0.9361954	0.020139262	0.1861	99.0	93.04645824432373
17	-1.9539211	1.5621046	0.9126904	-4.4751825	1000.0	45.1	95.11724	293.0	0.0	-0.6138137	1.5367086	1.2960988	-31.160257	180000	-2.9802322e-08	134.79405	-0.021261437	-113.532555	0.9304093	0.0066643236	0.1407	99.0	98.46342468261719
18	-0.5212722	1.0474403	1.6587819	-1.8883848	1000.0	50.2	79.9935	241.0	0.0	-1.6765366	5.967283	1.5638285	-42.870003	190000	-1.1920929e-08	133.48038	-0.02147855	-117.80538	0.9291576	0.010687668	0.15990001	99.0	103.77760314941406
19	-0.4405121	1.6329604	2.8823223	-2.7043216	1000.0	4.8	9.856977	29.0	0.0	-5.472076	9.132039	3.6472015	-28.334667	200000	-5.9604646e-09	87.799484	-0.024057223	-80.055885	0.9224981	0.02003926	0.1563	99.0	109.12788510322571
20	-2.0415783	1.5370044	-0.21226221	-5.308002	1000.0	69.5	119.24282	341.0	0.0	-0.826546	0.8907832	11.97979	-2.1645033	210000	-2.3841858e-08	218.82088	-0.024077922	-74.64835	0.9066709	0.012617057	0.1427	99.0	114.70659303665161
21	-1.084813	1.6712633	1.7255942	-3.670518	1000.0	18.0	36.09986	96.0	0.0	-4.4636636	3.132275	0.80251074	-28.86536	220000	4.917383e-08	47.66024	-0.024453815	-28.284058	0.9263977	0.024418889	0.1845	99.0	120.20977973937988
22	-1.6580479	1.2510335	0.23094502	-3.4041338	1000.0	21.7	32.76599	86.0	0.0	-1.3876768	2.0015008	1.4187987	-8.783697	230000	2.9802323e-09	28.860392	-0.026038129	-13.139644	0.92365515	0.013610783	0.1829	99.0	125.613450050354
23	-1.7640156	2.3027594	1.6862772	-7.2906246	1000.0	0.0	0.0	0.0	0.0	-0.60457337	1.1438321	7.14598	-7.198001	240000	-2.8312206e-08	1.5043862	-0.022097224	-1.4094833	0.9247543	0.019819397	0.1645	99.0	130.90697026252747
24	-1.3643538	2.2766767	1.6170202	-5.062807	1000.0	63.0	125.77837	411.0	0.0	-0.08552732	0.4810583	1.4459801	-6.3548384	250000	2.3841858e-08	168.16615	-0.0246452	-124.50667	0.9191567	0.0032032616	0.13139999	99.0	136.44917249679565
25	-1.5156919	2.7808957	4.8775206	-5.802692	1000.0	11.3	19.677652	60.0	0.0	-4.351935	8.630629	13.058709	-27.725027	260000	0.0	77.82616	-0.019410662	-67.821335	0.94187725	0.021346055	0.1708	99.0	141.84025621414185
26	-1.7858784	1.2543991	0.7004933	-3.382948	1000.0	69.0	126.69254	406.0	0.0	-0.73538846	1.4815316	2.703761	-15.6589775	270000	1.7881394e-08	239.50447	-0.025708878	-213.15132	0.9232504	0.0078112646	0.1319	99.0	147.07440423965454
27	-1.4429553	1.527691	0.45098034	-5.342807	1000.0	57.1	140.39761	475.0	0.0	-2.7518795	7.4651127	5.9551454	-50.10052	280000	2.9802322e-08	254.08426	-0.022025228	-243.4904	0.933469	0.013841	0.155	99.0	152.5333490371704
28	-2.499702	1.4278728	0.071151845	-4.701264	1000.0	16.8	50.399998	168.0	0.0	-1.6619518	5.287193	2.6452124	-50.282227	290000	-1.2665987e-08	36.730766	-0.019264579	-35.701237	0.9389888	0.015321019	0.1556	99.0	158.0045154094696
29	-1.5342541	2.7194808	3.0916631	-6.6373625	1000.0	32.4	66.26643	221.0	0.0	-0.25532615	0.75847626	1.0984086	-15.779009	300000	5.9604646e-09	101.84025	-0.019243296	-75.26231	0.9174224	0.0031298765	0.1242	99.0	163.6055610179901
30	-2.269558	1.9273516	0.6061406	-5.63672	1000.0	2.3	6.9	23.0	0.0	-3.0233676	6.5967	4.248902	-34.571487	310000	-2.3841858e-08	47.45338	-0.022442788	-45.50283	0.9273943	0.025710508	0.1604	99.0	168.72632026672363
31	-2.0233812	1.3811179	-0.28769636	-4.6552253	1000.0	24.3	29.539972	76.0	0.0	-0.26826078	1.1005973	20.445332	-3.7081652	320000	7.450581e-09	32.556923	-0.024822565	-25.345083	0.91611654	0.013623834	0.1767	99.0	174.17580795288086
