Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.8185363	1.1586866	0.80216324	-4.3730645	1000.0	36.875	72.39171	325.0	0.0	0.009362916	0.08558526	0.2584076	-0.20115301	40000	2.9802323e-09	249.50058	-0.01064502	-77.49925	0.9189385	0.0046020467	0.075625	99.0	12.301220178604126
1	-0.5754573	1.1519426	1.5901427	-3.625132	1000.0	46.025	102.20213	496.0	0.0	-3.8626602	5.5600986	5.8538074	-16.435263	80000	-1.7881394e-08	39.441338	-0.013780868	-37.719067	0.9261044	0.007340981	0.09325	99.0	24.03178834915161
2	-1.0446533	1.51114	1.3298213	-4.9266653	1000.0	25.4	59.029568	303.0	0.0	-0.387611	0.6779759	0.7142052	-2.1680627	120000	0.0	4.468641	-0.012193593	-1.1997021	0.9114417	0.010497852	0.11185	99.0	35.792186975479126
3	-0.5776362	1.2552665	2.1911023	-4.8362646	1000.0	42.575	83.86563	402.0	0.0	-0.589026	0.80213946	1.6644802	-3.3100853	160000	-5.9604646e-09	11.267261	-0.013556418	-7.00914	0.9108876	0.004742203	0.088275	99.0	47.41295623779297
4	-0.31875885	1.2087976	2.319927	-3.9074485	1000.0	64.425	112.5835	480.0	0.0	-1.0877742	2.1694868	2.450308	-10.705546	200000	1.9371509e-08	42.93994	-0.015102593	-31.83664	0.91952324	0.007516568	0.12485	99.0	59.063379764556885
5	-0.2407498	1.1890663	3.8281	-3.6830916	1000.0	39.65	100.985535	504.0	0.0	-1.4461806	2.8436055	13.8951645	-15.42847	240000	7.450581e-09	50.625862	-0.016469663	-33.723625	0.9155477	0.010816691	0.140425	99.0	71.06889772415161
6	-0.46137294	1.4716027	2.108518	-6.058471	1000.0	15.975	36.656845	161.0	0.0	-0.97299063	2.2927961	1.7092191	-23.205952	280000	-2.9802323e-09	17.163275	-0.013622264	-10.126681	0.90564156	0.010783173	0.12657501	99.0	82.65214371681213
7	-0.7809504	1.245294	0.7936571	-4.416785	1000.0	25.225	50.826416	196.0	0.0	-1.0667105	2.901171	6.3519616	-25.274654	320000	-3.7252903e-09	21.527073	-0.014187224	-13.348607	0.9104668	0.009152514	0.120675005	99.0	94.10902190208435
8	-0.38894343	1.5350517	3.7943766	-3.7521367	1000.0	41.2	84.93356	355.0	0.0	-1.1411827	2.353877	2.2328553	-26.50123	360000	-2.9802323e-09	56.33839	-0.015142913	-42.98813	0.9162854	0.0052392846	0.11375	99.0	106.23960900306702
9	-0.7619334	1.3923651	2.5603733	-4.557793	1000.0	26.35	51.730816	235.0	0.0	-1.2018993	3.389145	5.329177	-28.657837	400000	-5.2154063e-09	36.098442	-0.015652891	-27.061752	0.9222927	0.014575603	0.16507499	99.0	117.8865737915039
10	-0.4975122	1.759306	3.0822148	-7.277383	1000.0	23.95	59.32704	267.0	0.0	-1.3156193	3.5634148	7.40138	-24.31106	440000	0.0	40.384148	-0.017307527	-33.286316	0.91180503	0.016004054	0.17445001	99.0	129.48324155807495
11	-0.73404217	1.6442899	4.5513387	-4.9637175	1000.0	23.725	91.22445	548.0	0.0	-0.6612226	1.9318988	7.973778	-27.910957	480000	0.0	49.80526	-0.014735898	-42.28439	0.89971256	0.007462562	0.12127499	99.0	141.20572972297668
12	-1.4552095	2.184137	2.040009	-10.1209955	1000.0	9.475	37.249153	220.0	0.0	-0.49050507	2.2791586	4.630522	-30.784256	520000	2.9802323e-09	20.191841	-0.013476467	-12.871946	0.91718626	0.009857181	0.1349	99.0	153.2573528289795
13	-1.1733795	2.3732395	4.2719693	-7.926327	1000.0	21.6	55.111156	232.0	0.0	-0.39306837	1.2019235	15.692651	-11.516498	560000	0.0	30.546375	-0.01574124	-24.645433	0.9030366	0.005820754	0.11885001	99.0	165.12939453125
14	-1.2748562	1.816699	1.704635	-6.541108	1000.0	4.725	16.581598	87.0	0.0	-0.7645147	2.780757	20.132978	-23.498074	600000	-2.9802323e-09	7.5289574	-0.013852373	-6.2068496	0.90477955	0.013797952	0.12744999	99.0	176.38628506660461
15	-0.6237637	1.7532375	2.7062068	-4.2786765	1000.0	25.0	50.11387	202.0	0.0	-0.7094272	2.7800803	4.5648575	-21.202274	640000	2.6077032e-09	28.689976	-0.016111985	-24.250605	0.8966092	0.0091010155	0.15005	99.0	188.16661405563354
16	-0.77101743	2.2611482	3.9379208	-6.528871	1000.0	20.475	64.5674	376.0	0.0	-1.0498942	3.3296773	8.473775	-32.62892	680000	-4.4703485e-09	37.47217	-0.016111638	-34.942696	0.89705575	0.012074539	0.14875	99.0	199.8657956123352
17	-0.7986756	2.1511438	3.1583037	-9.728893	1000.0	6.525	22.277777	105.0	0.0	-1.0583537	4.1650863	12.532291	-35.533733	720000	-2.9802323e-09	20.735943	-0.0127254445	-18.008057	0.8945999	0.01542976	0.14879999	99.0	212.05289840698242
18	-1.1589367	2.1584814	1.737429	-9.150988	1000.0	25.975	85.08892	514.0	0.0	-0.34888804	0.73714566	6.056027	-14.418889	760000	2.8312206e-08	38.456978	-0.014552673	-33.028824	0.87439215	0.0052405084	0.098225005	99.0	223.60457682609558
19	-1.5186137	2.2473848	1.9040911	-9.165009	1000.0	23.775	60.032276	318.0	0.0	-1.5157236	4.364569	1.9433607	-38.47429	800000	4.4703485e-09	30.094059	-0.016216658	-26.224361	0.89051545	0.013308322	0.1427	99.0	235.27489972114563
20	-0.57947445	1.355618	2.8718896	-3.3252487	1000.0	36.55	95.676	514.0	0.0	-1.3773131	5.150828	2.215328	-40.19279	840000	1.4901161e-09	40.139645	-0.016180452	-33.481968	0.883973	0.009534421	0.15342501	99.0	247.3451316356659
21	-1.2920675	2.0139837	2.9175153	-7.6342793	1000.0	12.95	29.716114	140.0	0.0	-2.5466385	8.003766	2.5918787	-46.710808	880000	-8.940697e-09	50.04102	-0.015333365	-43.775517	0.8895825	0.015323944	0.13225	99.0	259.1512587070465
22	-0.6556598	1.6926706	2.811923	-5.297876	1000.0	18.375	40.465225	166.0	0.0	-1.0858641	3.0666418	1.2894839	-30.864613	920000	1.4901161e-09	18.377254	-0.015792834	-13.712164	0.8687216	0.013562118	0.14315	99.0	271.0373499393463
23	-0.8451206	1.6899542	2.945144	-5.509477	1000.0	11.5	45.447773	284.0	0.0	-1.2989111	3.8147628	2.6858184	-24.042921	960000	-2.2351743e-09	22.068443	-0.014175353	-17.056135	0.8704788	0.013616243	0.13285	99.0	282.50939178466797
24	-0.8747231	1.8574047	3.6970143	-5.612339	1000.0	12.575	37.91958	175.0	0.0	-0.46857452	1.3274235	2.0331306	-18.161047	1000000	5.9604646e-09	12.369533	-0.015517829	-10.4124565	0.8592378	0.008507586	0.11749999	99.0	294.08294653892517
25	-0.7516888	2.0630238	3.7148056	-7.438137	1000.0	22.225	70.54732	341.0	0.0	-0.74108636	2.3135207	2.2293527	-25.603533	1040000	0.0	40.638874	-0.017283792	-27.442902	0.85729706	0.010065163	0.14330001	99.0	305.5917720794678
26	-0.87940806	1.9954289	4.373583	-7.6343975	1000.0	20.425	51.748375	241.0	0.0	-1.348947	4.011565	32.41101	-26.111292	1080000	8.940697e-09	43.073875	-0.016865667	-26.604025	0.8584515	0.012601915	0.146925	99.0	317.7077724933624
27	-0.64637166	2.0068192	5.484436	-5.032821	1000.0	33.525	82.67828	357.0	0.0	-1.1516554	2.4701154	3.1515012	-13.4472685	1120000	-1.7881394e-08	52.74256	-0.018606167	-38.537987	0.8496822	0.009050737	0.12855001	99.0	329.47834372520447
28	-0.32720232	2.043519	6.141901	-5.999302	1000.0	9.225	22.683128	80.0	0.0	-0.8924295	2.7698212	1.47428	-29.477531	1160000	0.0	13.534578	-0.014154211	-9.799098	0.85482866	0.015418087	0.16125	99.0	340.9211206436157
29	-1.1239018	2.2947428	2.5243077	-9.950173	1000.0	17.475	65.13485	315.0	0.0	-0.40495563	1.5194595	8.326433	-10.913697	1200000	-7.450581e-09	23.195408	-0.014205319	-20.271679	0.8382517	0.0055205254	0.11457499	99.0	352.78099393844604
30	-1.2193025	1.8367574	3.515702	-4.938698	1000.0	4.975	17.70803	94.0	0.0	-1.1632632	4.4776936	3.7245202	-32.034653	1240000	2.9802323e-09	20.575958	-0.012600978	-17.911861	0.83071864	0.014969955	0.12605	99.0	364.38297486305237
31	-1.5933211	3.2076764	4.3367553	-16.132763	1000.0	9.35	30.618254	174.0	0.0	-0.84323263	2.2612617	0.8923202	-24.675371	1280000	5.9604646e-09	9.41363	-0.015785825	-7.1706038	0.81020105	0.015585879	0.132475	99.0	376.291396856308
32	-0.95169985	2.640445	3.1808984	-14.475108	1000.0	13.025	32.165577	137.0	0.0	-0.40440205	0.83900535	1.8663719	-13.705982	1320000	1.4901161e-09	8.089011	-0.01707312	-4.8836875	0.7924857	0.010456253	0.1467	99.0	388.21711468696594
33	-1.3881791	2.7567105	4.6550326	-10.85686	1000.0	13.375	42.457443	248.0	0.0	-0.28311715	1.1243988	3.4964747	-11.629076	1360000	-1.8626451e-09	11.808672	-0.01620498	-9.806121	0.7912891	0.009338963	0.12657501	99.0	400.49143242836
34	-0.60508	1.8013464	2.9839394	-5.789921	1000.0	13.125	55.963017	348.0	0.0	-0.64159775	1.7566007	6.5619817	-21.535246	1400000	-1.1920929e-08	14.553793	-0.013574782	-11.135133	0.7871582	0.012889808	0.13979998	99.0	412.5182249546051
35	-1.3305798	3.4053795	3.759811	-15.49674	1000.0	24.95	97.8463	600.0	0.0	-0.17796062	0.4316881	5.9050374	-11.030188	1440000	-7.450581e-09	27.570438	-0.012633784	-23.137516	0.7875041	0.0023687761	0.101125	99.0	424.70615911483765
36	-0.7282721	2.7747588	5.835003	-9.460893	1000.0	5.175	22.822014	140.0	0.0	-0.64415944	1.5834908	2.1614308	-27.47447	1480000	2.0861625e-08	3.2717724	-0.015947644	-2.569472	0.79045093	0.010137454	0.12485001	99.0	436.56145572662354
37	-0.28767052	1.8423139	5.5116224	-3.8117518	1000.0	8.3	25.288536	147.0	0.0	-0.19015867	0.6794827	1.8852923	-10.500231	1520000	5.9604646e-09	2.7457798	-0.015684754	-1.9441993	0.7784813	0.010225816	0.136125	99.0	447.8761610984802
38	-0.46750337	3.0473473	6.7215533	-15.531386	1000.0	10.45	31.822124	168.0	0.0	-0.5311929	1.7489758	0.70568645	-16.721912	1560000	5.9604646e-09	7.2109423	-0.01408076	-4.4287586	0.76608515	0.014493456	0.146725	99.0	459.61356949806213
39	0.096374735	1.4362384	2.6245067	-3.72163	1000.0	9.425	21.963478	102.0	0.0	-0.42754468	0.85486615	0.7135869	-8.241495	1600000	-6.7055224e-09	3.0075965	-0.017637808	-1.1457491	0.7463212	0.017320078	0.15924999	99.0	471.37637281417847
40	-0.7717277	2.0659583	2.9418542	-7.5605645	1000.0	20.45	45.137543	215.0	0.0	-0.305557	0.6689856	0.5110002	-6.6373034	1640000	1.1920929e-08	4.6988597	-0.018087586	-3.1514356	0.7462805	0.0092127565	0.141575	99.0	482.8956983089447
41	0.0106676575	2.4862583	4.615143	-9.2872715	1000.0	14.575	45.205578	249.0	0.0	-0.29753605	0.7255213	1.1536908	-10.442013	1680000	2.9802323e-09	5.1731963	-0.0138396965	-2.5244198	0.74724317	0.010431038	0.14397499	99.0	494.6756749153137
42	-0.49528852	2.171657	6.4395933	-8.786828	1000.0	5.175	16.002949	78.0	0.0	-0.24130225	0.5631248	0.711941	-4.1737957	1720000	2.9802323e-09	0.9270986	-0.015380001	-0.4494639	0.74220115	0.013001758	0.145225	99.0	506.2332832813263
43	-1.364186	3.1672037	5.2277317	-13.194316	1000.0	11.35	36.103012	214.0	0.0	-0.22642751	0.5133619	1.8621988	-14.390275	1760000	-4.4703485e-09	0.8457012	-0.015904967	-0.3964005	0.7439001	0.010131422	0.14722499	99.0	517.9766201972961
44	-1.1129792	2.1023793	2.0651028	-7.9861555	1000.0	13.6	35.880917	171.0	0.0	-0.28050172	0.4299549	0.50838417	-6.8517933	1800000	0.0	0.501543	-0.018330941	-0.21485248	0.7433014	0.0105099315	0.15734999	99.0	529.5667955875397
45	0.20527086	2.4901636	7.1187186	-5.594842	1000.0	35.95	84.36022	364.0	0.0	-0.2100635	0.28693882	0.41118252	-6.023144	1840000	-2.2351743e-09	0.42888665	-0.021085776	-0.15123297	0.72974634	0.012121156	0.1523	99.0	541.4240577220917
46	-0.795209	3.5886867	5.3701005	-17.057457	1000.0	23.6	76.18261	456.0	0.0	-0.14554444	0.3314262	0.59904164	-2.8667068	1880000	0.0	2.7555585	-0.015622206	-1.3938644	0.7153093	0.00644307	0.12529999	99.0	553.1480202674866
47	0.6493495	2.0064714	5.2647676	-4.03405	1000.0	17.425	34.47455	143.0	0.0	-0.51557887	1.125451	1.0339203	-8.065941	1920000	-2.9802323e-09	2.5238576	-0.016963322	-1.2724773	0.7209219	0.01546202	0.16935	99.0	565.1310296058655
48	-0.045129217	2.6730173	6.0223975	-8.3903055	1000.0	4.125	9.279513	33.0	0.0	-0.24693233	0.5340817	0.71538144	-2.682295	1960000	5.9604646e-09	0.4223768	-0.021279687	-0.24840447	0.7206006	0.012552025	0.154475	99.0	577.0290486812592
49	0.50852716	2.507219	9.668807	-3.6088538	1000.0	21.525	52.49047	264.0	0.0	-0.22027759	0.5173929	0.5456987	-6.7317815	2000000	1.6391278e-08	0.4771987	-0.020731628	-0.22321323	0.70977515	0.013553174	0.15545002	99.0	588.2601339817047
50	0.47509784	2.589899	5.9161534	-4.936444	1000.0	18.425	48.59109	262.0	0.0	-0.03647415	0.3114457	0.95739794	-1.5450048	2040000	1.0430813e-08	0.3645159	-0.019526344	-0.10434842	0.6989986	0.010848966	0.145825	99.0	599.8502769470215
