Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	22.792914867401123
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	44.446887254714966
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	1.1920929e-08	2.3968043	-0.010030862	-0.6923426	0.92482233	0.0068789036	0.089425	99.0	66.11052942276001
3	-0.72922224	1.5219674	3.798564	-5.3664904	1000.0	31.725	92.790215	560.0	0.0	-0.48011032	0.45844162	1.7912272	-2.708645	320000	-1.4901161e-08	8.733626	-0.009644192	-4.8421946	0.92289937	0.0055918163	0.0832875	99.0	88.36575222015381
4	-0.6056031	1.3456968	2.46757	-5.105343	1000.0	44.025	93.17282	484.0	0.0	-0.6933949	1.4033041	2.2005675	-11.544552	400000	0.0	18.055643	-0.012136064	-11.69932	0.94261396	0.0069564627	0.10285	99.0	110.45154356956482
5	-0.8367469	1.3728951	3.5344846	-4.579574	1000.0	44.625	102.7613	481.0	0.0	-0.84362775	2.156932	3.5412624	-16.07552	480000	1.3411045e-08	30.093231	-0.011967702	-17.023695	0.9421894	0.005297265	0.0938125	99.0	131.83856844902039
6	-0.94313735	1.5147105	3.0183117	-6.397377	1000.0	31.1125	71.79241	427.0	0.0	-1.5045788	3.6188731	3.6492677	-23.415873	560000	-2.9802323e-09	38.289665	-0.011826873	-22.142345	0.9410821	0.009242261	0.114374995	99.0	154.14304304122925
7	-1.0169337	1.6751537	2.7065308	-6.824514	1000.0	21.3	63.476845	433.0	0.0	-1.1373699	2.2263982	4.080196	-22.002546	640000	-7.4505807e-10	22.537693	-0.011279572	-10.738796	0.9412745	0.0075393915	0.10942499	99.0	176.19909954071045
8	-0.71594524	1.6148858	3.2680943	-4.0700197	1000.0	21.675	66.42623	458.0	0.0	-0.84253615	2.7283733	2.2578046	-26.001568	720000	2.9802323e-09	27.314453	-0.012556051	-14.991043	0.94292533	0.008652233	0.1185375	99.0	197.92790842056274
9	-0.7745118	1.6125234	4.41786	-5.2406745	1000.0	22.8	57.055103	328.0	0.0	-0.67432284	1.7442317	5.705884	-24.551521	800000	7.4505807e-10	22.99732	-0.011723014	-13.95418	0.93396556	0.006441603	0.10625	99.0	219.46016001701355
