Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	10.583538293838501
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	20.74850296974182
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	-2.3841858e-08	0.812778	-0.015365553	-0.7511112	0.9028357	0.0051742243	0.10109999	99.0	30.675328493118286
3	-1.4714705	2.1375203	0.5000895	-6.026795	1000.0	17.1	51.3	171.0	0.0	-0.2709578	0.18060003	0.13695136	-0.84758466	40000	-5.9604646e-09	0.06988154	-0.02017505	-0.029668206	0.8840977	0.012728201	0.1671	99.0	41.282480001449585
4	-0.31540102	1.4219972	2.6297581	-2.36253	1000.0	48.4	100.955635	340.0	0.0	-0.18229672	0.22732402	0.16936806	-0.89843565	50000	0.0	0.10235101	-0.02128952	-0.062614426	0.8767437	0.013126555	0.1619	99.0	51.223329067230225
5	-0.13355759	0.5928014	1.0448306	-1.2136834	1000.0	80.2	126.45695	347.0	0.0	-0.0553025	0.09234339	0.21692722	-0.47552788	60000	0.0	18.22104	-0.021754274	-10.755236	0.86751366	0.0069951774	0.117199995	99.0	61.16797876358032
6	-0.27832186	0.97366905	1.0150267	-1.8303037	1000.0	27.1	62.13767	207.0	0.0	-1.630417	2.5453913	0.7140935	-6.9092836	70000	1.1920929e-08	32.815613	-0.01426816	-21.25788	0.87513006	0.009701281	0.1409	99.0	70.8734974861145
7	0.086205915	1.0809118	1.3135169	-1.6446085	1000.0	44.9	54.54622	156.0	0.0	-0.91885215	1.3397756	0.49809885	-7.311678	80000	2.8312206e-08	31.401148	-0.01890947	-18.877693	0.88524187	0.007946848	0.1387	99.0	80.68381905555725
8	0.7601678	0.6059551	1.914267	0.060216658	1000.0	47.6	53.89471	151.0	0.0	-1.4208084	3.4968095	13.109429	-17.141426	90000	2.9802323e-09	39.158623	-0.023908205	-19.239698	0.9003402	0.010626817	0.18239999	99.0	90.91667175292969
9	-0.44191018	1.8159634	2.6558528	-3.4563704	1000.0	61.1	166.96313	561.0	0.0	-1.5729052	3.1247203	9.753533	-18.20054	100000	1.1920929e-08	128.46054	-0.021991584	-105.58407	0.9032397	0.004340741	0.1295	99.0	100.73344779014587
