Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9567461	1.497816	2.0751517	-4.888964	1000.0	45.15	89.22235	408.0	0.0	-0.012127762	0.08857087	0.20587143	-0.21035695	20000	1.7881394e-08	287.38763	-0.013870245	-116.26123	0.91893846	0.0037208542	0.0847	99.0	10.206923723220825
1	-0.7916037	0.8312203	0.3944232	-2.747073	1000.0	44.8	88.34059	286.0	0.0	-3.9295108	5.5402374	8.202433	-18.12685	40000	0.0	39.725235	-0.018472541	-38.205807	0.93623006	0.008773189	0.11985	99.0	17.535419702529907
2	-0.79362077	1.0089319	1.3857496	-2.651435	1000.0	46.6	81.92094	338.0	0.0	-0.3922296	0.6103348	0.8508949	-2.3166811	60000	2.9802323e-09	40.698456	-0.015943384	-24.416477	0.9203439	0.0058075846	0.1046	99.0	24.126245260238647
3	-0.6817363	1.2482923	1.2742095	-4.1944904	1000.0	35.75	56.95777	192.0	0.0	-2.2560596	4.1697097	6.1384635	-14.65885	80000	1.1920929e-08	48.32201	-0.01781049	-32.576485	0.94318354	0.011891053	0.13785002	99.0	30.828868865966797
4	-0.43411785	1.3405675	2.519857	-2.6185844	1000.0	52.1	122.128975	540.0	0.0	-2.6913152	4.5359097	3.9586434	-16.271513	100000	0.0	142.13412	-0.014214003	-87.65963	0.9420661	0.0044730334	0.102	99.0	37.72517442703247
5	-1.0312371	1.1526947	0.9602381	-3.4131072	1000.0	31.3	58.118073	213.0	0.0	-2.590677	7.6843777	22.960299	-26.224895	120000	8.940697e-09	136.11053	-0.015167514	-115.860435	0.93415546	0.026486773	0.1562	99.0	44.209935665130615
6	-0.7699192	0.939004	0.43598026	-3.1186829	1000.0	54.0	84.917015	261.0	0.0	-2.7221968	6.387701	23.31253	-28.983725	140000	-5.2154063e-09	176.97055	-0.018401388	-141.60545	0.9380013	0.009042377	0.11905	99.0	51.298927783966064
7	-0.84795606	1.2990053	1.1934761	-4.472047	1000.0	60.15	95.97201	288.0	0.0	-3.423994	8.104541	6.9427347	-37.214752	160000	2.9802323e-09	119.54791	-0.018390957	-95.32283	0.9455551	0.005424072	0.12465	99.0	57.94772171974182
8	-0.67498493	1.1193774	1.7158014	-3.3781586	1000.0	23.0	54.705574	220.0	0.0	-4.791331	9.850366	27.37007	-49.028584	180000	8.940697e-09	175.70667	-0.019373056	-108.92118	0.94241107	0.015450145	0.13080001	99.0	64.9868676662445
9	-0.946592	1.3726742	1.3384888	-3.3190942	1000.0	22.15	60.03689	264.0	0.0	-1.3666186	1.6384106	17.073097	-3.977618	200000	0.0	63.43528	-0.016633082	-21.728249	0.9345213	0.0045714076	0.1107	99.0	71.83826518058777
10	-0.9686127	1.3402163	1.0737292	-5.1362805	1000.0	21.0	58.24517	239.0	0.0	-0.9635068	1.850474	23.84386	-8.958362	220000	0.0	62.85589	-0.016804272	-40.536133	0.95023453	0.0045928084	0.11174999	99.0	79.01136636734009
11	-1.5679814	1.5365726	0.48664647	-4.586742	1000.0	26.0	70.82161	308.0	0.0	-1.0248011	3.2887785	4.004543	-21.82067	240000	-5.9604646e-09	81.95259	-0.016051333	-64.51645	0.9615868	0.0031756826	0.11265	99.0	85.90270233154297
12	-1.0005603	1.5749763	4.0999537	-3.1300452	1000.0	17.2	38.539074	140.0	0.0	0.15634768	5.646149	45.738926	-29.600197	260000	-5.2154063e-09	51.952423	-0.018105967	-36.25745	0.95863235	0.004424858	0.12045	99.0	92.56840705871582
13	-2.2445908	1.508028	-0.23430748	-6.742024	1000.0	2.2	6.7201185	26.0	0.0	-0.7086952	3.8077633	15.902328	-48.665737	280000	0.0	13.978694	-0.014780873	-12.528971	0.9672762	0.018493593	0.14745	99.0	99.20510458946228
14	-1.7275813	2.324315	5.029874	-5.555125	1000.0	21.7	56.452724	247.0	0.0	-0.36015093	0.7884491	3.705173	-6.397541	300000	0.0	74.424866	-0.016399737	-61.84658	0.955413	0.003689353	0.1112	99.0	106.13080668449402
