Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7965338	1.3284683	2.928302	-4.6885467	1000.0	49.4	107.605484	535.0	0.0	0.020119287	0.07033206	0.24808906	-0.18918781	40000	-5.9604646e-09	439.64346	-0.01046037	-112.173485	0.9189385	0.0033693078	0.079975	99.0	11.91132664680481
1	-0.9983643	1.1970319	1.3885322	-3.6865873	1000.0	19.0	44.175785	172.0	0.0	-3.7316577	6.2832723	8.535475	-18.48443	80000	4.7683717e-08	45.22928	-0.014067063	-43.25567	0.9237281	0.0071573555	0.09105001	99.0	23.895235300064087
2	-1.0480192	1.3318886	1.8290125	-3.6803467	1000.0	30.8	67.98684	360.0	0.0	-0.45068595	0.7108995	0.8486234	-3.048527	120000	0.0	0.5130843	-0.012710616	-0.43619132	0.9156326	0.008623658	0.088625	99.0	35.64906096458435
3	-0.8429779	1.459232	1.6133125	-6.022266	1000.0	30.875	46.75745	178.0	0.0	-0.12921274	0.17824183	1.0298176	-0.9837053	160000	-7.450581e-09	0.079750024	-0.015056667	-0.025427794	0.9182004	0.008769862	0.104075	99.0	47.3825364112854
4	-0.67444587	1.7372873	2.984166	-4.4328876	1000.0	36.75	68.130295	291.0	0.0	-0.1289577	0.17983063	0.46958116	-1.1536263	200000	-1.2665987e-08	0.081987694	-0.017312892	-0.02192599	0.9177165	0.009874521	0.12605	99.0	58.94334602355957
5	-0.01952982	1.2707688	2.034944	-3.7114215	1000.0	102.125	150.64348	685.0	0.0	-0.14253326	0.14423516	0.45088267	-0.9593075	240000	1.7881394e-08	3.1808896	-0.015522763	-1.2860163	0.9137558	0.0049549313	0.09287499	99.0	70.23821210861206
6	0.39795652	1.8458091	4.554486	-3.9830852	1000.0	67.25	129.3116	566.0	0.0	-0.77136177	0.83126897	0.36856583	-3.2059844	280000	1.1920929e-08	70.10029	-0.016216246	-42.96037	0.91644526	0.0043308088	0.097224995	99.0	81.71279740333557
7	0.027931761	1.7448069	3.6522138	-4.6707783	1000.0	41.125	61.311577	246.0	0.0	-2.3282886	4.829918	2.439992	-18.311201	320000	2.9802323e-09	48.93183	-0.018263241	-31.666498	0.92710674	0.01416743	0.1726	99.0	93.39555597305298
8	-0.6253387	1.6809115	2.9712863	-5.156382	1000.0	64.025	109.00057	510.0	0.0	-1.7599256	3.077686	2.8270035	-18.301413	360000	2.9802323e-09	84.007545	-0.017930139	-61.08889	0.92895854	0.007278108	0.132925	99.0	104.89073634147644
9	-0.35562813	1.2181022	2.2496948	-4.6720595	1000.0	53.625	89.9624	355.0	0.0	-3.5110812	6.1478653	5.3917575	-25.909578	400000	-1.4901161e-09	88.135086	-0.018324237	-70.602974	0.9274343	0.015307707	0.16815	99.0	116.5336389541626
10	-0.44043726	1.905793	2.929453	-6.543039	1000.0	52.075	89.34103	373.0	0.0	-3.0347376	6.370767	1.2658103	-29.348438	440000	-5.9604646e-09	126.2254	-0.020234242	-83.076126	0.9173586	0.012627156	0.169275	99.0	127.98745727539062
11	-1.1505305	2.1885428	4.2122436	-6.02927	1000.0	26.675	48.174362	198.0	0.0	-2.5290918	5.038029	1.2831522	-19.602861	480000	-1.4901161e-09	60.420094	-0.018204322	-36.692715	0.9098364	0.018947322	0.194125	99.0	139.88605856895447
12	-0.51865005	1.7370547	2.6295204	-3.9714592	1000.0	33.575	86.72914	484.0	0.0	-1.2034624	2.2313743	4.157019	-10.5163555	520000	1.4901161e-09	75.313255	-0.018350234	-51.81611	0.8970417	0.008725217	0.143625	99.0	151.51677751541138
