Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	22.367111444473267
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	44.08626866340637
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	-5.9604646e-09	0.35798454	-0.010036507	-0.2804273	0.92084205	0.0068309433	0.07615	99.0	66.660071849823
3	-0.6144433	1.58895	3.635459	-5.916545	1000.0	63.475	93.32497	316.0	0.0	-0.16338074	0.2723051	1.0287844	-1.7636213	320000	-2.9802323e-09	0.1902819	-0.012478494	-0.05288558	0.9191122	0.008184439	0.09284999	99.0	88.94853615760803
4	-0.026006151	1.4114764	5.9802647	-3.3063958	1000.0	58.8625	106.827866	650.0	0.0	-0.19441344	0.19499247	0.7459645	-1.4550749	400000	-2.3841858e-08	19.473501	-0.011714538	-7.1429434	0.9088054	0.0051922123	0.0717625	99.0	111.39650201797485
5	0.052136302	1.2592475	3.1181493	-3.172078	1000.0	73.2375	112.75519	496.0	0.0	-1.5110902	1.5953538	2.8963096	-12.291453	480000	1.1920929e-08	45.231895	-0.0135426	-28.216217	0.9277524	0.0068359063	0.0939875	99.0	133.24322724342346
6	-0.0010644614	1.3726286	3.3110156	-3.5154002	1000.0	51.925	90.2445	395.0	0.0	-2.5217507	4.075701	3.9984305	-18.257233	560000	0.0	56.22245	-0.013646448	-38.349377	0.9319936	0.009296347	0.113162495	99.0	155.1455738544464
7	-0.23106289	1.3514992	3.6310534	-4.478576	1000.0	52.375	92.90417	396.0	0.0	-2.044176	3.8379714	1.102459	-23.291023	640000	4.842877e-09	69.4831	-0.014301109	-45.67881	0.9316335	0.0074192598	0.1082625	99.0	176.8859827518463
8	-0.10856342	1.242363	3.1181712	-3.3103676	1000.0	44.25	78.15298	360.0	0.0	-2.7007616	5.6646876	5.2052503	-27.820925	720000	-1.4901161e-09	81.41149	-0.015340218	-49.709293	0.934744	0.011188191	0.13457498	99.0	199.26323127746582
9	-0.6283015	1.5983444	4.4783316	-4.7689996	1000.0	17.5625	51.767467	310.0	0.0	-1.4642196	3.2332232	3.0728488	-29.49511	800000	-5.9604646e-09	27.325983	-0.01402613	-20.540798	0.9332304	0.010719192	0.1360375	99.0	221.70908761024475
10	-0.9431227	1.5916282	2.8801174	-6.1830325	1000.0	24.9875	58.837593	349.0	0.0	-0.84256023	2.3494463	2.9801257	-29.0264	880000	2.2351743e-09	28.743708	-0.012582548	-18.022549	0.92078876	0.007211107	0.11489999	99.0	243.74767756462097
