Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	9.945173740386963
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	19.490199089050293
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	-1.7881394e-08	0.38657847	-0.020020803	-0.32756418	0.91909635	0.011193532	0.1433	99.0	28.974743604660034
3	-0.86222154	1.2001194	0.7947768	-3.6297164	1000.0	113.2	110.987206	336.0	0.0	-0.16181666	0.22973612	0.7103571	-0.8114375	40000	0.0	23.054468	-0.020625615	-15.664276	0.90292346	0.008905184	0.12759998	99.0	38.46175146102905
4	-1.0723635	1.3478444	0.95740116	-3.159604	1000.0	68.7	87.55461	247.0	0.0	-1.7537444	1.7723715	0.26157248	-7.9391727	50000	-1.7881394e-08	77.11264	-0.021067072	-44.303215	0.91385365	0.009633923	0.1357	99.0	48.03711676597595
5	-0.9747488	0.86332166	0.6485119	-1.992825	1000.0	52.8	79.59371	254.0	0.0	-3.172636	4.441529	2.878488	-14.205548	60000	3.7252903e-08	99.63069	-0.023328895	-84.61885	0.92403543	0.018125791	0.19600001	99.0	57.36722254753113
6	-0.83358413	0.59203297	-0.09290997	-2.1323295	1000.0	23.5	58.66387	196.0	0.0	-0.40423983	1.8475251	20.253578	-11.769047	70000	-5.9604646e-09	46.876152	-0.018317854	-10.646997	0.91605425	0.005752425	0.13939999	99.0	67.01056456565857
7	-1.7008979	1.8205751	0.14420882	-6.710713	1000.0	13.6	34.929073	117.0	0.0	-1.5584978	2.0101998	0.78132445	-20.444077	80000	1.3411045e-08	21.70244	-0.01736235	-16.269485	0.91007376	0.013263484	0.17089999	99.0	76.59722948074341
8	-1.5696803	1.8351053	1.1767672	-5.4737945	1000.0	65.7	81.521835	265.0	0.0	-0.5365522	1.1112343	11.97879	-16.26368	90000	-1.7881394e-08	79.1082	-0.02452435	-69.44182	0.91255414	0.008000366	0.1315	99.0	85.90084385871887
9	-0.59053636	0.985634	0.45956308	-3.0883305	1000.0	18.1	46.287037	155.0	0.0	-5.2571416	8.143617	4.18198	-33.650543	100000	0.0	89.16088	-0.0250966	-86.10469	0.9275199	0.016400456	0.15959999	99.0	95.1737413406372
10	-1.7769783	1.8953674	0.9453958	-5.742403	1000.0	7.0	15.336231	49.0	0.0	-0.29494673	2.3748007	28.101694	-30.434206	110000	-1.4901161e-08	9.585363	-0.016727787	-6.212157	0.9089575	0.014608319	0.1711	99.0	104.34506249427795
